年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1018.7,1.0,5.5,8.3,1.4,76.0,54.0,3.4,13.2,4.9,0.0
2013/1,1022.7,0.0,7.3,9.8,4.4,60.0,36.0,5.6,15.7,1.9,0.0
2013/1,1027.5,0.0,2.7,4.7,1.3,50.0,41.0,6.3,14.9,1.6,0.0
2013/1,1024.7,0.0,3.4,5.6,1.9,58.0,45.0,1.8,5.6,1.3,0.0
2013/1,1020.2,0.0,5.5,8.9,1.4,63.0,45.0,2.9,10.6,3.9,0.0
2013/1,1019.5,0.0,6.1,8.3,5.0,57.0,50.0,2.7,8.7,0.3,0.0
2013/1,1018.5,0.0,7.2,10.3,4.4,61.0,46.0,1.9,6.4,0.7,0.0
2013/1,1017.6,0.0,8.3,12.1,6.2,64.0,42.0,1.8,7.3,4.8,0.0
2013/1,1018.7,0.0,6.0,8.6,4.6,49.0,43.0,5.3,11.8,2.5,0.0
2013/1,1023.1,0.0,4.1,6.0,3.0,50.0,43.0,4.6,12.6,2.0,0.0
2013/1,0.0,0.0,5.2,9.2,2.3,0.0,40.0,0.0,4.6,0.0,0.0
2013/1,1022.9,0.0,7.7,12.5,3.0,69.0,48.0,2.1,8.6,7.7,0.0
2013/1,1018.9,10.0,6.9,9.0,5.5,81.0,63.0,1.8,7.5,0.0,0.0
2013/1,1012.0,14.5,8.2,11.8,4.7,69.0,36.0,4.9,16.0,3.5,0.0
2013/1,1021.3,0.0,6.1,8.6,3.6,55.0,45.0,2.4,10.6,1.8,0.0
2013/1,1019.2,0.0,6.0,8.6,2.3,70.0,48.0,2.3,8.9,1.9,0.0
2013/1,1019.3,5.5,5.2,8.6,2.1,71.0,46.0,4.4,13.2,1.9,0.0
2013/1,1024.9,0.5,3.6,7.0,1.2,76.0,51.0,2.6,7.8,3.2,0.0
2013/1,1025.4,0.0,6.2,9.1,3.2,60.0,45.0,4.1,13.4,2.6,0.0
2013/1,1028.5,0.0,6.7,9.9,3.9,69.0,50.0,1.6,7.9,6.1,0.0
2013/1,1020.8,18.5,7.6,9.4,5.6,84.0,71.0,2.8,12.8,0.0,0.0
2013/1,1014.4,16.0,10.0,12.1,6.9,81.0,66.0,3.7,14.2,0.0,0.0
2013/1,1015.2,0.0,7.5,9.9,5.9,70.0,48.0,1.6,7.8,3.6,0.0
2013/1,1012.7,0.0,8.5,11.7,5.1,68.0,47.0,5.6,18.1,3.8,0.0
2013/1,1015.1,0.5,4.8,8.5,2.4,47.0,29.0,8.0,18.4,4.2,0.0
2013/1,1016.1,0.0,4.4,5.7,3.4,43.0,32.0,7.5,17.3,6.3,0.0
2013/1,1018.8,0.0,3.6,4.6,1.9,47.0,35.0,6.2,16.5,0.5,0.0
2013/1,1022.8,0.0,4.9,7.4,3.3,51.0,41.0,4.8,12.4,5.3,0.0
2013/1,1024.8,0.0,6.8,11.5,2.2,70.0,43.0,2.2,7.6,8.3,0.0
2013/1,1027.2,0.0,8.3,12.8,4.8,70.0,47.0,1.9,7.6,8.8,0.0
2013/1,1029.3,0.0,8.3,11.4,5.5,73.0,58.0,2.1,9.3,7.4,0.0
2013/2,1021.8,16.0,9.8,11.7,7.9,86.0,72.0,2.9,13.7,0.0,0.0
2013/2,1019.6,0.5,12.2,14.2,10.0,76.0,48.0,4.4,13.6,3.2,0.0
2013/2,1021.7,0.5,9.1,12.8,5.2,58.0,37.0,1.6,7.5,9.1,0.0
2013/2,1014.0,17.5,10.2,15.1,7.1,87.0,61.0,3.5,13.4,0.0,0.0
2013/2,1016.9,9.0,7.6,9.3,6.5,79.0,59.0,2.1,9.3,0.6,0.0
2013/2,1011.9,1.5,8.5,11.0,6.6,81.0,66.0,3.6,12.2,0.0,0.0
2013/2,1015.5,0.0,6.1,8.2,1.7,57.0,46.0,7.1,15.5,0.5,0.0
