年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1007.9,3.0,-5.3,-3.3,-8.3,73.0,57.0,5.4,15.1,3.2,4.0
2013/1,1005.7,11.0,-3.7,-0.8,-7.1,76.0,49.0,4.1,19.4,1.7,17.0
2013/1,1009.0,9.5,-8.3,-5.2,-10.6,80.0,56.0,4.8,15.3,2.3,12.0
2013/1,1011.1,7.0,-9.8,-7.5,-13.6,80.0,63.0,3.2,10.5,0.1,6.0
2013/1,1012.0,3.0,-4.7,0.4,-12.0,81.0,63.0,1.7,5.8,5.9,3.0
2013/1,1008.6,4.0,-4.9,0.4,-7.5,71.0,47.0,5.9,16.8,2.1,6.0
2013/1,1012.1,1.5,-6.2,-4.4,-8.0,74.0,56.0,3.9,11.0,0.7,4.0
2013/1,1012.2,1.0,-6.6,-3.6,-8.8,77.0,50.0,3.1,12.0,4.1,1.0
2013/1,1009.0,0.5,-7.7,-4.4,-11.3,75.0,61.0,3.0,12.1,3.1,0.0
2013/1,1009.5,2.0,-8.1,-5.1,-9.9,80.0,61.0,3.5,12.5,4.1,3.0
2013/1,1016.3,2.5,-7.1,-4.6,-11.9,80.0,56.0,3.0,13.2,3.5,7.0
2013/1,1013.3,4.5,-2.9,-0.9,-4.7,86.0,71.0,1.7,5.4,0.0,6.0
2013/1,1014.8,2.0,-3.4,0.7,-9.2,73.0,54.0,4.4,15.1,3.3,1.0
2013/1,1010.1,0.0,-5.6,-2.3,-9.7,72.0,55.0,1.8,5.3,0.0,0.0
2013/1,1009.4,0.5,-5.1,-2.3,-9.5,63.0,49.0,4.3,13.4,6.2,0.0
2013/1,1012.4,0.0,-5.7,-2.8,-8.7,67.0,52.0,2.4,7.8,6.1,0.0
2013/1,1009.3,0.0,-6.2,-1.6,-10.5,62.0,43.0,3.1,9.0,6.4,1.0
2013/1,1006.4,0.0,-8.6,-4.8,-12.1,65.0,43.0,3.4,12.6,6.5,0.0
2013/1,1010.1,0.0,-2.5,0.0,-9.3,69.0,59.0,4.4,13.4,0.9,2.0
2013/1,1017.7,0.0,-1.2,3.0,-6.3,64.0,42.0,2.8,9.4,6.4,0.0
2013/1,1021.3,0.0,-1.4,2.4,-6.1,63.0,42.0,2.1,7.6,8.4,0.0
2013/1,1012.7,0.0,-2.0,1.4,-6.2,73.0,55.0,1.5,4.9,1.1,0.0
2013/1,1012.4,0.0,-2.6,2.6,-7.8,68.0,41.0,2.0,4.7,9.3,0.0
2013/1,1003.6,5.0,0.7,4.1,-4.9,71.0,36.0,3.4,15.2,3.4,0.0
2013/1,992.5,3.5,-1.9,3.8,-8.2,75.0,47.0,5.6,19.6,3.1,3.0
2013/1,990.4,1.5,-5.1,-1.4,-8.5,75.0,55.0,4.4,13.3,3.4,4.0
2013/1,1004.0,1.5,-1.0,1.0,-4.1,63.0,47.0,5.5,14.3,3.8,0.0
2013/1,1009.1,0.0,-2.0,2.1,-6.1,70.0,42.0,2.3,9.1,7.2,2.0
2013/1,1012.6,2.0,-1.9,2.0,-5.9,78.0,44.0,2.7,8.6,6.6,4.0
2013/1,1019.0,0.0,-1.3,1.8,-5.4,70.0,53.0,6.2,17.6,8.2,0.0
2013/1,1027.1,0.0,-0.3,3.8,-5.4,71.0,58.0,2.9,10.8,3.5,0.0
2013/2,1021.8,0.0,3.3,6.1,0.2,73.0,61.0,2.3,7.7,0.6,0.0
2013/2,1004.8,4.0,1.9,8.3,-4.5,72.0,51.0,5.9,16.6,3.5,1.0
2013/2,1012.0,1.5,-4.3,-1.6,-6.6,62.0,43.0,7.6,21.7,1.7,1.0
2013/2,1005.2,2.5,-1.3,1.2,-3.3,68.0,51.0,4.1,15.2,3.2,6.0
2013/2,1011.9,1.5,-5.1,-3.1,-6.9,73.0,56.0,4.9,13.3,0.4,2.0
2013/2,1011.0,0.0,-3.5,0.3,-6.9,66.0,48.0,1.6,4.2,3.0,0.0
2013/2,998.9,7.0,-0.9,2.0,-5.9,79.0,51.0,5.4,19.6,0.0,5.0
2013/2,995.1,3.0,-1.7,1.8,-4.6,75.0,50.0,6.9,19.9,2.5,3.0
2013/2,1011.2,0.5,-4.9,-1.5,-8.3,69.0,45.0,4.2,10.4,7.7,3.0
2013/2,1009.5,0.0,-4.4,-1.0,-8.3,76.0,63.0,1.8,8.1,3.3,1.0
2013/2,1009.6,11.0,-4.6,-0.9,-7.7,85.0,67.0,2.7,19.7,2.4,18.0
2013/2,1018.3,1.0,-4.3,-1.5,-8.9,77.0,59.0,2.6,8.4,4.8,1.0
2013/2,1012.4,0.5,-1.7,2.4,-4.8,73.0,52.0,3.0,10.0,6.8,0.0
2013/2,1013.9,5.5,-1.5,1.8,-5.6,86.0,65.0,2.2,12.1,1.3,11.0
2013/2,1007.9,0.5,-2.5,1.2,-7.0,70.0,41.0,2.8,9.7,1.2,0.0
2013/2,1007.2,0.5,-5.7,-1.5,-9.9,64.0,43.0,4.6,14.3,8.3,1.0
2013/2,1014.5,0.0,-5.4,-1.4,-10.6,64.0,41.0,3.7,14.3,9.2,0.0
2013/2,1004.1,2.5,-1.7,1.6,-6.0,86.0,72.0,2.8,8.4,0.0,5.0
2013/2,1002.9,2.0,-2.7,2.1,-6.2,78.0,53.0,4.6,16.1,5.8,5.0
2013/2,1006.2,8.0,-7.2,-4.3,-9.4,81.0,56.0,4.9,14.9,0.8,9.0
2013/2,1009.4,3.0,-6.5,-2.7,-10.1,76.0,50.0,3.9,13.6,6.4,5.0
2013/2,1009.2,5.0,-5.3,-1.5,-8.8,82.0,53.0,3.1,10.9,1.1,7.0
2013/2,1008.2,2.0,-5.8,-2.5,-9.7,78.0,45.0,3.4,12.4,3.4,2.0
2013/2,1006.5,2.0,-5.5,-2.1,-8.2,71.0,40.0,4.1,17.3,1.5,1.0
2013/2,1015.0,0.5,-6.3,-0.6,-12.0,69.0,45.0,3.4,11.8,7.2,1.0
2013/2,1016.4,0.5,-3.7,0.0,-9.2,71.0,46.0,2.7,10.7,3.0,0.0
2013/2,1009.1,0.0,0.5,3.9,-3.9,70.0,49.0,3.9,9.8,4.5,0.0
2013/2,1010.2,2.0,1.3,5.1,-3.1,77.0,55.0,3.6,14.1,2.5,1.0
2013/3,1002.7,4.5,0.3,3.7,-3.5,81.0,56.0,5.2,16.1,0.0,4.0
2013/3,990.0,5.0,0.1,4.0,-1.8,72.0,47.0,9.8,22.7,1.8,2.0
2013/3,1007.2,0.0,-1.2,2.9,-4.6,63.0,37.0,4.8,15.4,9.3,0.0
2013/3,1011.0,0.0,-1.8,2.4,-6.6,69.0,49.0,1.9,6.7,4.3,0.0
2013/3,1010.0,0.0,-0.2,3.3,-2.3,75.0,52.0,2.1,10.5,4.7,0.0
2013/3,1007.8,0.0,2.6,7.2,-2.0,68.0,41.0,3.6,13.9,3.7,0.0
2013/3,1004.7,1.5,3.4,8.2,-3.3,74.0,52.0,3.1,11.1,0.4,0.0
2013/3,994.0,5.5,4.5,8.4,-0.3,80.0,64.0,3.6,15.6,1.5,1.0
2013/3,1002.9,1.0,-3.7,-0.3,-6.3,63.0,41.0,5.9,16.9,5.8,0.0
2013/3,993.4,6.0,-2.2,6.2,-7.9,79.0,54.0,7.9,21.9,1.6,7.0
2013/3,1010.3,6.5,-3.6,-1.4,-8.0,75.0,53.0,5.4,18.4,5.9,7.0
2013/3,1009.7,0.5,3.7,6.7,-1.5,70.0,57.0,5.2,12.9,0.8,0.0
2013/3,1000.3,11.0,3.0,5.5,-0.9,85.0,57.0,2.9,11.6,0.0,0.0
2013/3,1013.5,1.0,-1.9,0.4,-4.3,56.0,40.0,6.5,18.4,7.4,2.0
2013/3,1014.1,0.0,3.4,6.7,-1.2,56.0,38.0,5.5,16.5,7.3,0.0
2013/3,1007.0,0.5,1.8,6.5,-4.3,65.0,40.0,4.4,19.2,2.1,1.0
2013/3,1010.8,0.0,2.3,6.0,-4.3,62.0,41.0,4.0,13.0,6.1,1.0
2013/3,998.4,13.5,4.7,7.5,1.2,88.0,71.0,2.1,9.7,0.0,0.0
2013/3,1002.1,0.5,4.6,7.4,0.1,70.0,46.0,5.1,15.9,6.0,0.0
2013/3,1000.2,11.5,0.4,2.3,-2.8,81.0,55.0,3.1,13.4,0.0,9.0
2013/3,1000.6,2.0,-3.4,-0.9,-5.4,71.0,44.0,6.6,20.4,1.6,3.0
2013/3,1001.3,1.5,2.4,6.2,-3.8,72.0,55.0,4.7,19.3,3.1,0.0
2013/3,1005.5,0.5,-0.7,1.6,-2.9,63.0,45.0,5.8,14.0,4.8,3.0
2013/3,1007.5,0.5,0.4,4.3,-3.6,68.0,40.0,2.1,8.0,3.9,1.0
2013/3,1004.3,0.0,1.4,4.9,-0.6,67.0,51.0,2.6,10.0,3.7,0.0
2013/3,1011.6,1.0,0.3,3.7,-3.7,69.0,45.0,4.0,15.2,4.7,0.0
