年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1002.5,0.0,3.5,10.5,-1.3,48.0,22.0,3.3,11.7,9.2,0.0
2013/1,1001.7,0.0,5.6,13.2,-0.3,49.0,26.0,5.0,18.3,9.1,0.0
2013/1,1003.7,0.0,2.0,5.1,-1.9,48.0,32.0,3.9,13.8,5.5,0.0
2013/1,1006.7,0.0,0.3,4.5,-2.4,47.0,24.0,3.7,16.2,9.4,0.0
2013/1,1007.0,0.0,0.1,5.3,-3.7,48.0,27.0,2.1,5.5,9.5,0.0
2013/1,1002.7,0.0,2.7,9.6,-2.1,47.0,35.0,4.8,15.0,8.6,0.0
2013/1,1004.4,0.0,3.2,8.6,-1.5,48.0,28.0,2.6,8.1,8.7,0.0
2013/1,1002.1,0.0,3.8,10.2,-0.8,51.0,32.0,2.3,8.8,9.1,0.0
2013/1,998.5,0.0,5.3,11.3,1.9,51.0,32.0,2.7,9.8,6.8,0.0
2013/1,1002.6,0.0,2.5,7.1,-0.6,42.0,26.0,3.8,11.9,8.4,0.0
2013/1,1010.5,0.0,2.0,6.0,-0.9,44.0,30.0,4.2,13.4,9.6,0.0
2013/1,1008.3,0.0,2.2,7.9,-2.8,43.0,29.0,2.9,8.9,9.3,0.0
2013/1,1006.7,0.0,6.9,13.9,1.1,45.0,25.0,3.6,9.8,7.7,0.0
2013/1,993.9,24.5,3.3,6.4,0.5,77.0,52.0,3.2,12.9,0.0,0.0
2013/1,0.0,1.0,2.2,5.7,-0.6,0.0,35.0,0.0,13.5,0.0,0.0
2013/1,1004.2,0.0,2.0,8.1,-2.5,58.0,33.0,2.8,7.4,9.3,0.0
2013/1,1000.6,0.0,2.2,7.8,-0.8,54.0,24.0,4.1,11.6,8.4,0.0
2013/1,1002.9,0.0,0.8,4.0,-2.6,46.0,22.0,4.8,18.4,9.6,0.0
2013/1,1005.9,0.0,3.0,9.3,-2.4,48.0,25.0,2.8,10.0,7.5,0.0
2013/1,1012.0,0.0,3.6,8.7,-0.2,52.0,28.0,3.5,13.0,8.5,0.0
2013/1,1013.1,0.0,3.7,8.1,-0.3,47.0,29.0,2.4,8.4,6.6,0.0
2013/1,998.4,1.5,5.3,12.7,2.0,62.0,42.0,3.5,16.4,4.2,0.0
2013/1,1001.9,0.0,5.2,9.0,1.5,57.0,33.0,2.9,9.0,5.0,0.0
2013/1,996.9,0.0,5.4,10.0,1.0,65.0,44.0,2.1,6.5,8.3,0.0
2013/1,988.8,0.0,2.6,7.9,-1.4,59.0,21.0,3.5,14.9,6.2,0.0
2013/1,989.9,0.0,0.2,4.8,-3.4,47.0,27.0,4.4,14.9,4.9,0.0
2013/1,998.3,0.0,1.9,6.4,-2.3,52.0,33.0,3.8,12.3,9.9,0.0
2013/1,1001.3,0.0,3.3,7.9,-1.1,47.0,23.0,3.7,13.9,9.3,0.0
2013/1,1007.8,0.0,3.8,8.5,-1.0,49.0,34.0,3.7,13.2,9.9,0.0
2013/1,1010.4,0.0,4.4,10.4,-0.2,48.0,30.0,4.3,16.7,9.6,0.0
2013/1,1019.3,0.0,2.9,8.2,-1.1,42.0,24.0,2.6,8.5,9.1,0.0
2013/2,1016.8,0.0,4.4,10.4,-1.3,48.0,27.0,2.5,8.7,7.5,0.0
2013/2,1000.9,0.0,9.8,18.6,4.7,54.0,39.0,4.2,15.5,7.1,0.0
2013/2,1007.3,0.0,5.7,9.3,3.5,38.0,25.0,5.4,15.6,9.7,0.0
2013/2,998.8,0.0,7.2,10.7,3.4,54.0,36.0,2.8,15.6,4.2,0.0
2013/2,1005.1,0.0,5.7,9.2,2.8,36.0,20.0,5.6,19.3,8.7,0.0
2013/2,999.9,11.5,1.8,4.4,0.3,84.0,34.0,1.5,4.2,0.0,4.0
2013/2,994.1,0.0,4.5,10.4,0.7,65.0,30.0,3.3,17.7,5.1,0.0
2013/2,998.6,0.0,1.7,5.0,-1.3,40.0,20.0,6.1,17.9,9.4,0.0
2013/2,1006.2,0.0,1.2,5.8,-2.7,45.0,31.0,3.9,16.5,8.7,0.0
2013/2,1002.4,0.0,3.0,11.3,-3.2,42.0,18.0,3.6,11.5,10.3,0.0
