年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1019.4,0.0,4.3,10.1,-0.3,61.0,46.0,2.5,11.9,8.4,0.0
2013/1,1020.9,0.0,8.5,13.6,4.0,60.0,35.0,5.0,16.3,5.7,0.0
2013/1,1023.4,0.0,3.5,5.0,2.2,48.0,36.0,5.8,14.7,2.6,0.0
2013/1,1023.3,0.0,2.7,5.5,-0.2,60.0,43.0,4.3,11.1,6.6,0.0
2013/1,1020.2,0.0,2.8,7.2,-1.7,61.0,41.0,2.6,7.1,4.5,0.0
2013/1,1018.2,0.0,5.7,8.8,2.5,59.0,41.0,2.9,9.2,7.6,0.0
2013/1,1017.8,0.0,5.0,10.6,0.4,68.0,44.0,2.8,7.5,9.3,0.0
2013/1,1016.6,0.0,5.2,10.3,0.7,68.0,44.0,3.0,7.6,7.7,0.0
2013/1,1015.1,0.0,5.9,9.7,2.2,59.0,36.0,3.8,10.9,7.5,0.0
2013/1,1019.3,0.0,5.5,8.3,3.5,50.0,39.0,6.0,13.9,6.6,0.0
2013/1,1025.2,0.0,4.8,7.7,1.6,56.0,39.0,3.2,8.2,7.8,0.0
2013/1,1023.0,0.0,5.1,11.1,0.4,63.0,46.0,3.2,7.7,5.1,0.0
2013/1,1019.6,0.0,6.6,10.5,1.8,62.0,48.0,3.7,10.4,1.8,0.0
2013/1,1006.5,25.0,6.0,8.4,3.0,78.0,51.0,5.9,18.9,0.1,0.0
2013/1,1019.2,0.0,5.4,7.3,2.9,58.0,43.0,5.5,19.2,3.9,0.0
2013/1,1018.9,0.0,5.0,9.9,-0.4,61.0,36.0,2.4,8.2,8.8,0.0
2013/1,1016.1,0.0,5.6,8.2,2.8,58.0,46.0,4.6,15.8,3.1,0.0
2013/1,1022.5,0.0,3.0,4.9,1.2,54.0,44.0,5.2,14.2,2.2,0.0
2013/1,1023.7,0.0,4.8,9.8,-0.9,60.0,43.0,3.4,11.0,6.5,0.0
2013/1,1028.3,0.0,6.7,9.0,3.8,52.0,38.0,4.5,11.7,5.9,0.0
2013/1,1023.8,7.5,5.2,9.2,0.5,73.0,46.0,2.9,7.8,3.0,0.0
2013/1,1011.6,6.0,8.9,10.6,6.7,85.0,67.0,3.8,10.9,0.0,0.0
2013/1,1013.9,0.0,6.9,9.3,4.0,68.0,46.0,3.3,9.1,3.0,0.0
2013/1,1011.5,0.0,7.3,12.8,1.2,67.0,37.0,3.5,12.2,8.3,0.0
2013/1,1010.2,0.5,5.5,9.5,2.7,48.0,35.0,6.7,16.1,2.8,0.0
2013/1,1011.6,0.0,3.9,6.6,1.5,46.0,30.0,8.3,24.9,4.0,0.0
2013/1,1016.0,0.0,3.0,6.7,0.2,54.0,31.0,4.0,19.3,3.7,0.0
2013/1,1020.2,0.0,4.1,7.2,1.5,57.0,42.0,4.9,16.6,5.3,0.0
2013/1,1024.2,0.0,4.6,9.3,-0.1,64.0,40.0,2.7,8.5,7.7,0.0
2013/1,1026.6,0.0,6.6,11.0,2.2,65.0,47.0,3.4,10.0,4.9,0.0
2013/1,1030.6,0.0,6.8,12.9,1.6,61.0,31.0,2.7,7.0,10.0,0.0
2013/2,1025.7,1.0,9.8,15.5,2.7,64.0,40.0,4.9,13.7,3.2,0.0
2013/2,1016.7,2.5,15.4,18.9,10.5,71.0,50.0,5.2,15.2,7.2,0.0
2013/2,1021.6,0.0,9.3,11.8,7.5,54.0,38.0,3.8,9.3,8.1,0.0
2013/2,1013.1,7.0,10.4,16.0,7.2,84.0,60.0,3.5,12.9,0.2,0.0
2013/2,1017.9,2.5,7.3,10.3,4.8,57.0,49.0,4.9,12.6,3.4,0.0
