年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1007.8,0.0,2.4,7.3,-1.9,67.0,47.0,1.6,8.2,6.8,0.0
2013/1,1009.2,0.0,6.5,12.2,1.7,64.0,40.0,2.3,12.7,3.2,0.0
2013/1,1011.1,0.0,2.3,5.4,-0.1,48.0,37.0,1.9,9.1,6.4,0.0
2013/1,1011.7,0.0,0.3,5.5,-2.4,71.0,45.0,1.4,7.1,2.9,0.0
2013/1,1008.9,0.0,1.3,6.2,-2.3,68.0,42.0,1.1,5.5,4.7,0.0
2013/1,1006.9,0.0,2.7,8.8,-3.2,73.0,43.0,1.3,6.2,5.2,0.0
2013/1,1006.6,0.0,3.3,9.3,-1.0,76.0,43.0,1.1,5.1,6.2,0.0
2013/1,1005.4,0.0,3.4,10.5,-1.9,77.0,46.0,1.2,5.0,5.9,0.0
2013/1,1003.4,0.0,3.5,9.7,-0.9,70.0,42.0,1.2,7.4,3.4,0.0
2013/1,1007.2,0.0,3.2,6.8,0.3,63.0,49.0,1.6,6.1,0.7,0.0
2013/1,1013.9,0.0,2.2,7.8,-1.6,68.0,43.0,1.2,4.7,3.9,0.0
2013/1,1011.9,0.0,2.3,9.2,-2.9,74.0,48.0,1.4,6.6,4.1,0.0
2013/1,1009.0,0.0,4.1,9.8,-1.9,75.0,48.0,1.2,5.2,2.3,0.0
2013/1,995.5,30.5,3.3,6.5,0.8,93.0,72.0,1.9,11.0,0.2,0.0
2013/1,1007.5,0.0,3.5,6.5,0.3,69.0,51.0,1.8,9.5,4.2,0.0
2013/1,1007.4,0.0,3.7,9.1,-2.0,67.0,38.0,1.9,6.1,7.1,0.0
2013/1,1004.7,0.0,3.9,7.8,0.2,68.0,46.0,1.8,7.3,1.7,0.0
2013/1,1010.5,0.0,1.2,5.7,-1.8,63.0,41.0,1.8,10.3,3.3,0.0
2013/1,1011.7,0.0,3.4,8.8,-2.3,65.0,48.0,1.9,8.9,6.1,0.0
2013/1,1017.0,0.0,5.0,8.4,0.1,61.0,42.0,1.5,7.9,1.9,0.0
2013/1,1013.0,6.0,3.5,10.1,-2.8,80.0,47.0,0.9,5.7,2.3,0.0
2013/1,1000.6,9.0,6.4,9.9,4.6,93.0,77.0,1.2,7.2,0.0,0.0
2013/1,1002.8,0.0,4.9,8.9,1.3,81.0,54.0,1.0,4.2,4.0,0.0
2013/1,1000.1,0.0,5.4,11.1,-0.8,74.0,45.0,2.0,8.6,6.5,0.0
2013/1,997.6,0.0,4.5,7.3,0.1,47.0,25.0,3.4,14.9,7.2,0.0
2013/1,999.3,0.0,1.7,6.5,-1.4,46.0,26.0,3.1,14.2,6.2,0.0
2013/1,1004.1,1.0,1.5,6.9,-2.4,61.0,39.0,1.9,10.8,7.1,2.0
2013/1,1008.2,0.0,1.6,6.4,-2.0,66.0,47.0,1.7,10.5,3.3,0.0
2013/1,1012.7,0.0,4.0,8.7,-0.4,66.0,44.0,1.5,5.6,2.0,0.0
2013/1,1015.3,0.0,5.1,10.7,0.6,74.0,49.0,1.4,7.5,2.0,0.0
2013/1,1019.5,0.0,4.4,12.8,-1.6,71.0,29.0,1.2,5.3,9.1,0.0
2013/2,1015.2,1.0,6.5,14.6,-1.5,74.0,38.0,1.0,5.1,3.9,0.0
2013/2,1005.8,2.0,11.1,17.7,7.6,84.0,54.0,1.8,8.1,4.5,0.0
2013/2,1010.8,0.0,7.2,11.1,4.8,60.0,38.0,1.7,6.6,9.1,0.0
2013/2,1002.5,6.0,6.6,10.1,3.5,90.0,62.0,1.3,6.9,0.1,0.0
2013/2,1007.3,0.0,5.4,7.9,3.0,67.0,50.0,1.6,6.5,1.2,0.0
2013/2,999.3,11.0,4.2,7.6,1.6,95.0,71.0,1.4,6.3,0.5,0.0
2013/2,999.7,0.0,5.3,9.0,1.5,76.0,47.0,2.0,10.3,0.5,0.0
2013/2,1006.9,0.0,0.5,3.3,-1.3,60.0,36.0,2.0,11.3,5.7,0.0
2013/2,1010.3,0.0,1.1,6.3,-2.1,64.0,38.0,1.2,5.9,4.0,0.0
2013/2,1008.0,0.0,2.9,9.4,-3.0,64.0,38.0,1.6,7.6,7.6,0.0
2013/2,1011.6,0.0,3.5,8.0,-1.4,62.0,43.0,2.0,8.9,4.3,0.0
2013/2,1010.2,9.5,2.7,8.6,-2.9,74.0,38.0,1.4,6.4,4.9,0.0
2013/2,1008.0,3.5,4.0,8.3,-0.5,75.0,45.0,1.8,10.0,4.9,0.0
2013/2,1009.8,0.0,4.9,11.8,-0.8,69.0,33.0,1.2,4.7,7.7,0.0
2013/2,1001.8,12.0,3.0,4.9,0.4,91.0,75.0,1.2,5.4,0.0,0.0
2013/2,1008.8,0.0,1.2,4.8,-2.0,69.0,45.0,1.8,9.7,5.5,0.0
2013/2,1011.8,0.0,0.5,5.2,-4.1,71.0,44.0,1.1,4.4,2.1,0.0
2013/2,1000.3,38.0,3.3,5.1,1.2,96.0,70.0,1.2,8.3,0.0,0.0
2013/2,1003.5,3.5,1.7,4.5,-1.3,89.0,72.0,1.1,5.6,0.0,1.0
2013/2,1007.9,0.0,1.8,6.7,-1.6,75.0,57.0,1.9,7.6,1.0,0.0
2013/2,1011.2,0.0,1.7,7.5,-2.3,70.0,44.0,1.8,9.7,4.2,0.0
2013/2,1009.7,0.0,3.1,7.9,-2.0,66.0,44.0,2.1,7.3,5.2,0.0
2013/2,1008.6,0.0,3.1,7.6,0.3,75.0,46.0,1.4,8.4,2.2,0.0
2013/2,1011.3,0.0,2.4,7.0,-0.6,64.0,44.0,2.5,10.4,6.3,0.0
2013/2,1015.8,0.0,1.8,7.0,-1.5,62.0,39.0,1.6,8.6,7.6,0.0
2013/2,1011.6,5.0,4.0,10.7,-2.0,69.0,35.0,1.3,5.5,6.1,0.0
2013/2,1001.4,7.5,6.3,12.0,3.0,85.0,57.0,1.3,5.2,0.7,0.0
2013/2,1006.2,0.0,7.4,15.1,2.1,65.0,29.0,1.2,4.9,9.9,0.0
2013/3,998.3,30.5,8.6,19.1,2.4,81.0,41.0,1.9,10.3,1.6,0.0
2013/3,1004.3,0.0,3.8,7.9,0.8,65.0,44.0,2.4,11.9,4.8,0.0
2013/3,1007.0,0.0,2.5,8.4,-1.6,63.0,41.0,1.6,7.9,3.6,0.0
2013/3,1005.0,0.0,3.9,11.2,-3.0,65.0,34.0,1.4,8.1,9.7,0.0
2013/3,1009.7,0.0,5.7,12.5,0.6,69.0,37.0,1.3,5.0,6.4,0.0
2013/3,1009.3,0.0,7.8,16.0,-0.7,60.0,23.0,1.5,7.9,10.5,0.0
2013/3,1004.1,0.0,10.6,20.8,1.5,61.0,22.0,1.2,7.0,8.7,0.0
2013/3,996.8,0.0,13.9,20.4,7.0,57.0,27.0,2.1,12.2,4.8,0.0
2013/3,999.6,0.0,15.2,23.1,7.3,47.0,19.0,1.7,9.3,10.1,0.0
2013/3,999.7,4.0,8.1,21.3,-0.2,72.0,46.0,2.1,12.4,0.1,0.0
2013/3,1010.2,0.0,4.0,11.1,-1.4,57.0,28.0,1.6,9.0,10.8,0.0
2013/3,1007.8,0.0,7.3,18.6,-2.9,54.0,23.0,1.4,6.1,10.8,0.0
2013/3,998.7,28.0,11.6,23.0,4.3,75.0,38.0,1.8,12.6,5.2,0.0
2013/3,1009.2,1.0,4.3,8.4,-1.2,62.0,40.0,0.0,0.0,7.1,0.0
2013/3,1011.7,0.0,5.4,14.9,-2.9,68.0,38.0,1.2,5.7,11.0,0.0
2013/3,1008.1,0.0,8.9,16.2,1.0,62.0,28.0,1.7,7.0,10.5,0.0
2013/3,1007.0,0.0,11.0,20.6,1.6,57.0,21.0,1.3,5.6,9.0,0.0
2013/3,994.2,34.5,16.4,21.4,11.1,75.0,45.0,2.6,12.7,0.2,0.0
2013/3,999.3,0.0,16.3,22.1,11.3,67.0,34.0,2.2,10.0,9.1,0.0
2013/3,994.1,12.5,11.9,16.1,7.7,79.0,59.0,1.5,11.3,0.0,0.0
2013/3,1002.0,0.0,5.8,11.2,0.8,59.0,33.0,2.1,9.5,9.4,0.0
2013/3,999.3,0.0,8.9,18.3,-1.1,63.0,29.0,1.6,7.9,8.3,0.0
2013/3,1000.7,0.0,9.3,14.7,3.1,66.0,43.0,2.1,6.8,5.5,0.0
2013/3,997.1,0.0,11.0,20.1,2.3,63.0,37.0,1.4,6.1,7.4,0.0
2013/3,997.5,0.0,8.8,13.6,3.1,61.0,41.0,1.8,9.1,0.6,0.0
2013/3,1007.9,0.0,5.8,11.2,0.0,59.0,33.0,0.0,6.2,5.7,0.0
2013/3,1006.4,0.0,9.0,16.6,2.5,58.0,40.0,1.9,8.1,0.0,0.0
2013/3,1000.7,3.0,12.7,15.1,10.6,89.0,68.0,1.7,7.5,0.5,0.0
2013/3,1000.7,0.0,13.0,18.4,9.3,78.0,50.0,1.5,6.8,0.3,0.0
2013/3,1006.6,0.0,10.4,16.5,4.8,55.0,28.0,1.6,6.1,10.4,0.0
2013/3,1005.5,1.0,9.9,15.0,6.7,68.0,54.0,1.5,10.0,0.1,0.0
2013/4,1009.7,0.0,10.9,19.3,2.5,58.0,18.0,1.6,7.4,10.0,0.0
2013/4,999.0,7.0,12.3,17.6,7.7,82.0,61.0,1.4,7.0,0.2,0.0
2013/4,994.9,9.0,11.7,16.0,9.0,73.0,48.0,1.8,11.6,0.5,0.0
2013/4,1003.4,0.0,13.5,21.9,5.5,62.0,27.0,1.3,5.4,9.3,0.0
2013/4,1003.6,0.0,15.9,25.7,6.1,61.0,24.0,1.5,6.2,10.9,0.0
2013/4,985.5,29.0,15.8,18.0,12.4,83.0,67.0,2.5,14.9,0.0,0.0
2013/4,981.3,2.0,10.9,15.7,6.9,74.0,45.0,3.2,13.4,0.5,0.0
2013/4,999.4,0.0,10.2,17.2,3.5,58.0,36.0,1.5,7.8,10.4,0.0
2013/4,999.2,0.0,12.8,20.0,6.4,60.0,32.0,1.9,12.0,8.8,0.0
2013/4,1000.7,0.0,10.7,15.0,6.8,49.0,22.0,2.2,10.2,8.4,0.0
