年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,998.8,0.0,3.3,9.9,-1.7,51.0,22.0,3.9,13.0,9.2,0.0
2013/1,998.1,0.0,4.6,12.4,-2.7,56.0,26.0,4.5,17.7,9.2,0.0
2013/1,999.8,0.0,1.3,5.0,-3.9,51.0,33.0,3.9,10.9,7.0,0.0
2013/1,1002.1,0.0,-1.0,4.7,-5.7,52.0,24.0,2.3,7.4,9.5,0.0
2013/1,1003.6,0.0,-0.9,4.7,-6.8,56.0,31.0,2.4,6.0,9.5,0.0
2013/1,998.9,0.0,1.0,9.4,-5.6,59.0,32.0,2.3,7.8,8.7,0.0
2013/1,1001.2,0.0,1.1,6.9,-4.9,59.0,31.0,1.8,7.6,8.9,0.0
2013/1,999.0,0.0,3.3,9.9,-2.5,61.0,41.0,2.8,6.6,8.4,0.0
2013/1,995.5,0.0,3.7,8.4,1.5,67.0,58.0,3.1,11.0,5.8,0.0
2013/1,998.9,0.0,1.4,7.3,-2.9,51.0,27.0,2.7,10.1,9.5,0.0
2013/1,1006.9,0.0,0.3,6.9,-5.1,52.0,23.0,2.1,7.0,9.6,0.0
2013/1,1004.9,0.0,2.2,8.1,-2.3,54.0,35.0,2.6,5.8,7.1,0.0
2013/1,1003.7,0.0,4.0,11.7,-3.4,61.0,32.0,2.4,7.4,8.7,0.0
2013/1,990.1,30.5,2.6,5.3,0.7,82.0,63.0,7.6,20.6,0.0,3.0
2013/1,997.2,0.0,2.3,5.6,-1.4,60.0,36.0,3.6,13.6,8.3,0.0
2013/1,1001.1,0.0,0.2,5.5,-3.9,72.0,42.0,1.7,5.2,6.3,0.0
2013/1,996.6,0.0,1.1,8.1,-4.2,63.0,32.0,3.0,10.6,9.6,0.0
2013/1,998.5,0.0,-0.9,4.7,-5.4,58.0,21.0,3.1,17.8,9.1,0.0
2013/1,1002.3,0.0,0.9,7.4,-4.9,60.0,34.0,2.7,8.1,8.8,0.0
2013/1,1007.5,0.0,2.0,9.7,-3.9,56.0,25.0,3.1,14.2,9.2,0.0
2013/1,1009.8,0.0,2.3,7.1,-1.9,57.0,35.0,2.2,6.5,4.8,0.0
2013/1,994.6,2.0,4.8,9.9,1.6,73.0,44.0,4.9,19.8,3.2,0.0
2013/1,998.9,0.0,4.3,8.7,-1.0,55.0,25.0,3.4,10.3,5.9,0.0
2013/1,993.9,0.0,4.2,9.6,0.7,75.0,53.0,2.8,7.7,6.0,0.0
2013/1,985.2,0.0,2.6,9.4,-1.4,58.0,18.0,4.4,18.0,8.2,0.0
2013/1,985.8,0.0,0.8,6.7,-3.2,39.0,18.0,5.9,18.3,8.5,0.0
2013/1,994.6,0.0,1.7,7.1,-2.4,52.0,29.0,3.0,11.2,9.7,0.0
2013/1,997.2,0.0,2.8,9.7,-1.4,49.0,21.0,2.7,10.0,7.1,0.0
2013/1,1003.6,0.0,2.4,9.7,-4.0,54.0,23.0,2.0,6.9,10.1,0.0
2013/1,1006.3,0.0,3.3,11.9,-3.3,49.0,21.0,3.2,11.5,9.9,0.0
2013/1,1016.0,0.0,2.1,8.1,-3.7,47.0,26.0,2.1,8.3,10.0,0.0
2013/2,1013.6,0.0,4.4,10.7,-3.2,60.0,42.0,2.2,9.3,7.9,0.0
2013/2,997.4,0.0,9.0,15.0,5.1,69.0,58.0,1.9,6.8,1.0,0.0
2013/2,1003.2,0.0,6.1,11.3,1.4,37.0,20.0,3.6,15.3,9.7,0.0
2013/2,995.4,0.0,6.4,11.8,2.9,67.0,48.0,3.0,8.2,5.0,0.0
2013/2,1000.7,0.0,5.8,11.7,0.3,39.0,20.0,3.6,12.0,9.0,0.0
2013/2,996.6,10.0,1.1,2.8,-0.5,84.0,47.0,4.3,11.1,0.0,7.0
2013/2,991.0,0.0,3.0,8.2,-1.0,81.0,65.0,2.4,8.1,3.3,0.0
2013/2,994.1,0.0,1.7,4.9,-1.8,45.0,20.0,5.2,19.7,9.3,0.0
