年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1005.6,0.0,-4.2,-2.7,-6.3,66.0,53.0,11.5,24.3,2.4,0.0
2013/1,1004.6,2.0,-3.0,-0.6,-5.8,69.0,49.0,5.3,25.2,2.8,5.0
2013/1,1006.5,1.0,-6.6,-3.6,-8.0,63.0,47.0,8.8,25.0,0.7,0.0
2013/1,1009.0,0.0,-7.5,-6.2,-8.8,66.0,51.0,7.0,18.1,1.2,3.0
2013/1,1010.4,0.0,-2.3,1.8,-6.9,69.0,48.0,5.0,14.3,4.1,0.0
2013/1,1006.3,3.5,-4.4,0.4,-6.8,69.0,51.0,9.3,21.4,0.9,3.0
2013/1,1010.0,0.5,-5.3,-3.1,-6.5,64.0,48.0,8.0,21.8,2.5,4.0
2013/1,1010.4,4.5,-5.5,-4.6,-6.6,71.0,57.0,6.1,16.1,0.0,8.0
2013/1,1007.4,0.5,-6.1,-3.7,-8.0,67.0,52.0,6.1,18.6,1.5,0.0
2013/1,1007.6,0.0,-6.3,-3.8,-8.0,61.0,49.0,5.9,15.8,2.0,0.0
2013/1,1014.2,0.5,-5.1,-3.2,-7.3,65.0,48.0,8.5,21.2,1.8,0.0
2013/1,1012.3,0.0,-2.7,-1.3,-4.1,76.0,55.0,4.2,16.9,0.0,3.0
2013/1,1013.1,1.5,-2.7,0.5,-4.8,67.0,54.0,5.7,15.9,2.8,1.0
2013/1,1009.5,0.0,-3.8,-2.0,-5.2,61.0,46.0,2.6,11.3,0.0,0.0
2013/1,1008.2,0.0,-4.9,-2.8,-6.6,64.0,45.0,5.0,15.0,6.2,1.0
2013/1,1011.2,0.0,-5.0,-2.3,-6.7,69.0,54.0,3.9,10.5,2.7,0.0
2013/1,1008.1,5.0,-5.1,-3.4,-7.2,70.0,50.0,4.1,12.2,1.6,8.0
2013/1,1004.5,6.0,-6.4,-4.8,-7.9,72.0,49.0,6.3,17.4,0.9,6.0
2013/1,1008.2,1.5,-1.6,0.4,-5.6,73.0,62.0,6.6,16.1,2.2,1.0
2013/1,1016.3,0.5,-0.3,1.8,-2.2,75.0,64.0,5.0,13.6,4.7,0.0
2013/1,1020.2,0.0,-0.8,2.0,-3.0,62.0,46.0,3.5,10.6,8.2,0.0
2013/1,1012.3,0.0,-1.4,1.2,-4.4,67.0,56.0,2.4,5.4,4.3,0.0
2013/1,1011.6,0.0,-1.4,1.7,-4.0,67.0,48.0,3.4,8.0,9.0,0.0
2013/1,1003.4,6.5,-0.1,2.8,-3.1,84.0,69.0,5.2,15.7,0.3,2.0
2013/1,991.1,2.0,-1.3,3.5,-6.8,76.0,49.0,7.0,24.8,1.2,0.0
2013/1,988.6,3.0,-4.4,-1.9,-7.4,70.0,52.0,6.5,16.7,2.7,5.0
2013/1,1002.7,0.0,-1.3,1.5,-4.1,62.0,42.0,5.0,14.7,5.2,0.0
2013/1,1008.3,1.5,-2.0,0.7,-5.2,71.0,57.0,3.0,7.1,6.5,10.0
2013/1,1011.6,1.5,-1.8,1.2,-4.8,74.0,52.0,3.1,8.5,7.9,1.0
2013/1,1017.8,0.5,-0.8,2.5,-4.5,68.0,49.0,5.3,14.7,9.3,1.0
2013/1,1025.9,0.0,0.9,4.2,-2.1,70.0,59.0,4.0,11.0,2.2,0.0
2013/2,1021.0,0.0,1.9,3.9,0.1,78.0,65.0,3.4,10.5,1.6,0.0
2013/2,1002.8,3.5,0.7,5.3,-4.6,77.0,50.0,8.5,20.7,2.7,0.0
2013/2,1009.5,1.5,-4.6,-2.1,-6.4,68.0,57.0,11.0,23.0,2.1,0.0
2013/2,1004.4,5.0,-1.7,0.6,-3.5,70.0,54.0,5.3,21.2,4.3,12.0
2013/2,1009.9,1.5,-5.0,-3.5,-6.7,67.0,55.0,8.0,22.3,1.2,0.0
2013/2,1010.3,0.0,-3.3,-0.7,-5.5,64.0,53.0,2.9,7.1,0.6,0.0
2013/2,998.4,8.5,-1.3,1.0,-5.0,81.0,60.0,6.4,22.3,0.0,9.0
2013/2,993.1,3.0,-1.9,0.7,-3.8,80.0,63.0,7.7,23.3,4.4,2.0
2013/2,1009.2,0.5,-3.6,-1.9,-4.4,68.0,53.0,7.6,19.0,5.2,0.0
2013/2,1008.5,0.0,-3.6,-1.2,-6.3,66.0,54.0,3.0,9.0,5.1,0.0
