年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,997.7,1.0,-0.8,3.2,-3.6,84.0,59.0,1.4,6.4,5.0,0.0
2013/1,995.6,8.0,1.1,3.6,-4.1,87.0,67.0,2.9,10.4,0.2,5.0
2013/1,998.9,2.5,-3.3,0.0,-5.1,83.0,60.0,1.8,8.5,0.7,6.0
2013/1,1000.7,1.0,-4.1,-2.6,-6.4,83.0,71.0,1.4,9.9,0.9,3.0
2013/1,1001.7,0.0,-2.0,2.4,-5.7,74.0,53.0,2.1,7.0,5.1,0.0
2013/1,998.3,0.0,-1.4,1.9,-5.5,77.0,57.0,1.7,8.3,1.2,1.0
2013/1,1000.6,0.0,-1.0,3.1,-3.5,74.0,53.0,1.7,7.9,5.9,0.0
2013/1,999.6,1.5,-1.5,2.2,-3.5,85.0,65.0,1.0,4.0,2.4,4.0
2013/1,995.9,4.0,-2.9,-1.2,-4.3,88.0,80.0,1.1,4.8,1.1,10.0
2013/1,998.4,0.0,-3.1,-0.8,-6.0,82.0,68.0,1.7,5.8,0.6,1.0
2013/1,1006.4,0.0,-2.9,1.3,-6.4,75.0,50.0,1.8,7.9,6.1,1.0
2013/1,1003.0,1.0,-1.1,5.3,-8.2,80.0,52.0,2.1,9.1,4.9,0.0
2013/1,1003.1,5.0,1.8,3.3,-0.3,87.0,76.0,1.7,8.0,0.0,0.0
2013/1,992.5,23.5,-0.7,0.2,-1.5,94.0,89.0,0.9,3.7,0.0,30.0
2013/1,996.9,4.0,-1.8,0.8,-4.8,81.0,63.0,1.8,8.0,2.4,8.0
2013/1,999.4,0.0,-1.4,3.6,-6.1,81.0,55.0,1.2,7.0,6.0,1.0
2013/1,996.4,0.5,-2.4,0.2,-6.8,85.0,69.0,1.6,6.9,1.1,2.0
2013/1,996.6,3.5,-4.4,-1.0,-7.6,84.0,61.0,1.8,8.6,2.4,9.0
2013/1,1000.7,0.5,-1.2,2.8,-6.1,83.0,58.0,1.5,4.8,3.5,4.0
2013/1,1007.0,0.0,0.2,3.7,-3.5,77.0,55.0,1.8,8.9,5.3,1.0
2013/1,1008.4,0.0,0.5,4.5,-3.3,72.0,45.0,1.2,4.8,4.8,1.0
2013/1,996.0,4.0,-0.1,1.0,-1.7,92.0,83.0,0.7,2.8,0.0,2.0
2013/1,998.5,0.0,-1.1,2.8,-4.2,86.0,52.0,1.0,3.4,4.4,0.0
2013/1,992.1,3.5,0.9,5.0,-3.4,78.0,55.0,1.1,4.3,7.8,0.0
2013/1,983.3,3.5,-0.7,3.0,-4.3,88.0,68.0,2.4,11.4,0.2,10.0
2013/1,982.6,8.5,-3.4,-1.4,-4.7,86.0,70.0,2.5,8.9,0.0,15.0
2013/1,993.0,0.0,-0.1,4.0,-2.7,68.0,42.0,2.6,13.2,5.2,0.0
2013/1,996.9,0.0,-1.2,4.5,-5.8,80.0,49.0,1.6,9.0,7.6,1.0
2013/1,1002.7,1.0,0.5,3.8,-1.9,73.0,46.0,1.6,7.0,4.5,3.0
2013/1,1007.2,0.0,0.6,2.8,-1.7,67.0,42.0,2.6,9.8,6.3,2.0
2013/1,1015.1,0.0,-0.5,5.0,-4.4,73.0,45.0,1.3,4.9,8.1,0.0
2013/2,1010.9,0.0,-0.3,5.7,-5.9,76.0,47.0,1.0,3.1,8.8,0.0
2013/2,996.0,2.0,3.9,8.3,0.1,79.0,50.0,1.8,10.7,0.5,0.0
2013/2,1004.3,0.0,-0.5,3.1,-3.0,66.0,39.0,2.6,11.5,5.6,1.0
2013/2,995.0,5.0,-0.8,3.1,-3.2,83.0,70.0,1.1,10.0,0.3,5.0
2013/2,1002.0,0.0,0.6,3.3,-1.6,62.0,36.0,2.4,11.6,7.4,2.0
2013/2,996.7,5.5,-1.3,-0.4,-2.3,86.0,70.0,0.7,2.9,0.0,9.0
2013/2,988.7,0.5,0.9,5.7,-3.7,83.0,69.0,2.3,9.6,3.1,2.0
2013/2,992.4,9.0,-2.8,0.1,-6.0,84.0,64.0,2.3,10.6,0.0,19.0
2013/2,1001.1,0.5,-1.8,1.5,-4.5,69.0,50.0,2.9,8.7,4.8,0.0
2013/2,998.4,5.0,-3.1,-0.2,-7.3,86.0,74.0,1.4,4.3,1.8,10.0
2013/2,1002.0,0.5,-3.0,-1.8,-5.8,83.0,68.0,1.6,8.7,1.2,2.0
2013/2,1006.0,0.0,-1.0,2.0,-4.8,66.0,44.0,2.0,7.4,4.7,0.0
2013/2,997.1,2.5,0.5,4.9,-2.2,78.0,51.0,1.5,9.6,4.7,2.0
2013/2,1003.4,0.0,1.6,6.0,-1.3,77.0,48.0,1.4,7.4,2.8,1.0
2013/2,994.1,1.0,1.3,3.5,-1.3,83.0,64.0,1.9,8.2,0.0,1.0
2013/2,997.2,3.0,-3.5,-0.2,-5.5,80.0,63.0,2.2,8.2,0.9,8.0
2013/2,1004.1,0.0,-2.8,0.9,-7.3,67.0,47.0,1.8,6.2,4.6,0.0
2013/2,993.6,2.5,-1.2,1.6,-4.1,86.0,74.0,1.1,6.8,0.0,0.0
2013/2,994.6,0.0,-0.3,2.5,-3.3,65.0,51.0,2.4,8.4,2.5,0.0
2013/2,997.2,0.0,-3.3,0.8,-5.7,77.0,60.0,1.7,9.1,2.5,2.0
2013/2,1001.2,4.0,-4.0,-1.0,-5.7,78.0,54.0,1.5,9.9,2.5,10.0
2013/2,998.8,6.0,-1.3,3.0,-6.5,73.0,44.0,1.6,13.1,5.6,10.0
2013/2,998.2,4.5,-2.2,1.2,-5.5,75.0,50.0,2.3,13.6,5.7,7.0
2013/2,997.1,19.5,-4.6,-1.9,-6.8,86.0,63.0,2.4,9.6,0.3,31.0
2013/2,1005.4,1.0,-4.4,-0.1,-8.6,80.0,55.0,2.1,8.2,5.6,2.0
2013/2,1005.7,0.0,-1.7,2.9,-5.6,66.0,43.0,2.2,7.7,5.8,0.0
2013/2,996.5,0.0,-2.3,4.8,-7.9,80.0,52.0,1.0,4.0,3.6,0.0
2013/2,1000.0,0.0,2.6,9.0,-2.6,69.0,34.0,1.9,8.6,9.8,0.0
2013/3,991.0,7.0,2.2,6.7,-1.4,80.0,56.0,0.0,10.7,0.2,0.0
2013/3,988.8,3.0,0.2,3.8,-1.7,79.0,50.0,2.7,10.7,1.3,7.0
2013/3,997.9,0.5,0.2,3.7,-3.7,71.0,52.0,2.2,7.6,4.6,1.0
2013/3,999.2,0.0,0.4,5.2,-4.6,66.0,43.0,1.4,4.9,6.2,0.0
2013/3,1000.3,0.0,1.1,6.5,-4.8,66.0,38.0,2.0,9.8,6.7,0.0
2013/3,999.4,0.0,4.7,11.4,-2.7,61.0,41.0,2.5,13.5,9.3,0.0
2013/3,996.3,0.0,5.2,15.3,-1.9,62.0,28.0,1.5,7.8,6.7,0.0
2013/3,985.9,4.5,9.7,13.7,3.2,67.0,48.0,3.6,13.5,0.8,0.0
2013/3,991.9,0.0,4.4,8.9,-0.1,54.0,37.0,2.4,16.8,6.7,0.0
2013/3,987.9,1.0,1.9,16.8,-3.2,68.0,42.0,3.2,19.2,3.2,2.0
2013/3,1002.4,3.5,-1.5,1.7,-4.6,66.0,47.0,3.0,12.5,3.5,8.0
2013/3,1000.9,0.0,2.0,14.0,-6.3,56.0,13.0,1.3,7.8,10.7,0.0
2013/3,989.6,0.5,2.7,5.8,-1.1,73.0,55.0,1.3,5.5,1.4,0.0
2013/3,1002.9,0.0,1.1,4.0,-1.1,58.0,36.0,3.1,12.4,8.8,0.0
2013/3,1005.4,0.0,2.2,10.4,-4.2,57.0,24.0,1.6,5.0,11.0,0.0
2013/3,998.6,0.0,3.4,13.4,-3.5,67.0,25.0,2.5,14.7,7.0,0.0
2013/3,1000.9,0.0,5.6,14.5,-2.3,50.0,17.0,2.2,10.6,10.6,0.0
2013/3,988.3,0.0,6.5,11.4,2.8,70.0,47.0,1.0,4.7,0.0,0.0
2013/3,992.2,0.0,7.7,14.7,3.5,81.0,52.0,0.0,12.1,4.0,0.0
2013/3,986.0,1.0,8.6,16.8,1.8,71.0,46.0,1.6,13.4,3.1,0.0
2013/3,992.9,0.0,1.3,4.7,-1.3,60.0,38.0,3.4,12.0,5.3,1.0
2013/3,992.0,0.0,5.3,16.1,-3.6,56.0,19.0,1.7,10.4,10.0,0.0
2013/3,994.5,0.0,4.1,9.9,-0.4,57.0,28.0,2.5,11.0,6.4,0.0
2013/3,993.3,0.0,4.1,12.1,-2.1,62.0,40.0,1.4,6.3,10.8,0.0
2013/3,990.3,0.0,4.0,9.3,1.3,73.0,50.0,1.7,7.7,1.1,0.0
2013/3,1001.5,0.0,2.3,6.5,-0.5,59.0,30.0,2.3,10.5,2.9,1.0
2013/3,1003.2,0.0,5.6,14.1,-3.5,61.0,34.0,1.5,8.2,8.9,0.0
2013/3,995.9,0.0,10.0,20.2,2.7,70.0,41.0,1.5,7.5,5.8,0.0
2013/3,995.8,0.0,6.1,7.9,3.3,76.0,54.0,1.4,6.0,0.0,0.0
2013/3,1003.5,0.0,4.0,9.7,0.0,48.0,27.0,2.3,10.8,7.0,0.0
2013/3,1002.4,6.0,0.8,2.1,-0.5,83.0,61.0,0.7,3.9,0.0,1.0
2013/4,1006.1,0.0,5.0,11.6,-0.3,59.0,25.0,1.7,7.9,10.8,0.0
