年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1018.9,0.0,3.7,7.8,1.3,53.0,36.0,1.9,7.2,5.9,0.0
2013/1,1020.0,0.0,5.0,10.1,-0.3,63.0,40.0,2.1,11.1,4.9,0.0
2013/1,1020.7,0.5,1.5,4.4,-1.4,75.0,45.0,3.2,12.6,0.7,2.0
2013/1,1021.9,0.0,1.3,4.7,-2.0,56.0,35.0,3.6,12.2,8.5,0.0
2013/1,1020.1,0.0,0.7,5.9,-3.9,65.0,41.0,1.7,5.5,9.2,0.0
2013/1,1017.1,0.0,3.1,8.8,-2.2,68.0,43.0,2.6,9.2,6.0,0.0
2013/1,1017.4,0.0,4.4,10.0,-1.1,67.0,47.0,2.2,9.1,9.2,0.0
2013/1,1015.4,0.0,5.7,11.3,1.5,64.0,37.0,2.7,12.1,7.1,0.0
2013/1,1013.4,0.0,4.2,9.3,0.9,74.0,53.0,2.2,10.9,3.9,0.0
2013/1,1016.8,0.0,4.0,8.6,0.8,65.0,32.0,2.6,10.8,6.0,0.0
2013/1,1024.5,0.0,3.5,8.1,-0.1,54.0,31.0,3.3,10.9,9.6,0.0
2013/1,1023.2,0.0,3.7,9.5,-1.9,58.0,34.0,1.4,5.2,8.2,0.0
2013/1,1019.8,0.0,6.2,11.9,-0.4,66.0,47.0,1.7,7.5,6.0,0.0
2013/1,1005.0,31.5,6.2,8.4,4.0,72.0,39.0,3.0,13.0,0.4,0.0
2013/1,1016.7,0.0,4.5,7.1,1.9,56.0,36.0,4.0,12.8,6.6,0.0
2013/1,1017.9,0.0,4.0,8.9,-1.2,59.0,40.0,2.1,9.9,9.2,0.0
2013/1,1014.8,0.0,4.3,8.0,1.2,60.0,33.0,3.5,12.6,7.2,0.0
2013/1,1019.7,0.0,1.9,5.2,-0.6,56.0,32.0,4.0,16.1,8.0,0.0
2013/1,1022.0,0.0,2.5,7.3,-1.7,72.0,50.0,1.5,6.8,3.2,0.0
