年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1014.6,0.0,3.3,7.2,-1.2,74.0,50.0,3.2,10.3,5.9,0.0
2013/1,1017.6,0.0,4.9,11.7,1.5,72.0,43.0,4.0,14.4,4.6,0.0
2013/1,1021.4,0.0,1.5,4.9,-0.3,64.0,45.0,3.2,13.5,6.2,0.0
2013/1,1020.3,0.0,0.9,4.5,-2.2,75.0,61.0,2.6,6.0,1.3,0.0
2013/1,1016.0,0.0,3.1,7.6,-0.7,68.0,42.0,3.2,7.3,6.3,0.0
2013/1,1014.7,0.0,4.9,9.9,1.2,64.0,40.0,3.7,7.3,7.3,0.0
2013/1,1014.2,0.0,4.4,10.3,0.1,68.0,43.0,3.3,7.6,4.8,0.0
2013/1,1013.1,0.0,5.4,11.4,0.7,67.0,38.0,4.3,8.5,6.7,0.0
2013/1,1012.6,0.0,5.2,10.2,2.4,55.0,28.0,3.3,10.4,8.7,0.0
2013/1,1017.3,0.0,3.9,8.3,1.2,55.0,34.0,2.4,13.0,5.0,0.0
2013/1,1021.3,0.0,3.9,9.8,-0.5,59.0,33.0,2.5,7.0,9.6,0.0
2013/1,1018.6,0.0,5.5,11.7,1.0,66.0,45.0,3.5,7.9,8.6,0.0
2013/1,1015.7,8.0,5.1,8.5,1.8,77.0,63.0,4.8,10.3,0.0,0.0
2013/1,1006.0,17.0,6.6,12.1,2.2,71.0,45.0,5.9,16.5,3.1,0.0
2013/1,1016.8,0.0,4.8,7.3,0.7,51.0,41.0,5.5,18.0,4.0,0.0
2013/1,1015.1,0.0,3.6,8.3,-0.8,72.0,56.0,3.0,7.4,5.3,0.0
2013/1,1013.7,0.5,3.8,9.2,0.9,72.0,35.0,5.4,17.5,2.9,0.0
2013/1,1020.1,0.0,2.7,7.1,0.1,65.0,49.0,2.3,9.3,3.7,0.0
2013/1,1020.3,0.0,3.6,10.9,-1.0,66.0,33.0,3.0,13.5,6.1,0.0
2013/1,1024.6,0.0,5.6,10.4,2.1,61.0,41.0,2.9,7.4,5.3,0.0
2013/1,1018.8,9.5,4.5,6.8,1.6,78.0,58.0,3.0,8.2,0.2,0.0
2013/1,1009.5,6.0,7.4,12.1,4.9,82.0,60.0,3.7,15.5,2.2,0.0
2013/1,1010.7,0.0,6.5,11.0,3.2,65.0,39.0,2.9,8.5,4.2,0.0
2013/1,1007.5,0.0,7.0,11.7,2.0,67.0,42.0,4.1,14.1,5.2,0.0
2013/1,1008.2,0.0,4.9,8.7,2.6,39.0,20.0,5.8,18.1,8.2,0.0
2013/1,1009.8,0.0,3.0,6.9,0.3,51.0,33.0,4.1,13.1,6.7,0.0
2013/1,1013.3,0.0,1.1,6.2,-2.1,66.0,33.0,3.2,14.0,6.8,0.0
2013/1,1017.7,2.5,2.0,7.3,-1.2,79.0,51.0,2.1,8.0,4.2,6.0
2013/1,1020.6,0.0,3.8,10.1,-1.3,72.0,46.0,3.4,8.1,8.5,0.0
2013/1,1023.0,0.0,6.5,13.0,2.1,67.0,40.0,4.0,8.6,4.2,0.0
2013/1,1026.0,0.0,6.6,12.4,2.0,65.0,42.0,4.1,9.5,9.1,0.0
2013/2,1020.1,16.0,6.1,8.8,3.0,81.0,59.0,2.6,9.3,0.2,0.0
2013/2,1013.8,0.5,11.8,19.0,7.8,67.0,20.0,2.7,10.1,7.1,0.0
2013/2,1017.4,0.0,8.6,13.6,3.4,60.0,39.0,3.1,9.5,8.9,0.0
2013/2,1009.7,10.5,8.8,11.4,6.6,85.0,60.0,2.8,13.2,0.0,0.0
2013/2,1013.6,9.0,7.5,10.0,4.8,65.0,47.0,3.5,9.5,0.8,0.0
2013/2,1007.1,3.0,7.6,11.6,4.0,81.0,61.0,2.0,6.6,3.0,0.0
2013/2,0.0,0.0,7.2,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
2013/2,1017.1,0.0,1.0,4.1,-1.1,60.0,39.0,3.9,11.8,4.4,0.0
2013/2,1017.9,0.0,3.3,7.8,0.0,56.0,37.0,2.6,7.8,8.1,0.0
2013/2,1016.3,0.0,4.7,11.2,0.2,59.0,29.0,3.1,12.1,8.0,0.0
2013/2,1019.8,0.0,5.0,10.3,1.8,53.0,30.0,4.4,11.9,8.9,0.0
