年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1009.6,0.0,3.2,8.0,-0.5,55.0,39.0,3.0,7.4,7.9,0.0
2013/1,1011.0,0.0,6.0,10.4,2.9,65.0,51.0,4.8,14.7,4.6,0.0
2013/1,1012.2,8.0,2.0,4.9,-0.2,68.0,46.0,6.7,16.4,4.6,10.0
2013/1,1013.3,5.0,0.3,2.2,-3.0,76.0,60.0,4.8,13.1,4.2,8.0
2013/1,1011.0,0.0,-0.3,3.7,-3.7,80.0,61.0,1.8,4.7,7.7,0.0
2013/1,1008.7,0.0,1.5,4.6,-2.9,82.0,66.0,2.1,7.4,0.9,0.0
2013/1,1008.5,0.0,3.8,7.2,1.6,82.0,67.0,1.9,6.6,4.1,0.0
2013/1,1007.4,0.0,3.9,7.8,-0.2,82.0,66.0,2.1,6.5,1.7,0.0
2013/1,1005.1,0.0,3.6,8.0,0.5,78.0,56.0,4.3,12.8,5.2,0.0
2013/1,1008.6,3.5,3.0,6.1,1.4,73.0,54.0,3.9,10.4,2.1,0.0
2013/1,1016.0,1.0,3.1,6.5,0.2,67.0,49.0,3.3,10.3,3.8,0.0
2013/1,1014.1,0.0,2.3,6.2,-1.2,76.0,54.0,1.7,4.9,6.0,0.0
2013/1,1011.4,0.0,3.9,7.3,-1.1,83.0,70.0,1.5,4.5,3.5,0.0
2013/1,997.1,27.0,5.4,7.1,2.9,81.0,61.0,5.6,18.0,0.0,0.0
2013/1,1008.8,5.5,3.5,5.4,2.4,76.0,60.0,7.1,20.6,3.2,0.0
2013/1,1008.9,0.0,4.6,7.3,2.2,62.0,48.0,2.8,8.1,6.9,0.0
2013/1,1006.5,2.0,3.6,5.8,0.4,71.0,52.0,5.6,16.3,5.9,0.0
2013/1,1011.5,10.5,0.6,2.1,-1.0,87.0,74.0,5.9,17.7,0.9,12.0
2013/1,1013.2,0.5,2.9,6.5,-1.2,74.0,58.0,3.6,11.6,4.4,0.0
2013/1,1018.6,0.5,4.7,6.3,1.8,70.0,56.0,4.8,13.3,0.6,0.0
2013/1,1015.7,11.5,3.6,7.3,-0.8,77.0,59.0,2.1,8.3,2.8,0.0
2013/1,1002.6,14.0,6.0,9.0,3.6,86.0,66.0,3.6,12.7,0.0,0.0
2013/1,1004.7,0.0,5.8,8.6,3.0,66.0,42.0,3.1,10.2,4.5,0.0
2013/1,1001.5,0.0,6.3,10.9,2.2,71.0,48.0,2.9,10.7,5.1,0.0
2013/1,998.7,0.0,3.8,7.0,0.4,57.0,43.0,7.5,18.6,6.8,0.0
2013/1,1000.1,4.0,0.9,4.2,-0.9,64.0,45.0,7.7,18.4,4.4,8.0
2013/1,1005.5,3.5,0.5,2.7,-1.4,84.0,67.0,3.2,14.9,1.1,4.0
2013/1,1009.2,15.0,1.5,3.7,-1.6,82.0,65.0,5.2,12.7,1.5,16.0
2013/1,1014.5,0.0,3.6,6.4,1.5,81.0,64.0,2.6,8.4,1.6,0.0
2013/1,1017.1,0.0,6.0,8.8,3.1,73.0,62.0,4.3,9.8,4.4,0.0
2013/1,1022.0,0.0,3.9,9.0,0.0,72.0,43.0,1.6,7.9,9.2,0.0
2013/2,0.0,0.5,0.0,10.4,-0.9,0.0,0.0,0.0,0.0,0.0,0.0
2013/2,1008.3,0.5,8.6,10.8,7.4,88.0,75.0,2.0,9.7,0.1,0.0
2013/2,1013.3,0.0,6.5,8.8,5.1,59.0,45.0,4.1,11.0,8.0,0.0
2013/2,1005.1,9.0,5.6,8.4,3.5,85.0,60.0,2.0,10.9,0.0,0.0
2013/2,1009.6,0.0,5.4,7.4,4.2,62.0,47.0,4.7,14.1,5.5,0.0
2013/2,1001.5,12.5,4.4,8.2,2.1,86.0,68.0,2.8,10.0,2.1,0.0
2013/2,1001.6,0.0,4.2,10.5,0.8,81.0,58.0,3.9,14.4,2.7,0.0
2013/2,1008.2,7.5,-0.3,1.7,-2.1,82.0,52.0,6.9,17.3,1.7,15.0
2013/2,1012.1,0.5,0.7,3.6,-1.1,78.0,62.0,3.3,11.0,3.3,1.0
2013/2,1009.7,0.0,2.9,6.4,-2.3,69.0,51.0,2.8,10.2,6.5,0.0
2013/2,1013.3,3.5,2.5,5.2,1.1,79.0,56.0,5.4,12.4,1.3,0.0
2013/2,1012.9,8.5,2.5,5.3,0.1,65.0,47.0,2.3,8.9,2.5,0.0
2013/2,1009.4,4.5,3.8,6.4,0.7,80.0,55.0,4.9,18.0,2.0,0.0
2013/2,1012.2,0.0,4.7,9.0,1.8,77.0,49.0,1.6,5.6,6.1,0.0
