年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1016.5,14.5,0.8,2.5,-0.5,92.0,64.0,2.2,10.2,0.0,13.0
2013/1,1015.8,18.5,3.8,6.6,0.1,82.0,57.0,6.7,22.3,0.0,0.0
2013/1,1020.1,0.0,-0.4,1.3,-2.3,71.0,53.0,6.6,16.3,0.4,0.0
2013/1,1022.6,0.0,-0.6,0.9,-3.2,67.0,47.0,5.0,16.1,2.7,3.0
2013/1,1020.9,0.0,0.2,2.5,-2.1,77.0,54.0,2.6,6.6,1.3,0.0
2013/1,1018.9,7.0,2.1,5.0,-1.7,73.0,53.0,3.7,12.4,0.0,3.0
2013/1,1020.1,1.0,0.4,2.3,-1.2,88.0,55.0,2.0,7.4,0.1,1.0
2013/1,1018.3,11.0,0.6,2.3,-0.1,94.0,76.0,1.3,6.9,0.0,4.0
2013/1,1014.2,6.0,1.0,3.3,-0.7,85.0,68.0,2.8,11.0,1.3,6.0
2013/1,1019.1,2.0,0.2,0.9,-1.1,75.0,58.0,5.1,14.0,0.0,1.0
2013/1,1026.9,0.0,0.3,2.4,-1.1,71.0,50.0,3.7,14.3,3.9,0.0
2013/1,1021.7,11.5,1.8,8.0,-3.4,82.0,63.0,3.3,14.1,2.7,0.0
2013/1,1022.4,9.5,4.5,7.4,2.1,86.0,66.0,2.9,17.5,0.0,0.0
2013/1,1010.2,16.0,2.6,4.9,1.5,89.0,58.0,2.3,13.9,0.0,0.0
2013/1,1018.2,1.0,1.9,5.1,-0.2,71.0,49.0,5.3,19.5,3.2,0.0
2013/1,1018.5,1.0,1.8,3.7,0.3,80.0,51.0,2.7,8.4,0.6,1.0
2013/1,1016.6,9.5,1.2,3.1,-1.6,73.0,51.0,4.1,14.0,0.2,8.0
2013/1,1017.9,1.5,-0.4,1.0,-2.2,77.0,52.0,6.3,17.8,3.5,4.0
