年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1017.5,0.0,5.1,9.8,-0.2,69.0,54.0,2.2,8.6,2.3,0.0
2013/1,1020.3,0.5,8.0,12.5,3.7,62.0,34.0,2.6,12.5,1.6,0.0
2013/1,1023.8,0.0,3.4,5.9,0.3,52.0,37.0,3.4,10.3,5.6,0.0
2013/1,1022.4,0.0,1.8,6.4,-1.5,62.0,38.0,2.4,8.2,7.0,0.0
2013/1,1018.4,0.0,3.2,8.3,-1.6,64.0,42.0,1.9,5.0,5.7,0.0
2013/1,1016.9,0.0,5.1,9.3,1.9,63.0,42.0,2.0,7.2,3.7,0.0
2013/1,1016.5,0.0,4.7,10.6,0.2,66.0,42.0,2.3,6.3,9.3,0.0
2013/1,1015.2,0.0,6.2,11.4,3.0,63.0,37.0,2.3,7.6,5.7,0.0
2013/1,0.0,0.0,0.0,9.6,2.4,0.0,35.0,0.0,10.3,0.0,0.0
2013/1,1019.7,0.0,3.7,7.5,1.0,56.0,41.0,1.8,7.4,5.4,0.0
2013/1,1023.7,0.0,3.4,9.0,-0.8,59.0,40.0,2.3,8.4,9.4,0.0
2013/1,1021.2,0.0,5.2,11.2,0.6,63.0,47.0,1.8,6.9,5.2,0.0
2013/1,1017.2,19.0,5.6,9.1,2.3,74.0,51.0,1.5,5.6,0.0,0.0
2013/1,1007.3,16.5,6.6,10.8,3.3,75.0,47.0,2.5,14.9,2.4,0.0
2013/1,1018.8,0.0,5.0,8.3,0.5,52.0,38.0,3.6,11.9,6.1,0.0
2013/1,1017.6,0.0,4.8,9.3,-0.9,65.0,44.0,1.7,6.9,5.1,0.0
2013/1,1015.6,0.0,5.3,9.3,1.6,65.0,39.0,2.7,11.7,2.9,0.0
2013/1,1022.7,0.0,2.5,7.0,-1.2,59.0,40.0,2.4,9.1,9.0,0.0
2013/1,1023.1,0.0,4.5,9.7,0.4,66.0,40.0,2.5,10.2,3.0,0.0
2013/1,1026.5,0.0,4.8,10.8,-0.1,62.0,39.0,1.8,6.6,5.8,0.0
2013/1,1020.3,2.5,6.1,10.3,1.5,75.0,53.0,1.5,5.6,0.6,0.0
2013/1,1011.3,7.5,8.7,12.7,4.6,84.0,66.0,2.4,10.4,0.7,0.0
2013/1,1012.8,0.0,5.8,10.6,2.6,70.0,44.0,2.0,8.6,4.7,0.0
2013/1,1010.8,0.5,7.0,10.9,1.8,70.0,52.0,2.8,10.6,2.2,0.0
2013/1,1011.3,1.5,5.3,9.0,2.7,49.0,33.0,4.3,14.8,5.1,0.0
2013/1,1012.7,0.0,3.8,7.4,-0.2,44.0,31.0,3.7,13.0,3.4,0.0
2013/1,1016.2,0.0,1.8,6.0,-2.3,58.0,36.0,2.9,14.3,5.3,0.0
2013/1,1020.4,0.0,2.9,7.1,-0.4,59.0,41.0,2.1,7.7,5.5,0.0
2013/1,1023.0,0.0,4.7,11.2,-0.4,63.0,41.0,1.9,5.1,8.4,0.0
2013/1,1025.2,0.0,6.8,13.0,2.0,63.0,40.0,2.4,8.0,8.8,0.0
2013/1,1028.0,0.0,7.1,12.9,1.7,66.0,43.0,1.8,5.3,9.4,0.0
2013/2,1022.0,15.5,8.2,12.3,3.7,83.0,65.0,1.5,5.5,0.4,0.0
2013/2,1016.7,1.0,12.0,16.1,7.0,85.0,59.0,2.4,9.9,4.5,0.0
2013/2,1019.8,0.0,8.3,13.0,3.2,66.0,46.0,1.9,6.8,9.2,0.0
2013/2,1011.7,11.0,10.4,13.4,8.0,87.0,67.0,1.8,11.5,0.0,0.0
2013/2,1014.8,10.5,8.4,10.8,6.0,68.0,51.0,1.6,7.1,1.2,0.0
2013/2,1009.5,2.0,8.0,11.8,5.4,85.0,66.0,1.5,7.6,0.5,0.0
2013/2,1012.0,0.0,7.7,10.5,3.5,57.0,40.0,4.0,12.4,5.4,0.0
2013/2,1019.2,0.0,1.7,4.7,-0.9,51.0,34.0,3.5,13.9,4.7,1.0
