年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1016.7,5.0,3.6,7.2,0.0,76.0,39.0,3.5,13.5,7.5,2.0
2013/1,1020.3,2.0,3.9,8.1,1.4,71.0,51.0,7.3,22.9,0.0,0.0
2013/1,1024.4,6.0,0.8,3.2,-0.6,69.0,50.0,7.0,16.4,0.6,5.0
2013/1,1024.2,7.0,0.2,2.0,-0.8,93.0,78.0,1.4,8.2,0.6,4.0
2013/1,1019.1,0.0,1.1,5.4,-1.7,89.0,58.0,1.2,6.6,1.2,0.0
2013/1,1018.5,0.0,3.0,7.0,-0.9,83.0,55.0,1.3,4.6,0.4,0.0
2013/1,1017.5,0.0,4.2,9.8,0.1,79.0,57.0,1.7,7.8,4.2,0.0
2013/1,1017.3,0.0,3.3,8.0,-0.1,88.0,67.0,1.5,4.8,1.8,0.0
2013/1,1015.9,0.0,4.8,8.8,3.0,60.0,46.0,5.8,13.9,2.8,0.0
2013/1,1020.5,2.5,3.3,5.6,1.4,64.0,49.0,5.7,13.6,0.5,0.0
2013/1,1025.0,0.0,3.3,8.4,0.0,74.0,44.0,1.6,5.7,6.5,0.0
2013/1,1021.2,0.0,4.5,11.0,-1.0,79.0,51.0,1.9,10.0,3.3,0.0
2013/1,1019.5,4.5,5.3,10.0,0.8,86.0,63.0,1.4,4.0,0.3,0.0
2013/1,1010.6,14.5,5.8,8.6,4.1,84.0,49.0,4.3,19.1,0.0,0.0
2013/1,1021.4,0.0,3.3,5.3,0.9,61.0,46.0,3.7,13.3,1.8,0.0
2013/1,1017.6,0.0,3.4,7.0,-1.2,73.0,56.0,3.1,11.5,1.1,0.0
2013/1,1019.0,15.5,1.8,6.0,-0.3,85.0,64.0,2.9,11.1,0.0,6.0
2013/1,1023.6,1.5,1.8,5.5,-1.3,71.0,47.0,2.7,11.8,3.8,0.0
2013/1,1022.9,0.5,4.1,8.6,-0.5,73.0,53.0,4.3,14.3,1.4,0.0
2013/1,1029.0,0.0,4.9,8.2,2.1,67.0,48.0,1.9,7.6,0.6,0.0
2013/1,1021.4,11.5,3.4,6.4,-0.3,86.0,57.0,2.0,7.8,0.0,0.0
2013/1,1013.7,15.5,7.1,8.4,5.6,86.0,67.0,2.4,8.8,0.0,0.0
2013/1,1014.9,0.0,5.3,7.7,3.1,77.0,62.0,1.8,7.6,0.1,0.0
2013/1,1009.5,4.0,5.5,10.8,1.4,85.0,59.0,3.8,20.3,2.6,0.0
2013/1,1010.5,0.5,2.3,7.3,-0.9,55.0,35.0,11.9,24.0,3.3,0.0
