年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1012.5,0.0,4.0,10.2,-1.7,53.0,24.0,2.1,9.9,9.0,0.0
2013/1,1011.6,0.0,5.8,13.4,-2.5,59.0,29.0,2.4,10.1,9.0,0.0
2013/1,1013.2,0.0,2.0,5.7,-2.5,48.0,29.0,2.5,12.4,7.0,0.0
2013/1,1016.0,0.0,-0.5,5.1,-5.5,53.0,23.0,1.5,8.5,9.3,0.0
2013/1,1017.2,0.0,-0.3,4.9,-6.5,63.0,34.0,1.3,4.2,5.2,0.0
2013/1,1012.3,0.0,2.0,9.9,-4.6,61.0,36.0,1.4,6.2,8.2,0.0
2013/1,1014.7,0.0,2.6,8.4,-3.5,56.0,29.0,1.5,5.0,7.3,0.0
2013/1,1012.4,0.0,3.7,9.6,-0.6,73.0,56.0,2.2,8.6,8.7,0.0
2013/1,1008.8,0.0,3.9,8.5,0.1,77.0,67.0,2.3,7.1,3.0,0.0
2013/1,1012.5,0.0,2.3,8.1,-2.6,50.0,25.0,2.2,7.6,9.2,0.0
2013/1,1020.6,0.0,0.6,7.6,-5.6,56.0,26.0,1.4,5.6,9.4,0.0
2013/1,1018.3,0.0,2.4,9.0,-2.9,68.0,50.0,1.4,4.9,6.2,0.0
2013/1,1017.1,0.0,4.6,13.6,-3.4,63.0,25.0,1.4,5.2,8.8,0.0
2013/1,1002.7,28.5,3.1,6.9,0.7,88.0,75.0,4.9,13.5,0.0,1.0
2013/1,1010.8,0.0,2.4,6.3,-1.1,62.0,36.0,1.9,7.1,8.8,0.0
2013/1,1014.6,0.0,1.4,6.7,-2.3,71.0,45.0,1.4,4.5,5.8,0.0
2013/1,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,0.0,0.0,0.0
2013/1,1012.1,0.0,0.8,5.4,-4.1,48.0,25.0,2.2,13.1,9.4,0.0
2013/1,1016.0,0.0,1.8,9.3,-5.5,59.0,27.0,1.9,7.2,9.4,0.0
2013/1,1021.0,0.0,3.2,9.7,-3.2,53.0,26.0,2.1,11.2,9.0,0.0
2013/1,1023.5,0.0,3.7,8.8,-0.1,55.0,31.0,1.3,7.0,6.3,0.0
2013/1,1007.9,13.0,4.3,8.2,1.5,85.0,63.0,2.6,15.7,2.4,0.0
2013/1,1012.3,0.0,4.5,8.9,-0.1,63.0,38.0,3.3,10.8,6.1,0.0
2013/1,1007.2,2.5,4.6,9.2,0.9,84.0,62.0,1.6,5.9,3.5,0.0
2013/1,998.2,0.0,3.2,10.7,-1.6,64.0,27.0,2.3,10.5,8.0,0.0
2013/1,999.2,0.0,2.2,7.3,-1.6,36.0,20.0,3.4,13.4,8.7,0.0
2013/1,1008.2,0.0,2.4,8.0,-1.4,49.0,29.0,2.6,11.4,9.6,0.0
2013/1,1010.4,0.0,3.1,9.3,-1.5,52.0,23.0,2.1,9.4,5.1,0.0
2013/1,1017.2,0.0,2.7,10.6,-4.6,58.0,23.0,1.3,6.8,9.7,0.0
2013/1,1020.0,0.0,2.6,11.4,-3.6,61.0,31.0,2.5,10.8,9.3,0.0
2013/1,1029.7,0.0,2.4,9.0,-4.0,57.0,31.0,1.6,6.6,9.9,0.0
2013/2,1027.1,0.0,5.0,12.2,-3.7,72.0,42.0,1.6,8.2,8.3,0.0
2013/2,1010.4,0.0,10.5,17.8,6.5,79.0,61.0,2.0,10.1,1.0,0.0
2013/2,1016.7,0.0,6.4,12.3,2.2,47.0,21.0,2.1,7.9,9.8,0.0
2013/2,1008.5,1.5,6.2,9.7,2.0,84.0,63.0,1.8,6.3,1.1,0.0
2013/2,1014.3,0.0,6.7,11.6,3.3,42.0,20.0,2.1,8.4,9.3,0.0
2013/2,1009.5,9.0,1.6,4.0,0.3,87.0,54.0,2.4,9.5,0.0,1.0
2013/2,1004.1,0.0,4.1,10.2,-0.5,82.0,62.0,1.6,7.6,3.0,0.0
2013/2,1007.2,0.0,2.7,5.8,-1.0,44.0,18.0,2.7,13.6,8.2,0.0
2013/2,1015.5,0.0,1.7,8.0,-3.6,49.0,23.0,1.9,8.3,8.5,0.0
2013/2,1012.4,0.0,3.9,11.3,-1.6,52.0,20.0,1.7,7.8,10.0,0.0
2013/2,1015.3,0.0,2.4,8.4,-1.9,48.0,25.0,2.3,12.9,10.1,0.0
2013/2,1021.3,0.5,1.5,6.0,-5.8,64.0,33.0,1.7,6.7,5.5,0.0
2013/2,1009.7,10.5,5.4,10.9,1.5,64.0,23.0,2.9,13.2,9.7,0.0
2013/2,1018.5,0.0,3.3,8.0,-2.7,71.0,48.0,1.3,4.2,0.1,0.0
2013/2,1008.2,5.0,4.1,7.1,1.0,80.0,60.0,2.0,8.1,0.0,0.0
2013/2,1011.3,0.0,1.1,5.1,-3.3,47.0,23.0,2.4,15.3,8.4,0.0
2013/2,1018.8,0.0,0.9,6.9,-6.7,47.0,21.0,1.7,6.9,10.2,0.0
2013/2,1008.1,3.0,3.0,5.3,-1.2,77.0,54.0,1.2,4.4,0.0,0.0
2013/2,1007.7,0.0,3.2,5.6,-0.6,64.0,40.0,1.9,6.6,0.0,0.0
2013/2,1011.8,0.0,2.3,9.2,-3.4,42.0,23.0,2.1,11.0,10.0,0.0
2013/2,1015.9,0.0,1.2,6.7,-4.1,44.0,26.0,1.9,8.5,9.6,0.0
2013/2,1014.2,0.0,2.1,9.7,-5.4,53.0,20.0,2.0,8.4,10.4,0.0
2013/2,1013.0,0.0,3.2,9.4,-2.2,44.0,19.0,2.2,9.1,10.6,0.0
2013/2,1012.5,0.0,0.9,6.7,-3.1,47.0,15.0,2.8,18.6,10.1,0.0
2013/2,1020.3,0.0,0.0,6.6,-5.2,42.0,20.0,1.9,9.4,8.9,0.0
2013/2,1021.0,0.0,1.0,7.5,-6.7,60.0,35.0,1.6,6.7,10.6,0.0
2013/2,1010.2,9.5,3.6,8.4,-0.2,90.0,75.0,1.5,5.0,0.8,0.0
2013/2,1014.5,0.0,5.8,13.3,-0.7,74.0,41.0,1.8,6.9,8.8,0.0
