年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1017.6,0.0,3.7,8.3,-0.9,80.0,60.0,1.5,5.9,1.0,0.0
2013/1,1021.2,0.0,5.5,13.8,0.7,75.0,44.0,2.4,10.3,4.2,0.0
2013/1,1025.4,0.0,2.3,5.0,-1.8,55.0,40.0,3.0,9.9,7.2,0.0
2013/1,1022.2,0.0,0.8,6.6,-4.1,65.0,39.0,1.9,6.3,9.3,0.0
2013/1,1018.2,0.0,2.7,8.2,-1.9,65.0,40.0,1.3,4.5,4.0,0.0
2013/1,1017.5,0.0,3.2,8.6,-1.2,69.0,42.0,1.6,5.8,7.9,0.0
2013/1,1016.7,0.0,3.8,9.9,-2.7,71.0,46.0,1.3,4.4,5.9,0.0
2013/1,1014.8,0.0,6.7,12.0,3.6,67.0,45.0,1.8,6.0,5.0,0.0
2013/1,1016.1,0.0,4.3,9.1,0.4,65.0,37.0,2.2,8.9,8.2,0.0
2013/1,1020.6,0.0,2.3,7.0,-1.3,61.0,37.0,2.5,9.2,9.7,0.0
2013/1,1022.9,0.0,2.3,9.2,-3.9,65.0,31.0,1.4,4.9,9.7,0.0
2013/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2013/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013/1,1008.4,15.0,7.2,12.8,2.8,77.0,45.0,3.3,12.4,5.3,0.0
2013/1,1017.9,0.0,4.7,10.4,-0.2,70.0,39.0,0.0,6.9,9.2,0.0
2013/1,1017.6,0.0,5.0,12.1,-1.3,71.0,48.0,2.0,8.5,4.0,0.0
2013/1,1017.5,0.0,4.8,8.1,1.0,63.0,41.0,3.0,10.3,2.5,0.0
2013/1,1023.0,0.0,2.8,7.9,-0.9,74.0,46.0,1.4,5.3,6.6,0.0
2013/1,1024.0,0.0,3.6,9.6,-1.5,71.0,45.0,1.8,9.3,3.6,0.0
2013/1,1025.6,0.0,4.8,10.8,-0.4,69.0,43.0,1.6,4.4,7.7,0.0
2013/1,1018.3,7.5,7.6,11.6,3.5,80.0,65.0,1.3,3.8,0.0,0.0
2013/1,1012.0,1.0,11.4,13.8,8.5,80.0,61.0,3.1,9.9,2.5,0.0
2013/1,1011.8,0.0,8.0,11.6,4.1,67.0,51.0,2.2,5.8,2.1,0.0
2013/1,1011.8,0.5,7.1,12.0,2.8,77.0,48.0,1.9,9.8,3.2,0.0
2013/1,1014.3,0.0,5.2,8.6,3.0,48.0,34.0,4.1,12.1,7.1,0.0
2013/1,1015.1,0.0,3.7,6.7,0.6,59.0,49.0,3.1,13.9,4.5,0.0
2013/1,1017.9,0.0,1.7,6.4,-1.8,66.0,39.0,2.4,10.6,1.7,0.0
2013/1,1021.3,0.0,2.7,8.9,-3.1,63.0,34.0,1.6,6.3,10.0,0.0
2013/1,1022.7,0.0,4.0,11.8,-2.7,66.0,0.0,0.0,5.3,0.0,0.0
2013/1,1024.3,0.0,6.6,14.3,-0.8,67.0,41.0,1.7,5.6,9.6,0.0
2013/1,1025.9,0.0,9.2,17.8,1.7,65.0,31.0,1.5,4.9,8.4,0.0
2013/2,1019.7,31.5,9.3,12.6,5.6,92.0,74.0,1.3,8.6,0.0,0.0
2013/2,1017.6,0.0,12.5,16.2,6.4,84.0,52.0,1.9,8.4,3.3,0.0
2013/2,1018.9,0.0,9.2,15.8,2.2,67.0,21.0,1.5,4.8,8.9,0.0
2013/2,1011.5,31.0,13.3,17.8,8.9,89.0,76.0,3.0,11.3,0.2,0.0
2013/2,1012.7,14.0,9.5,11.7,8.2,82.0,66.0,1.9,7.6,0.3,0.0
2013/2,1009.9,1.0,9.8,13.6,7.4,84.0,63.0,1.8,7.8,2.1,0.0
2013/2,1014.4,0.0,6.1,9.4,2.6,61.0,46.0,3.7,11.6,4.1,0.0
2013/2,1020.1,0.0,1.2,4.9,-1.8,52.0,38.0,3.8,11.1,7.3,0.0
2013/2,1020.0,0.0,3.7,9.2,-1.4,59.0,36.0,1.7,7.8,9.1,0.0
2013/2,1019.5,0.0,4.7,10.5,-1.0,64.0,38.0,1.8,6.6,10.3,0.0
2013/2,1021.9,0.0,5.1,11.8,-0.8,63.0,35.0,1.9,6.4,9.1,0.0
2013/2,1017.8,9.0,4.0,7.0,-0.1,86.0,64.0,1.4,7.6,0.0,0.0
2013/2,1019.2,0.0,5.7,10.7,1.8,59.0,37.0,2.7,9.0,9.8,0.0
2013/2,1017.7,2.0,5.8,10.2,0.5,75.0,50.0,1.2,4.5,2.3,0.0
