年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1012.5,0.0,4.0,10.1,-0.5,48.0,26.0,2.1,6.8,9.2,0.0
2013/1,1011.6,0.0,4.9,14.1,-2.6,56.0,21.0,1.8,11.2,9.0,0.0
2013/1,1013.4,0.0,3.6,7.9,-1.0,39.0,26.0,4.6,15.4,6.6,0.0
2013/1,1016.6,0.0,1.2,6.1,-2.1,43.0,21.0,4.5,15.1,9.3,0.0
2013/1,1017.2,0.0,0.9,6.2,-3.5,48.0,26.0,2.7,10.7,9.2,0.0
2013/1,1012.5,0.0,3.4,10.7,-4.4,46.0,25.0,3.7,11.6,7.7,0.0
2013/1,1014.5,0.0,3.5,8.9,-0.6,51.0,31.0,2.9,10.9,9.1,0.0
2013/1,1012.3,0.0,3.6,11.3,-3.3,58.0,30.0,1.6,5.2,9.1,0.0
2013/1,1008.6,0.0,5.0,10.1,1.1,62.0,44.0,1.5,5.8,5.5,0.0
2013/1,1012.5,0.0,3.7,9.1,0.0,40.0,22.0,4.0,12.1,9.2,0.0
2013/1,1020.6,0.0,3.1,8.5,-1.5,42.0,22.0,3.6,11.6,9.5,0.0
2013/1,1018.6,0.0,1.5,8.4,-3.3,51.0,29.0,1.6,5.1,7.7,0.0
2013/1,1016.8,0.0,6.2,14.8,-2.0,46.0,21.0,2.1,7.7,8.4,0.0
2013/1,1003.5,30.5,3.1,6.2,0.3,80.0,53.0,3.0,19.4,0.0,4.0
2013/1,1011.3,0.0,3.5,6.3,1.1,55.0,36.0,5.4,15.9,8.3,0.0
2013/1,1014.4,0.0,2.0,8.0,-0.9,62.0,36.0,1.8,7.6,6.8,0.0
2013/1,1010.2,0.0,3.1,9.4,-1.4,54.0,29.0,3.6,12.6,9.2,0.0
2013/1,1012.8,0.0,2.0,5.9,-1.4,40.0,18.0,4.7,16.5,9.7,0.0
2013/1,1016.0,0.0,4.0,10.5,-3.1,42.0,18.0,2.3,9.6,9.6,0.0
2013/1,1021.7,0.0,4.5,9.6,-0.5,49.0,30.0,4.7,15.6,9.4,0.0
