年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,982.8,0.0,1.8,9.9,-4.3,50.0,17.0,1.7,9.0,9.0,0.0
2013/1,983.3,0.0,4.1,12.7,-3.8,51.0,23.0,2.6,15.8,7.9,0.0
2013/1,982.2,0.0,4.2,7.6,-1.9,24.0,15.0,6.5,17.4,7.5,0.0
2013/1,985.6,0.0,1.3,6.7,-2.6,30.0,15.0,4.0,12.4,9.0,0.0
2013/1,986.7,0.0,-1.3,4.6,-6.7,54.0,33.0,1.1,3.5,8.7,0.0
2013/1,982.8,0.0,-0.4,6.7,-6.4,64.0,33.0,0.9,2.9,6.9,0.0
2013/1,984.3,0.0,0.6,8.1,-5.5,65.0,38.0,1.1,3.9,9.0,0.0
2013/1,982.0,0.0,1.7,9.7,-4.4,67.0,35.0,1.1,3.4,9.0,0.0
2013/1,978.0,0.0,2.3,9.8,-3.5,65.0,36.0,1.2,4.8,8.1,0.0
2013/1,981.2,0.0,2.5,8.9,-2.1,53.0,27.0,1.9,8.8,8.7,0.0
2013/1,989.5,0.0,1.6,8.9,-4.7,51.0,14.0,1.4,5.8,9.1,0.0
2013/1,988.3,0.0,1.7,9.2,-4.6,59.0,31.0,1.2,4.4,9.0,0.0
2013/1,986.8,0.0,3.7,12.0,-4.4,53.0,21.0,1.3,5.8,7.1,0.0
2013/1,972.8,33.0,2.5,6.1,0.2,76.0,49.0,2.7,21.3,0.0,12.0
2013/1,980.8,0.0,3.0,6.6,-1.1,52.0,31.0,3.8,15.5,7.9,0.0
2013/1,984.1,0.0,0.7,4.1,-1.9,68.0,49.0,1.2,3.9,2.6,0.0
2013/1,980.0,0.0,0.4,5.9,-4.5,66.0,28.0,1.8,12.4,5.3,0.0
2013/1,982.3,0.0,1.1,5.1,-3.6,32.0,18.0,5.9,19.8,9.3,0.0
2013/1,986.1,0.0,-0.4,6.7,-6.7,53.0,25.0,1.2,4.3,9.3,0.0
2013/1,991.0,0.0,1.7,10.9,-4.7,55.0,16.0,2.6,12.9,8.8,0.0
2013/1,993.1,0.0,1.3,6.8,-4.9,61.0,35.0,1.0,3.9,7.9,0.0
2013/1,977.9,4.0,3.8,6.9,1.2,78.0,47.0,2.1,14.8,2.1,0.0
2013/1,980.9,0.0,3.9,7.3,-0.5,63.0,42.0,1.9,6.4,1.6,0.0
2013/1,977.0,0.0,4.0,10.4,-0.8,69.0,39.0,1.4,7.6,8.4,0.0
2013/1,969.3,0.0,3.2,10.3,-1.2,49.0,14.0,4.2,17.1,9.0,0.0
2013/1,970.2,0.0,0.7,4.9,-4.0,37.0,18.0,4.7,19.5,6.0,0.0
2013/1,978.3,0.0,1.4,8.0,-4.0,37.0,18.0,2.0,10.7,9.5,0.0
2013/1,980.9,0.0,2.7,8.7,-2.9,40.0,15.0,4.1,14.2,9.3,0.0
2013/1,987.6,0.0,2.2,10.6,-5.0,47.0,17.0,1.2,5.8,9.5,0.0
2013/1,990.0,0.0,3.7,13.1,-3.6,49.0,15.0,2.7,12.3,9.6,0.0
2013/1,997.9,0.0,3.4,11.2,-3.3,56.0,22.0,1.5,7.4,9.5,0.0
2013/2,996.3,0.0,4.7,11.6,-2.8,64.0,33.0,1.2,5.0,7.5,0.0
2013/2,981.4,0.5,10.6,17.8,4.5,64.0,21.0,1.9,16.0,5.9,0.0
2013/2,985.3,0.0,9.9,15.1,6.7,35.0,13.0,3.2,13.4,9.6,0.0
2013/2,979.1,6.0,6.4,8.2,4.4,81.0,53.0,1.5,7.4,0.8,0.0
