年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,996.2,0.0,-2.4,0.6,-6.0,67.0,50.0,3.5,12.7,5.3,0.0
2013/1,993.8,22.5,-2.5,0.5,-6.8,94.0,75.0,3.1,9.5,0.0,36.0
2013/1,996.6,0.0,-5.3,-3.2,-8.4,74.0,56.0,3.1,14.8,7.8,0.0
2013/1,998.3,0.0,-5.9,-2.6,-9.9,67.0,44.0,2.7,12.3,4.7,0.0
2013/1,1000.6,0.0,-4.0,-0.4,-8.8,78.0,55.0,2.8,8.7,7.2,0.0
2013/1,996.2,0.5,-2.3,0.5,-4.9,70.0,51.0,3.3,11.0,2.5,4.0
2013/1,999.0,0.0,-2.2,0.4,-7.0,61.0,48.0,3.2,12.8,7.3,0.0
2013/1,998.6,0.0,-4.1,1.1,-9.5,71.0,52.0,2.0,10.9,4.8,0.0
2013/1,995.7,0.5,-5.9,-1.7,-8.7,84.0,55.0,1.5,6.4,0.6,3.0
2013/1,996.4,0.0,-5.2,-1.2,-10.3,68.0,46.0,2.8,12.1,8.1,0.0
2013/1,1004.0,0.0,-4.6,-1.3,-11.3,65.0,51.0,2.9,12.0,5.6,0.0
2013/1,1001.8,5.0,-3.0,-0.9,-6.8,88.0,65.0,1.8,7.6,0.0,9.0
2013/1,1001.6,1.0,-0.1,2.7,-4.3,76.0,53.0,3.0,13.1,7.9,1.0
2013/1,993.6,3.5,-3.4,-1.9,-5.1,86.0,67.0,3.0,11.8,0.0,4.0
2013/1,994.9,0.5,-2.6,0.6,-7.0,63.0,37.0,3.8,13.2,5.8,1.0
2013/1,998.9,0.0,-4.7,-1.6,-8.7,83.0,66.0,2.1,7.0,2.3,0.0
2013/1,995.5,0.0,-4.7,1.1,-8.9,76.0,51.0,1.9,7.3,7.9,0.0
2013/1,994.3,0.0,-7.1,-2.3,-11.8,74.0,43.0,2.6,13.5,5.2,1.0
2013/1,998.3,0.0,-1.7,2.5,-6.6,62.0,47.0,3.0,13.6,7.2,0.0
2013/1,1004.6,0.0,-0.4,3.2,-5.4,67.0,51.0,3.2,11.2,4.6,0.0
2013/1,1007.6,0.0,-1.2,4.1,-6.9,68.0,40.0,1.6,6.9,7.4,0.0
2013/1,996.7,3.0,-0.9,0.8,-3.5,86.0,77.0,3.6,13.7,0.0,5.0
2013/1,998.8,0.0,-2.4,3.0,-7.5,71.0,40.0,2.2,9.7,8.9,0.0
2013/1,992.0,7.0,-0.8,3.6,-5.3,86.0,65.0,2.0,9.4,2.0,6.0
2013/1,981.6,7.5,-2.1,1.1,-6.8,87.0,58.0,3.9,14.3,1.7,13.0
2013/1,979.7,9.0,-5.6,-3.9,-6.6,88.0,70.0,3.4,11.1,0.0,10.0
2013/1,990.2,0.0,-1.4,3.6,-7.4,70.0,42.0,3.3,12.7,6.7,0.0
