年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1017.7,0.0,4.6,8.4,0.8,57.0,42.0,2.6,8.6,5.7,0.0
2013/1,1019.1,0.0,7.8,12.4,3.2,60.0,42.0,4.3,15.1,4.9,0.0
2013/1,1021.6,0.0,2.8,6.1,0.4,46.0,32.0,4.9,13.5,7.6,0.0
2013/1,1021.9,0.0,2.3,5.2,-0.4,56.0,42.0,3.8,12.8,5.5,0.0
2013/1,1018.7,0.0,2.9,6.2,0.0,60.0,42.0,2.1,6.1,5.7,0.0
2013/1,1016.7,0.0,5.0,9.2,0.6,61.0,40.0,2.1,7.8,5.2,0.0
2013/1,1016.3,0.0,5.9,9.6,2.7,63.0,46.0,1.9,6.5,9.3,0.0
2013/1,1015.1,0.0,6.3,11.0,2.3,66.0,41.0,1.6,5.8,7.1,0.0
2013/1,1013.3,0.0,6.3,10.0,3.3,52.0,33.0,3.2,9.5,8.1,0.0
2013/1,1017.3,0.0,4.8,9.5,2.0,49.0,33.0,4.2,10.3,6.3,0.0
2013/1,1023.9,0.0,4.6,8.4,1.4,55.0,37.0,2.8,7.8,7.3,0.0
2013/1,1021.5,0.0,5.9,9.7,2.7,59.0,47.0,2.9,7.0,5.6,0.0
2013/1,1018.7,0.0,7.0,10.5,2.4,67.0,48.0,2.2,9.6,1.4,0.0
2013/1,1005.3,20.0,6.8,8.4,5.3,75.0,62.0,5.7,15.6,0.7,0.0
2013/1,1017.9,0.0,4.4,6.9,2.7,64.0,47.0,3.6,12.0,2.6,0.0
2013/1,1017.3,0.0,5.0,7.7,1.3,59.0,47.0,2.5,7.5,9.1,0.0
2013/1,1014.7,0.0,4.9,7.4,1.7,58.0,47.0,3.5,11.7,2.0,0.0
2013/1,1021.0,0.0,2.3,4.8,-0.2,57.0,43.0,3.5,10.9,3.2,0.0
2013/1,1021.8,0.0,5.3,9.2,1.2,55.0,42.0,3.3,10.1,3.3,0.0
2013/1,1027.1,0.0,6.4,9.2,3.9,52.0,39.0,3.2,12.6,4.4,0.0
2013/1,1022.6,5.5,5.6,8.3,2.0,67.0,50.0,3.5,10.3,1.5,0.0
2013/1,1010.3,4.0,8.8,11.7,6.8,80.0,61.0,4.4,13.1,0.5,0.0
2013/1,1012.6,0.0,7.0,9.4,5.1,63.0,52.0,2.7,10.3,2.9,0.0
2013/1,1009.7,0.0,7.4,11.4,2.6,64.0,49.0,2.9,12.2,8.5,0.0
2013/1,1007.7,0.0,4.9,8.7,1.1,44.0,23.0,6.4,17.0,7.4,0.0
2013/1,1009.5,0.0,2.7,6.6,-0.1,44.0,25.0,6.5,19.0,8.7,0.0
2013/1,1014.1,0.0,2.5,6.7,-0.8,56.0,32.0,4.2,16.4,8.2,1.0
2013/1,1018.4,0.0,2.9,6.7,-0.8,60.0,45.0,3.9,14.6,4.7,1.0
2013/1,1022.4,0.0,6.1,9.9,2.8,56.0,43.0,3.1,9.0,6.3,0.0
2013/1,1025.2,0.0,8.0,12.0,5.5,57.0,43.0,2.7,11.4,3.9,0.0
2013/1,1029.4,0.0,7.0,11.0,3.1,59.0,42.0,1.8,4.4,9.9,0.0
2013/2,1024.5,5.0,9.8,13.6,4.0,60.0,36.0,2.9,9.0,3.5,0.0
2013/2,1015.3,4.0,13.0,17.1,9.9,79.0,57.0,2.9,10.5,4.4,0.0
2013/2,1020.4,0.0,9.2,12.2,6.7,51.0,37.0,4.3,10.8,9.5,0.0
2013/2,1011.7,8.0,9.4,13.3,6.4,80.0,46.0,4.0,11.9,0.3,0.0
2013/2,1016.9,1.0,7.1,9.0,5.2,51.0,37.0,5.2,17.2,3.1,0.0
2013/2,1008.9,9.0,7.1,9.8,5.0,77.0,59.0,3.1,10.3,0.8,0.0
2013/2,1009.4,0.0,7.3,9.7,3.5,64.0,42.0,4.1,12.6,0.1,0.0
2013/2,1017.3,0.0,1.6,3.8,-0.2,53.0,33.0,4.4,13.2,4.2,0.0
2013/2,1020.5,0.0,2.6,5.7,-0.2,53.0,40.0,2.5,7.3,5.3,0.0
