年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1017.7,17.0,1.1,5.0,-0.1,89.0,64.0,3.3,9.6,0.3,18.0
2013/1,1019.6,6.5,4.7,9.5,1.2,74.0,47.0,4.1,15.1,0.7,0.0
2013/1,1021.9,30.0,0.3,2.1,-0.8,89.0,74.0,2.2,10.5,0.0,22.0
2013/1,1023.5,3.0,-0.2,2.6,-2.0,82.0,57.0,2.5,10.7,0.0,4.0
2013/1,1020.0,0.0,-0.6,3.2,-4.7,85.0,65.0,2.1,6.0,0.0,0.0
2013/1,1018.2,3.5,1.9,4.2,0.1,89.0,81.0,2.0,6.3,0.0,1.0
2013/1,1017.5,0.5,3.1,6.6,0.7,88.0,67.0,2.2,7.4,2.4,0.0
2013/1,1016.5,3.5,3.9,6.8,1.9,90.0,76.0,1.7,6.0,1.9,0.0
2013/1,1014.3,8.5,3.9,6.9,0.9,85.0,56.0,2.3,10.0,1.0,0.0
2013/1,1018.3,16.5,1.2,4.3,0.0,84.0,62.0,2.4,9.4,5.2,7.0
2013/1,1025.9,1.5,1.5,5.0,-0.9,82.0,48.0,1.6,6.2,5.1,0.0
2013/1,1022.4,0.5,3.1,8.2,-1.2,79.0,56.0,2.7,7.4,3.1,0.0
2013/1,1020.5,0.5,6.3,11.5,2.7,80.0,47.0,1.8,5.1,4.6,0.0
2013/1,1007.8,16.5,4.6,6.1,3.0,85.0,63.0,3.2,15.6,0.2,0.0
2013/1,1019.1,5.5,2.2,4.0,1.0,87.0,66.0,2.9,15.7,0.5,0.0
2013/1,1017.9,7.0,3.8,8.2,0.6,80.0,47.0,2.4,7.5,6.6,0.0
2013/1,1016.8,5.0,2.0,4.9,0.2,85.0,55.0,3.1,10.5,1.3,1.0
2013/1,1021.7,7.5,0.4,2.7,-1.6,82.0,60.0,3.0,13.4,1.9,6.0
2013/1,1022.3,19.0,0.8,3.0,-2.1,93.0,83.0,2.0,6.5,0.7,2.0
2013/1,1028.9,0.5,2.6,5.9,0.5,84.0,52.0,1.8,7.9,1.4,0.0
2013/1,1024.3,4.5,3.1,7.9,-2.0,80.0,40.0,2.1,10.4,4.7,0.0
2013/1,1012.0,21.0,6.1,7.8,4.4,86.0,67.0,3.6,10.2,0.5,0.0
2013/1,1014.2,0.0,4.8,8.7,1.4,76.0,49.0,2.1,6.8,1.4,0.0
2013/1,1010.1,14.5,5.5,11.2,2.4,82.0,44.0,3.4,13.7,3.9,0.0
2013/1,1007.7,13.0,2.8,6.0,-0.9,67.0,40.0,5.3,18.5,1.7,0.0
2013/1,1009.1,13.5,0.7,2.6,-0.7,71.0,48.0,5.0,18.8,0.1,13.0
2013/1,1014.7,14.5,0.6,2.7,-2.3,85.0,61.0,2.7,13.2,2.8,16.0
2013/1,1018.4,21.5,1.4,3.4,0.1,88.0,73.0,2.3,13.5,1.1,10.0
2013/1,1024.1,0.5,2.2,4.7,0.3,89.0,71.0,1.5,4.5,0.9,0.0
2013/1,1027.2,0.5,2.5,6.8,-1.6,88.0,69.0,1.8,6.4,2.2,0.0
2013/1,1031.9,0.0,1.6,8.8,-2.8,77.0,25.0,1.6,5.2,8.9,0.0
2013/2,1025.1,4.5,6.1,12.3,-1.4,67.0,34.0,4.1,11.3,5.6,0.0
2013/2,1017.2,9.5,8.1,9.9,5.9,92.0,80.0,2.3,8.5,0.0,0.0
2013/2,1023.1,0.0,5.5,8.4,2.6,65.0,37.0,2.3,9.0,6.5,0.0
2013/2,1013.8,8.5,6.3,8.7,3.6,84.0,60.0,2.9,11.8,0.0,0.0
2013/2,1019.7,0.0,4.8,7.4,3.2,61.0,45.0,4.0,12.0,6.5,0.0
2013/2,1011.3,7.0,2.9,6.6,0.9,88.0,71.0,1.7,4.9,2.2,0.0
2013/2,1010.5,8.0,4.2,9.3,0.6,75.0,44.0,4.1,16.3,3.2,0.0
2013/2,1018.4,4.0,-0.2,2.5,-2.3,72.0,53.0,3.7,13.1,1.7,5.0
2013/2,1021.8,2.5,0.0,2.0,-1.7,88.0,77.0,1.6,5.4,1.5,5.0
2013/2,1018.6,6.5,1.8,4.8,-0.9,88.0,78.0,2.1,7.1,1.9,4.0
2013/2,1023.4,9.0,0.9,2.3,-1.3,88.0,70.0,2.3,10.2,0.1,3.0
2013/2,1022.2,16.5,0.9,4.4,-1.5,82.0,57.0,1.8,5.5,1.3,2.0
2013/2,1019.2,9.0,2.4,4.3,0.4,88.0,67.0,1.8,12.4,0.2,0.0
2013/2,1021.6,0.0,4.0,10.0,0.2,81.0,47.0,1.9,6.6,6.3,0.0
2013/2,1013.4,5.0,3.6,5.9,1.8,85.0,59.0,2.6,15.3,0.0,0.0
