年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1019.8,2.5,4.9,8.3,0.6,75.0,59.0,3.1,11.4,4.6,0.0
2013/1,1024.2,0.5,6.9,9.8,4.5,61.0,45.0,2.8,10.3,1.0,0.0
2013/1,1028.9,0.0,2.7,5.3,1.2,52.0,43.0,5.3,13.5,1.9,0.0
2013/1,1025.7,0.0,2.8,6.3,0.5,58.0,46.0,1.8,7.6,3.3,0.0
2013/1,1021.2,0.0,4.2,8.5,-0.6,62.0,48.0,1.9,9.3,2.9,0.0
2013/1,1020.5,0.0,4.5,8.6,1.4,62.0,45.0,1.8,6.6,4.4,0.0
2013/1,1019.4,0.0,5.9,10.1,1.1,61.0,44.0,1.8,5.8,2.3,0.0
2013/1,1018.3,0.0,8.2,12.0,6.0,60.0,44.0,2.0,6.7,4.9,0.0
2013/1,1019.8,0.0,6.4,8.5,4.4,49.0,37.0,4.8,11.9,3.2,0.0
2013/1,1024.2,0.0,4.2,7.0,2.6,50.0,41.0,4.0,11.2,5.5,0.0
2013/1,1026.2,0.0,4.4,9.2,0.5,59.0,39.0,1.6,6.4,9.1,0.0
2013/1,1023.7,0.0,6.9,13.8,2.0,65.0,41.0,1.7,5.6,7.3,0.0
2013/1,1018.8,15.0,6.5,9.3,3.8,77.0,59.0,1.7,8.6,0.0,0.0
2013/1,1012.9,10.0,8.1,11.9,4.4,69.0,36.0,4.8,15.6,3.7,0.0
2013/1,1021.7,0.0,6.9,9.8,2.7,54.0,43.0,3.6,14.0,6.1,0.0
2013/1,1020.2,0.0,6.2,10.0,1.7,60.0,43.0,2.2,8.6,1.0,0.0
2013/1,1020.8,14.5,4.7,8.2,0.5,72.0,51.0,3.3,13.6,1.0,2.0
2013/1,1026.0,3.0,3.6,8.1,0.6,72.0,43.0,1.9,7.4,7.2,2.0
2013/1,1026.7,0.0,5.2,8.7,1.6,64.0,45.0,2.3,10.3,1.9,0.0
2013/1,1028.6,0.0,6.9,12.1,3.4,61.0,43.0,2.1,7.3,7.7,0.0
2013/1,1020.2,3.5,9.7,13.3,6.5,70.0,54.0,2.9,13.4,0.0,0.0
2013/1,1015.4,8.0,10.6,12.8,8.3,85.0,68.0,3.1,12.2,0.2,0.0
2013/1,1015.5,0.0,7.8,10.4,5.4,69.0,50.0,1.7,6.6,0.2,0.0
2013/1,1014.2,0.5,8.1,11.2,4.9,69.0,46.0,3.1,13.7,3.8,0.0
2013/1,1017.0,0.0,5.1,8.0,4.0,47.0,38.0,4.7,15.2,4.0,0.0
2013/1,1017.6,0.0,4.9,6.8,3.3,48.0,39.0,5.1,15.1,4.8,0.0
2013/1,1020.3,0.0,3.6,6.2,2.6,50.0,39.0,3.8,13.6,1.9,0.0
2013/1,1024.1,0.0,5.0,8.5,2.6,50.0,29.0,3.2,11.2,7.5,0.0
2013/1,1025.6,0.0,6.0,11.7,0.7,62.0,41.0,1.9,6.7,7.4,0.0
2013/1,1027.8,0.0,8.0,13.7,3.1,66.0,46.0,1.8,7.1,8.5,0.0
2013/1,1028.8,0.0,9.9,15.5,4.2,64.0,39.0,1.8,6.2,8.3,0.0
2013/2,1021.3,13.0,12.0,14.2,10.3,76.0,52.0,3.8,15.4,0.0,0.0
2013/2,1020.8,0.5,12.3,14.4,8.3,72.0,50.0,3.0,11.7,8.9,0.0
2013/2,1022.0,0.5,9.7,14.3,5.1,66.0,33.0,1.7,6.4,8.5,0.0
2013/2,1014.5,2.5,12.2,16.1,8.9,86.0,66.0,2.9,10.0,0.0,0.0
2013/2,1016.7,12.0,8.8,11.2,7.5,76.0,54.0,1.3,5.0,0.5,0.0
2013/2,1013.1,2.0,8.7,10.5,7.4,80.0,64.0,2.3,10.7,0.0,0.0
2013/2,1017.5,0.0,6.0,9.2,2.4,55.0,44.0,4.3,13.9,4.1,0.0
2013/2,1024.3,1.5,0.6,2.5,-1.7,63.0,45.0,4.7,15.0,1.4,1.0
2013/2,1023.4,0.0,3.7,8.0,1.2,63.0,46.0,1.9,6.8,1.7,0.0
2013/2,1022.6,0.0,5.4,10.8,0.6,61.0,39.0,2.2,7.0,9.9,0.0
2013/2,1025.7,0.0,5.6,10.0,2.0,59.0,39.0,2.9,10.3,7.1,0.0
2013/2,1020.9,5.0,5.5,8.9,1.0,71.0,48.0,1.9,14.8,0.0,0.0
2013/2,1023.4,0.0,6.2,10.0,4.0,52.0,39.0,5.3,15.0,8.5,0.0
2013/2,1021.1,0.5,7.1,11.9,2.5,59.0,36.0,1.7,6.5,4.6,0.0
2013/2,1016.7,14.5,7.7,11.7,4.6,65.0,32.0,3.4,12.0,2.9,0.0
2013/2,1022.7,0.0,7.0,10.6,4.1,50.0,35.0,3.7,11.2,7.6,0.0
2013/2,1019.5,0.0,7.0,10.0,2.4,62.0,42.0,2.2,9.1,1.0,0.0
2013/2,1011.4,15.0,10.4,14.9,8.0,91.0,76.0,3.5,14.0,0.0,0.0
2013/2,1016.3,7.0,7.2,10.3,5.4,80.0,63.0,2.8,11.0,0.6,0.0
2013/2,1023.6,0.0,6.0,10.8,3.0,50.0,32.0,3.3,8.8,10.0,0.0
2013/2,1026.3,0.0,5.1,9.3,1.7,54.0,38.0,2.3,9.8,5.6,0.0
2013/2,1024.3,0.0,6.9,12.0,2.3,54.0,33.0,2.4,9.1,6.9,0.0
2013/2,1024.1,0.0,8.0,11.1,6.1,47.0,29.0,3.8,11.3,8.4,0.0
2013/2,1026.7,0.0,7.8,11.5,4.5,39.0,23.0,3.7,10.6,10.0,0.0
2013/2,1026.5,0.0,8.3,13.7,2.8,46.0,24.0,2.1,8.1,10.2,0.0
2013/2,1018.5,7.0,9.9,12.2,8.1,63.0,41.0,1.9,7.0,0.0,0.0
2013/2,1014.4,0.5,11.0,15.8,7.8,75.0,50.0,2.4,9.2,8.3,0.0
2013/2,1016.2,0.0,11.6,18.5,5.4,53.0,15.0,1.8,6.8,10.2,0.0
2013/3,1010.3,11.5,12.9,18.3,9.4,68.0,38.0,3.8,15.8,0.0,0.0
2013/3,1020.0,0.0,8.0,11.2,6.1,52.0,43.0,5.8,12.3,5.0,0.0
2013/3,1019.9,0.0,7.5,12.3,5.0,48.0,36.0,2.6,7.8,6.3,0.0
2013/3,1018.6,0.0,8.3,12.8,3.3,55.0,27.0,2.3,12.0,8.3,0.0
2013/3,1022.9,0.0,9.9,15.5,5.2,58.0,39.0,0.0,7.6,10.3,0.0
2013/3,1021.8,0.0,10.9,18.5,5.4,61.0,30.0,2.0,6.4,10.5,0.0
2013/3,1014.6,0.0,14.5,19.8,8.7,58.0,39.0,4.1,13.2,7.5,0.0
2013/3,1010.1,0.0,17.4,23.7,10.6,50.0,11.0,3.1,12.8,9.7,0.0
2013/3,1010.8,0.0,18.8,24.1,13.0,60.0,26.0,3.8,13.2,9.8,0.0
2013/3,1013.2,0.0,14.8,21.6,8.0,65.0,52.0,4.6,15.6,1.5,0.0
2013/3,1021.0,0.0,9.7,14.1,7.3,57.0,38.0,3.6,12.3,10.2,0.0
2013/3,1016.3,0.0,14.4,21.7,5.1,58.0,30.0,2.5,13.3,9.5,0.0
2013/3,1009.6,16.0,15.3,21.3,9.4,78.0,55.0,5.6,19.9,0.0,0.0
2013/3,1023.1,0.0,7.5,9.5,4.9,55.0,44.0,5.4,15.2,0.0,0.0
