年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1008.0,0.0,1.8,5.7,-0.9,69.0,48.0,1.8,8.7,6.3,0.0
2013/1,1006.4,0.5,3.4,8.8,-1.6,73.0,48.0,2.1,14.4,3.1,0.0
2013/1,1009.3,0.0,-1.2,3.3,-2.9,73.0,60.0,3.0,11.8,1.6,1.0
2013/1,1010.5,1.0,-1.7,0.7,-4.1,65.0,48.0,4.4,15.6,5.8,2.0
2013/1,1012.3,0.0,0.1,4.7,-3.7,59.0,35.0,1.8,10.9,8.2,0.0
2013/1,1007.7,0.0,0.9,4.9,-4.1,64.0,48.0,4.6,17.8,6.2,0.0
2013/1,1010.6,0.0,1.4,5.1,-0.9,60.0,42.0,3.0,13.6,7.9,0.0
2013/1,1009.2,0.0,1.2,5.6,-1.0,68.0,47.0,1.5,7.8,3.0,0.0
2013/1,1005.9,0.5,-0.3,1.2,-2.3,80.0,63.0,1.6,7.0,0.2,1.0
2013/1,1008.7,0.0,-0.7,1.6,-2.9,68.0,53.0,2.8,15.0,3.1,1.0
2013/1,1016.2,0.0,-0.1,3.1,-3.1,59.0,44.0,3.6,15.0,8.5,0.0
2013/1,1013.6,0.0,0.7,8.5,-5.7,70.0,35.0,1.5,6.6,7.4,0.0
2013/1,1012.6,0.0,3.6,8.2,0.0,73.0,51.0,2.2,11.7,5.6,0.0
2013/1,1002.4,28.0,0.5,1.9,-0.7,90.0,75.0,1.3,7.1,0.0,18.0
2013/1,1006.2,0.0,0.5,2.5,-1.6,68.0,49.0,3.3,19.0,5.7,0.0
2013/1,1009.8,0.0,-1.3,5.1,-6.0,73.0,41.0,1.1,4.1,7.8,0.0
2013/1,1006.7,0.0,-1.2,2.9,-4.6,72.0,56.0,2.1,8.9,3.9,0.0
2013/1,1007.1,14.0,-3.1,0.5,-5.6,84.0,49.0,2.1,10.9,1.9,27.0
2013/1,1011.0,3.5,0.4,3.5,-3.1,78.0,50.0,2.5,13.3,2.9,4.0
2013/1,1016.7,0.0,2.2,4.6,-0.6,63.0,46.0,3.8,14.5,5.4,4.0
2013/1,1018.6,0.0,1.7,6.0,-1.6,68.0,42.0,1.4,7.3,1.9,0.0
2013/1,1005.6,3.5,1.6,4.8,-0.5,84.0,66.0,1.2,8.1,0.0,3.0
2013/1,1008.7,0.0,1.4,5.3,-2.5,68.0,41.0,1.8,7.3,7.3,0.0
2013/1,1002.7,1.0,2.4,7.8,-1.7,76.0,47.0,1.2,7.4,7.7,0.0
2013/1,993.6,1.0,0.4,4.9,-2.5,81.0,42.0,2.3,16.3,2.5,3.0
2013/1,993.5,5.0,-2.1,0.0,-3.5,81.0,58.0,1.8,10.4,0.3,8.0
2013/1,1003.1,1.5,0.4,4.5,-3.2,68.0,46.0,3.5,17.1,6.9,2.0
2013/1,1006.7,0.0,0.6,6.4,-4.8,66.0,35.0,2.7,15.1,7.4,1.0
2013/1,1012.0,0.0,2.5,5.1,0.0,60.0,44.0,4.4,15.8,6.8,0.0
2013/1,1016.5,0.0,2.3,4.0,0.2,58.0,43.0,3.6,14.1,4.9,0.0
2013/1,1025.1,0.0,1.6,7.6,-3.2,60.0,36.0,1.8,9.2,9.5,0.0
2013/2,1021.6,0.0,2.8,10.7,-5.0,64.0,35.0,2.0,9.5,9.0,0.0
2013/2,1006.0,0.0,7.3,11.3,3.2,73.0,60.0,3.0,16.2,1.6,0.0
2013/2,1013.8,0.0,1.8,5.3,-0.8,56.0,40.0,4.5,17.2,9.4,0.0
2013/2,1005.3,1.5,1.6,6.6,-0.9,77.0,63.0,1.6,18.2,0.0,0.0
2013/2,1011.3,0.0,2.6,4.5,0.4,52.0,38.0,4.6,18.9,8.6,0.0
2013/2,1007.1,9.5,0.0,0.7,-1.3,85.0,60.0,0.9,3.9,0.0,11.0
2013/2,999.5,0.0,3.0,8.8,-1.4,73.0,49.0,1.9,10.7,5.2,0.0
2013/2,1002.7,0.5,-0.5,3.6,-2.2,64.0,42.0,4.2,15.9,1.7,1.0
2013/2,1010.6,0.0,0.3,4.4,-2.8,49.0,34.0,5.2,18.2,9.3,0.0
2013/2,1008.6,0.0,0.1,6.5,-5.6,68.0,39.0,1.5,6.2,6.6,0.0
2013/2,1011.5,0.0,-0.4,1.4,-1.9,64.0,39.0,3.8,15.7,7.4,0.0
2013/2,1016.3,1.0,1.0,4.1,-2.7,48.0,32.0,2.7,15.4,3.8,1.0
2013/2,1006.4,6.5,2.8,6.3,-0.7,71.0,47.0,2.4,15.6,6.2,6.0
2013/2,1013.6,0.0,3.8,9.7,-0.7,62.0,36.0,1.5,8.7,8.7,0.0
2013/2,1004.4,0.5,1.1,3.9,-0.7,84.0,64.0,1.4,10.7,0.0,0.0
2013/2,1006.6,0.0,-1.4,2.1,-3.5,61.0,34.0,4.8,22.7,6.3,2.0
2013/2,1013.9,0.0,-0.5,4.0,-3.5,56.0,34.0,3.0,17.4,9.2,0.0
2013/2,1003.8,0.0,2.0,6.0,-2.7,67.0,50.0,1.8,14.5,0.0,0.0
2013/2,1004.3,0.0,1.2,4.0,-1.5,54.0,41.0,5.5,16.2,0.0,0.0
2013/2,1007.4,0.0,-0.5,4.9,-3.3,56.0,37.0,4.4,13.8,6.7,0.0
2013/2,1011.4,2.0,-2.1,0.7,-4.3,70.0,53.0,3.4,14.1,6.2,4.0
2013/2,1009.0,1.5,1.4,4.9,-1.7,59.0,44.0,3.6,14.3,8.2,1.0
2013/2,1008.4,1.5,0.3,4.0,-2.8,64.0,37.0,3.7,14.5,8.1,3.0
2013/2,1008.0,12.0,-3.2,-0.7,-5.2,78.0,50.0,4.2,19.1,1.0,21.0
2013/2,1015.1,0.0,-2.1,1.8,-4.7,62.0,42.0,3.8,13.1,8.0,2.0
2013/2,1016.2,0.0,-0.3,4.6,-5.5,56.0,33.0,1.7,10.1,9.8,0.0
2013/2,1006.5,0.0,1.3,7.8,-4.1,71.0,48.0,1.0,5.9,3.1,0.0
2013/2,1010.0,0.0,6.1,12.0,0.5,49.0,22.0,0.0,14.8,10.2,0.0
2013/3,1000.8,0.0,6.5,14.8,0.8,65.0,35.0,2.2,20.7,1.8,0.0
2013/3,998.2,0.0,2.7,7.3,0.0,61.0,45.0,6.6,22.1,8.7,0.0
2013/3,1007.7,0.0,2.0,5.1,-0.2,57.0,43.0,4.5,18.4,3.2,0.0
2013/3,1008.9,0.0,2.8,9.0,-2.2,53.0,32.0,1.8,9.2,9.7,0.0
2013/3,1010.3,0.0,3.3,9.4,-1.9,58.0,38.0,2.8,15.2,8.7,0.0
2013/3,1009.6,0.0,5.8,14.9,-2.6,57.0,24.0,2.5,16.8,7.0,0.0
2013/3,1006.9,0.0,8.6,16.9,-0.5,60.0,37.0,2.8,14.4,5.8,0.0
2013/3,995.8,0.0,12.2,16.9,7.5,56.0,39.0,2.8,11.7,2.6,0.0
2013/3,1001.4,0.0,8.2,12.7,4.3,49.0,33.0,3.3,20.3,9.2,0.0
2013/3,997.3,0.0,4.8,17.6,-0.7,58.0,35.0,4.0,16.9,5.2,0.0
2013/3,1012.1,0.5,0.7,5.3,-3.0,52.0,35.0,4.6,18.6,9.8,2.0
2013/3,1011.0,0.0,5.6,17.8,-4.4,41.0,10.0,1.2,5.1,10.5,0.0
2013/3,999.1,0.0,10.0,19.6,1.8,50.0,25.0,3.2,18.0,2.7,0.0
2013/3,1012.0,0.0,3.1,6.5,-0.3,48.0,32.0,5.8,22.0,6.9,0.0
2013/3,1015.5,0.0,4.6,14.5,-3.1,45.0,16.0,1.6,6.8,10.9,0.0
