年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1014.0,8.0,-1.6,0.3,-3.3,80.0,49.0,4.7,19.1,0.0,16.0
2013/1,1010.4,10.0,1.9,5.4,-2.9,71.0,38.0,9.3,23.9,0.8,9.0
2013/1,1015.3,3.5,-3.6,-1.3,-5.8,71.0,50.0,9.5,24.9,0.3,7.0
2013/1,1017.2,4.0,-4.0,-1.7,-6.1,73.0,47.0,7.4,19.9,0.2,8.0
2013/1,1017.6,4.5,-1.8,-0.5,-3.1,85.0,60.0,3.7,13.4,0.4,7.0
2013/1,1015.0,14.0,-0.3,2.0,-2.0,71.0,48.0,6.2,17.3,0.9,12.0
2013/1,1017.4,0.5,-1.0,1.3,-2.5,72.0,50.0,4.3,13.9,1.3,3.0
2013/1,1016.7,2.0,-2.1,-0.3,-4.7,86.0,61.0,2.9,10.6,0.0,8.0
2013/1,1013.2,0.5,-2.7,-0.6,-5.3,75.0,51.0,3.4,13.4,1.5,2.0
2013/1,1014.9,2.5,-2.9,0.3,-4.4,74.0,44.0,7.0,21.4,1.2,4.0
2013/1,1022.8,4.5,-2.4,-0.3,-4.6,77.0,51.0,5.0,16.7,0.3,6.0
2013/1,1018.2,25.0,-1.1,3.5,-4.2,93.0,88.0,3.5,13.4,0.0,26.0
2013/1,1019.5,0.0,1.7,5.3,-2.1,69.0,50.0,4.7,17.0,1.8,0.0
2013/1,1010.0,1.5,-1.8,-0.5,-2.8,84.0,71.0,2.2,12.3,0.0,2.0
2013/1,1013.7,4.5,-1.9,0.6,-3.6,77.0,50.0,4.8,16.4,1.4,6.0
2013/1,1016.2,7.5,-2.0,0.0,-3.2,82.0,60.0,0.0,0.0,0.0,9.0
2013/1,1013.3,3.0,-2.7,-0.4,-4.8,85.0,65.0,3.8,12.5,0.6,6.0
2013/1,1012.8,2.5,-3.6,-1.6,-5.4,76.0,50.0,7.0,18.8,0.3,7.0
2013/1,1016.7,1.5,0.8,2.7,-3.1,67.0,48.0,4.8,17.0,0.1,3.0
2013/1,1023.4,0.5,2.1,3.3,0.7,61.0,51.0,5.7,16.5,0.7,1.0
2013/1,1024.8,0.0,1.4,4.5,-1.7,68.0,48.0,1.9,6.9,3.9,0.0
2013/1,1013.1,1.0,0.2,1.7,-1.9,83.0,67.0,2.9,10.7,0.0,1.0
2013/1,1015.3,0.0,-1.4,4.2,-6.5,77.0,48.0,2.4,6.3,8.7,0.0
2013/1,1007.2,10.5,0.2,4.8,-4.4,79.0,53.0,3.8,9.2,2.6,2.0
2013/1,998.8,3.5,-1.0,4.2,-5.0,76.0,46.0,8.9,23.6,0.0,3.0
2013/1,997.3,10.0,-2.9,1.5,-5.0,74.0,46.0,10.2,24.3,0.2,11.0
2013/1,1008.6,6.0,0.6,3.1,-1.0,84.0,53.0,4.7,19.6,1.5,4.0
2013/1,1013.1,2.0,0.0,3.5,-3.2,78.0,52.0,3.4,16.6,2.8,1.0
