年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1014.0,19.5,2.2,5.7,0.8,80.0,47.0,6.7,18.4,0.9,3.0
2013/1,1015.8,24.0,4.6,8.2,1.6,73.0,49.0,9.8,24.0,0.0,0.0
2013/1,1019.2,6.0,1.3,3.1,-0.5,72.0,53.0,6.5,20.6,0.5,4.0
2013/1,1021.8,8.0,-0.6,2.4,-1.8,81.0,53.0,4.1,13.4,0.9,12.0
2013/1,1017.4,0.0,0.9,4.9,-3.8,70.0,46.0,2.7,9.0,2.6,0.0
2013/1,1016.4,7.5,2.7,4.5,1.2,83.0,58.0,4.2,12.5,0.1,0.0
2013/1,1014.9,0.0,5.0,8.5,1.5,67.0,51.0,3.9,12.8,2.7,0.0
2013/1,1013.8,8.0,5.8,7.7,3.9,77.0,61.0,4.7,13.4,0.6,0.0
2013/1,1011.3,3.0,5.0,8.3,0.7,73.0,42.0,6.8,17.5,1.9,1.0
2013/1,1016.9,4.5,0.6,2.5,-0.5,83.0,67.0,4.2,12.5,2.6,6.0
2013/1,1024.0,3.5,1.3,4.2,-0.5,75.0,55.0,2.6,7.5,5.8,3.0
2013/1,1019.2,3.5,5.3,10.0,-0.9,60.0,37.0,5.4,16.1,3.0,0.0
2013/1,1018.5,0.0,8.2,11.8,6.5,67.0,43.0,4.4,9.6,4.6,0.0
2013/1,1006.8,13.5,4.2,6.6,2.5,86.0,56.0,4.1,14.9,0.1,0.0
2013/1,1017.4,6.0,1.5,4.9,0.4,84.0,56.0,3.3,15.6,0.3,0.0
2013/1,1015.3,10.0,4.0,8.0,0.5,71.0,33.0,3.6,15.2,8.0,0.0
2013/1,1015.2,15.0,0.9,3.6,-0.9,88.0,59.0,2.8,10.1,1.0,10.0
2013/1,1019.3,4.0,0.4,2.8,-1.8,76.0,47.0,5.6,18.0,1.1,3.0
2013/1,1019.4,9.5,2.2,5.6,-0.5,84.0,66.0,3.8,12.8,1.4,2.0
2013/1,1026.8,0.5,3.4,5.7,0.8,71.0,49.0,2.9,11.3,0.4,1.0
2013/1,1022.3,2.5,3.1,6.6,-1.0,69.0,48.0,2.4,7.1,4.6,0.0
2013/1,1010.5,24.5,4.8,6.2,2.5,88.0,77.0,3.7,9.8,0.0,0.0
2013/1,1012.3,0.0,4.6,7.7,1.7,76.0,56.0,2.7,8.0,1.6,0.0
2013/1,1006.9,12.5,6.4,11.7,3.5,71.0,34.0,5.6,17.9,5.2,0.0
2013/1,1003.8,17.0,2.2,7.3,-1.3,74.0,41.0,11.7,25.9,1.5,3.0
2013/1,1005.7,8.5,0.7,2.3,-1.3,69.0,43.0,10.8,24.8,0.8,6.0
2013/1,1012.2,14.0,0.8,2.1,-0.2,85.0,59.0,3.2,16.4,1.7,13.0
2013/1,1015.7,15.5,1.6,4.7,-0.2,84.0,62.0,4.4,18.1,1.0,11.0
2013/1,1021.7,2.5,3.4,6.6,0.9,80.0,58.0,2.8,10.9,2.5,0.0
2013/1,1025.4,0.5,3.4,6.0,0.2,80.0,59.0,2.6,6.5,1.5,0.0
2013/1,1029.9,0.0,2.5,7.7,-1.7,72.0,45.0,2.1,6.2,9.1,0.0
2013/2,1021.9,1.0,7.5,13.9,0.3,54.0,25.0,2.9,15.4,7.6,0.0
2013/2,1014.3,3.5,10.6,16.0,5.4,74.0,48.0,5.7,22.8,0.0,0.0
2013/2,1021.5,0.0,4.8,7.4,2.6,59.0,44.0,2.9,7.6,4.7,0.0
2013/2,1011.4,12.5,6.3,9.7,3.8,79.0,52.0,3.9,15.5,0.0,0.0
2013/2,1018.8,0.0,4.0,6.3,1.8,57.0,47.0,6.4,15.0,5.7,0.0
2013/2,1009.5,4.5,2.6,4.9,1.0,83.0,63.0,4.2,11.3,1.7,0.0
2013/2,1006.7,5.0,4.6,9.4,0.7,70.0,42.0,9.6,24.1,1.8,0.0
2013/2,1015.9,2.5,-0.2,2.6,-2.7,70.0,43.0,6.6,22.0,1.9,4.0
2013/2,1019.5,2.5,0.6,3.1,-1.6,77.0,60.0,2.3,7.9,2.4,5.0
2013/2,1015.6,11.0,2.4,4.4,0.6,83.0,54.0,5.7,19.1,0.2,2.0
2013/2,1021.3,2.5,1.4,4.4,-0.6,74.0,48.0,4.9,13.9,0.0,2.0
2013/2,1020.2,15.5,0.9,4.6,-1.1,76.0,51.0,3.0,11.3,1.4,7.0
2013/2,1016.3,8.0,3.5,6.0,1.2,78.0,50.0,5.3,19.4,0.2,0.0
2013/2,1019.4,0.0,4.9,9.0,1.9,72.0,51.0,2.5,7.7,5.6,0.0
2013/2,1011.5,7.0,4.1,6.9,2.1,75.0,50.0,3.7,19.5,0.1,0.0
2013/2,1019.4,4.5,-0.8,2.6,-2.0,79.0,49.0,4.8,16.9,0.5,8.0
2013/2,1020.7,0.0,0.0,3.1,-4.0,64.0,37.0,2.3,7.2,4.5,0.0
2013/2,1010.1,34.0,4.9,7.2,1.5,87.0,63.0,3.2,12.5,0.0,0.0
2013/2,1014.7,0.0,2.0,3.9,-0.2,55.0,37.0,3.7,9.8,0.8,0.0
2013/2,1016.9,10.0,0.4,3.4,-1.3,80.0,57.0,4.3,15.7,1.7,11.0
2013/2,1020.3,9.0,0.1,2.6,-1.5,83.0,50.0,2.7,13.8,2.1,9.0
2013/2,1017.4,6.0,3.0,6.2,-1.3,72.0,44.0,6.4,21.8,5.8,2.0
2013/2,1017.6,8.0,1.7,3.9,0.0,74.0,37.0,3.6,16.1,1.7,8.0
2013/2,1020.7,2.0,0.8,5.1,-1.5,68.0,44.0,8.0,21.7,1.1,0.0
2013/2,1025.8,3.0,-0.4,3.0,-2.3,78.0,51.0,3.0,10.2,1.7,8.0
2013/2,1021.1,0.0,2.0,6.2,-2.5,59.0,38.0,2.7,6.9,10.2,0.0
2013/2,1010.6,0.0,6.9,11.7,2.9,74.0,59.0,0.0,10.6,3.9,0.0
2013/2,1015.3,0.0,7.6,12.1,2.4,57.0,19.0,2.3,7.0,10.4,0.0
2013/3,1004.8,20.0,8.5,15.8,3.9,63.0,36.0,5.2,20.0,0.0,0.0
2013/3,1013.7,1.5,3.4,5.6,1.1,65.0,46.0,6.2,17.5,0.8,0.0
2013/3,1017.0,0.0,2.6,5.7,0.6,71.0,42.0,2.5,7.0,4.8,0.0
2013/3,1014.1,1.0,4.1,9.3,-1.0,58.0,33.0,2.7,12.5,10.3,0.0
2013/3,1018.3,3.0,5.8,9.9,2.4,63.0,38.0,3.8,10.3,8.1,0.0
2013/3,1017.1,0.0,8.8,13.7,0.7,58.0,34.0,5.4,17.5,7.0,0.0
2013/3,1010.3,0.0,12.8,21.4,3.8,41.0,13.0,4.4,15.2,6.8,0.0
2013/3,1003.6,0.0,14.3,16.9,11.8,58.0,37.0,7.6,17.5,0.2,0.0
2013/3,1007.2,0.0,12.1,18.9,7.8,58.0,26.0,2.9,10.9,8.5,0.0
2013/3,1009.0,16.5,9.3,21.4,2.4,51.0,23.0,6.8,27.2,3.2,0.0
2013/3,1021.4,0.0,3.2,6.2,0.7,54.0,30.0,3.8,10.3,9.7,0.0
2013/3,1014.6,0.0,8.4,15.6,-0.4,44.0,19.0,0.0,12.0,10.8,0.0
2013/3,1005.1,28.0,13.3,22.2,3.3,58.0,23.0,8.3,22.1,2.1,0.0
2013/3,1020.9,0.0,3.0,4.8,-0.1,61.0,46.0,4.7,11.9,1.1,0.0
2013/3,1020.8,0.0,4.1,8.9,-1.5,63.0,40.0,1.8,7.0,11.6,0.0
2013/3,1016.8,0.0,7.9,14.6,1.4,62.0,42.0,5.4,17.3,8.4,0.0
2013/3,1014.8,0.0,9.9,16.6,3.1,57.0,35.0,2.5,11.4,11.0,0.0
2013/3,998.9,23.5,16.8,21.7,11.3,62.0,34.0,9.3,25.3,0.0,0.0
2013/3,1008.8,0.0,12.2,15.0,8.8,80.0,70.0,4.7,15.4,5.9,0.0
2013/3,1001.6,9.0,11.7,18.5,4.6,69.0,36.0,4.5,18.7,0.4,0.0
2013/3,1012.7,0.0,4.0,6.6,1.9,52.0,37.0,4.0,16.1,8.0,0.0
2013/3,1007.3,0.0,9.1,15.0,0.6,49.0,24.0,3.5,14.0,9.2,0.0
2013/3,1011.7,3.5,5.9,10.7,3.8,71.0,55.0,4.8,11.9,3.0,0.0
2013/3,1007.1,0.0,8.6,15.1,2.1,60.0,40.0,3.0,8.0,9.3,0.0
2013/3,1007.7,2.5,7.3,11.5,2.6,69.0,47.0,4.0,16.4,2.3,0.0
2013/3,1018.1,0.0,4.7,8.2,2.0,58.0,39.0,2.8,7.5,7.9,0.0
2013/3,1014.8,0.0,9.1,15.9,1.7,57.0,28.0,2.3,9.4,2.5,0.0
2013/3,1009.9,0.0,12.8,18.2,9.8,74.0,52.0,2.1,8.1,1.3,0.0
2013/3,1011.8,1.5,9.1,11.2,6.5,79.0,67.0,4.4,10.9,0.2,0.0
2013/3,1018.2,0.0,7.2,10.9,5.2,61.0,45.0,6.3,13.4,8.9,0.0
2013/3,1016.0,0.0,8.0,12.3,6.2,68.0,48.0,5.0,12.9,0.4,0.0
2013/4,1019.5,0.0,9.1,14.1,3.8,64.0,36.0,4.1,9.0,10.6,0.0
2013/4,1007.8,1.0,13.4,21.4,8.0,62.0,29.0,3.4,8.3,3.5,0.0
2013/4,1003.3,18.5,10.8,12.0,10.0,90.0,84.0,3.9,12.3,0.0,0.0
2013/4,1013.5,0.0,11.8,15.3,8.8,71.0,53.0,3.4,8.2,11.0,0.0
2013/4,1012.7,0.0,13.5,21.2,7.8,68.0,39.0,3.9,9.2,10.7,0.0
2013/4,993.7,6.0,13.7,18.3,10.0,74.0,53.0,3.5,17.8,0.0,0.0
2013/4,987.3,41.0,9.2,14.7,5.1,84.0,58.0,10.1,22.4,0.0,0.0
2013/4,1007.9,0.0,10.2,14.2,7.1,50.0,39.0,5.1,15.1,8.5,0.0
2013/4,1007.1,4.0,11.2,17.8,6.4,57.0,22.0,5.7,18.6,6.8,0.0
2013/4,1009.8,10.5,7.6,10.6,5.4,73.0,54.0,4.1,19.0,2.5,0.0
2013/4,1010.6,14.5,6.1,10.4,2.7,73.0,47.0,6.2,22.9,4.1,0.0
2013/4,1011.5,10.5,5.7,9.8,4.1,80.0,59.0,4.4,16.0,0.4,0.0
2013/4,1012.2,0.5,9.2,14.1,3.7,59.0,35.0,3.5,12.2,11.4,0.0
2013/4,1002.8,10.5,15.8,23.9,4.9,44.0,21.0,8.0,23.4,10.3,0.0
2013/4,1006.6,7.5,10.9,14.4,6.1,58.0,38.0,4.3,11.6,8.0,0.0
2013/4,1005.3,0.0,17.9,27.5,7.1,43.0,17.0,4.4,17.8,6.8,0.0
2013/4,1005.8,0.0,15.4,22.3,10.7,69.0,30.0,4.4,13.7,4.1,0.0
2013/4,1004.2,7.0,13.0,17.7,8.6,84.0,68.0,3.5,16.1,4.6,0.0
2013/4,1011.8,0.0,8.9,11.3,6.1,55.0,38.0,5.1,12.7,10.1,0.0
2013/4,1013.2,5.0,6.5,10.4,4.2,67.0,41.0,4.6,14.4,0.0,0.0
2013/4,1010.7,11.5,5.7,9.4,3.2,80.0,48.0,3.7,9.0,1.8,0.0
2013/4,1018.3,0.0,8.8,13.3,3.6,56.0,35.0,2.8,8.7,10.5,0.0
2013/4,1018.2,0.0,12.5,18.3,3.6,40.0,19.0,2.0,8.6,7.5,0.0
2013/4,1004.8,22.5,13.4,15.3,10.9,85.0,45.0,3.6,13.9,0.0,0.0
2013/4,1003.8,0.0,13.6,17.6,8.2,66.0,31.0,2.5,8.7,9.3,0.0
2013/4,1001.5,19.0,11.5,14.7,8.5,73.0,51.0,5.1,17.7,2.7,0.0
2013/4,1010.5,2.0,12.0,15.6,9.2,64.0,39.0,4.6,11.2,7.0,0.0
2013/4,1016.8,0.0,12.4,16.7,8.1,58.0,35.0,2.7,7.9,11.7,0.0
2013/4,1011.0,0.0,18.0,24.8,7.5,37.0,13.0,3.0,17.2,8.8,0.0
2013/4,1004.0,17.5,15.5,22.6,11.4,65.0,29.0,6.4,18.3,1.6,0.0
2013/5,1002.7,4.5,10.0,12.6,8.3,72.0,61.0,4.7,10.2,0.5,0.0
2013/5,1008.9,6.5,9.3,13.0,6.8,69.0,50.0,3.0,9.7,7.9,0.0
2013/5,1011.9,5.0,10.8,14.9,6.4,62.0,39.0,3.2,9.2,10.9,0.0
2013/5,1013.6,0.0,12.2,16.4,6.8,60.0,36.0,2.5,7.8,6.9,0.0
2013/5,1014.8,0.0,14.0,17.9,9.2,64.0,44.0,3.2,9.8,12.5,0.0
2013/5,1010.1,0.0,15.1,22.8,10.0,58.0,29.0,5.9,21.1,7.5,0.0
2013/5,1016.8,0.0,10.9,14.1,7.4,61.0,48.0,5.8,14.8,12.5,0.0
2013/5,1016.8,0.0,11.1,16.0,5.4,62.0,38.0,2.7,9.1,13.1,0.0
2013/5,1011.7,0.0,16.2,22.4,8.0,44.0,13.0,2.2,9.0,12.8,0.0
2013/5,1003.5,1.0,18.3,25.5,12.0,53.0,24.0,2.2,11.4,0.9,0.0
2013/5,999.8,16.0,17.2,21.2,14.3,88.0,63.0,3.1,9.6,0.0,0.0
2013/5,1004.8,0.0,17.2,23.7,11.3,66.0,35.0,2.2,6.6,13.1,0.0
2013/5,1008.4,0.0,20.5,27.9,13.3,50.0,20.0,3.9,16.3,11.3,0.0
2013/5,1009.8,0.0,19.8,26.9,13.7,66.0,41.0,2.6,6.9,10.7,0.0
2013/5,1008.4,0.0,20.0,27.9,15.2,64.0,25.0,4.0,15.6,12.2,0.0
2013/5,1013.2,0.0,14.9,17.1,13.0,79.0,74.0,4.3,9.4,0.1,0.0
2013/5,1014.5,0.0,15.5,21.1,12.3,63.0,34.0,5.9,13.7,11.0,0.0
2013/5,1008.7,0.0,19.0,24.9,11.6,60.0,36.0,3.3,11.1,11.2,0.0
2013/5,999.1,14.0,17.1,21.4,14.5,76.0,49.0,2.1,7.3,1.5,0.0
2013/5,998.4,0.0,18.7,22.6,15.6,79.0,56.0,3.5,11.1,6.6,0.0
2013/5,1003.4,0.0,19.4,22.4,16.3,74.0,61.0,2.6,8.1,10.6,0.0
2013/5,1006.6,0.0,19.2,23.8,14.8,66.0,43.0,3.4,13.0,12.3,0.0
2013/5,1009.8,0.0,18.5,22.0,15.2,68.0,46.0,3.6,8.6,12.3,0.0
2013/5,1010.9,0.0,19.1,24.4,13.5,55.0,33.0,4.1,10.3,13.5,0.0
2013/5,1012.7,0.0,22.2,28.2,15.8,53.0,36.0,3.1,8.1,11.3,0.0
2013/5,1015.7,0.0,23.2,27.9,18.3,54.0,33.0,2.5,8.5,12.7,0.0
2013/5,1015.3,0.0,22.0,25.6,18.8,63.0,52.0,2.6,6.9,5.3,0.0
2013/5,1012.1,1.5,21.2,26.1,19.2,70.0,47.0,1.8,5.8,0.0,0.0
2013/5,1005.5,9.0,20.9,24.6,18.1,82.0,63.0,2.1,5.9,0.0,0.0
2013/5,1007.0,34.5,18.6,21.4,16.3,87.0,69.0,2.7,15.0,1.6,0.0
2013/5,1007.2,0.0,20.4,26.7,13.7,63.0,28.0,3.8,10.3,11.9,0.0
2013/6,1004.7,0.0,21.6,25.4,17.1,67.0,48.0,2.6,7.1,4.5,0.0
2013/6,1003.6,0.0,21.3,23.8,18.8,67.0,45.0,2.5,7.1,5.1,0.0
2013/6,1007.8,0.0,20.4,25.0,16.2,70.0,40.0,3.1,9.8,13.5,0.0
2013/6,1012.9,0.0,21.1,28.3,16.1,65.0,24.0,3.5,10.3,12.5,0.0
2013/6,1013.9,0.0,22.8,28.4,18.0,63.0,40.0,2.6,7.8,12.7,0.0
2013/6,1011.1,0.0,22.1,25.8,18.8,62.0,29.0,2.4,8.3,7.3,0.0
2013/6,1007.8,0.0,21.6,26.0,18.4,68.0,43.0,3.9,9.7,9.7,0.0
2013/6,1008.2,0.0,19.7,22.9,17.5,75.0,61.0,3.3,7.8,10.3,0.0
2013/6,1006.8,0.0,20.9,26.4,15.5,67.0,42.0,3.7,8.3,9.3,0.0
2013/6,1006.2,0.0,22.7,27.3,19.3,65.0,44.0,3.1,8.1,4.0,0.0
2013/6,1006.4,0.0,24.0,27.5,20.9,62.0,43.0,0.0,7.5,5.7,0.0
2013/6,1005.6,0.0,26.5,31.7,22.3,61.0,47.0,3.4,8.9,11.1,0.0
