年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,965.9,0.0,0.0,6.1,-4.4,69.0,36.0,1.7,8.4,8.2,0.0
2013/1,965.9,0.0,2.4,8.1,-1.1,70.0,37.0,2.3,14.1,2.9,0.0
2013/1,968.5,0.0,-2.1,-0.1,-4.2,85.0,65.0,2.7,8.0,0.8,1.0
2013/1,971.3,0.0,-4.0,-0.6,-5.8,79.0,58.0,2.4,9.2,3.6,0.0
2013/1,970.3,0.0,-3.7,0.6,-7.5,69.0,48.0,1.7,6.5,7.4,0.0
2013/1,968.5,0.0,-3.2,0.9,-8.4,80.0,65.0,2.2,8.0,4.2,0.0
2013/1,968.3,0.0,-1.2,3.4,-5.1,77.0,50.0,1.7,5.7,6.2,1.0
2013/1,966.9,0.0,-1.4,4.9,-6.1,78.0,57.0,1.8,9.4,8.1,0.0
2013/1,963.1,0.0,0.0,6.3,-3.5,78.0,54.0,2.3,11.6,6.3,0.0
2013/1,967.5,0.0,-1.6,1.5,-3.3,78.0,61.0,2.5,8.9,1.6,1.0
2013/1,975.1,0.0,-2.3,1.2,-5.7,76.0,59.0,2.0,8.0,4.1,2.0
2013/1,972.0,0.0,-2.0,4.6,-7.3,68.0,38.0,1.4,5.6,7.9,0.0
2013/1,971.5,0.0,1.0,7.9,-4.7,77.0,48.0,1.6,9.0,7.2,0.0
2013/1,959.0,23.5,0.2,1.3,-0.2,94.0,81.0,1.7,8.1,0.0,23.0
2013/1,967.1,6.5,-1.9,0.1,-3.8,89.0,77.0,0.0,0.0,0.2,12.0
2013/1,967.8,0.0,-2.2,1.5,-5.5,81.0,56.0,1.1,3.7,8.5,0.0
2013/1,965.5,2.0,-1.7,1.5,-5.1,83.0,58.0,2.3,7.6,3.2,3.0
2013/1,967.7,0.0,-3.4,-0.2,-5.7,79.0,41.0,1.9,7.4,5.3,0.0
2013/1,970.6,0.0,-2.5,2.0,-8.0,82.0,57.0,1.7,7.4,6.5,0.0
2013/1,976.9,0.0,-0.3,2.8,-3.6,80.0,60.0,2.6,11.5,6.2,2.0
2013/1,975.8,0.0,-0.9,3.9,-6.7,73.0,52.0,1.2,7.1,6.5,0.0
2013/1,963.1,3.5,1.5,3.7,0.3,88.0,68.0,2.5,9.2,0.0,1.0
2013/1,965.1,0.5,1.8,4.0,0.1,83.0,63.0,1.4,7.1,2.8,1.0
2013/1,960.0,0.5,3.4,8.5,-0.6,69.0,40.0,1.9,7.8,8.5,0.0
2013/1,953.3,1.0,-0.1,3.1,-2.3,75.0,38.0,2.1,13.5,2.4,3.0
2013/1,954.6,8.0,-3.9,-2.1,-6.0,85.0,57.0,2.0,8.6,0.0,12.0
2013/1,963.3,2.5,-2.3,1.6,-6.8,75.0,46.0,1.7,6.8,5.4,4.0
2013/1,966.4,0.5,-1.3,3.1,-4.6,77.0,50.0,2.3,9.7,6.5,2.0
2013/1,972.9,0.0,-0.5,4.0,-3.8,75.0,54.0,1.8,7.6,6.2,0.0
2013/1,976.4,0.0,-0.3,3.3,-2.6,81.0,67.0,3.0,14.0,1.3,2.0
2013/1,982.2,0.0,-0.4,5.8,-4.8,70.0,39.0,1.4,5.7,8.9,0.0
2013/2,977.8,0.0,3.5,10.8,-5.9,58.0,27.0,2.3,9.7,7.8,0.0
2013/2,966.6,1.5,6.7,11.0,1.7,81.0,51.0,3.8,13.7,1.4,0.0
2013/2,973.0,0.0,0.5,3.7,-1.0,76.0,58.0,3.5,10.6,4.9,0.0
2013/2,963.6,7.0,2.0,5.2,-1.4,88.0,78.0,1.5,8.5,0.1,2.0
2013/2,970.8,0.0,0.6,3.2,-0.9,68.0,47.0,4.5,17.3,6.0,1.0
2013/2,962.7,5.0,-0.8,0.7,-2.6,90.0,71.0,1.4,7.5,0.0,6.0
2013/2,957.5,0.0,1.2,10.1,-4.3,76.0,35.0,1.9,11.7,8.8,0.0
2013/2,963.7,0.0,-2.5,0.8,-4.8,65.0,30.0,3.7,12.2,3.9,2.0
2013/2,970.6,0.0,-2.8,2.3,-6.3,70.0,47.0,2.4,12.2,9.0,0.0
2013/2,966.7,0.0,-1.2,5.4,-6.9,70.0,37.0,1.8,8.6,7.5,2.0
2013/2,970.8,1.0,-2.0,0.5,-4.1,84.0,64.0,2.8,10.4,2.1,1.0
2013/2,972.7,2.0,-1.0,4.4,-6.6,62.0,37.0,2.8,12.6,4.9,4.0
2013/2,966.3,4.5,0.9,6.6,-1.6,79.0,42.0,2.6,13.1,6.5,7.0
2013/2,971.9,0.0,1.4,7.5,-2.6,73.0,42.0,1.9,9.8,8.2,0.0
2013/2,963.4,1.5,-0.4,2.2,-2.2,88.0,74.0,1.7,9.0,0.3,4.0
2013/2,967.8,0.0,-3.8,-0.3,-6.3,76.0,42.0,4.0,14.6,5.8,2.0
2013/2,972.7,0.0,-3.1,2.2,-8.4,59.0,29.0,1.5,6.0,9.6,0.0
2013/2,963.0,13.5,-0.7,1.6,-3.1,88.0,55.0,1.4,8.9,0.0,22.0
2013/2,965.1,0.0,-2.0,0.7,-5.5,78.0,65.0,4.6,11.0,0.0,0.0
2013/2,967.0,0.0,-4.0,2.9,-9.2,75.0,41.0,2.3,10.5,6.9,0.0
2013/2,970.2,0.0,-3.0,0.5,-5.4,75.0,54.0,2.6,11.0,4.8,1.0
2013/2,968.1,6.5,-1.1,5.0,-6.7,68.0,33.0,0.0,6.6,7.6,9.0
2013/2,968.1,0.5,-2.2,1.2,-5.5,79.0,54.0,2.7,8.7,0.0,1.0
2013/2,968.6,3.5,-4.3,-1.5,-7.3,80.0,48.0,2.5,13.0,1.5,8.0
2013/2,974.8,0.0,-4.8,0.1,-9.6,72.0,50.0,2.5,9.2,6.2,0.0
2013/2,973.7,0.0,-2.8,2.9,-8.7,67.0,41.0,1.4,5.6,9.4,0.0
2013/2,964.0,0.0,2.6,9.6,-2.7,76.0,52.0,1.8,8.1,6.8,0.0
2013/2,968.5,0.0,4.7,11.6,-0.3,65.0,22.0,1.7,7.8,10.2,0.0
2013/3,959.2,5.0,8.0,13.6,0.9,61.0,17.0,5.2,16.6,0.6,0.0
2013/3,961.4,0.0,1.1,5.3,-2.0,61.0,31.0,3.8,15.1,5.5,0.0
2013/3,967.7,0.0,-0.6,3.9,-2.4,73.0,52.0,2.9,10.6,2.4,1.0
2013/3,966.5,0.0,1.0,6.6,-1.8,61.0,37.0,2.3,10.9,7.7,0.0
2013/3,969.8,0.0,1.9,8.0,-3.5,63.0,41.0,2.5,10.2,9.9,0.0
2013/3,969.3,0.0,4.3,14.0,-3.9,62.0,20.0,2.4,12.0,9.1,0.0
2013/3,965.3,0.0,8.5,19.3,-0.7,52.0,18.0,1.6,8.1,8.3,0.0
2013/3,957.1,0.5,10.2,18.9,4.4,53.0,22.0,3.2,16.1,5.8,0.0
2013/3,961.3,0.0,7.5,13.9,2.8,61.0,35.0,2.7,10.1,10.4,0.0
2013/3,959.7,2.0,2.7,16.4,-2.4,76.0,45.0,4.3,20.2,3.2,0.0
2013/3,972.1,0.0,-0.8,3.5,-3.8,64.0,38.0,4.3,14.6,8.4,1.0
2013/3,968.9,0.0,4.1,15.3,-5.4,51.0,17.0,1.6,7.6,10.6,0.0
2013/3,959.7,7.5,8.5,21.9,0.4,61.0,26.0,4.0,15.3,5.8,0.0
