年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1014.7,12.0,-3.5,-1.3,-5.3,89.0,76.0,5.7,18.2,0.4,25.0
2013/1,1011.3,4.5,-1.7,1.7,-4.9,83.0,57.0,4.5,23.0,1.9,4.0
2013/1,1015.5,9.5,-6.0,-3.4,-6.8,85.0,59.0,5.2,18.9,0.2,16.0
2013/1,1017.6,6.0,-6.2,-4.4,-7.3,82.0,63.0,4.5,14.5,1.4,8.0
2013/1,1018.3,2.0,-2.1,1.1,-5.8,80.0,61.0,3.8,8.5,3.4,5.0
2013/1,1015.1,7.0,-2.6,0.9,-4.5,83.0,60.0,5.7,17.8,0.1,18.0
2013/1,1018.2,5.5,-3.2,-2.1,-4.2,85.0,65.0,4.6,9.8,0.2,13.0
2013/1,1018.1,3.0,-3.4,-2.0,-4.5,87.0,68.0,3.8,9.3,0.8,7.0
2013/1,1014.5,5.5,-3.7,-1.4,-5.8,86.0,68.0,3.6,12.3,0.2,20.0
2013/1,1015.6,7.0,-5.3,-3.4,-6.1,86.0,66.0,4.2,11.6,0.1,14.0
2013/1,1022.9,4.0,-4.2,-2.2,-6.2,85.0,69.0,5.2,15.0,0.2,9.0
2013/1,1019.2,10.0,-0.4,1.0,-2.6,87.0,67.0,2.6,11.3,0.0,7.0
2013/1,1020.9,1.5,-0.3,2.7,-2.5,78.0,60.0,4.3,10.9,0.7,2.0
2013/1,1014.2,0.0,-1.9,-0.9,-3.5,83.0,70.0,3.1,11.8,0.0,1.0
2013/1,1015.1,2.5,-3.1,-1.3,-4.5,83.0,62.0,3.6,12.6,0.6,8.0
2013/1,1017.9,8.0,-3.1,-1.8,-4.4,90.0,81.0,3.0,8.3,0.0,17.0
2013/1,1015.0,8.5,-3.7,-1.5,-5.0,88.0,59.0,2.9,6.5,1.6,17.0
2013/1,1012.8,6.5,-5.0,-3.0,-6.1,85.0,66.0,4.5,17.2,0.4,8.0
2013/1,1016.8,3.5,-0.6,1.6,-3.2,80.0,61.0,5.1,12.1,0.6,6.0
2013/1,1024.0,3.5,0.0,1.5,-0.9,88.0,73.0,3.2,8.3,0.3,4.0
2013/1,1026.8,0.0,0.6,4.2,-1.6,76.0,49.0,2.3,7.5,2.8,0.0
2013/1,1017.2,0.5,-0.9,1.6,-2.8,86.0,76.0,2.4,10.7,0.0,1.0
2013/1,1017.9,0.0,-1.6,3.2,-5.0,75.0,48.0,2.0,5.3,7.5,0.0
2013/1,1009.0,0.0,-1.1,3.7,-7.1,80.0,56.0,2.1,11.9,4.4,0.0
2013/1,999.0,2.5,-2.5,2.5,-6.8,84.0,64.0,5.4,19.5,0.6,5.0
2013/1,997.1,1.0,-4.9,-0.9,-7.8,77.0,63.0,5.9,13.5,5.1,2.0
2013/1,1009.8,0.0,-1.3,1.9,-5.4,79.0,59.0,3.8,10.3,1.5,0.0
2013/1,1014.8,4.0,-1.1,2.2,-3.9,77.0,53.0,2.6,10.2,6.1,10.0
