年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1015.9,0.0,5.2,11.7,-0.9,43.0,16.0,2.4,11.6,9.1,0.0
2013/1,1017.9,0.0,9.7,13.7,3.9,42.0,31.0,4.0,14.2,8.3,0.0
2013/1,1015.2,0.0,6.5,9.5,3.2,26.0,15.0,4.2,16.1,7.0,0.0
2013/1,1017.9,0.0,2.7,7.0,-1.9,42.0,22.0,1.4,6.3,9.4,0.0
2013/1,1018.5,0.0,3.3,7.5,-0.5,58.0,41.0,1.2,6.8,2.4,0.0
2013/1,1014.4,0.0,4.3,10.5,-1.7,62.0,32.0,1.1,4.6,8.5,0.0
2013/1,1015.8,0.0,5.4,10.4,1.4,66.0,46.0,1.3,6.5,4.1,0.0
2013/1,1013.9,0.0,5.8,10.8,1.0,70.0,47.0,1.2,4.6,9.2,0.0
2013/1,1009.7,0.0,6.3,11.8,1.7,68.0,45.0,1.5,5.7,8.9,0.0
2013/1,1013.2,0.0,5.2,10.5,0.7,63.0,34.0,1.8,8.3,6.4,0.0
2013/1,1022.0,0.0,4.7,10.2,0.0,63.0,39.0,1.4,6.1,8.3,0.0
2013/1,1020.5,0.0,6.9,13.8,0.0,49.0,23.0,2.5,14.8,9.2,0.0
2013/1,1018.8,0.0,7.0,12.1,-0.2,53.0,33.0,1.2,4.6,7.0,0.0
2013/1,1001.5,54.0,6.9,9.8,4.6,82.0,52.0,2.2,10.3,0.0,0.0
2013/1,1012.2,0.0,6.3,10.9,1.2,66.0,34.0,1.5,6.2,7.1,0.0
2013/1,1015.7,0.0,5.8,10.3,2.5,69.0,42.0,1.4,6.9,6.2,0.0
2013/1,1011.6,0.0,5.6,10.7,1.1,63.0,35.0,1.9,9.3,9.1,0.0
2013/1,1014.4,0.0,3.2,8.1,-1.6,52.0,21.0,1.5,6.7,9.6,0.0
2013/1,1018.3,0.0,3.6,9.7,-2.2,49.0,24.0,1.4,6.3,9.6,0.0
2013/1,1023.0,0.0,5.5,10.9,-0.2,56.0,35.0,1.4,5.6,9.0,0.0
2013/1,1024.9,4.0,6.4,10.6,1.5,69.0,42.0,1.5,8.9,1.3,0.0
2013/1,1008.3,21.5,9.0,12.9,6.1,80.0,42.0,2.2,9.7,4.7,0.0
2013/1,1012.7,1.0,7.3,9.8,3.9,63.0,42.0,2.6,10.3,0.0,0.0
2013/1,1009.5,0.0,6.8,10.6,1.5,68.0,44.0,2.0,8.7,8.3,0.0
2013/1,1003.3,0.0,6.7,10.7,1.9,41.0,24.0,4.6,17.3,9.2,0.0
2013/1,1004.6,0.0,2.9,6.3,0.9,39.0,22.0,4.8,15.2,8.9,0.0
2013/1,1011.2,0.0,3.2,8.6,-2.2,37.0,13.0,1.8,7.9,9.8,0.0
2013/1,1012.7,0.0,4.8,11.3,-0.3,39.0,16.0,1.7,7.9,9.8,0.0
2013/1,1019.6,0.0,5.2,11.2,-0.9,49.0,24.0,1.4,5.9,9.9,0.0
2013/1,1021.6,0.0,6.6,13.0,1.0,54.0,31.0,1.6,7.7,9.9,0.0
2013/1,1030.6,0.0,6.8,11.2,2.2,57.0,40.0,2.2,7.6,7.8,0.0
2013/2,1029.1,2.5,7.2,11.6,2.6,76.0,50.0,1.3,5.3,3.2,0.0
2013/2,1013.5,24.5,14.5,21.7,8.0,67.0,28.0,2.8,13.4,6.3,0.0
2013/2,1018.0,0.0,10.5,14.1,6.3,56.0,25.0,2.2,9.3,9.1,0.0
2013/2,1010.7,5.5,10.0,16.6,7.8,79.0,42.0,1.5,9.9,0.0,0.0
2013/2,1014.8,0.0,10.0,13.7,5.9,67.0,46.0,1.9,6.8,1.8,0.0
2013/2,1008.9,13.5,8.0,10.0,7.2,84.0,56.0,2.6,10.1,0.0,0.0
2013/2,1006.8,0.0,9.7,14.9,5.1,55.0,30.0,3.5,14.2,7.2,0.0
2013/2,1008.7,0.0,6.0,9.9,2.2,23.0,13.0,3.4,12.2,8.4,0.0
2013/2,1017.0,0.0,5.0,9.1,1.4,48.0,32.0,1.5,7.3,6.2,0.0
2013/2,1014.2,0.0,6.2,11.2,0.5,51.0,30.0,2.0,8.4,10.1,0.0
2013/2,1016.9,0.0,7.4,12.6,2.4,34.0,15.0,3.8,15.8,10.2,0.0
2013/2,1021.9,2.0,5.2,8.6,-0.1,57.0,39.0,1.7,6.0,1.9,0.0
2013/2,1010.8,6.5,9.0,14.8,4.7,62.0,22.0,2.1,7.2,10.1,0.0
2013/2,1019.2,0.0,9.1,14.0,5.5,60.0,44.0,1.9,10.4,7.8,0.0
2013/2,1009.0,3.0,7.2,9.6,4.9,75.0,48.0,1.1,4.3,0.0,0.0
2013/2,1012.2,0.0,5.0,9.6,0.1,47.0,17.0,2.0,8.4,9.8,0.0
2013/2,1020.8,0.0,3.6,9.4,-1.8,49.0,16.0,1.5,7.9,8.4,0.0
2013/2,1009.3,41.0,6.5,9.9,2.1,86.0,58.0,1.2,6.7,0.0,0.0
2013/2,1007.9,7.0,7.2,9.7,4.4,81.0,70.0,3.0,9.9,0.0,0.0
2013/2,1013.2,0.0,6.5,12.1,3.2,50.0,14.0,2.8,11.5,8.7,0.0
2013/2,1017.1,0.0,5.6,11.2,0.9,32.0,14.0,3.6,12.8,10.5,0.0
2013/2,1016.9,0.0,5.2,10.5,-1.0,43.0,26.0,2.3,11.2,10.3,0.0
2013/2,1014.6,0.0,6.8,11.5,2.9,40.0,23.0,3.3,9.9,10.6,0.0
2013/2,1014.9,0.0,5.9,9.5,1.5,27.0,13.0,4.3,17.9,10.7,0.0
2013/2,1021.5,0.0,3.5,8.5,-2.0,43.0,28.0,1.5,7.1,10.2,0.0
2013/2,1022.1,0.0,5.8,10.1,-0.2,53.0,28.0,1.8,7.9,9.6,0.0
2013/2,1011.0,14.5,7.8,10.5,4.5,84.0,70.0,1.5,4.9,0.0,0.0
2013/2,1016.0,0.0,10.8,15.6,6.1,68.0,43.0,0.0,7.0,4.9,0.0
2013/3,1009.5,40.5,12.5,16.9,7.1,71.0,38.0,2.3,10.3,1.3,0.0
2013/3,1003.7,0.0,10.4,15.0,4.1,34.0,14.0,2.7,12.2,10.6,0.0
2013/3,1013.0,0.0,6.9,12.0,1.3,53.0,27.0,1.7,7.2,3.2,0.0
2013/3,1013.1,0.0,7.9,13.0,4.1,57.0,33.0,2.3,8.0,7.8,0.0
2013/3,1017.1,0.0,7.8,13.7,1.9,51.0,21.0,1.5,6.8,10.9,0.0
2013/3,1016.1,0.0,11.7,21.0,2.9,41.0,6.0,2.4,12.9,10.8,0.0
2013/3,1015.5,0.0,13.0,20.2,6.5,51.0,20.0,2.3,12.3,9.9,0.0
2013/3,1005.5,0.0,16.6,23.2,7.9,43.0,21.0,3.5,16.7,8.7,0.0
2013/3,1006.8,0.0,18.7,24.8,12.4,30.0,13.0,3.0,12.6,10.6,0.0
2013/3,1003.4,0.0,15.9,24.0,10.3,40.0,6.0,2.9,17.6,4.2,0.0
2013/3,1016.5,0.0,10.0,12.9,7.5,48.0,21.0,2.6,9.2,3.5,0.0
2013/3,1018.3,0.0,11.1,18.7,4.7,48.0,15.0,2.2,10.4,11.3,0.0
2013/3,1009.8,22.0,15.5,21.5,7.1,64.0,45.0,3.2,15.4,3.9,0.0
2013/3,1013.5,0.5,10.7,16.6,7.9,71.0,55.0,3.2,12.9,0.0,0.0
2013/3,1021.9,0.0,10.1,16.5,6.6,64.0,43.0,2.4,9.8,8.5,0.0
2013/3,1014.3,0.0,12.6,22.2,4.2,46.0,9.0,2.5,14.6,11.1,0.0
2013/3,1018.5,0.0,12.5,17.5,6.4,56.0,40.0,1.7,7.8,9.9,0.0
2013/3,1008.9,32.5,16.5,20.6,11.5,78.0,54.0,3.5,21.3,0.6,0.0
2013/3,1005.3,0.0,20.6,28.0,15.0,49.0,10.0,2.7,13.0,11.3,0.0
2013/3,1003.1,5.5,16.4,20.3,13.2,67.0,39.0,2.2,10.2,3.6,0.0
2013/3,1005.9,0.0,13.2,17.5,9.9,43.0,19.0,3.0,18.3,11.4,0.0
2013/3,1007.6,0.0,14.8,20.3,8.4,43.0,18.0,2.8,10.9,10.3,0.0
2013/3,1006.7,0.0,14.9,19.8,9.5,54.0,33.0,2.2,7.6,9.8,0.0
2013/3,1007.8,0.0,13.9,17.0,10.6,68.0,54.0,2.5,10.5,6.3,0.0
2013/3,1002.9,0.5,13.4,18.2,9.7,56.0,25.0,2.9,11.7,4.9,0.0
2013/3,1015.9,0.0,10.1,13.8,5.5,56.0,28.0,2.0,9.2,6.1,0.0
2013/3,1019.2,0.0,12.7,17.0,8.7,64.0,50.0,1.9,7.1,1.6,0.0
2013/3,1011.6,0.0,16.1,21.4,11.8,72.0,48.0,2.0,6.6,4.6,0.0
2013/3,1007.4,0.0,18.0,24.4,13.3,60.0,24.0,2.1,13.0,3.3,0.0
2013/3,1015.9,0.0,13.5,16.9,11.1,67.0,51.0,4.3,11.1,3.3,0.0
2013/3,1015.2,0.0,12.9,16.7,10.4,76.0,66.0,3.0,9.9,0.0,0.0
2013/4,1020.7,0.5,13.4,17.3,10.9,63.0,37.0,3.2,9.9,7.6,0.0
2013/4,1012.0,21.5,13.1,14.5,11.5,89.0,81.0,2.2,7.8,0.0,0.0
2013/4,996.9,24.5,13.8,17.6,11.2,84.0,59.0,1.7,11.8,2.8,0.0
2013/4,1012.4,0.0,16.1,21.9,9.1,71.0,43.0,1.8,9.8,8.3,0.0
2013/4,1016.4,0.0,17.7,21.5,12.7,70.0,51.0,2.0,8.8,9.6,0.0
2013/4,1003.2,90.0,16.1,20.2,14.5,83.0,55.0,2.4,10.8,0.2,0.0
2013/4,983.2,4.0,16.9,21.9,11.0,53.0,25.0,4.9,20.1,9.6,0.0
2013/4,1002.2,0.0,14.1,20.9,6.2,37.0,17.0,2.0,13.0,12.0,0.0
2013/4,1007.5,0.0,16.5,22.8,8.5,41.0,19.0,3.3,13.8,9.9,0.0
2013/4,1006.8,0.0,15.7,19.9,12.5,24.0,14.0,4.0,12.5,7.8,0.0
2013/4,1010.0,0.0,12.2,17.1,8.9,32.0,17.0,4.3,14.5,10.7,0.0
2013/4,1010.4,0.0,11.7,18.1,4.6,30.0,16.0,3.5,13.7,11.9,0.0
2013/4,1013.9,0.0,11.2,15.7,4.8,49.0,31.0,2.2,8.1,11.0,0.0
2013/4,1010.9,0.0,15.5,21.2,8.0,57.0,41.0,2.8,11.3,6.2,0.0
2013/4,1003.6,0.0,20.6,25.9,15.7,37.0,15.0,4.2,15.7,11.6,0.0
2013/4,1010.3,0.0,17.9,21.2,13.5,52.0,29.0,2.8,14.3,10.0,0.0
2013/4,1009.0,0.0,19.1,22.9,13.5,59.0,41.0,2.1,11.1,1.9,0.0
2013/4,1004.4,0.0,18.6,23.4,12.6,64.0,47.0,2.4,10.9,11.6,0.0
2013/4,1004.3,0.0,16.8,21.3,13.1,52.0,33.0,3.5,15.4,8.8,0.0
2013/4,1012.9,5.5,11.3,13.2,9.4,57.0,36.0,4.1,10.8,0.0,0.0
2013/4,1005.5,43.0,10.9,13.5,8.9,80.0,54.0,3.5,10.3,0.0,0.0
2013/4,1016.6,0.0,12.3,16.5,7.7,58.0,39.0,2.5,11.1,8.9,0.0
2013/4,1022.6,0.0,14.1,18.5,7.6,54.0,28.0,2.3,9.5,9.0,0.0
2013/4,1012.2,76.5,14.6,17.2,12.9,83.0,59.0,1.6,9.7,0.0,0.0
2013/4,1003.8,0.0,17.4,22.1,12.6,72.0,38.0,1.9,10.0,5.6,0.0
2013/4,999.9,0.0,17.3,24.0,12.6,48.0,16.0,3.1,15.1,10.5,0.0
2013/4,1006.1,0.0,16.3,23.4,7.9,32.0,15.0,3.0,11.4,12.9,0.0
2013/4,1014.9,0.0,15.0,20.2,8.2,46.0,19.0,2.0,8.7,12.8,0.0
2013/4,1015.7,0.0,17.2,23.9,9.9,53.0,28.0,2.5,10.8,11.2,0.0
2013/4,1005.4,3.5,18.3,21.8,15.4,70.0,50.0,2.7,10.1,0.6,0.0
2013/5,998.0,3.5,15.6,18.8,13.0,69.0,52.0,2.5,12.1,7.3,0.0
2013/5,1004.1,0.0,14.8,18.6,11.6,62.0,39.0,2.9,9.6,8.2,0.0
2013/5,1009.4,0.0,15.7,22.3,10.0,46.0,16.0,2.8,12.2,12.9,0.0
2013/5,1012.3,0.0,16.6,24.3,8.9,45.0,21.0,2.8,14.9,12.9,0.0
2013/5,1015.5,0.0,16.9,21.3,11.1,56.0,33.0,2.1,9.4,11.7,0.0
2013/5,1009.0,0.0,19.5,26.6,11.2,48.0,21.0,3.5,16.5,12.5,0.0
2013/5,1009.6,0.0,16.9,22.7,13.0,50.0,16.0,2.3,10.4,6.9,0.0
2013/5,1013.6,0.0,15.6,19.8,10.3,59.0,43.0,2.6,11.6,12.9,0.0
2013/5,1012.9,0.0,18.0,23.0,11.5,56.0,28.0,2.0,9.0,12.7,0.0
2013/5,1008.2,5.5,18.7,24.6,13.7,68.0,36.0,1.8,10.9,4.7,0.0
2013/5,1002.3,68.0,17.4,18.9,15.1,95.0,91.0,1.0,6.3,0.0,0.0
2013/5,1005.7,0.0,19.9,23.5,18.0,80.0,59.0,2.1,10.6,4.2,0.0
2013/5,1012.9,0.0,19.5,22.9,15.2,77.0,60.0,2.0,8.2,4.6,0.0
2013/5,1013.0,0.0,19.9,23.9,15.3,78.0,55.0,1.6,6.9,12.4,0.0
2013/5,1013.4,0.0,20.4,23.7,18.1,71.0,50.0,2.3,9.4,8.0,0.0
2013/5,1010.0,0.0,20.1,24.7,15.3,67.0,45.0,2.3,12.9,8.4,0.0
2013/5,1014.2,0.0,18.9,22.0,15.3,66.0,50.0,2.5,12.0,12.1,0.0
2013/5,1012.7,0.0,20.1,23.3,16.3,57.0,35.0,2.7,10.6,6.4,0.0
2013/5,1005.3,4.0,17.9,22.8,14.0,70.0,47.0,2.0,8.5,6.6,0.0
2013/5,1000.0,16.0,19.5,23.2,14.9,88.0,76.0,1.8,6.5,0.0,0.0
2013/5,1003.1,0.0,22.0,25.5,19.2,78.0,63.0,0.0,6.5,5.8,0.0
2013/5,1007.8,0.0,21.2,24.7,17.5,78.0,56.0,1.9,7.8,6.5,0.0
2013/5,1008.0,0.0,21.7,27.2,17.0,62.0,42.0,2.1,8.5,9.8,0.0
2013/5,1012.4,0.0,20.9,25.3,15.9,56.0,34.0,2.0,8.9,12.3,0.0
2013/5,1018.1,0.0,20.3,24.6,16.0,68.0,47.0,2.5,8.7,9.5,0.0
2013/5,1020.5,0.0,20.9,24.8,16.5,73.0,49.0,1.7,8.0,8.0,0.0
2013/5,1021.2,0.0,21.4,23.7,19.8,71.0,52.0,1.8,8.1,3.5,0.0
2013/5,1020.5,0.0,20.9,23.3,19.1,70.0,53.0,1.5,7.1,0.4,0.0
2013/5,1016.1,26.5,19.3,22.5,18.0,87.0,68.0,1.4,6.8,0.0,0.0
2013/5,1008.5,57.5,20.6,22.4,18.1,96.0,93.0,1.6,8.8,0.0,0.0
2013/5,1008.1,0.0,23.0,27.1,20.2,66.0,39.0,2.1,8.6,4.4,0.0
2013/6,1008.3,0.0,21.1,25.6,16.8,60.0,28.0,2.1,8.7,4.3,0.0
