年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1019.6,0.5,3.8,7.9,-0.2,72.0,53.0,1.5,6.2,5.9,0.0
2013/1,1021.6,0.5,6.7,12.3,3.0,68.0,44.0,3.7,21.5,3.4,0.0
2013/1,1025.2,0.0,2.4,4.7,0.1,52.0,39.0,4.0,11.3,5.0,0.0
2013/1,1024.8,0.0,2.3,6.2,-1.1,59.0,39.0,2.4,7.8,7.5,0.0
2013/1,1020.9,0.0,2.9,7.1,-1.1,64.0,39.0,1.5,5.8,8.3,0.0
2013/1,1019.4,0.0,4.2,8.9,0.5,64.0,39.0,1.6,5.4,5.2,0.0
2013/1,1018.8,0.0,4.6,10.0,-0.3,64.0,41.0,1.9,6.1,9.1,0.0
2013/1,1017.7,0.0,5.7,10.5,2.0,59.0,34.0,1.6,6.2,8.1,0.0
2013/1,1016.5,0.0,6.1,9.8,2.3,52.0,33.0,3.7,11.8,7.4,0.0
2013/1,1021.1,0.0,4.5,7.7,2.2,47.0,36.0,4.8,12.2,9.4,0.0
2013/1,1026.3,0.0,3.3,8.0,0.0,58.0,39.0,1.9,5.4,8.6,0.0
2013/1,1023.7,0.0,4.3,10.5,-0.8,66.0,39.0,1.5,7.2,4.1,0.0
2013/1,1020.9,8.5,4.6,7.9,-0.5,80.0,71.0,1.2,7.1,0.0,0.0
2013/1,1009.5,25.5,6.0,8.7,2.2,78.0,44.0,4.1,16.0,1.7,0.0
2013/1,1021.2,0.0,4.8,7.0,0.5,53.0,40.0,3.6,17.1,2.1,0.0
2013/1,1019.8,0.0,4.2,8.4,-1.1,65.0,45.0,1.7,5.3,7.2,0.0
2013/1,1017.9,3.5,4.5,7.3,1.8,69.0,48.0,2.5,8.7,0.7,0.0
2013/1,1024.4,0.0,2.6,6.3,0.0,54.0,38.0,3.0,10.1,7.2,0.0
2013/1,1024.4,0.0,5.2,9.4,-0.8,58.0,42.0,3.7,12.1,3.0,0.0
2013/1,1029.5,0.0,5.5,9.5,1.4,57.0,42.0,1.7,5.6,3.5,0.0
2013/1,1024.4,5.5,4.1,7.6,-0.7,79.0,58.0,1.4,5.5,1.4,0.0
2013/1,1013.4,2.0,7.8,11.6,4.9,82.0,61.0,2.7,9.3,0.5,0.0
2013/1,1015.3,0.0,6.2,9.6,2.6,67.0,40.0,1.4,3.9,3.7,0.0
2013/1,1012.0,0.0,6.9,13.1,0.6,65.0,41.0,3.5,12.6,5.9,0.0
2013/1,1011.0,0.0,5.2,9.0,2.2,43.0,28.0,6.8,20.0,8.1,0.0
2013/1,1012.9,0.0,3.4,6.7,0.4,47.0,27.0,6.1,18.6,7.8,0.0
2013/1,1017.3,2.0,2.0,6.4,-2.0,60.0,36.0,3.6,13.5,6.4,0.0
