年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1021.3,0.0,4.1,9.6,-1.2,66.0,42.0,1.3,5.6,6.6,0.0
2013/1,1023.1,0.0,7.3,14.2,2.6,65.0,36.0,1.9,9.3,6.7,0.0
2013/1,1025.0,0.0,3.9,7.3,1.6,51.0,24.0,1.9,7.8,5.9,0.0
2013/1,1024.5,0.0,3.3,7.3,-0.4,47.0,32.0,2.0,11.5,7.4,0.0
2013/1,1021.0,0.0,4.4,8.5,-0.2,61.0,45.0,1.4,4.1,3.1,0.0
2013/1,1018.9,0.0,5.7,11.4,0.7,58.0,37.0,1.5,6.2,7.8,0.0
2013/1,1018.8,0.0,6.2,12.8,0.7,65.0,40.0,1.6,5.5,7.9,0.0
2013/1,1017.1,0.0,8.1,13.7,4.7,54.0,31.0,1.4,4.4,6.2,0.0
2013/1,1016.1,0.0,6.3,12.9,1.9,53.0,27.0,1.6,7.0,8.2,0.0
2013/1,1021.1,0.0,4.2,10.6,-0.6,50.0,24.0,1.6,8.7,9.2,0.0
2013/1,1026.5,0.0,4.4,11.1,-1.0,58.0,12.0,1.5,5.2,9.3,0.0
2013/1,1024.1,0.0,6.3,14.8,0.6,68.0,40.0,1.6,5.8,6.9,0.0
2013/1,1020.0,12.0,6.1,9.8,2.2,73.0,46.0,1.7,7.7,0.4,0.0
2013/1,1006.5,17.0,8.9,12.2,6.7,63.0,35.0,2.3,13.9,1.3,0.0
2013/1,1020.1,0.0,6.4,9.8,2.5,45.0,34.0,2.3,11.4,9.2,0.0
2013/1,1019.7,0.0,6.7,12.9,1.0,59.0,28.0,1.8,8.1,8.0,0.0
2013/1,1017.5,0.0,5.3,10.5,1.5,61.0,45.0,1.9,12.3,4.7,0.0
2013/1,1024.3,0.0,4.1,8.9,0.3,41.0,23.0,2.3,10.8,9.4,0.0
2013/1,1025.3,0.0,4.2,12.4,-1.7,59.0,35.0,1.8,8.2,9.3,0.0
2013/1,1029.1,0.0,5.4,12.6,-0.5,60.0,32.0,1.6,4.9,7.9,0.0
2013/1,1025.0,6.5,6.8,11.5,1.3,77.0,48.0,1.4,4.5,1.9,0.0
2013/1,1013.3,3.5,10.7,17.7,8.1,75.0,50.0,2.0,9.1,2.1,0.0
2013/1,1014.8,0.0,7.3,11.6,3.2,62.0,40.0,1.5,6.8,2.4,0.0
2013/1,1013.4,0.0,6.9,14.5,0.9,62.0,25.0,1.7,8.7,9.0,0.0
2013/1,1011.6,0.0,6.3,10.6,1.4,44.0,17.0,2.7,13.8,8.9,0.0
2013/1,1013.5,0.0,3.8,9.3,-0.8,44.0,24.0,2.4,12.9,8.0,0.0
2013/1,1018.4,0.0,2.4,8.2,-2.4,52.0,28.0,2.2,12.2,8.8,0.0
2013/1,1022.1,0.0,4.1,9.8,-0.5,52.0,32.0,1.4,6.1,9.6,0.0
2013/1,1025.6,0.0,5.1,12.0,-0.9,59.0,27.0,1.6,4.7,8.1,0.0
2013/1,1027.7,0.0,7.6,14.6,2.0,56.0,32.0,1.7,6.1,9.0,0.0
2013/1,1031.6,0.0,7.9,14.1,1.6,68.0,41.0,1.5,5.6,8.5,0.0
2013/2,1027.5,37.5,10.3,13.1,6.4,85.0,67.0,1.3,5.7,0.0,0.0
2013/2,1018.4,2.0,14.2,21.9,8.1,72.0,28.0,1.9,9.7,7.5,0.0
2013/2,1022.7,0.0,10.3,15.3,4.5,51.0,28.0,1.5,6.4,9.1,0.0
2013/2,1014.7,10.0,11.6,18.3,7.6,83.0,58.0,1.8,10.1,0.7,0.0
2013/2,1017.5,6.0,10.8,14.7,7.2,64.0,38.0,1.5,7.0,3.1,0.0
2013/2,1010.6,5.0,11.6,17.4,7.3,74.0,34.0,1.5,7.2,6.4,0.0
2013/2,1012.7,0.0,7.9,13.8,4.1,61.0,30.0,2.1,8.7,5.0,0.0
2013/2,1020.6,0.0,3.0,5.4,0.8,44.0,26.0,2.6,12.6,8.6,0.0
2013/2,1022.6,0.0,4.6,9.6,0.9,43.0,25.0,1.5,8.9,8.2,0.0
2013/2,1021.1,0.0,5.5,11.8,-0.2,56.0,31.0,1.7,6.1,10.0,0.0
