年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1018.0,0.0,4.2,8.6,-0.2,58.0,27.0,3.4,12.4,8.5,0.0
2013/1,1021.3,1.0,4.1,8.0,1.5,69.0,54.0,4.0,13.5,0.4,0.0
2013/1,1024.5,16.5,-0.1,2.1,-1.6,81.0,53.0,3.3,11.2,0.4,12.0
2013/1,1024.6,1.5,0.7,2.2,-0.8,83.0,54.0,2.6,12.3,0.6,1.0
2013/1,1020.1,0.0,2.2,6.5,-0.3,76.0,48.0,2.6,6.3,6.5,0.0
2013/1,1019.2,1.0,2.5,5.4,-0.2,84.0,64.0,2.5,5.2,0.0,0.0
2013/1,1018.1,0.0,4.8,11.3,1.7,76.0,37.0,2.5,6.6,6.0,0.0
2013/1,1017.8,2.0,3.7,7.5,1.0,86.0,70.0,2.2,5.5,0.3,0.0
2013/1,1016.1,0.0,4.1,8.5,0.6,69.0,41.0,3.8,12.7,3.6,0.0
2013/1,1020.4,10.0,2.6,5.6,0.4,76.0,47.0,3.1,11.7,1.2,1.0
2013/1,1026.0,4.5,2.3,6.9,-0.4,85.0,56.0,1.9,4.7,1.5,0.0
2013/1,1022.3,0.0,4.9,12.1,-0.7,70.0,40.0,3.0,9.2,5.1,0.0
2013/1,1020.7,5.0,5.9,11.1,0.9,78.0,54.0,2.3,5.5,2.4,0.0
2013/1,1010.0,29.0,5.6,9.0,3.0,83.0,49.0,4.0,22.2,0.2,0.0
2013/1,1021.2,0.0,4.2,6.2,2.3,60.0,42.0,5.3,17.8,2.3,0.0
2013/1,1018.5,0.0,4.8,8.5,0.3,62.0,41.0,0.0,0.0,3.4,0.0
2013/1,1018.7,27.5,2.0,6.1,-0.1,83.0,54.0,3.5,14.8,0.0,5.0
2013/1,1023.8,3.5,1.5,4.3,-1.1,74.0,48.0,4.9,16.0,2.2,2.0
2013/1,1023.6,0.5,3.3,8.3,0.4,77.0,48.0,3.5,10.4,2.5,0.0
2013/1,1029.8,0.0,5.3,8.3,2.5,64.0,42.0,3.0,8.8,2.1,0.0
2013/1,1023.1,4.0,4.6,10.1,-0.6,75.0,48.0,3.1,11.9,0.5,0.0
2013/1,1013.5,23.0,8.2,10.6,5.7,84.0,67.0,4.7,14.3,0.0,0.0
2013/1,1015.6,2.5,4.7,6.8,2.1,83.0,59.0,2.5,11.2,0.3,0.0
2013/1,1010.5,0.5,5.8,11.9,0.5,76.0,46.0,3.1,16.0,3.5,0.0
2013/1,1010.5,1.0,2.5,8.2,-0.8,57.0,36.0,6.5,17.8,1.8,3.0
2013/1,1012.1,2.0,1.1,3.0,-0.4,61.0,44.0,6.9,18.0,2.4,1.0
2013/1,1016.1,5.5,0.5,5.3,-2.1,80.0,51.0,2.5,10.2,2.9,5.0
2013/1,1020.8,0.5,3.1,4.9,-2.0,63.0,47.0,4.7,18.4,0.7,0.0
2013/1,1024.5,0.0,4.4,9.9,-0.3,71.0,40.0,2.2,5.7,3.2,0.0
2013/1,1028.1,1.0,4.9,8.2,1.5,87.0,73.0,2.0,4.4,0.1,0.0
2013/1,1031.3,0.0,4.8,12.3,-0.3,75.0,34.0,2.3,6.4,9.5,0.0
2013/2,1022.8,2.0,9.1,14.1,0.3,68.0,41.0,5.2,21.1,2.4,0.0
2013/2,1017.5,0.0,12.1,14.9,8.0,77.0,68.0,3.7,23.5,0.0,0.0
2013/2,1022.5,0.0,7.9,11.3,6.3,63.0,46.0,2.5,7.9,4.9,0.0
2013/2,1013.8,12.5,8.7,11.7,5.8,79.0,51.0,4.1,13.7,0.0,0.0
2013/2,0.0,0.5,5.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
2013/2,1011.7,5.0,3.9,7.7,0.8,90.0,78.0,2.0,5.5,0.4,0.0
2013/2,1012.3,5.5,4.5,8.7,-0.6,73.0,44.0,4.3,17.8,3.5,8.0
2013/2,1020.8,3.0,0.0,1.5,-2.1,69.0,50.0,5.7,18.1,1.5,1.0
2013/2,1022.5,0.0,1.2,5.5,-1.3,73.0,46.0,2.1,5.6,4.2,0.0
2013/2,1019.8,0.0,4.1,8.6,-0.2,62.0,39.0,3.5,11.6,4.3,0.0
2013/2,1024.6,1.5,3.3,6.2,0.9,71.0,43.0,4.0,13.9,0.3,0.0
2013/2,1021.6,3.5,3.2,7.2,-0.2,78.0,50.0,2.7,10.0,2.8,0.0
2013/2,1021.3,7.0,4.6,8.3,1.3,66.0,40.0,4.4,15.8,2.0,0.0
2013/2,1021.8,0.0,4.9,11.5,0.5,69.0,35.0,2.4,8.2,8.0,0.0
2013/2,1014.8,17.5,3.9,6.2,2.3,86.0,65.0,3.1,14.5,0.0,0.0
2013/2,1022.3,0.5,2.1,5.6,0.2,66.0,43.0,4.7,14.5,1.3,1.0
2013/2,1022.4,0.5,2.6,6.2,-0.9,74.0,51.0,3.2,9.0,1.4,0.0
2013/2,1012.4,27.5,5.7,7.6,4.0,88.0,63.0,3.5,13.2,0.0,0.0
2013/2,1017.0,0.0,3.6,6.1,1.2,65.0,53.0,2.9,9.9,0.0,0.0
