年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/1,1018.5,0.0,7.3,13.3,2.8,72.0,47.0,2.4,9.6,4.5,0.0
2013/1,1021.5,0.0,9.1,16.1,4.3,70.0,41.0,3.4,10.2,7.2,0.0
2013/1,1024.8,0.0,5.6,8.2,1.7,51.0,26.0,4.7,12.6,7.8,0.0
2013/1,1021.8,0.0,4.4,8.7,0.9,49.0,31.0,3.1,7.9,5.8,0.0
2013/1,1018.3,0.0,7.1,10.4,5.6,55.0,35.0,2.8,8.5,0.3,0.0
2013/1,1017.4,0.0,6.7,10.1,4.1,62.0,49.0,3.2,8.4,3.3,0.0
2013/1,1016.8,0.0,7.3,11.4,2.2,66.0,51.0,2.7,6.0,2.3,0.0
2013/1,1014.9,0.0,9.4,12.6,6.6,69.0,59.0,2.2,7.5,0.3,0.0
2013/1,1015.7,0.0,7.6,12.1,4.7,56.0,36.0,4.4,12.3,8.4,0.0
2013/1,0.0,0.0,5.3,10.0,2.6,0.0,35.0,0.0,0.0,9.4,0.0
2013/1,1022.7,0.0,6.6,12.7,0.8,61.0,46.0,3.2,6.8,8.5,0.0
2013/1,1020.3,0.0,10.8,16.2,7.3,57.0,32.0,3.4,7.2,5.5,0.0
2013/1,1012.7,33.5,11.3,12.4,8.1,83.0,66.0,4.3,13.9,0.0,0.0
2013/1,1006.9,6.0,10.9,14.6,7.2,66.0,43.0,5.1,18.9,7.5,0.0
2013/1,1017.7,0.0,8.6,13.7,4.8,56.0,35.0,2.9,10.2,9.5,0.0
2013/1,1017.8,0.0,8.6,15.3,3.2,67.0,46.0,3.4,9.3,5.8,0.0
2013/1,1017.8,0.0,6.2,9.8,2.3,67.0,48.0,4.5,15.0,1.6,0.0
2013/1,1023.2,0.0,5.3,10.9,1.3,56.0,35.0,3.6,10.2,9.1,0.0
2013/1,1024.3,0.0,6.3,13.0,0.8,66.0,41.0,3.4,10.9,2.7,0.0
2013/1,1026.1,0.0,7.4,12.8,1.7,66.0,42.0,2.7,6.5,7.7,0.0
2013/1,1019.9,18.5,10.9,13.9,7.0,84.0,72.0,2.1,5.8,0.0,0.0
2013/1,1013.1,7.5,12.8,16.2,10.1,81.0,64.0,3.6,11.9,0.1,0.0
2013/1,1012.2,1.5,10.1,14.2,6.5,84.0,62.0,2.3,10.6,1.3,0.0
2013/1,1012.9,0.0,8.9,13.6,4.5,76.0,50.0,2.8,14.2,4.2,0.0
2013/1,1014.4,3.0,7.2,10.6,4.5,56.0,37.0,6.0,16.6,6.0,0.0
2013/1,1015.3,0.0,5.3,7.7,3.2,64.0,52.0,3.8,13.2,1.8,0.0
2013/1,1018.3,0.0,4.2,8.1,2.2,67.0,51.0,3.5,13.8,1.2,0.0
2013/1,1021.6,0.0,5.4,11.2,1.0,58.0,32.0,3.6,10.0,10.0,0.0
2013/1,1022.9,0.0,6.4,12.7,0.3,62.0,23.0,2.8,8.0,6.2,0.0
2013/1,1024.4,0.0,9.2,15.8,2.6,62.0,34.0,3.0,5.9,9.9,0.0
2013/1,1026.6,0.0,11.7,17.9,5.5,71.0,47.0,2.8,6.4,8.9,0.0
2013/2,1021.4,9.5,15.2,18.4,12.2,80.0,61.0,3.8,9.5,0.0,0.0
2013/2,1018.6,14.0,14.0,18.3,8.5,82.0,55.0,3.6,11.2,3.5,0.0
2013/2,1019.6,0.0,12.1,17.2,5.7,69.0,23.0,2.6,7.4,8.1,0.0
2013/2,1012.9,18.5,16.6,20.7,12.9,86.0,76.0,4.3,18.4,0.0,0.0
2013/2,1012.9,27.5,12.5,13.9,10.6,90.0,78.0,2.5,10.8,0.0,0.0
2013/2,1010.5,0.5,12.4,15.1,9.8,81.0,61.0,4.1,13.9,1.9,0.0
2013/2,1014.7,0.0,8.5,11.6,3.6,60.0,44.0,5.1,15.2,2.8,0.0
2013/2,1019.6,0.0,3.4,6.9,0.8,55.0,37.0,4.4,14.1,7.2,0.0
2013/2,1020.0,0.0,6.1,12.2,2.4,51.0,31.0,3.2,9.1,9.5,0.0
2013/2,1019.3,0.0,7.8,14.2,3.0,53.0,34.0,3.6,9.4,10.1,0.0
2013/2,1021.6,0.0,8.6,15.6,2.2,52.0,31.0,3.3,9.1,10.0,0.0
2013/2,1017.3,13.0,9.6,11.7,5.6,83.0,67.0,3.6,10.9,0.0,0.0
2013/2,1018.6,0.0,8.3,14.4,4.8,55.0,26.0,3.7,10.9,10.0,0.0
2013/2,1017.8,3.5,9.6,12.9,5.1,80.0,65.0,2.5,7.1,0.4,0.0
2013/2,1012.2,10.5,9.6,12.5,5.7,76.0,44.0,3.8,12.2,3.4,0.0
2013/2,1019.1,0.0,7.8,14.1,3.0,52.0,28.0,3.5,11.5,10.4,0.0
2013/2,1018.1,0.0,10.2,14.8,3.3,72.0,57.0,2.9,9.5,3.5,0.0
2013/2,1008.9,33.5,15.7,18.6,13.2,87.0,76.0,3.9,16.0,0.0,0.0
2013/2,1011.8,1.0,9.9,13.2,7.1,81.0,68.0,3.3,9.8,0.1,0.0
2013/2,1019.8,0.0,8.1,14.2,4.1,57.0,27.0,3.7,8.9,10.6,0.0
2013/2,1022.7,0.0,7.6,14.2,2.6,48.0,23.0,4.1,9.8,10.3,0.0
2013/2,1021.8,0.0,7.9,13.3,3.8,47.0,23.0,3.5,9.6,2.9,0.0
2013/2,1021.9,0.0,7.8,14.2,3.2,58.0,29.0,4.0,13.1,9.3,0.0
2013/2,1023.1,0.0,8.1,14.9,1.9,45.0,13.0,3.4,9.5,10.4,0.0
2013/2,1023.0,0.0,10.4,15.3,5.2,57.0,43.0,2.5,6.7,1.7,0.0
2013/2,1016.6,51.5,12.1,14.3,10.7,83.0,68.0,2.3,7.1,0.0,0.0
2013/2,1009.2,16.5,15.1,20.7,10.8,74.0,49.0,3.8,9.7,9.5,0.0
2013/2,1014.1,0.0,13.5,19.4,7.8,67.0,49.0,2.9,8.3,9.9,0.0
2013/3,1009.8,8.0,13.2,22.2,9.0,82.0,68.0,3.5,15.2,0.0,0.0
2013/3,1015.1,0.0,9.4,14.5,6.6,58.0,37.0,4.6,10.8,8.8,0.0
2013/3,1016.5,0.0,8.5,14.4,5.3,54.0,31.0,3.9,10.9,4.8,0.0
2013/3,1017.1,0.0,9.2,14.8,4.1,59.0,33.0,4.1,12.9,9.8,0.0
2013/3,1021.1,0.0,10.3,17.5,4.6,56.0,23.0,3.4,8.8,10.6,0.0
2013/3,1020.4,0.0,11.0,19.3,4.3,64.0,38.0,3.2,8.7,10.9,0.0
2013/3,1015.2,0.0,12.9,19.9,5.5,69.0,50.0,2.5,8.2,8.4,0.0
2013/3,1010.6,0.0,17.4,22.7,12.7,56.0,22.0,2.9,11.0,9.3,0.0
2013/3,1011.8,0.0,18.0,25.5,12.0,73.0,32.0,2.6,13.4,10.0,0.0
2013/3,1010.4,0.0,18.7,24.1,12.6,70.0,45.0,3.7,16.0,1.5,0.0
2013/3,1016.5,0.0,13.2,17.8,8.5,57.0,43.0,2.8,8.1,9.1,0.0
2013/3,1015.8,0.0,15.3,21.0,9.1,70.0,53.0,3.1,8.4,9.3,0.0
2013/3,1008.6,7.5,17.7,23.0,13.6,82.0,69.0,3.7,15.6,0.0,0.0
2013/3,1015.7,0.0,12.4,18.1,9.0,62.0,35.0,3.8,11.9,10.0,0.0
2013/3,1020.2,0.0,12.4,17.9,7.4,71.0,51.0,2.7,6.0,10.3,0.0
2013/3,1018.6,0.0,13.9,21.9,8.3,65.0,26.0,3.4,9.5,10.8,0.0
2013/3,1014.3,0.0,15.3,20.4,9.1,72.0,48.0,3.3,12.6,1.5,0.0
2013/3,1004.1,13.5,18.5,21.8,14.8,82.0,68.0,4.7,15.6,0.0,0.0
2013/3,1009.9,0.0,16.7,22.6,11.2,71.0,41.0,2.2,6.4,10.5,0.0
2013/3,1005.3,30.5,15.9,20.7,11.9,82.0,68.0,3.6,12.8,0.5,0.0
2013/3,1011.2,0.0,12.6,18.7,8.4,62.0,42.0,3.4,10.7,11.1,0.0
2013/3,1009.3,3.0,11.7,15.7,6.7,83.0,60.0,2.4,6.6,4.0,0.0
2013/3,1009.8,0.5,13.8,18.9,9.8,79.0,55.0,2.4,7.0,2.9,0.0
2013/3,1005.8,2.5,14.2,17.9,12.4,83.0,62.0,2.3,8.3,0.3,0.0
2013/3,1008.3,0.0,13.8,18.8,9.0,63.0,43.0,4.8,14.4,8.0,0.0
2013/3,1014.9,0.0,12.0,16.6,6.5,65.0,50.0,2.8,7.8,1.7,0.0
2013/3,1010.7,15.0,13.8,15.6,12.0,89.0,68.0,2.9,8.5,0.0,0.0
2013/3,1009.1,0.0,17.3,22.3,13.3,76.0,55.0,2.4,7.7,6.2,0.0
2013/3,1010.9,0.0,16.1,19.9,13.7,63.0,41.0,3.4,9.0,0.4,0.0
2013/3,1013.8,0.0,15.9,22.0,10.5,67.0,40.0,2.5,5.3,9.9,0.0
2013/3,1013.7,0.0,16.6,21.3,12.8,65.0,38.0,2.8,8.2,1.8,0.0
2013/4,1015.7,0.0,17.0,22.8,12.0,68.0,44.0,2.9,10.3,9.4,0.0
2013/4,1007.9,8.5,16.3,19.2,11.8,82.0,61.0,3.6,11.9,0.4,0.0
2013/4,1009.7,0.0,14.4,20.9,10.6,62.0,36.0,4.6,12.6,11.4,0.0
2013/4,1011.9,0.0,15.5,21.3,8.1,66.0,35.0,2.2,5.6,4.5,0.0
2013/4,1009.7,0.0,19.1,23.6,14.8,67.0,39.0,3.6,13.2,7.5,0.0
2013/4,992.2,29.0,17.3,23.4,10.8,87.0,71.0,5.0,18.1,0.5,0.0
2013/4,1001.7,0.5,10.8,14.0,8.1,57.0,42.0,7.2,20.8,3.2,0.0
2013/4,1010.8,0.0,13.4,20.5,7.4,60.0,35.0,2.9,8.2,11.8,0.0
2013/4,1012.3,0.0,14.6,20.8,9.7,58.0,36.0,4.2,13.1,9.4,0.0
2013/4,1015.4,0.0,12.3,16.6,9.1,40.0,23.0,4.8,19.4,9.7,0.0
2013/4,1015.9,0.0,12.0,17.4,5.9,58.0,37.0,2.9,13.2,5.6,0.0
2013/4,1015.6,0.0,13.1,19.4,7.0,50.0,28.0,3.3,11.3,11.4,0.0
2013/4,1014.6,0.0,13.6,20.2,7.5,59.0,31.0,2.9,7.2,11.8,0.0
2013/4,1009.9,2.0,16.7,24.8,9.5,68.0,38.0,3.4,12.5,5.1,0.0
2013/4,1008.7,0.5,19.5,25.6,14.6,57.0,23.0,3.0,9.3,11.1,0.0
2013/4,1008.7,0.0,18.6,23.7,12.5,71.0,58.0,3.2,8.7,5.9,0.0
2013/4,1004.7,13.5,19.2,21.4,17.1,86.0,72.0,1.8,5.5,0.3,0.0
2013/4,1005.2,0.0,20.0,26.3,16.7,79.0,55.0,2.7,8.9,5.7,0.0
2013/4,1006.9,0.0,18.7,24.2,15.2,65.0,44.0,3.4,9.2,10.3,0.0
2013/4,1006.8,17.5,16.1,19.5,12.6,74.0,53.0,3.4,10.8,1.6,0.0
2013/4,1009.9,0.0,13.9,19.5,9.8,56.0,32.0,5.5,15.5,8.8,0.0
2013/4,1017.3,0.0,15.6,20.5,10.9,49.0,31.0,3.2,8.8,10.6,0.0
2013/4,1016.3,2.5,16.9,20.0,13.0,65.0,48.0,4.2,12.7,1.5,0.0
2013/4,1006.9,15.0,17.9,20.2,15.8,86.0,68.0,3.8,11.4,0.0,0.0
2013/4,1006.7,0.0,18.0,24.4,12.6,68.0,27.0,3.1,10.5,10.5,0.0
2013/4,1008.1,0.0,16.6,20.2,13.4,49.0,29.0,5.3,17.8,12.0,0.0
2013/4,1013.5,0.0,16.6,24.0,9.7,47.0,22.0,3.9,12.7,12.2,0.0
2013/4,1016.5,0.0,18.1,24.7,11.3,60.0,37.0,2.8,6.9,11.3,0.0
2013/4,1014.2,0.0,20.0,25.3,14.7,69.0,45.0,3.4,10.4,11.5,0.0
2013/4,1005.5,31.5,17.7,20.7,14.2,88.0,73.0,2.5,10.7,0.0,0.0
2013/5,1002.5,0.0,16.5,23.0,11.7,66.0,31.0,3.5,11.9,8.8,0.0
2013/5,1007.5,0.0,16.6,21.4,12.7,62.0,34.0,3.5,7.9,10.9,0.0
2013/5,1011.6,0.0,16.5,22.6,10.9,61.0,34.0,3.0,8.9,12.2,0.0
2013/5,1013.8,0.0,17.9,25.2,11.5,57.0,24.0,3.9,11.0,12.2,0.0
2013/5,1016.0,0.0,17.7,23.5,11.3,55.0,22.0,2.9,7.8,12.4,0.0
2013/5,1013.7,0.0,19.1,26.8,11.8,53.0,24.0,4.2,11.6,12.0,0.0
2013/5,1012.9,0.0,20.3,27.2,14.6,53.0,28.0,2.6,7.7,11.1,0.0
2013/5,1015.3,0.0,20.7,25.9,16.1,60.0,39.0,2.7,7.5,11.3,0.0
2013/5,1013.0,0.0,21.4,26.0,17.5,70.0,42.0,2.3,6.8,4.3,0.0
2013/5,1004.5,18.0,21.4,23.3,19.7,86.0,68.0,4.1,14.7,0.0,0.0
2013/5,1001.9,2.0,19.6,23.5,16.0,79.0,58.0,2.9,8.4,2.7,0.0
2013/5,1006.3,0.0,20.8,29.3,13.5,61.0,31.0,3.4,10.0,12.6,0.0
2013/5,1009.3,0.0,21.3,27.6,15.7,63.0,35.0,3.2,9.4,10.6,0.0
2013/5,1010.1,0.0,22.1,27.6,17.5,65.0,44.0,2.9,9.6,12.9,0.0
2013/5,1009.8,0.0,22.3,27.5,17.5,67.0,37.0,2.9,7.7,10.7,0.0
2013/5,1009.4,0.0,22.7,25.3,21.0,65.0,51.0,2.8,8.5,0.1,0.0
2013/5,1010.0,0.0,22.2,26.5,19.7,59.0,44.0,4.8,12.2,3.3,0.0
2013/5,1006.3,0.0,23.1,26.7,19.6,62.0,47.0,4.6,12.9,10.1,0.0
2013/5,998.2,18.0,21.5,24.3,19.7,84.0,62.0,3.3,9.5,0.0,0.0
2013/5,1000.4,0.0,21.9,28.1,19.2,73.0,55.0,3.0,9.4,8.0,0.0
2013/5,1004.3,0.0,22.0,24.9,19.0,77.0,65.0,2.6,7.3,2.0,0.0
2013/5,1007.3,0.0,22.9,27.2,19.5,75.0,46.0,1.9,5.2,3.6,0.0
2013/5,1008.6,0.0,22.8,27.2,20.1,74.0,45.0,1.8,5.0,0.1,0.0
2013/5,1009.2,0.0,24.0,30.2,18.3,66.0,39.0,2.9,7.2,12.0,0.0
2013/5,1011.7,0.0,23.7,28.3,18.8,65.0,44.0,3.1,11.2,10.0,0.0
2013/5,1013.5,0.0,24.4,28.5,22.2,60.0,44.0,5.3,14.1,9.2,0.0
2013/5,1011.1,0.0,23.5,26.3,22.2,67.0,48.0,5.2,13.6,1.4,0.0
2013/5,1008.2,2.5,23.7,25.1,22.4,87.0,79.0,5.4,12.4,0.0,0.0
2013/5,1007.6,4.5,25.9,30.9,22.6,74.0,47.0,3.3,8.8,10.6,0.0
2013/5,1007.4,7.5,23.8,30.1,20.3,78.0,56.0,2.7,9.6,3.3,0.0
2013/5,1005.0,2.0,21.1,23.7,20.0,87.0,78.0,2.2,7.4,0.0,0.0
2013/6,1002.7,14.0,20.9,22.2,19.9,92.0,82.0,1.3,3.8,0.0,0.0
2013/6,1000.3,5.0,21.1,23.3,19.3,86.0,72.0,2.1,9.9,0.0,0.0
2013/6,1005.2,1.5,22.1,25.2,19.7,75.0,63.0,4.2,12.7,0.8,0.0
2013/6,1011.4,0.0,24.3,28.6,21.7,66.0,49.0,4.0,9.8,9.9,0.0
2013/6,1012.6,0.0,23.1,24.8,21.7,72.0,63.0,3.8,13.3,0.0,0.0
2013/6,1008.9,1.5,23.6,27.7,21.3,71.0,49.0,3.8,15.4,3.9,0.0
2013/6,1007.8,0.0,22.8,26.6,18.8,78.0,58.0,2.0,5.4,6.1,0.0
2013/6,1006.2,25.0,22.2,24.6,20.0,81.0,64.0,2.1,9.7,0.0,0.0
2013/6,1002.2,55.5,21.1,24.8,18.8,83.0,64.0,2.8,10.8,0.1,0.0
2013/6,1000.7,5.5,23.3,26.5,20.9,82.0,71.0,3.8,11.9,0.4,0.0
2013/6,1001.6,3.5,24.8,28.4,22.4,85.0,71.0,3.2,8.6,3.8,0.0
2013/6,1005.4,0.0,26.3,30.9,23.1,76.0,61.0,2.3,6.0,10.2,0.0
2013/6,1008.6,0.0,26.7,30.3,24.1,76.0,60.0,2.2,7.6,7.5,0.0
2013/6,1009.4,0.0,26.5,30.5,23.1,74.0,56.0,2.2,5.3,8.2,0.0
2013/6,1008.1,9.0,25.2,26.7,24.1,88.0,80.0,1.7,7.2,0.0,0.0
2013/6,1004.5,0.5,25.7,28.8,23.2,84.0,68.0,2.3,6.4,4.5,0.0
2013/6,1001.4,0.0,26.9,32.4,22.3,74.0,51.0,3.0,10.2,10.7,0.0
2013/6,1000.2,0.0,28.5,33.2,25.7,74.0,57.0,3.5,12.6,6.0,0.0
2013/6,1001.6,0.0,29.6,33.3,27.2,70.0,56.0,4.9,14.7,4.8,0.0
2013/6,1003.2,0.0,28.6,31.7,26.6,80.0,65.0,4.1,14.2,0.5,0.0
2013/6,1001.8,17.0,26.2,29.7,21.5,89.0,72.0,4.3,14.8,0.3,0.0
2013/6,1004.4,2.5,24.4,28.4,21.2,83.0,63.0,2.2,6.0,6.2,0.0
2013/6,1003.4,32.0,24.6,27.5,23.3,85.0,69.0,1.9,5.6,0.1,0.0
2013/6,1001.8,41.5,24.9,27.3,23.4,92.0,82.0,2.7,17.3,0.0,0.0
2013/6,1002.8,119.0,23.7,25.9,22.9,96.0,84.0,1.7,7.4,0.0,0.0
2013/6,996.9,24.0,26.2,28.4,23.1,85.0,77.0,5.9,20.9,1.1,0.0
2013/6,1000.3,0.5,24.3,27.8,21.5,79.0,63.0,2.4,7.9,1.3,0.0
2013/6,1001.0,29.0,22.3,24.0,20.9,91.0,78.0,2.3,11.8,0.0,0.0
2013/6,1005.9,5.0,23.2,25.1,21.9,88.0,75.0,2.3,8.8,0.0,0.0
2013/6,1008.1,34.5,23.5,27.5,22.2,91.0,76.0,2.5,7.9,1.1,0.0
2013/7,1008.4,0.5,25.0,27.7,22.9,83.0,69.0,2.4,8.4,1.1,0.0
2013/7,1008.2,1.0,26.2,29.3,23.9,84.0,71.0,2.4,7.6,3.9,0.0
2013/7,1004.8,0.0,29.2,33.2,26.0,76.0,59.0,3.9,14.9,2.3,0.0
2013/7,1003.4,4.5,29.5,32.6,27.1,73.0,60.0,4.4,13.3,0.7,0.0
2013/7,1004.1,0.0,30.5,33.6,28.6,70.0,58.0,5.1,15.6,4.2,0.0
2013/7,1007.5,4.0,29.7,33.2,27.3,76.0,61.0,4.4,15.0,4.9,0.0
2013/7,1010.5,2.5,29.3,33.6,27.3,78.0,58.0,3.3,9.7,5.4,0.0
2013/7,1011.3,0.0,29.1,33.1,26.3,76.0,55.0,2.6,7.9,11.2,0.0
2013/7,1008.7,0.0,28.7,32.8,25.7,76.0,54.0,2.4,8.3,10.3,0.0
2013/7,1007.0,0.0,29.2,35.4,25.2,72.0,49.0,2.5,7.5,11.0,0.0
2013/7,1008.0,0.0,29.5,33.2,26.8,74.0,49.0,2.7,6.4,11.9,0.0
2013/7,1008.7,0.0,29.7,33.4,26.5,75.0,61.0,3.5,9.3,12.3,0.0
2013/7,1010.7,0.0,30.2,34.5,27.7,74.0,51.0,3.6,10.1,10.8,0.0
2013/7,1012.1,0.0,29.7,35.2,27.3,74.0,48.0,2.6,7.6,8.7,0.0
2013/7,1011.3,0.0,29.0,34.4,26.0,72.0,52.0,2.5,8.5,9.2,0.0
2013/7,1010.4,0.0,28.7,32.9,25.1,75.0,59.0,2.8,7.5,11.5,0.0
2013/7,1009.2,0.0,28.8,33.2,25.2,73.0,54.0,2.7,7.2,11.8,0.0
2013/7,1008.1,0.0,29.2,34.8,25.9,73.0,52.0,3.0,9.6,10.8,0.0
2013/7,1007.6,0.0,29.9,35.1,25.7,68.0,46.0,4.0,12.2,12.2,0.0
2013/7,1007.5,0.0,29.6,35.0,26.0,73.0,51.0,2.9,9.1,10.1,0.0
2013/7,1007.2,0.0,29.4,35.5,25.9,70.0,32.0,2.6,8.9,11.3,0.0
2013/7,1008.2,0.0,29.4,35.6,25.0,70.0,42.0,2.7,8.1,12.2,0.0
2013/7,1007.5,0.0,29.5,34.6,25.6,70.0,50.0,3.1,10.6,9.7,0.0
2013/7,1003.9,0.0,30.1,34.4,27.5,69.0,51.0,3.4,12.1,8.5,0.0
2013/7,1001.8,0.0,30.6,34.6,28.6,74.0,59.0,3.8,11.1,4.5,0.0
2013/7,1002.7,0.0,30.1,33.3,28.6,75.0,64.0,4.0,11.5,1.5,0.0
2013/7,1004.2,2.0,30.1,34.5,27.7,74.0,57.0,4.2,11.3,5.6,0.0
2013/7,1005.6,0.0,29.9,33.3,27.9,74.0,61.0,3.2,9.5,0.3,0.0
2013/7,1004.3,1.5,29.7,33.4,28.1,75.0,62.0,3.9,14.1,0.9,0.0
2013/7,1003.2,0.5,30.7,35.6,28.1,70.0,50.0,4.1,10.8,8.0,0.0
2013/7,1003.6,0.0,30.7,35.4,27.0,69.0,50.0,3.2,10.7,10.6,0.0
2013/8,1005.8,0.0,30.8,35.7,27.9,72.0,50.0,0.0,0.0,10.1,0.0
2013/8,1008.8,0.0,30.6,35.8,26.8,70.0,48.0,4.0,11.4,11.7,0.0
2013/8,1008.6,0.0,30.5,36.0,26.5,70.0,45.0,3.8,11.2,12.5,0.0
2013/8,1005.6,5.0,27.7,28.8,26.7,88.0,81.0,1.7,6.0,0.0,0.0
2013/8,1003.8,20.0,27.6,30.2,25.9,88.0,76.0,2.0,18.2,0.4,0.0
2013/8,1005.7,0.0,28.6,34.4,25.6,82.0,60.0,2.5,9.9,3.2,0.0
2013/8,1006.4,0.0,30.5,35.4,27.5,76.0,53.0,3.2,9.7,8.5,0.0
2013/8,1005.0,0.0,30.5,35.8,26.8,74.0,49.0,3.0,10.6,10.8,0.0
2013/8,1004.8,0.0,30.5,36.2,26.7,74.0,53.0,3.3,8.9,9.0,0.0
2013/8,1006.6,0.0,31.0,36.9,27.1,72.0,52.0,2.9,8.4,10.8,0.0
2013/8,1007.5,0.0,30.9,36.1,27.8,73.0,56.0,2.9,8.9,10.1,0.0
2013/8,1007.3,0.0,30.9,36.3,27.6,73.0,55.0,2.8,9.1,5.6,0.0
2013/8,1007.2,0.0,30.5,35.6,27.2,74.0,53.0,2.8,10.3,8.4,0.0
2013/8,1007.4,0.0,30.5,35.8,27.2,71.0,45.0,2.3,6.7,8.7,0.0
2013/8,1006.8,2.0,29.9,35.2,26.4,71.0,41.0,2.5,8.1,9.5,0.0
2013/8,1004.7,0.0,29.9,34.8,26.5,71.0,51.0,3.1,9.9,10.2,0.0
2013/8,1003.1,0.0,30.6,35.5,27.2,68.0,48.0,3.9,12.8,10.5,0.0
2013/8,1002.5,0.0,31.2,35.5,28.0,66.0,50.0,4.3,10.8,10.5,0.0
