年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1005.7,74.0,-1.7,72.0,3.8,59.0,156.0,8.6,31.0
2010/2,1011.0,44.0,-2.7,67.0,3.2,113.0,73.0,8.0,22.0
2010/3,1010.9,84.0,0.4,66.0,4.2,128.0,69.0,8.3,24.0
2010/4,1011.7,103.0,5.9,64.0,4.7,157.6,0.0,7.8,7.0
2010/5,1006.6,125.0,11.1,75.0,3.4,168.2,0.0,7.6,0.0
2010/6,1006.0,52.5,17.6,77.0,2.2,218.5,0.0,7.7,0.0
2010/7,1003.8,172.0,22.4,81.0,2.5,113.8,0.0,9.1,0.0
2010/8,1007.4,135.0,24.7,77.0,2.4,156.8,0.0,7.6,0.0
2010/9,1007.6,87.5,20.1,71.0,3.2,177.6,0.0,6.9,0.0
2010/10,1012.6,99.5,13.3,73.0,3.3,151.8,0.0,6.7,1.0
2010/11,1009.5,102.5,6.7,72.0,3.7,100.0,28.0,7.2,5.0
2010/12,1002.8,110.0,1.5,73.0,4.3,69.1,100.0,8.7,25.0
2011/1,1005.4,52.5,-4.3,73.0,3.4,115.6,150.0,7.1,29.0
2011/2,1011.7,39.5,-0.4,68.0,3.5,146.7,61.0,6.7,21.0
2011/3,1007.5,16.5,1.1,62.0,3.9,192.0,14.0,6.6,24.0
2011/4,1006.3,96.0,7.0,68.0,4.4,148.5,3.0,6.9,3.0
2011/5,1006.1,113.5,11.0,74.0,3.6,169.4,0.0,8.1,0.0
2011/6,1003.2,35.5,16.4,77.0,2.5,157.6,0.0,8.1,0.0
2011/7,0.0,87.5,0.0,0.0,0.0,0.0,0.0,8.5,0.0
2011/8,1005.5,133.0,23.0,79.0,2.6,182.5,0.0,7.8,0.0
2011/9,1007.3,274.5,19.5,81.0,2.9,112.5,0.0,7.9,0.0
2011/10,1011.3,80.0,12.6,73.0,3.5,167.4,0.0,6.2,0.0
2011/11,1012.9,90.0,6.6,73.0,3.5,124.4,36.0,7.1,8.0
2011/12,1010.0,97.5,-1.4,74.0,4.0,97.2,116.0,7.8,29.0
2012/1,1010.2,55.0,-4.3,74.0,3.5,125.6,78.0,7.3,29.0
2012/2,1009.1,118.0,-3.9,76.0,3.7,97.2,168.0,9.1,28.0
2012/3,1008.8,74.5,1.0,71.0,3.8,128.2,64.0,8.2,24.0
2012/4,1008.3,47.5,7.0,69.0,3.6,182.4,3.0,6.8,7.0
2012/5,1005.8,114.0,12.6,76.0,3.3,200.2,0.0,7.6,0.0
2012/6,1006.2,47.0,15.7,79.0,3.3,163.7,0.0,7.3,0.0
2012/7,1003.4,55.0,20.7,81.0,2.9,149.6,0.0,8.2,0.0
2012/8,1007.1,83.0,24.1,80.0,2.5,173.0,0.0,7.7,0.0
2012/9,1009.7,194.0,22.5,79.0,3.1,162.5,0.0,7.5,0.0
2012/10,1009.4,136.0,13.5,71.0,3.8,173.8,0.0,6.3,0.0
2012/11,1006.2,220.5,6.3,75.0,4.0,86.0,15.0,8.2,12.0
2012/12,1008.1,84.0,-1.7,73.0,4.3,87.6,97.0,8.2,28.0
2013/1,1010.4,65.5,-4.3,72.0,3.5,124.6,86.0,7.7,28.0
2013/2,1009.4,66.5,-3.2,74.0,3.8,96.1,89.0,8.5,26.0
2013/3,1005.8,74.5,1.2,69.0,4.4,127.1,43.0,8.1,25.0
2013/4,1003.4,120.0,6.6,67.0,4.4,148.9,3.0,8.0,5.0
2013/5,1006.4,67.5,11.0,77.0,3.2,160.2,0.0,7.8,0.0
2013/6,1005.4,35.5,16.8,81.0,2.6,225.3,0.0,7.0,0.0
2013/7,1003.6,67.0,20.9,85.0,3.4,131.6,0.0,8.3,0.0
2013/8,1000.9,224.5,23.6,81.0,2.9,159.8,0.0,7.7,0.0
2013/9,1009.7,188.0,19.2,78.0,3.0,150.7,0.0,7.4,0.0
2013/10,1012.8,193.5,13.5,78.0,3.6,100.0,0.0,7.5,0.0
2013/11,1007.3,135.5,6.1,75.0,3.6,109.8,47.0,7.1,8.0
2013/12,1005.4,85.0,1.5,74.0,3.7,79.3,83.0,8.2,23.0
2014/1,1009.7,103.0,-3.5,76.0,3.6,105.7,117.0,7.7,30.0
2014/2,1013.9,29.5,-2.9,70.0,3.7,153.9,44.0,6.0,22.0
2014/3,1008.0,77.5,1.0,71.0,4.0,180.7,97.0,6.7,20.0
2014/4,1009.1,7.0,7.6,0.0,3.7,282.8,0.0,4.5,3.0
2014/5,1003.9,75.0,13.4,73.0,3.4,205.2,0.0,7.4,0.0
2014/6,1003.4,105.0,17.4,82.0,3.3,189.2,0.0,7.3,0.0
2014/7,1003.3,53.5,21.8,80.0,3.0,194.3,0.0,7.7,0.0
2014/8,1005.0,251.0,22.3,82.0,3.5,125.8,0.0,8.5,0.0
2014/9,1007.4,87.5,18.4,76.0,3.2,196.9,0.0,6.4,0.0
2014/10,1012.3,100.0,11.7,74.0,3.1,178.3,0.0,5.7,1.0
2014/11,1011.5,84.0,7.1,72.0,3.8,108.9,7.0,7.2,7.0
2014/12,1005.2,105.5,-1.2,78.0,4.2,84.4,121.0,8.3,28.0
2015/1,1007.5,43.0,-0.9,74.0,3.8,108.2,79.0,8.2,21.0
2015/2,1007.9,52.5,0.1,72.0,4.3,129.4,63.0,8.0,20.0
2015/3,1008.7,100.0,4.3,74.0,4.1,160.0,32.0,7.6,16.0
2015/4,1010.7,133.5,8.3,70.0,3.7,227.5,0.0,6.0,1.0
