年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1001.0,0.0,4.3,48.0,3.2,234.7,0.0,3.2,2.0
2010/2,1003.2,54.5,4.8,62.0,2.5,143.1,4.0,6.4,7.0
2010/3,1003.4,117.5,7.2,59.0,2.9,169.9,10.0,6.7,4.0
2010/4,1004.3,123.0,11.2,58.0,2.9,164.0,0.0,7.2,2.0
2010/5,998.2,127.0,18.1,56.0,2.8,222.6,0.0,6.6,0.0
2010/6,998.0,214.0,23.5,63.0,2.4,169.4,0.0,7.9,0.0
2010/7,996.9,226.5,27.0,70.0,2.1,171.4,0.0,8.0,0.0
2010/8,1000.7,125.0,29.0,67.0,2.2,189.3,0.0,7.0,0.0
2010/9,999.6,195.0,24.2,67.0,2.3,163.9,0.0,7.2,0.0
2010/10,1004.0,160.5,17.7,69.0,2.0,103.1,0.0,8.7,0.0
2010/11,1003.3,60.0,11.2,58.0,2.8,201.9,0.0,4.3,0.0
2010/12,996.0,87.5,7.2,55.0,3.2,206.6,0.0,4.2,0.0
2011/1,999.8,0.0,2.4,47.0,3.2,235.5,0.0,3.4,4.0
2011/2,1004.4,35.5,4.9,52.0,3.0,196.2,7.0,4.9,6.0
2011/3,1001.2,34.0,6.1,48.0,3.1,228.5,0.0,4.8,1.0
2011/4,999.5,29.0,12.6,46.0,3.3,229.4,0.0,5.1,0.0
2011/5,998.3,190.5,17.8,59.0,2.5,154.6,0.0,7.7,0.0
2011/6,996.2,45.0,22.9,67.0,2.2,124.6,0.0,8.8,0.0
2011/7,995.5,196.5,27.1,67.0,2.4,171.9,0.0,7.7,0.0
2011/8,997.6,209.5,26.6,71.0,2.1,157.8,0.0,8.6,0.0
2011/9,998.6,450.0,23.9,68.0,2.8,180.0,0.0,7.2,0.0
2011/10,1004.7,63.0,17.1,62.0,2.5,166.8,0.0,6.9,0.0
2011/11,1006.2,53.0,12.3,61.0,2.6,178.8,0.0,6.0,0.0
2011/12,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.9,1.0
2012/1,1003.3,26.0,2.4,53.0,2.9,202.9,4.0,4.4,5.0
2012/2,1002.3,36.5,3.2,51.0,3.4,178.4,18.0,4.8,4.0
2012/3,1001.2,86.5,6.8,58.0,3.2,172.8,1.0,6.4,5.0
2012/4,1001.5,82.0,12.7,60.0,3.1,177.9,0.0,6.6,0.0
2012/5,996.9,162.5,18.2,60.0,3.1,211.0,0.0,6.9,0.0
2012/6,996.4,158.5,21.1,70.0,2.5,138.1,0.0,9.2,0.0
2012/7,995.5,166.5,26.1,73.0,2.2,142.2,0.0,8.8,0.0
2012/8,999.2,31.5,28.6,64.0,2.5,256.1,0.0,6.9,0.0
2012/9,1000.9,201.0,24.9,72.0,2.5,152.0,0.0,8.0,0.0
2012/10,1002.3,68.0,17.4,64.0,2.8,194.9,0.0,5.6,0.0
2012/11,1000.6,38.5,10.1,60.0,3.1,191.6,0.0,4.8,0.0
2012/12,1001.9,16.5,4.8,55.0,3.4,198.4,0.0,4.3,4.0
2013/1,1003.4,27.0,3.1,51.0,3.5,242.7,0.0,3.4,8.0
2013/2,1003.9,22.5,3.4,49.0,3.9,208.4,6.0,5.3,8.0
2013/3,999.9,7.5,9.6,49.0,3.8,225.6,0.0,5.3,0.0
2013/4,996.9,120.0,12.7,52.0,3.7,225.6,0.0,5.5,0.0
2013/5,998.9,31.0,19.0,53.0,3.3,257.0,0.0,5.3,0.0
2013/6,996.3,109.5,22.7,70.0,2.3,125.2,0.0,8.8,0.0
2013/7,995.3,88.5,26.3,71.0,2.3,151.1,0.0,8.6,0.0
2013/8,994.1,183.5,28.1,67.0,2.5,224.8,0.0,6.4,0.0
2013/9,1001.6,178.0,23.3,71.0,2.6,155.9,0.0,6.8,0.0
2013/10,1004.4,200.5,18.2,71.0,2.5,127.8,0.0,7.4,0.0
2013/11,1002.1,8.0,10.5,58.0,3.1,207.7,0.0,3.7,0.0
2013/12,999.9,22.5,5.9,55.0,3.1,214.6,0.0,4.1,3.0
2014/1,1004.3,4.0,3.5,47.0,3.6,234.9,0.0,3.6,1.0
2014/2,1005.4,158.0,3.1,54.0,3.5,202.0,106.0,5.0,6.0
2014/3,1001.2,41.5,8.0,50.0,3.6,229.2,0.0,5.2,3.0
2014/4,1002.5,28.0,13.5,47.0,3.3,242.8,0.0,5.2,0.0
2014/5,997.3,91.5,19.4,53.0,3.2,262.8,0.0,5.9,0.0
2014/6,994.1,328.0,22.8,70.0,2.6,151.4,0.0,8.1,0.0
2014/7,995.6,147.5,26.1,71.0,2.4,179.7,0.0,7.5,0.0
2014/8,996.9,230.5,26.6,74.0,2.2,141.8,0.0,8.3,0.0
2014/9,999.7,70.0,21.7,65.0,2.5,176.7,0.0,6.7,0.0
2014/10,1004.5,224.0,17.0,66.0,2.6,172.7,0.0,6.0,0.0
2014/11,1004.6,57.0,11.9,64.0,2.8,155.3,0.0,5.4,0.0
2014/12,1000.3,15.5,5.0,55.0,3.4,194.8,0.0,4.3,3.0
2015/1,1001.8,24.5,4.1,53.0,3.4,207.6,0.0,4.3,5.0
2015/2,1001.7,5.5,4.6,54.0,3.1,188.1,0.0,5.6,3.0
2015/3,1003.2,40.5,8.8,51.0,3.3,204.0,0.0,4.8,2.0
