年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1011.4,11.5,4.6,62.0,3.0,165.6,2.0,5.4,5.0
2010/2,1011.1,137.0,7.0,63.0,3.2,138.3,0.0,6.5,4.0
2010/3,1011.1,211.0,9.1,61.0,3.3,156.4,0.0,7.0,1.0
2010/4,1010.9,183.5,13.3,58.0,3.4,161.7,0.0,7.3,0.0
2010/5,1005.4,167.0,18.7,58.0,3.5,235.3,0.0,6.6,0.0
2010/6,1004.8,259.0,23.9,66.0,2.6,163.4,0.0,8.0,0.0
2010/7,1004.1,208.5,27.8,69.0,2.7,190.5,0.0,7.8,0.0
2010/8,1007.7,63.5,29.4,67.0,2.7,200.1,0.0,6.9,0.0
2010/9,1005.9,190.5,26.1,63.0,2.7,190.4,0.0,6.6,0.0
2010/10,1009.4,179.5,19.4,71.0,2.4,127.0,0.0,7.7,0.0
2010/11,1011.4,43.0,12.1,65.0,2.6,195.8,0.0,4.9,0.0
2010/12,1005.3,76.0,7.9,66.0,2.9,170.8,0.0,5.6,1.0
2011/1,1010.2,9.5,2.8,67.0,3.2,189.8,11.0,5.0,11.0
2011/2,1011.8,114.0,6.6,62.0,2.9,167.0,7.0,6.0,3.0
2011/3,0.0,43.0,0.0,0.0,0.0,0.0,0.0,4.8,1.0
2011/4,1007.8,111.5,13.3,56.0,3.5,213.5,0.0,5.6,0.0
2011/5,1005.3,330.5,19.0,67.0,3.0,169.8,0.0,7.3,0.0
2011/6,1003.3,171.0,23.8,76.0,2.7,135.3,0.0,8.7,0.0
2011/7,1002.0,262.0,27.5,74.0,3.0,168.4,0.0,7.7,0.0
2011/8,1003.8,116.0,28.3,73.0,2.6,168.7,0.0,8.0,0.0
2011/9,1004.5,388.5,25.1,71.0,3.5,186.7,0.0,6.6,0.0
2011/10,1011.3,133.0,18.8,66.0,3.0,191.7,0.0,6.2,0.0
2011/11,1013.9,82.5,13.9,70.0,2.6,155.3,0.0,6.5,0.0
2011/12,1013.0,24.0,6.7,68.0,3.1,175.8,8.0,5.6,5.0
2012/1,1011.9,35.0,4.2,65.0,3.0,162.0,0.0,6.8,4.0
2012/2,1011.2,109.5,4.1,66.0,3.4,150.9,16.0,6.4,8.0
2012/3,1009.6,147.5,8.3,64.0,3.6,175.1,1.0,6.2,4.0
2012/4,1008.6,144.0,14.2,66.0,3.2,177.6,0.0,6.7,0.0
2012/5,1003.8,55.5,19.2,62.0,3.4,219.5,0.0,6.7,0.0
2012/6,1002.4,200.0,22.3,72.0,2.8,120.9,0.0,8.9,0.0
2012/7,1002.3,224.0,26.9,75.0,3.0,183.3,0.0,8.3,0.0
2012/8,1005.9,142.5,28.4,71.0,2.9,236.3,0.0,7.1,0.0
2012/9,1006.7,233.5,25.8,70.0,2.9,183.2,0.0,6.7,0.0
2012/10,1008.7,102.5,19.0,63.0,3.0,221.2,0.0,5.5,0.0
2012/11,1009.2,78.0,11.3,65.0,2.9,159.9,0.0,5.9,0.0
2012/12,1011.4,95.5,5.3,68.0,3.3,169.6,3.0,5.4,4.0
2013/1,1012.9,51.5,4.0,63.0,3.3,209.7,2.0,4.5,3.0
2013/2,1013.2,68.5,4.6,62.0,3.6,156.0,0.0,6.0,9.0
2013/3,1008.8,54.0,10.5,54.0,3.6,207.1,0.0,5.6,0.0
2013/4,1005.2,130.5,13.8,58.0,3.7,214.1,0.0,6.0,0.0
2013/5,1006.1,63.5,19.4,59.0,3.6,282.2,0.0,5.3,0.0
2013/6,1002.5,148.5,23.6,72.0,2.5,129.1,0.0,8.9,0.0
2013/7,1002.4,186.5,28.1,69.0,3.0,203.3,0.0,8.0,0.0
2013/8,1001.1,136.0,29.3,66.0,2.9,262.3,0.0,5.4,0.0
2013/9,1007.0,280.0,24.9,68.0,2.8,204.3,0.0,6.1,0.0
2013/10,1010.1,236.0,20.2,69.0,3.1,146.7,0.0,7.1,0.0
2013/11,1010.8,51.0,11.5,67.0,2.6,167.1,0.0,5.4,0.0
2013/12,1009.5,57.5,6.4,65.0,2.9,173.4,0.0,5.6,2.0
2014/1,1013.5,38.5,4.6,59.0,3.0,214.1,0.0,4.5,7.0
2014/2,1012.8,132.5,5.3,55.0,4.0,189.2,12.0,5.5,3.0
2014/3,1009.9,153.0,9.3,59.0,3.7,215.1,0.0,5.8,3.0
2014/4,1009.7,128.0,14.6,56.0,3.1,220.3,0.0,6.1,0.0
2014/5,1005.2,154.5,19.5,57.0,3.6,273.7,0.0,5.6,0.0
2014/6,1000.2,72.0,24.0,67.0,2.8,181.0,0.0,8.2,0.0
2014/7,1002.5,106.0,27.4,69.0,2.8,194.9,0.0,7.5,0.0
2014/8,1003.6,179.0,27.1,77.0,2.8,102.3,0.0,9.1,0.0
2014/9,1005.6,195.0,23.4,65.0,2.8,186.5,0.0,6.7,0.0
2014/10,1010.6,167.5,18.9,68.0,2.9,161.0,0.0,6.6,0.0
2014/11,1012.0,96.5,13.2,67.0,2.5,159.3,0.0,5.7,0.0
2014/12,1010.8,83.0,5.4,67.0,3.1,157.9,23.0,5.9,5.0
