年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1017.7,38.0,6.3,57.0,4.2,155.9,0.0,5.9,3.0
2010/2,1016.6,104.5,8.1,61.0,4.1,126.4,0.0,7.1,0.0
2010/3,1016.2,180.5,10.0,62.0,4.5,134.8,0.0,7.0,1.0
2010/4,1015.5,126.5,13.5,59.0,3.9,161.5,0.0,7.4,0.0
2010/5,1010.0,130.5,18.7,64.0,4.0,207.3,0.0,7.4,0.0
2010/6,1009.1,178.5,23.4,72.0,3.5,170.2,0.0,8.2,0.0
2010/7,1008.5,340.0,27.1,73.0,3.9,200.7,0.0,8.1,0.0
2010/8,1011.7,28.5,29.5,68.0,3.8,278.5,0.0,5.4,0.0
2010/9,1010.8,75.0,26.2,64.0,3.6,209.6,0.0,6.4,0.0
2010/10,1013.9,214.0,19.7,67.0,3.2,125.7,0.0,7.8,0.0
2010/11,1016.8,32.5,13.1,62.0,3.6,135.7,0.0,6.3,0.0
2010/12,1011.3,129.5,9.1,60.0,4.7,132.9,0.0,6.2,3.0
2011/1,1017.2,5.0,4.3,54.0,4.5,172.7,0.0,5.6,8.0
2011/2,1017.1,64.5,7.2,60.0,3.7,155.0,5.0,6.5,4.0
2011/3,1016.3,48.5,8.1,55.0,3.9,211.8,0.0,5.8,1.0
2011/4,1012.9,91.5,13.9,56.0,4.5,225.0,0.0,5.4,0.0
2011/5,1009.8,340.0,19.5,64.0,3.8,171.8,0.0,7.8,0.0
2011/6,1007.7,281.0,23.6,74.0,3.7,139.6,0.0,8.7,0.0
2011/7,1006.0,226.5,27.0,72.0,3.8,202.4,0.0,7.6,0.0
2011/8,1007.9,56.5,28.3,69.0,3.2,237.8,0.0,7.7,0.0
2011/9,1007.8,311.5,24.9,69.0,3.8,191.4,0.0,6.9,0.0
2011/10,1015.9,197.0,19.2,64.0,3.4,168.1,0.0,6.7,0.0
2011/11,1019.0,97.0,15.1,65.0,3.6,126.9,0.0,6.8,0.0
2011/12,1019.2,31.5,8.2,58.0,4.3,137.2,0.0,6.3,1.0
2012/1,1018.0,34.0,5.6,58.0,4.0,133.0,0.0,7.4,2.0
2012/2,1017.1,99.0,5.0,60.0,3.8,113.4,0.0,7.0,9.0
2012/3,1015.1,139.0,9.4,59.0,4.0,162.7,0.0,6.8,2.0
2012/4,1012.8,62.0,15.3,60.0,3.9,207.3,0.0,6.2,0.0
2012/5,1008.7,38.0,19.1,60.0,3.5,177.4,0.0,7.2,0.0
2012/6,1006.2,340.5,22.6,70.0,3.0,103.1,0.0,8.9,0.0
2012/7,1006.6,168.5,27.3,75.0,3.9,237.1,0.0,7.4,0.0
2012/8,1009.4,32.5,28.8,69.0,3.8,264.1,0.0,5.9,0.0
2012/9,1010.9,302.0,25.4,71.0,3.5,180.5,0.0,7.1,0.0
2012/10,1013.7,198.0,19.0,66.0,3.6,202.7,0.0,5.4,0.0
2012/11,0.0,116.5,0.0,0.0,0.0,0.0,0.0,7.1,0.0
2012/12,1017.2,107.0,7.1,64.0,4.3,129.2,0.0,6.5,3.0
2013/1,1019.3,39.0,5.3,61.0,4.1,164.4,0.0,5.8,6.0
2013/2,1018.9,101.0,6.2,64.0,3.9,141.4,0.0,6.9,3.0
2013/3,1014.1,100.5,11.2,59.0,4.1,195.9,0.0,5.5,0.0
2013/4,1010.6,65.0,14.3,59.0,4.3,217.7,0.0,6.6,0.0
2013/5,1010.9,28.5,19.6,61.0,3.9,260.6,0.0,6.2,0.0
2013/6,1006.7,210.5,23.6,74.0,3.2,143.2,0.0,8.3,0.0
2013/7,1007.3,50.5,28.1,73.0,3.8,223.5,0.0,7.8,0.0
2013/8,1006.0,53.0,29.3,70.0,3.6,272.6,0.0,5.9,0.0
2013/9,1011.3,346.5,24.7,69.0,3.4,219.4,0.0,5.3,0.0
2013/10,1014.6,255.5,20.6,70.0,3.6,163.0,0.0,6.9,0.0
2013/11,1016.1,49.5,13.2,64.0,4.1,149.7,0.0,6.5,0.0
2013/12,1015.8,70.0,7.8,63.0,4.4,130.5,0.0,6.8,4.0
2014/1,1019.3,54.0,6.1,63.0,3.8,180.3,0.0,5.0,4.0
2014/2,1019.0,74.5,5.9,63.0,4.4,117.1,10.0,6.8,7.0
2014/3,1015.9,142.0,10.3,63.0,4.2,190.2,0.0,6.2,3.0
2014/4,1014.7,76.5,14.4,60.0,3.5,205.6,0.0,6.2,0.0
2014/5,1010.1,71.5,19.6,63.0,3.9,272.6,0.0,5.9,0.0
2014/6,1004.5,71.0,23.5,72.0,3.0,159.4,0.0,8.5,0.0
2014/7,1006.8,104.0,27.4,73.0,3.5,214.9,0.0,7.5,0.0
2014/8,1007.3,449.5,27.6,76.0,4.4,164.7,0.0,8.9,0.0
2014/9,1010.2,89.0,24.1,66.0,3.5,197.1,0.0,7.1,0.0
2014/10,1014.9,102.5,19.7,65.0,3.9,178.2,0.0,6.4,0.0
2014/11,1017.1,71.5,14.2,66.0,3.8,146.8,0.0,6.3,0.0
2014/12,1017.2,103.5,7.3,62.0,4.9,118.3,0.0,6.7,4.0
2015/1,1017.5,95.5,6.6,64.0,4.3,109.3,0.0,7.4,7.0
2015/2,1016.6,27.0,7.1,60.0,4.2,142.7,0.0,7.0,6.0
2015/3,1017.0,174.0,10.1,64.0,3.9,165.5,0.0,6.0,2.0
2015/4,1014.1,107.0,16.2,69.0,4.0,139.8,0.0,7.4,0.0
2015/5,1008.4,77.0,21.1,64.0,3.8,241.3,0.0,6.5,0.0
2015/6,1005.9,119.5,22.7,76.0,3.2,144.0,0.0,8.8,0.0
2015/7,1007.1,391.5,26.6,80.0,4.1,162.6,0.0,7.9,0.0
2015/8,1006.5,118.0,28.2,75.0,3.2,207.3,0.0,7.1,0.0
2015/9,1009.9,172.5,23.4,74.0,3.1,166.0,0.0,7.8,0.0
2015/10,1015.0,34.5,19.0,62.0,3.7,243.6,0.0,4.0,0.0
2015/11,1019.2,142.0,15.2,76.0,3.2,102.1,0.0,7.7,1.0
2015/12,1019.5,79.0,10.4,0.0,3.9,140.6,0.0,6.2,0.0
2016/1,1018.0,75.5,7.0,63.0,3.9,128.4,1.0,7.2,3.0
2016/2,1019.5,135.5,7.7,60.0,4.2,166.6,0.0,6.3,3.0
2016/3,1018.0,72.5,10.9,58.0,4.1,214.8,0.0,5.6,0.0
2016/4,1011.9,155.5,16.6,67.0,3.8,179.2,0.0,7.4,0.0
2016/5,1011.1,161.5,20.9,66.0,3.9,227.6,0.0,7.1,0.0
2016/6,1007.0,236.0,23.4,75.0,3.2,148.8,0.0,7.7,0.0
2016/7,1007.9,69.0,27.8,73.0,3.6,255.0,0.0,7.4,0.0
2016/8,1002.6,64.0,29.2,68.0,3.7,300.7,0.0,5.1,0.0
2016/9,1010.2,266.5,25.6,79.0,3.1,114.3,0.0,8.6,0.0
2016/10,1015.3,89.0,20.5,70.0,3.6,138.8,0.0,7.7,0.0
2016/11,1017.8,90.5,13.5,71.0,3.6,152.1,0.0,6.1,0.0
2016/12,1019.1,92.5,9.6,68.0,4.0,128.3,0.0,6.6,0.0
2017/1,1017.9,35.5,6.5,63.0,4.5,163.5,3.0,6.0,5.0
2017/2,1016.8,34.5,6.9,63.0,4.5,158.1,0.0,6.2,3.0
