年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1006.1,42.0,4.1,69.0,1.6,129.4,0.0,6.1,5.0
2010/2,1005.5,122.5,5.9,73.0,1.5,110.5,1.0,7.0,6.0
2010/3,1005.3,169.0,8.0,74.0,1.7,111.6,0.0,7.9,2.0
2010/4,1004.8,144.0,12.0,68.0,1.7,147.0,0.0,7.6,0.0
2010/5,999.5,163.0,17.3,69.0,1.3,189.5,0.0,7.8,0.0
2010/6,998.7,201.0,22.4,76.0,1.2,140.9,0.0,8.0,0.0
2010/7,998.2,260.5,26.3,78.0,1.1,168.0,0.0,8.2,0.0
2010/8,1001.3,58.0,28.8,72.0,1.2,230.6,0.0,6.1,0.0
2010/9,1000.5,153.5,24.5,77.0,1.2,160.4,0.0,7.1,0.0
2010/10,1003.6,158.5,17.8,78.0,1.2,122.5,0.0,8.2,0.0
2010/11,1006.0,24.5,10.6,73.0,1.1,142.2,0.0,5.7,0.0
2010/12,1000.1,91.0,6.9,70.0,1.7,128.9,1.0,6.1,6.0
2011/1,1005.4,1.5,2.4,64.0,1.8,131.2,0.0,5.8,17.0
2011/2,1006.2,100.5,5.3,70.0,1.4,136.0,19.0,6.8,6.0
2011/3,1004.9,76.5,6.2,65.0,1.6,176.6,0.0,6.5,8.0
2011/4,1001.9,103.5,11.9,64.0,1.5,192.3,0.0,6.3,0.0
2011/5,999.1,292.5,18.1,69.0,1.4,160.4,0.0,7.8,0.0
2011/6,997.1,236.0,23.0,76.0,1.2,127.3,0.0,8.9,0.0
2011/7,995.5,139.5,26.3,76.0,1.4,155.3,0.0,7.9,0.0
2011/8,997.6,49.5,27.5,72.0,1.3,203.0,0.0,8.1,0.0
2011/9,997.7,289.5,23.4,76.0,1.4,165.2,0.0,7.0,0.0
2011/10,1005.4,97.5,17.2,74.0,1.1,165.9,0.0,6.7,0.0
2011/11,1008.2,72.0,12.6,76.0,1.0,113.3,0.0,7.0,0.0
2011/12,1007.8,14.5,5.8,69.0,1.3,121.3,0.0,6.6,2.0
2012/1,1006.6,40.0,3.6,68.0,1.4,101.7,0.0,7.5,13.0
2012/2,1005.7,109.0,3.3,69.0,1.6,100.8,0.0,7.8,8.0
2012/3,1004.0,180.5,7.4,69.0,1.6,139.9,0.0,7.2,2.0
2012/4,1002.1,87.5,13.4,67.0,1.7,168.9,0.0,6.4,0.0
2012/5,998.2,37.5,17.7,69.0,1.3,158.6,0.0,7.8,0.0
2012/6,995.9,257.5,21.4,77.0,1.4,106.2,0.0,9.1,0.0
2012/7,996.2,156.5,26.3,78.0,1.2,174.3,0.0,8.2,0.0
2012/8,999.3,170.0,27.5,72.0,1.3,216.4,0.0,6.6,0.0
2012/9,1000.6,289.0,24.1,77.0,1.1,176.2,0.0,7.2,0.0
2012/10,1003.3,93.0,16.7,76.0,1.0,184.6,0.0,5.9,0.0
2012/11,1003.6,90.0,10.2,75.0,1.1,112.5,0.0,7.1,0.0
2012/12,0.0,87.0,0.0,0.0,0.0,0.0,0.0,6.7,4.0
2013/1,1007.8,46.5,3.4,69.0,1.6,129.9,2.0,6.8,7.0
2013/2,1007.7,99.0,3.8,74.0,1.6,109.7,1.0,7.4,9.0
2013/3,1003.2,114.5,9.1,65.0,1.7,182.2,0.0,5.9,2.0
2013/4,999.7,108.5,12.6,65.0,1.7,204.2,0.0,6.7,0.0
2013/5,1000.3,41.0,18.3,65.0,1.3,243.8,0.0,6.3,0.0
2013/6,996.3,261.0,23.1,72.0,1.3,136.3,0.0,8.6,0.0
2013/7,996.8,70.5,27.1,74.0,1.4,186.0,0.0,8.1,0.0
2013/8,995.6,197.0,27.8,74.0,1.2,222.8,0.0,6.5,0.0
2013/9,1001.1,248.5,23.2,75.0,1.3,206.2,0.0,5.5,0.0
2013/10,1004.3,204.5,18.9,79.0,1.4,129.4,0.0,7.1,0.0
2013/11,1005.2,73.5,10.5,78.0,1.3,134.3,0.0,6.1,1.0
2013/12,1004.4,41.0,5.9,72.0,1.5,119.4,0.0,6.9,4.0
2014/1,1008.1,59.5,3.8,74.0,1.4,130.1,0.0,6.4,8.0
2014/2,1008.0,50.5,4.0,74.0,1.5,110.4,23.0,7.5,13.0
2014/3,1004.7,150.0,8.2,71.0,1.6,159.5,0.0,6.3,8.0
2014/4,1003.9,59.0,13.2,63.0,1.5,199.2,0.0,6.6,0.0
2014/5,999.4,76.5,18.4,66.0,1.3,240.8,0.0,6.0,0.0
2014/6,994.2,77.5,22.6,75.0,1.3,138.7,0.0,8.4,0.0
