年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,997.2,1.5,3.3,58.0,2.6,238.3,0.0,3.8,4.0
2010/2,999.9,68.5,4.0,71.0,2.6,128.5,9.0,7.0,11.0
2010/3,1000.2,123.0,6.9,69.0,2.9,145.5,8.0,7.4,8.0
2010/4,1001.2,205.5,10.6,71.0,3.3,119.2,1.0,8.0,2.0
2010/5,995.2,186.5,17.4,67.0,2.8,190.1,0.0,7.6,0.0
2010/6,995.2,179.5,22.3,74.0,2.5,139.6,0.0,7.9,0.0
2010/7,994.2,237.5,26.5,78.0,2.6,145.3,0.0,8.4,0.0
2010/8,998.0,112.0,28.1,76.0,2.6,157.7,0.0,7.9,0.0
2010/9,996.7,258.5,23.4,75.0,3.0,145.3,0.0,7.8,0.0
2010/10,1000.9,159.0,17.4,76.0,2.7,97.6,0.0,8.6,0.0
2010/11,999.9,74.0,10.8,70.0,2.7,174.6,0.0,5.0,0.0
2010/12,992.4,112.5,6.7,65.0,3.0,196.9,0.0,4.8,1.0
2011/1,996.1,2.0,1.5,57.0,2.6,248.3,3.0,3.5,8.0
2011/2,1000.9,75.0,4.5,64.0,2.7,171.5,15.0,5.5,7.0
2011/3,0.0,56.5,0.0,0.0,0.0,0.0,1.0,5.0,4.0
2011/4,996.4,88.5,12.1,57.0,3.5,202.1,0.0,6.1,0.0
2011/5,995.4,182.5,17.2,69.0,3.3,151.3,0.0,8.0,0.0
2011/6,993.4,150.5,21.8,78.0,2.6,102.0,0.0,9.2,0.0
2011/7,992.9,362.5,26.0,76.0,3.2,150.9,0.0,7.8,0.0
2011/8,994.9,169.5,25.9,80.0,2.5,149.7,0.0,8.5,0.0
2011/9,996.1,298.5,23.5,76.0,3.4,162.1,0.0,7.6,0.0
2011/10,1001.6,129.5,17.0,71.0,2.7,130.7,0.0,7.3,0.0
2011/11,1003.0,87.0,11.5,74.0,2.3,158.0,0.0,6.1,0.0
2011/12,1000.6,17.5,3.9,66.0,2.6,198.4,0.0,4.2,4.0
