年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1004.1,35.5,-1.1,78.0,6.6,83.9,89.0,8.4,30.0
2010/2,1009.8,24.0,-2.7,78.0,5.0,112.5,57.0,7.8,24.0
2010/3,1009.6,99.5,-0.1,80.0,5.3,150.4,61.0,7.8,27.0
2010/4,1010.6,99.5,4.5,83.0,4.8,161.0,0.0,7.7,5.0
2010/5,1005.7,159.5,9.4,89.0,3.5,168.6,0.0,8.1,0.0
2010/6,1005.4,59.5,15.6,94.0,3.2,158.7,0.0,8.3,0.0
2010/7,1003.2,191.0,20.2,93.0,3.4,110.2,0.0,9.3,0.0
2010/8,1006.6,258.5,23.0,88.0,2.9,162.5,0.0,8.0,0.0
2010/9,1006.9,41.5,19.6,77.0,3.8,194.1,0.0,6.4,0.0
2010/10,1011.8,169.0,13.2,77.0,4.0,157.8,0.0,6.8,2.0
2010/11,1007.9,69.0,7.2,73.0,5.5,95.8,0.0,7.4,5.0
2010/12,1001.5,95.0,1.8,73.0,6.1,63.4,60.0,8.9,23.0
2011/1,1003.7,36.0,-3.0,69.0,6.3,108.3,95.0,7.9,29.0
2011/2,1010.3,15.0,-0.3,71.0,4.6,152.8,24.0,6.6,20.0
2011/3,1005.9,11.0,0.8,68.0,4.8,232.6,14.0,6.3,22.0
2011/4,1005.2,102.5,5.8,75.0,4.5,176.8,0.0,6.7,3.0
2011/5,1005.4,104.5,9.3,84.0,4.4,150.4,0.0,7.7,1.0
2011/6,0.0,50.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0
2011/7,1003.5,177.0,19.4,90.0,3.3,158.5,0.0,8.4,0.0
2011/8,1004.9,66.0,21.5,89.0,3.1,175.0,0.0,7.6,0.0
2011/9,1006.7,235.0,18.9,87.0,3.5,115.1,0.0,8.0,0.0
2011/10,1010.2,118.0,13.0,76.0,5.2,165.1,0.0,6.1,0.0
2011/11,1011.6,58.0,7.1,72.0,5.3,129.5,4.0,7.0,10.0
2011/12,1008.3,77.0,-0.6,69.0,6.8,67.0,23.0,8.1,29.0
2012/1,1008.9,33.5,-3.3,69.0,5.3,106.0,34.0,7.5,29.0
2012/2,1007.8,59.5,-3.3,71.0,5.7,122.9,67.0,8.0,28.0
2012/3,1007.9,65.0,0.5,74.0,4.4,164.2,60.0,8.0,25.0
2012/4,1007.7,46.0,5.1,79.0,4.6,180.3,0.0,6.8,9.0
2012/5,1005.3,183.0,10.8,84.0,4.1,164.2,0.0,7.8,0.0
2012/6,1005.9,93.5,13.7,89.0,3.6,141.6,0.0,7.8,0.0
2012/7,1002.8,74.5,19.0,89.0,3.3,167.9,0.0,8.2,0.0
2012/8,1006.6,78.0,22.0,91.0,3.0,137.5,0.0,8.3,0.0
2012/9,1009.3,148.5,21.6,86.0,3.6,130.5,0.0,7.7,0.0
2012/10,1008.4,147.5,13.9,72.0,5.3,180.8,0.0,6.4,0.0
2012/11,1005.0,282.5,6.6,74.0,5.7,86.4,4.0,8.0,12.0
2012/12,1006.5,103.5,-1.0,70.0,6.8,58.3,32.0,8.1,29.0
2013/1,1008.9,42.0,-3.3,69.0,5.6,97.8,62.0,7.7,27.0
2013/2,1008.0,45.0,-2.9,71.0,5.8,105.2,65.0,8.0,26.0
2013/3,1004.4,57.0,0.7,72.0,5.7,155.0,24.0,7.1,24.0
2013/4,1002.4,113.0,5.5,76.0,5.2,169.4,0.0,7.5,6.0
2013/5,1005.9,114.0,9.3,82.0,4.4,171.5,0.0,7.8,0.0
2013/6,1005.1,50.5,14.8,91.0,3.1,163.0,0.0,7.6,0.0
2013/7,1003.4,245.0,19.1,94.0,3.7,118.3,0.0,8.3,0.0
2013/8,1000.2,280.0,22.1,91.0,3.5,184.8,0.0,7.5,0.0
2013/9,1009.2,196.0,18.7,85.0,3.8,156.1,0.0,7.1,0.0
2013/10,1012.2,207.0,13.5,83.0,4.7,115.4,0.0,7.2,0.0
2013/11,1006.1,94.5,7.2,74.0,5.7,97.2,12.0,7.7,8.0
2013/12,1004.1,38.0,2.2,71.0,6.0,88.9,6.0,8.1,23.0
2014/1,1008.2,52.0,-2.5,70.0,6.1,87.0,48.0,8.3,30.0
2014/2,1012.8,34.0,-2.3,70.0,5.0,157.9,38.0,6.2,25.0
2014/3,1006.9,60.5,0.7,74.0,5.0,175.0,59.0,6.9,22.0
2014/4,1008.0,8.5,6.7,62.0,4.4,293.4,2.0,3.9,4.0
2014/5,1003.0,77.5,11.5,78.0,4.2,229.0,0.0,7.4,0.0
2014/6,1003.2,172.5,14.8,92.0,3.6,142.5,0.0,7.9,0.0
2014/7,1002.6,40.0,19.9,88.0,3.3,189.0,0.0,7.6,0.0
2014/8,1004.4,298.0,21.0,89.0,3.5,171.7,0.0,7.4,0.0
2014/9,1006.6,112.5,18.3,80.0,3.6,218.2,0.0,6.2,0.0
2014/10,1011.2,64.0,12.1,74.0,4.3,179.8,0.0,5.2,0.0
2014/11,1010.3,57.5,7.4,72.0,5.6,110.3,0.0,7.2,10.0
2014/12,1003.5,51.0,-0.1,72.0,7.3,61.9,25.0,8.5,29.0
2015/1,1006.1,48.0,-0.4,73.0,5.9,79.9,51.0,8.1,28.0
2015/2,1006.9,25.5,-0.1,75.0,4.9,142.0,27.0,7.0,21.0
