年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1019.3,45.5,7.7,63.0,4.0,206.4,0.0,4.5,1.0
2010/2,1016.5,148.0,11.0,70.0,3.0,133.8,0.0,6.6,0.0
2010/3,1016.4,252.5,12.4,72.0,3.3,0.0,0.0,6.4,1.0
2010/4,1015.2,335.0,15.0,74.0,3.1,137.7,0.0,7.6,0.0
2010/5,1010.0,233.0,19.6,75.0,2.9,0.0,0.0,6.8,0.0
2010/6,1009.0,778.5,22.4,86.0,2.8,99.7,0.0,8.8,0.0
2010/7,1008.9,295.0,0.0,0.0,2.9,156.9,0.0,7.3,0.0
2010/8,1011.3,225.5,28.2,82.0,3.4,224.6,0.0,5.8,0.0
2010/9,1011.2,85.0,25.9,79.0,2.9,221.9,0.0,5.4,0.0
2010/10,1013.5,269.5,20.1,78.0,2.6,113.8,0.0,8.0,0.0
2010/11,1017.4,54.0,13.8,73.0,2.9,176.7,0.0,5.2,0.0
2010/12,1012.9,89.5,9.6,69.0,4.0,0.0,0.0,4.2,1.0
2011/1,1019.5,3.0,4.9,56.0,4.0,202.8,0.0,3.8,1.0
2011/2,1016.9,54.5,9.3,73.0,2.9,152.9,0.0,5.7,1.0
2011/3,1017.4,32.5,10.0,60.0,3.8,229.5,0.0,4.9,0.0
2011/4,1013.2,21.0,15.5,61.0,3.7,248.4,0.0,4.3,0.0
2011/5,1009.9,293.5,20.3,77.0,3.3,119.4,0.0,8.1,0.0
2011/6,1007.7,744.0,23.7,0.0,2.6,91.8,0.0,8.4,0.0
2011/7,1005.7,233.0,27.0,81.0,3.9,185.6,0.0,7.8,0.0
2011/8,1008.0,191.0,27.4,80.0,3.4,191.0,0.0,6.8,0.0
2011/9,1007.3,536.0,24.8,80.0,3.6,132.9,0.0,7.4,0.0
2011/10,1015.4,290.0,19.9,79.0,2.6,147.1,0.0,6.4,0.0
2011/11,1018.8,128.5,16.3,80.0,2.5,128.2,0.0,6.2,0.0
2011/12,1020.5,63.0,8.5,67.0,3.1,214.7,0.0,3.7,0.0
2012/1,1018.9,53.0,6.7,65.0,3.0,182.6,0.0,5.6,0.0
2012/2,1017.2,156.0,7.7,69.0,3.3,142.4,0.0,6.2,0.0
2012/3,1015.4,182.0,11.9,69.0,3.5,181.8,0.0,5.7,0.0
2012/4,1012.8,228.5,16.2,70.0,3.6,191.1,0.0,6.5,0.0
2012/5,1008.8,129.0,20.4,72.0,3.2,187.5,0.0,6.8,0.0
2012/6,1005.5,955.0,22.8,86.0,2.8,58.8,0.0,9.4,0.0
2012/7,1006.8,395.0,27.3,81.0,3.3,0.0,0.0,7.5,0.0
2012/8,1008.2,358.5,27.8,82.0,3.6,159.6,0.0,7.8,0.0
2012/9,1010.6,434.0,24.5,80.0,2.9,168.2,0.0,6.8,0.0
2012/10,1013.7,96.0,19.5,73.0,2.9,211.0,0.0,5.0,0.0
2012/11,1015.4,111.5,13.2,72.0,0.0,171.8,0.0,5.0,0.0
2012/12,1018.2,93.0,8.3,71.0,3.5,168.5,0.0,5.0,0.0
2013/1,1020.2,73.5,6.8,67.0,3.4,209.2,0.0,4.1,0.0
2013/2,1019.0,155.0,9.4,72.0,3.1,166.9,0.0,5.8,0.0
2013/3,1014.2,49.5,13.8,69.0,3.5,193.8,0.0,5.5,0.0
2013/4,1011.4,204.0,15.6,65.0,3.9,228.0,0.0,5.6,0.0
2013/5,1010.7,67.0,20.3,73.0,3.2,217.9,0.0,7.0,0.0
2013/6,1006.6,698.0,23.2,86.0,3.1,90.5,0.0,8.8,0.0
2013/7,1008.3,57.5,29.0,72.0,3.8,265.7,0.0,5.8,0.0
2013/8,1006.8,77.0,29.3,73.0,3.4,269.9,0.0,5.2,0.0
2013/9,1010.9,216.0,24.9,77.0,3.2,187.9,0.0,6.2,0.0
2013/10,1013.8,356.0,20.6,77.0,3.6,171.9,0.0,5.5,0.0
2013/11,1017.4,35.0,13.5,72.0,3.2,204.7,0.0,4.1,0.0
2013/12,1017.4,91.0,8.1,68.0,3.4,204.1,0.0,3.9,0.0
2014/1,1020.2,22.5,7.9,67.0,3.3,223.4,0.0,3.4,0.0
2014/2,1017.9,213.0,8.7,77.0,2.8,156.5,0.0,6.7,0.0
2014/3,1016.7,126.0,12.3,68.0,3.3,212.0,0.0,5.1,0.0
2014/4,1014.4,197.5,16.0,71.0,3.6,182.6,0.0,6.7,0.0
2014/5,1010.5,223.5,20.0,71.0,3.2,226.9,0.0,6.8,0.0
2014/6,1004.5,592.0,22.2,85.0,2.7,84.7,0.0,8.9,0.0
