年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1016.1,308.5,3.3,82.0,3.0,0.0,120.0,8.8,19.0
2010/2,1016.9,338.5,4.0,85.0,3.0,0.0,146.0,8.4,16.0
2010/3,1016.8,230.0,6.8,79.0,3.8,84.4,7.0,8.4,9.0
2010/4,1016.3,216.0,10.6,74.0,3.4,132.6,0.0,7.5,0.0
2010/5,1010.2,121.0,16.6,74.0,3.1,171.0,0.0,7.0,0.0
2010/6,1009.3,238.5,22.0,83.0,2.1,175.3,0.0,7.6,0.0
2010/7,1008.0,167.0,26.7,81.0,2.5,188.6,0.0,7.8,0.0
2010/8,1011.2,121.5,29.3,77.0,2.7,246.2,0.0,5.6,0.0
2010/9,1010.9,259.0,24.2,80.0,2.8,152.0,0.0,7.8,0.0
2010/10,1015.0,175.0,17.8,81.0,2.5,125.9,0.0,8.0,0.0
2010/11,1016.3,264.0,10.9,79.0,3.1,102.9,0.0,7.0,0.0
2010/12,1009.6,347.5,6.4,84.0,3.3,74.3,71.0,8.4,9.0
2011/1,1015.6,346.5,1.0,89.0,2.6,33.4,226.0,9.3,31.0
2011/2,1017.8,139.5,3.8,79.0,2.8,120.4,24.0,6.9,11.0
2011/3,0.0,153.5,0.0,0.0,0.0,0.0,0.0,7.7,17.0
2011/4,1012.7,171.0,11.3,61.0,3.6,178.2,0.0,6.3,0.0
2011/5,1009.9,241.5,17.0,72.0,3.4,172.1,0.0,7.6,0.0
2011/6,1007.4,173.5,22.3,79.0,2.6,144.8,0.0,8.9,0.0
2011/7,1006.1,209.5,26.6,81.0,2.5,161.8,0.0,7.8,0.0
2011/8,1008.3,247.0,26.8,81.0,2.5,190.1,0.0,8.0,0.0
2011/9,1009.2,276.0,23.2,79.0,2.7,170.8,0.0,6.6,0.0
2011/10,1016.7,130.0,16.7,75.0,2.8,159.2,0.0,6.7,0.0
2011/11,1019.1,280.0,12.7,78.0,2.8,102.4,0.0,8.1,0.0
2011/12,1018.8,300.5,4.5,85.0,2.7,58.6,63.0,8.9,18.0
