年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,995.6,55.5,0.8,79.0,1.9,68.5,79.0,8.5,29.0
2010/2,999.0,46.5,0.3,76.0,1.3,0.0,86.0,8.1,19.0
2010/3,999.2,69.5,3.4,70.0,1.8,91.9,46.0,8.6,17.0
2010/4,1000.2,77.0,7.8,66.0,1.8,122.6,19.0,8.0,4.0
2010/5,993.7,79.5,15.4,64.0,1.8,166.1,0.0,7.6,0.0
2010/6,993.4,220.5,21.7,68.0,1.5,182.9,0.0,7.7,0.0
2010/7,992.4,185.0,25.5,73.0,1.5,168.2,0.0,8.3,0.0
2010/8,995.8,134.5,27.7,70.0,1.6,220.4,0.0,6.7,0.0
2010/9,995.5,231.5,21.3,75.0,1.5,106.9,0.0,8.6,0.0
2010/10,999.9,61.0,14.8,77.0,1.3,121.2,0.0,8.6,0.0
2010/11,998.8,69.5,7.7,77.0,1.5,97.6,0.0,7.4,1.0
2010/12,991.2,188.5,3.5,78.0,1.7,93.0,59.0,8.1,19.0
2011/1,994.9,85.0,-1.6,79.0,1.5,86.4,169.0,9.1,31.0
2011/2,1000.2,52.0,0.3,74.0,1.2,123.2,62.0,7.1,20.0
2011/3,996.8,72.0,1.7,72.0,1.7,126.7,108.0,7.4,23.0
2011/4,995.4,39.5,8.9,58.0,2.1,178.2,0.0,6.7,4.0
2011/5,993.7,102.5,15.6,61.0,2.0,190.2,0.0,7.6,0.0
2011/6,991.4,169.0,20.8,69.0,1.7,173.2,0.0,8.3,0.0
2011/7,991.3,144.0,25.0,71.0,1.7,174.6,0.0,8.2,0.0
2011/8,0.0,30.0,25.6,0.0,0.0,0.0,0.0,8.2,0.0
2011/9,994.7,252.5,21.8,75.0,1.7,148.6,0.0,7.4,0.0
2011/10,1000.4,70.5,14.1,74.0,1.7,141.1,0.0,6.6,0.0
2011/11,1001.9,55.0,8.2,82.0,1.4,96.8,0.0,7.5,3.0
2011/12,999.5,72.5,1.4,80.0,1.6,77.4,103.0,8.8,23.0
2012/1,998.9,68.5,-1.8,82.0,0.0,64.8,128.0,8.4,31.0
2012/2,998.0,79.0,-2.0,78.0,1.6,92.6,96.0,8.3,24.0
2012/3,996.8,100.0,2.8,74.0,1.9,128.7,83.0,8.2,20.0
2012/4,996.7,54.0,9.3,66.0,2.2,157.6,4.0,8.2,7.0
2012/5,992.8,124.5,15.6,68.0,2.1,182.3,0.0,8.0,0.0
2012/6,992.1,55.0,19.3,68.0,2.0,201.9,0.0,7.8,0.0
2012/7,990.8,84.0,24.4,75.0,1.8,146.8,0.0,8.6,0.0
2012/8,994.5,91.0,27.0,70.0,1.7,242.7,0.0,6.7,0.0
2012/9,996.8,124.0,23.3,76.0,1.7,174.6,0.0,7.4,0.0
2012/10,997.9,58.5,14.7,74.0,1.7,132.6,0.0,7.1,0.0
2012/11,995.7,68.5,7.6,75.0,2.1,70.5,0.0,8.6,5.0
2012/12,996.9,84.5,1.1,81.0,1.8,68.7,66.0,8.6,26.0
2013/1,998.9,76.5,-1.2,81.0,1.7,103.7,120.0,8.2,30.0
2013/2,999.2,72.0,-1.2,77.0,1.8,95.1,124.0,8.5,24.0
2013/3,995.8,27.0,3.7,65.0,2.0,164.0,21.0,6.7,10.0
2013/4,992.7,43.0,9.0,63.0,2.4,171.4,6.0,7.4,4.0
2013/5,994.2,53.0,15.9,62.0,2.1,228.8,0.0,6.9,0.0
2013/6,991.8,70.0,21.4,67.0,1.9,221.2,0.0,7.2,0.0
2013/7,990.7,386.0,23.7,81.0,1.8,82.3,0.0,9.3,0.0
2013/8,989.7,125.0,25.6,73.0,1.7,187.6,0.0,7.5,0.0
2013/9,997.4,95.5,21.0,76.0,1.6,170.8,0.0,6.8,0.0
2013/10,1000.2,179.5,15.5,80.0,1.6,110.2,0.0,8.3,0.0
2013/11,997.3,85.0,7.1,80.0,1.9,100.4,0.0,7.7,4.0
2013/12,994.8,134.5,2.4,85.0,1.7,60.5,76.0,8.8,25.0
2014/1,999.3,67.5,-0.1,78.0,1.9,98.8,70.0,8.2,27.0
2014/2,1001.5,100.5,-0.5,77.0,1.7,99.1,99.0,8.3,21.0
2014/3,996.7,154.5,3.7,74.0,2.1,114.5,65.0,8.2,16.0
2014/4,997.9,34.0,10.3,53.0,2.1,243.3,0.0,5.5,3.0
2014/5,992.7,74.5,16.8,60.0,2.2,209.6,0.0,7.2,0.0
2014/6,989.9,83.5,21.4,72.0,2.2,170.5,0.0,8.0,0.0
2014/7,991.2,168.0,24.1,75.0,1.7,165.0,0.0,7.9,0.0
2014/8,992.7,157.5,25.0,77.0,1.8,133.2,0.0,8.2,0.0
2014/9,995.4,27.0,19.4,71.0,1.7,187.5,0.0,6.5,0.0
2014/10,1000.3,157.5,13.3,76.0,1.5,166.4,0.0,5.7,0.0
2014/11,1000.4,85.0,7.7,80.0,1.5,101.0,0.0,7.1,1.0
2014/12,995.3,227.0,0.3,86.0,1.7,48.0,131.0,9.0,29.0
2015/1,996.9,67.0,-0.2,81.0,1.6,68.3,98.0,8.7,28.0
2015/2,996.8,53.5,0.9,77.0,1.7,83.0,70.0,8.5,19.0
2015/3,998.5,112.0,5.0,69.0,2.0,149.4,37.0,7.5,12.0
2015/4,998.6,89.5,11.6,62.0,1.9,196.8,0.0,7.3,0.0
2015/5,991.8,40.0,18.6,53.0,2.3,272.3,0.0,7.0,0.0
2015/6,990.6,76.0,20.6,68.0,2.0,176.0,0.0,7.9,0.0
2015/7,991.6,78.0,25.3,71.0,1.7,192.1,0.0,8.4,0.0
2015/8,992.6,101.5,24.3,75.0,1.9,141.9,0.0,8.2,0.0
2015/9,995.6,201.5,19.8,76.0,1.8,127.7,0.0,8.1,0.0
2015/10,997.9,30.5,13.7,66.0,2.1,176.2,0.0,5.8,0.0
2015/11,1003.7,87.0,9.1,80.0,1.4,81.3,0.0,8.2,3.0
2015/12,1001.2,90.5,3.7,78.0,1.6,79.2,6.0,8.5,12.0
2016/1,998.0,113.5,0.9,80.0,1.8,54.7,98.0,9.2,29.0
2016/2,1000.5,35.5,1.4,73.0,1.9,109.8,33.0,7.8,20.0
2016/3,1000.9,26.0,5.5,61.0,1.9,163.3,18.0,7.5,7.0
2016/4,995.5,100.0,11.5,58.0,2.2,189.2,0.0,6.8,1.0
2016/5,995.2,69.0,17.9,60.0,2.1,210.5,0.0,7.4,0.0
