年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1016.3,57.0,4.0,69.0,2.3,149.8,19.0,6.2,9.0
2010/2,1016.0,169.5,6.5,66.0,2.4,111.1,3.0,6.8,8.0
2010/3,1016.1,190.5,8.8,62.0,2.9,165.2,0.0,7.2,1.0
2010/4,1015.7,275.0,13.1,58.0,3.0,0.0,0.0,7.2,0.0
2010/5,1010.0,281.5,18.7,57.0,3.1,235.7,0.0,6.6,0.0
2010/6,1009.3,325.5,23.9,66.0,2.4,167.4,0.0,8.0,0.0
2010/7,1008.4,385.5,27.8,69.0,2.4,192.5,0.0,8.0,0.0
2010/8,1012.1,115.5,29.5,67.0,2.5,212.3,0.0,6.7,0.0
2010/9,1010.5,261.0,25.9,63.0,2.5,193.3,0.0,6.9,0.0
2010/10,1014.2,177.5,19.2,65.0,2.1,141.2,0.0,7.8,0.0
2010/11,1016.4,61.0,11.8,62.0,2.2,182.9,0.0,5.0,0.0
2010/12,1010.2,141.0,7.4,66.0,2.5,152.6,1.0,6.6,4.0
2011/1,1015.3,25.0,2.2,67.0,2.6,161.4,36.0,6.1,18.0
2011/2,1016.9,106.5,6.3,57.0,2.6,162.5,4.0,6.2,5.0
2011/3,1015.3,34.5,7.0,54.0,3.1,217.2,0.0,5.9,4.0
2011/4,1012.7,131.0,13.0,52.0,3.0,210.1,0.0,5.8,0.0
2011/5,1010.0,349.0,19.0,61.0,2.6,170.9,0.0,7.6,0.0
2011/6,1007.8,200.0,23.9,69.0,2.4,132.9,0.0,9.0,0.0
2011/7,1006.4,230.5,27.6,67.0,2.7,176.4,0.0,7.7,0.0
2011/8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0
2011/9,1009.1,305.5,25.1,70.0,3.0,181.8,0.0,6.6,0.0
2011/10,1016.1,148.0,18.7,65.0,2.4,201.5,0.0,6.0,0.0
2011/11,1018.8,90.5,13.7,71.0,2.1,143.6,0.0,6.9,0.0
2011/12,1018.0,41.0,6.3,71.0,2.3,141.7,0.0,6.6,3.0
2012/1,1016.9,29.0,4.0,67.0,2.4,153.1,2.0,6.6,7.0
2012/2,1016.2,115.0,4.0,67.0,2.7,148.0,19.0,6.8,12.0
2012/3,1014.6,202.5,8.2,64.0,3.0,177.2,5.0,6.7,6.0
2012/4,1013.4,222.0,14.0,66.0,2.7,176.6,0.0,6.6,0.0
2012/5,1008.5,69.5,19.2,61.0,3.0,226.4,0.0,7.1,0.0
2012/6,1007.0,260.5,22.5,71.0,2.8,133.7,0.0,8.6,0.0
2012/7,1006.7,304.5,27.2,75.0,2.6,180.7,0.0,8.1,0.0
2012/8,1010.4,110.5,28.7,70.0,2.6,234.9,0.0,6.7,0.0
2012/9,1011.3,257.0,25.5,71.0,2.5,179.8,0.0,6.8,0.0
2012/10,1013.5,77.0,19.0,62.0,2.6,220.2,0.0,5.3,0.0
2012/11,1014.1,101.0,11.2,65.0,2.4,0.0,0.0,6.4,0.0
2012/12,1016.4,123.0,5.0,71.0,2.7,150.6,23.0,6.1,9.0
2013/1,1018.0,72.5,3.9,65.0,2.7,193.4,15.0,5.2,8.0
2013/2,1018.3,89.0,4.5,61.0,3.0,152.3,7.0,6.2,10.0
2013/3,1013.8,35.0,10.2,53.0,3.2,214.2,0.0,5.3,1.0
2013/4,1010.2,202.5,13.7,56.0,3.2,212.9,0.0,6.5,0.0
2013/5,1010.9,150.5,19.4,57.0,3.4,281.2,0.0,5.1,0.0
2013/6,1007.1,139.5,23.9,70.0,2.4,138.5,0.0,8.5,0.0
2013/7,1007.0,264.0,28.0,68.0,2.5,199.6,0.0,7.7,0.0
2013/8,1005.6,178.0,29.3,64.0,2.7,259.8,0.0,5.8,0.0
2013/9,1011.8,334.0,24.9,68.0,2.5,209.7,0.0,5.7,0.0
2013/10,1015.0,252.5,20.2,68.0,2.6,144.3,0.0,7.0,0.0
2013/11,1015.7,91.0,11.3,68.0,2.1,158.9,0.0,5.9,0.0
2013/12,1014.6,67.0,6.3,68.0,2.5,150.8,0.0,6.1,5.0
2014/1,1018.7,48.0,4.5,62.0,2.5,201.7,0.0,4.8,4.0
2014/2,1018.1,112.5,5.2,55.0,3.5,179.4,12.0,6.0,3.0
2014/3,1015.0,162.5,9.1,60.0,3.1,208.4,0.0,5.8,3.0
2014/4,1014.6,100.0,14.6,55.0,2.9,227.3,0.0,6.6,0.0
2014/5,1010.0,144.0,19.7,55.0,3.2,274.1,0.0,5.7,0.0
2014/6,1004.8,87.5,24.3,65.0,2.7,183.2,0.0,8.0,0.0
2014/7,1007.0,122.0,27.3,70.0,2.5,186.9,0.0,7.5,0.0
2014/8,1008.1,367.0,27.0,78.0,2.3,97.4,0.0,9.2,0.0
2014/9,1010.3,132.0,23.6,64.0,2.6,193.9,0.0,6.5,0.0
2014/10,1015.5,213.0,19.0,66.0,2.5,161.7,0.0,6.6,0.0
2014/11,1016.9,116.5,13.2,67.0,2.2,151.8,0.0,6.0,0.0
2014/12,1015.7,114.0,5.2,71.0,2.9,142.9,16.0,7.0,9.0
