年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1018.1,12.0,5.1,62.0,3.5,173.9,0.0,5.1,1.0
2010/2,1017.1,71.0,7.1,65.0,3.1,136.4,0.0,6.3,0.0
2010/3,1016.7,141.0,9.0,65.0,3.2,140.3,0.0,7.0,1.0
2010/4,1015.6,147.0,13.1,62.0,3.4,155.9,0.0,7.6,0.0
2010/5,1009.8,155.5,18.9,60.0,3.4,211.0,0.0,6.7,0.0
2010/6,1008.7,141.5,24.0,68.0,2.8,164.7,0.0,8.1,0.0
2010/7,1007.9,164.5,27.8,72.0,2.6,179.3,0.0,7.9,0.0
2010/8,1011.0,66.5,30.5,65.0,3.1,252.8,0.0,5.6,0.0
2010/9,1010.9,143.5,26.3,64.0,2.9,202.0,0.0,6.9,0.0
2010/10,1014.4,99.0,19.4,67.0,2.5,135.8,0.0,7.8,0.0
2010/11,1017.2,20.0,12.1,64.0,2.7,180.8,0.0,4.5,0.0
2010/12,1011.8,54.5,7.4,65.0,3.9,164.0,0.0,5.5,2.0
2011/1,1017.9,0.5,3.2,58.0,4.1,193.3,0.0,4.4,9.0
2011/2,1017.6,42.5,6.5,64.0,2.5,144.3,0.0,6.4,5.0
2011/3,1016.7,26.0,0.0,0.0,3.3,192.3,0.0,5.3,5.0
2011/4,1012.7,61.0,13.3,55.0,3.0,209.8,0.0,5.7,0.0
2011/5,1009.7,303.0,19.5,63.0,3.2,172.4,0.0,8.1,0.0
2011/6,1007.1,121.5,24.2,71.0,2.6,115.8,0.0,8.9,0.0
2011/7,1005.5,185.0,27.6,70.0,3.1,160.4,0.0,7.9,0.0
2011/8,1007.6,77.0,28.8,67.0,2.9,207.1,0.0,7.8,0.0
2011/9,1007.9,455.0,24.8,68.0,3.3,175.5,0.0,6.5,0.0
2011/10,1016.2,64.0,18.7,65.0,2.5,170.5,0.0,6.1,0.0
2011/11,1019.3,62.5,14.5,67.0,0.0,0.0,0.0,6.7,0.0
2011/12,0.0,18.5,0.0,0.0,0.0,0.0,0.0,5.9,2.0
2012/1,1018.7,15.0,4.8,62.0,3.3,159.2,0.0,6.2,4.0
2012/2,1017.7,68.5,4.1,64.0,3.4,130.1,0.0,6.8,6.0
2012/3,1015.4,117.0,8.6,64.0,3.4,148.8,0.0,6.5,0.0
2012/4,1012.6,63.5,14.8,62.0,3.6,197.8,0.0,5.9,0.0
2012/5,1008.8,45.0,19.4,60.0,3.2,201.4,0.0,6.4,0.0
2012/6,1006.0,215.0,23.0,71.0,3.0,123.7,0.0,8.8,0.0
2012/7,1006.0,205.5,27.7,74.0,2.7,182.0,0.0,7.9,0.0
2012/8,1008.8,47.0,29.4,67.0,3.4,231.3,0.0,6.1,0.0
2012/9,1010.8,120.0,25.4,71.0,2.8,165.3,0.0,7.3,0.0
2012/10,1014.2,64.5,18.6,65.0,2.5,203.5,0.0,5.5,0.0
2012/11,1015.0,68.5,11.5,66.0,3.3,156.3,0.0,6.1,0.0
2012/12,1017.9,76.5,5.3,68.0,3.6,152.1,0.0,5.6,4.0
2013/1,1020.0,35.5,4.0,63.0,3.3,169.8,0.0,5.2,7.0
2013/2,1019.5,46.0,5.3,63.0,3.4,145.7,0.0,6.4,2.0
2013/3,1014.4,66.0,9.8,60.0,2.9,183.5,0.0,6.1,0.0
2013/4,1010.7,58.0,13.4,60.0,3.6,212.8,0.0,6.1,0.0
2013/5,1010.7,22.0,19.8,58.0,2.9,256.5,0.0,6.1,0.0
2013/6,1006.5,315.0,24.4,67.0,2.8,148.1,0.0,8.2,0.0
2013/7,1006.8,158.5,28.5,69.0,3.0,203.0,0.0,7.9,0.0
2013/8,1005.8,108.5,29.3,69.0,2.5,214.1,0.0,6.5,0.0
2013/9,1011.8,222.5,24.1,68.0,2.7,204.0,0.0,5.4,0.0
2013/10,1015.3,192.0,19.7,68.0,2.9,153.1,0.0,6.5,0.0
2013/11,1016.4,53.5,11.6,66.0,3.0,165.1,0.0,4.8,0.0
2013/12,1016.3,63.5,6.6,65.0,3.3,158.6,0.0,5.7,4.0
2014/1,1019.9,22.5,5.2,64.0,2.7,169.4,0.0,5.4,8.0
2014/2,1020.0,46.0,5.5,63.0,0.0,118.6,9.0,7.2,7.0
2014/3,1016.3,93.0,9.5,61.0,3.4,192.0,0.0,5.8,4.0
2014/4,1014.8,53.0,14.3,55.0,2.9,197.5,0.0,6.4,0.0
2014/5,1009.9,77.0,19.8,57.0,3.0,271.9,0.0,5.4,0.0
2014/6,1004.4,57.5,23.8,67.0,2.9,132.3,0.0,9.0,0.0
2014/7,1006.4,149.5,27.5,70.0,3.0,177.4,0.0,7.9,0.0
2014/8,1006.8,263.5,27.0,77.0,2.9,78.6,0.0,9.4,0.0
2014/9,1010.5,60.5,23.9,64.0,2.4,179.9,0.0,7.0,0.0
2014/10,1015.6,189.0,18.4,69.0,2.8,163.0,0.0,6.1,0.0
2014/11,1017.6,81.0,13.2,68.0,2.4,0.0,0.0,6.1,0.0
2014/12,1017.8,50.0,5.5,65.0,4.0,148.3,0.0,5.9,5.0
2015/1,1018.2,69.5,5.5,64.0,3.6,133.4,0.0,6.1,7.0
2015/2,1017.2,14.5,6.1,60.0,3.6,144.0,0.0,6.5,5.0
2015/3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.8,1.0
2015/4,1015.5,144.0,15.2,67.0,2.9,165.3,0.0,7.4,0.0
2015/5,1009.6,74.0,20.7,60.0,2.7,244.7,0.0,6.5,0.0
2015/6,1007.3,207.5,22.2,75.0,2.9,145.2,0.0,8.8,0.0
2015/7,1007.8,215.0,26.4,79.0,3.2,151.1,0.0,8.2,0.0
2015/8,1007.7,101.0,27.4,74.0,2.7,190.0,0.0,6.9,0.0
2015/9,1011.8,130.0,22.2,75.0,2.5,138.6,0.0,7.9,0.0
2015/10,1016.8,34.0,17.1,67.0,2.4,241.6,0.0,4.6,0.0
2015/11,1021.0,152.5,13.8,78.0,2.4,114.5,0.0,7.9,0.0
2015/12,1021.6,91.5,8.4,73.0,2.8,152.9,0.0,5.2,0.0
2016/1,1019.9,49.5,5.1,70.0,3.1,141.2,0.0,6.5,5.0
2016/2,1021.3,51.0,6.1,0.0,3.2,154.7,0.0,5.9,3.0
2016/3,1019.8,56.5,9.8,63.0,2.8,197.8,0.0,6.0,1.0
2016/4,1013.2,146.0,15.7,0.0,3.0,182.1,0.0,7.2,0.0
2016/5,1012.1,115.0,20.1,0.0,2.9,222.9,0.0,7.3,0.0
2016/6,1008.3,403.0,22.6,79.0,2.8,137.3,0.0,8.3,0.0
2016/7,1008.8,83.5,27.5,76.0,2.7,192.0,0.0,8.3,0.0
2016/8,1004.0,140.5,28.8,68.0,2.9,243.2,0.0,6.5,0.0
2016/9,1011.6,284.5,24.6,81.0,2.7,97.4,0.0,9.0,0.0
2016/10,1017.1,64.5,19.2,74.0,2.5,133.0,0.0,7.8,0.0
2016/11,1019.8,45.5,12.1,0.0,2.5,145.5,0.0,5.7,0.0
2016/12,1021.0,73.5,8.0,0.0,2.7,148.4,0.0,6.6,1.0
2017/1,1020.1,26.5,4.8,70.0,3.4,176.4,0.0,5.7,10.0
2017/2,1018.8,31.0,5.2,67.0,3.4,170.0,0.0,5.7,3.0
2017/3,1016.8,43.0,8.1,61.0,3.1,190.1,0.0,6.8,1.0
2017/4,1012.8,79.0,14.9,65.0,3.0,197.7,0.0,6.2,0.0
2017/5,1012.1,48.0,20.1,62.0,2.8,237.4,0.0,6.7,0.0
2017/6,1008.2,219.0,22.2,66.0,2.7,204.0,0.0,7.6,0.0
2017/7,1008.5,119.5,28.1,77.0,2.7,154.3,0.0,8.6,0.0
2017/8,1006.3,83.0,28.7,71.0,3.2,214.0,0.0,7.4,0.0
2017/9,1011.0,212.5,23.0,73.0,2.8,147.8,0.0,7.7,0.0
2017/10,1017.6,315.0,17.5,81.0,2.5,110.7,0.0,7.1,0.0
2017/11,1020.0,21.5,10.4,77.0,2.4,165.7,0.0,5.4,0.0
2017/12,1021.0,7.5,5.1,69.0,3.5,161.5,0.0,5.3,3.0
2018/1,1019.1,37.0,3.5,71.0,3.6,155.6,0.0,5.9,10.0
2018/2,1019.9,36.0,4.0,0.0,3.2,173.4,0.0,6.1,3.0
2018/3,1018.2,147.5,10.1,67.0,3.1,231.0,0.0,4.6,0.0
2018/4,1015.1,72.0,15.6,65.0,2.9,214.8,0.0,5.9,0.0
2018/5,1011.7,150.5,19.2,69.0,3.0,198.7,0.0,7.5,0.0
2018/6,1008.2,140.0,22.9,74.0,2.6,169.4,0.0,7.9,0.0
2018/7,1008.4,372.0,28.9,74.0,3.2,240.3,0.0,6.6,0.0
2018/8,1007.9,37.0,29.3,67.0,3.4,259.6,0.0,5.9,0.0
2018/9,1011.4,314.5,23.2,81.0,2.8,89.0,0.0,8.6,0.0
2018/10,1016.1,40.0,18.2,71.0,2.8,198.8,0.0,6.0,0.0
2018/11,1020.8,2.5,12.5,73.0,2.1,169.2,0.0,5.8,0.0
2018/12,1022.1,61.0,7.7,0.0,3.0,129.4,0.0,6.9,3.0
2019/1,1020.9,17.5,5.3,68.0,3.0,152.3,0.0,5.7,4.0
2019/2,1020.6,35.0,6.5,70.0,2.6,120.2,3.0,7.3,1.0
2019/3,1015.1,83.5,9.4,68.0,3.3,179.8,0.0,6.7,0.0
2019/4,1013.8,103.5,13.8,63.0,3.1,201.1,0.0,6.4,0.0
2019/5,1012.2,43.5,19.9,59.0,3.0,271.3,0.0,7.1,0.0
2019/6,1006.3,153.5,23.2,70.0,3.1,185.8,0.0,8.2,0.0
2019/7,1007.3,155.5,26.3,79.0,2.8,111.7,0.0,8.2,0.0
2019/8,1007.0,147.5,28.2,76.0,3.3,188.0,0.0,7.5,0.0
2019/9,1013.5,54.0,25.7,73.0,3.2,188.0,0.0,6.9,0.0
2019/10,1015.5,77.0,19.8,74.0,3.0,157.2,0.0,7.1,0.0
2019/11,1020.0,7.0,12.3,72.0,0.0,189.8,0.0,4.7,0.0
2019/12,1022.0,44.0,7.6,76.0,2.4,0.0,0.0,6.5,0.0
2020/1,1019.1,55.5,7.1,72.0,3.0,130.6,0.0,7.0,1.0
2020/2,1021.9,40.5,6.7,69.0,2.8,157.3,0.0,0.0,0.0
2020/3,1015.6,88.5,10.4,66.0,3.1,196.1,0.0,0.0,0.0
2020/4,1014.6,154.5,12.7,59.0,3.7,223.0,0.0,0.0,0.0
2020/5,1010.5,61.0,20.1,67.0,3.0,222.4,0.0,0.0,0.0
2020/6,1006.7,192.5,24.1,74.0,2.6,167.6,0.0,0.0,0.0
2020/7,1007.7,308.5,25.2,83.0,2.8,90.0,0.0,0.0,0.0
2020/8,1010.2,0.5,29.9,71.0,2.5,260.8,0.0,0.0,0.0
2020/9,1010.3,87.5,25.0,72.0,3.1,154.3,0.0,0.0,0.0
2020/10,1017.1,103.0,17.7,73.0,2.5,182.0,0.0,0.0,0.0
2020/11,1021.8,46.0,13.0,74.0,2.4,187.7,0.0,0.0,0.0
2020/12,1020.9,16.0,6.5,69.0,3.2,190.6,0.0,0.0,3.0
2021/1,1020.7,58.0,4.4,70.0,3.4,180.7,0.0,0.0,10.0
2021/2,1018.6,38.0,7.3,64.0,3.6,195.0,0.0,0.0,3.0
2021/3,1018.2,57.0,11.3,67.0,3.0,202.2,0.0,0.0,0.0
2021/4,1017.7,87.0,14.6,61.0,3.2,225.5,0.0,0.0,0.0
2021/5,1009.6,135.5,19.2,73.0,3.0,159.1,0.0,0.0,0.0
2021/6,1008.4,129.5,23.2,74.0,2.6,164.5,0.0,0.0,0.0
2021/7,1009.0,160.5,27.4,76.0,2.9,192.8,0.0,0.0,0.0
2021/8,1008.6,268.0,27.4,79.0,2.9,165.9,0.0,0.0,0.0
2021/9,1012.5,125.0,24.4,78.0,2.7,109.7,0.0,0.0,0.0
2021/10,1018.7,35.5,18.9,74.0,2.4,210.5,0.0,0.0,0.0
2021/11,1017.7,78.0,11.9,74.0,2.7,188.9,0.0,0.0,0.0
2021/12,1020.2,19.5,7.0,72.0,3.5,171.1,0.0,0.0,4.0
2022/1,1020.0,9.0,4.3,68.0,3.0,168.3,0.0,0.0,9.0
2022/2,1020.9,15.0,3.8,66.0,3.5,180.6,0.0,0.0,12.0
2022/3,1016.2,93.5,10.5,67.0,2.7,183.9,0.0,0.0,1.0
2022/4,1015.8,78.0,15.9,63.0,2.6,231.3,0.0,0.0,0.0
2022/5,1011.9,57.5,19.3,64.0,2.6,226.9,0.0,0.0,0.0
2022/6,1008.8,95.5,23.9,72.0,2.9,193.2,0.0,0.0,0.0
2022/7,1006.5,141.0,27.8,77.0,2.9,180.7,0.0,0.0,0.0
2022/8,1007.6,149.5,28.9,75.0,2.7,197.9,0.0,0.0,0.0
2022/9,1010.8,100.0,25.5,74.0,3.1,146.4,0.0,0.0,0.0
2022/10,1018.8,38.5,17.7,72.0,2.3,197.5,0.0,0.0,0.0
2022/11,1018.8,46.0,13.6,77.0,2.1,184.3,0.0,0.0,0.0
2022/12,1019.6,16.0,5.9,68.0,3.4,160.8,0.0,0.0,6.0
2023/1,1020.1,19.5,4.8,70.0,3.0,162.4,1.0,0.0,8.0
2023/2,1022.6,24.5,5.7,70.0,2.4,141.5,0.0,0.0,5.0
2023/3,1019.3,70.5,11.8,65.0,2.3,218.2,0.0,0.0,0.0
2023/4,1014.8,160.5,14.8,67.0,2.8,196.2,0.0,0.0,0.0
2023/5,1013.4,201.0,19.2,70.0,2.6,207.5,0.0,0.0,0.0
2023/6,1008.1,143.5,23.0,78.0,2.6,135.9,0.0,0.0,0.0
2023/7,1009.7,164.0,27.9,0.0,2.6,207.3,0.0,0.0,0.0
2023/8,1006.2,86.5,29.5,75.0,3.6,237.5,0.0,0.0,0.0
2023/9,1011.3,52.5,26.9,75.0,2.5,155.2,0.0,0.0,0.0
2023/10,1016.1,29.5,18.0,69.0,2.5,208.5,0.0,0.0,0.0
2023/11,1018.9,35.5,12.9,74.0,2.8,171.1,0.0,0.0,0.0
2023/12,1021.7,44.5,7.3,74.0,2.9,159.3,0.0,0.0,0.0
