年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1014.3,21.5,5.2,64.0,3.2,159.5,0.0,6.1,9.0
2010/2,1012.8,108.5,7.6,64.0,3.5,130.9,0.0,7.1,4.0
2010/3,1012.5,182.5,9.1,63.0,3.9,126.8,0.0,7.3,2.0
2010/4,1011.3,236.0,13.0,60.0,3.6,0.0,0.0,7.5,0.0
2010/5,1005.7,212.5,18.5,58.0,3.4,204.5,0.0,6.4,0.0
2010/6,1004.5,269.0,23.3,68.0,2.9,166.7,0.0,7.8,0.0
2010/7,1003.9,316.0,27.2,72.0,2.9,166.8,0.0,8.2,0.0
2010/8,1006.8,5.5,30.3,62.0,3.2,268.4,0.0,5.6,0.0
2010/9,1007.0,65.0,26.2,62.0,3.8,210.3,0.0,6.1,0.0
2010/10,1010.3,62.0,19.2,64.0,3.9,129.7,0.0,7.4,0.0
2010/11,1013.3,26.5,12.0,62.0,4.0,188.7,0.0,4.6,0.0
2010/12,1008.0,81.0,7.3,65.0,3.8,161.8,0.0,6.3,7.0
2011/1,1014.5,3.5,2.9,62.0,3.0,161.4,3.0,5.6,16.0
2011/2,1013.2,73.0,6.6,63.0,3.7,142.2,1.0,6.5,3.0
2011/3,1013.0,43.5,7.2,60.0,3.5,200.3,0.0,5.7,10.0
2011/4,1008.6,90.0,13.4,55.0,3.8,213.5,0.0,5.9,0.0
2011/5,1005.6,337.0,19.5,64.0,3.5,163.9,0.0,7.7,0.0
2011/6,1003.0,201.0,23.6,74.0,2.8,103.8,0.0,9.2,0.0
2011/7,1001.4,161.5,27.6,68.0,3.4,179.4,0.0,7.8,0.0
2011/8,1003.6,106.5,28.2,70.0,2.9,178.3,0.0,7.4,0.0
2011/9,1003.9,187.5,24.9,66.0,4.2,187.7,0.0,6.3,0.0
2011/10,1012.0,164.0,18.5,66.0,3.8,178.0,0.0,6.5,0.0
2011/11,1015.2,92.0,14.7,67.0,3.4,131.8,0.0,6.8,0.0
2011/12,1016.2,42.5,6.9,66.0,3.4,128.6,0.0,6.6,6.0
2012/1,1015.0,12.5,4.7,63.0,2.6,129.1,0.0,7.2,10.0
2012/2,1013.8,97.5,4.3,65.0,3.0,111.3,1.0,7.0,12.0
2012/3,0.0,128.5,0.0,0.0,0.0,0.0,0.0,6.9,3.0
2012/4,1008.2,154.5,15.0,63.0,3.5,192.5,0.0,5.9,0.0
2012/5,1004.7,49.5,19.6,61.0,3.5,204.5,0.0,6.6,0.0
2012/6,1001.7,196.5,23.2,73.0,2.8,118.1,0.0,8.6,0.0
2012/7,1001.9,359.5,27.4,76.0,2.8,179.4,0.0,7.7,0.0
2012/8,1004.3,122.0,29.5,67.0,3.3,228.1,0.0,6.5,0.0
2012/9,1006.6,70.0,25.6,68.0,3.5,186.6,0.0,7.3,0.0
2012/10,1010.2,83.5,18.9,64.0,4.3,210.2,0.0,4.8,0.0
2012/11,1011.0,120.0,11.7,67.0,3.6,144.0,0.0,6.5,0.0
2012/12,1014.0,84.0,5.5,71.0,3.6,125.0,2.0,6.4,10.0
2013/1,1016.1,43.5,4.4,66.0,3.6,164.9,6.0,6.1,10.0
2013/2,1015.3,93.5,6.0,64.0,3.2,0.0,0.0,6.6,3.0
2013/3,1010.1,90.0,10.7,63.0,3.6,207.5,0.0,5.7,0.0
2013/4,1006.7,100.5,13.5,61.0,3.7,217.1,0.0,6.1,0.0
2013/5,1006.4,125.5,19.7,60.0,3.2,268.7,0.0,5.7,0.0
2013/6,1002.3,329.5,24.0,73.0,2.7,141.3,0.0,7.9,0.0
2013/7,1002.9,175.5,28.3,73.0,3.2,205.0,0.0,7.4,0.0
2013/8,1001.9,238.0,29.5,70.0,3.0,238.7,0.0,6.2,0.0
2013/9,1007.5,224.5,24.6,69.0,3.7,204.2,0.0,5.8,0.0
2013/10,1011.1,295.0,19.9,69.0,4.1,155.1,0.0,6.2,0.0
2013/11,1012.4,58.5,11.9,68.0,3.5,156.3,0.0,5.6,1.0
2013/12,1012.6,46.5,6.5,70.0,3.4,135.8,0.0,6.6,6.0
2014/1,1015.8,45.0,5.7,68.0,3.3,169.2,0.0,5.7,3.0
2014/2,1015.6,42.0,6.2,64.0,4.0,116.0,2.0,7.4,8.0
2014/3,1012.4,159.5,10.0,64.0,3.4,197.7,0.0,6.2,2.0
2014/4,1010.5,79.5,14.3,59.0,3.5,191.3,0.0,6.2,0.0
2014/5,1005.8,114.5,19.6,61.0,3.2,273.2,0.0,5.2,0.0
2014/6,1000.3,119.0,23.2,73.0,2.7,133.0,0.0,8.5,0.0
2014/7,1002.4,283.0,26.9,74.0,2.8,169.6,0.0,7.6,0.0
2014/8,1002.5,337.5,26.9,78.0,3.2,84.8,0.0,9.4,0.0
2014/9,1006.3,117.0,23.9,66.0,3.3,162.3,0.0,7.1,0.0
2014/10,1011.3,143.5,18.7,67.0,4.3,186.1,0.0,5.5,0.0
2014/11,1013.4,63.5,13.4,69.0,3.7,163.6,0.0,6.1,0.0
2014/12,1014.3,69.0,5.5,70.0,3.3,132.9,9.0,7.1,11.0
2015/1,1014.5,95.5,5.8,69.0,3.1,126.1,5.0,7.4,8.0
2015/2,1013.4,24.0,6.1,63.0,3.1,128.6,0.0,6.6,5.0
2015/3,1013.3,106.5,10.0,57.0,3.4,200.9,0.0,6.1,1.0
2015/4,1009.6,198.0,15.8,63.0,3.3,150.5,0.0,7.6,0.0
2015/5,1004.3,101.0,20.5,60.0,2.9,239.7,0.0,6.2,0.0
2015/6,1001.7,237.5,22.5,69.0,2.8,149.4,0.0,8.7,0.0
2015/7,1002.3,110.0,26.5,72.0,3.0,129.2,0.0,8.4,0.0
2015/8,1002.3,215.5,27.5,68.0,2.9,0.0,0.0,6.3,0.0
2015/9,1006.2,159.5,23.1,66.0,3.4,150.4,0.0,7.1,0.0
2015/10,1011.4,94.0,18.0,58.0,3.7,0.0,0.0,4.0,0.0
2015/11,1015.3,192.5,14.6,69.0,3.3,112.4,0.0,7.6,1.0
2015/12,1016.1,107.0,9.3,65.0,3.4,147.4,0.0,6.2,0.0
2016/1,1014.6,66.5,5.6,66.0,3.3,126.8,6.0,7.3,6.0
2016/2,1016.0,95.0,6.5,60.0,3.3,134.1,1.0,6.9,7.0
2016/3,1014.1,67.0,10.4,58.0,3.5,197.8,0.0,6.0,1.0
2016/4,1007.6,274.0,16.2,62.0,3.3,182.5,0.0,7.2,0.0
2016/5,1006.6,184.0,20.3,61.0,3.1,216.0,0.0,7.2,0.0
2016/6,1002.7,509.5,23.3,72.0,2.8,125.4,0.0,8.1,0.0
2016/7,1003.6,199.5,27.7,69.0,2.9,192.5,0.0,8.3,0.0
2016/8,998.8,90.0,29.3,60.0,3.4,257.7,0.0,5.5,0.0
2016/9,1006.0,307.5,25.1,72.0,3.0,83.3,0.0,8.9,0.0
2016/10,1011.4,156.0,20.2,66.0,3.4,110.5,0.0,8.0,0.0
2016/11,1014.3,82.5,13.1,67.0,3.4,144.4,0.0,5.8,0.0
2016/12,1015.6,92.5,8.9,69.0,3.3,125.8,0.0,6.9,2.0
2017/1,1015.1,52.0,5.5,65.0,3.1,161.1,20.0,5.9,10.0
2017/2,1013.7,66.0,6.1,62.0,3.2,158.6,0.0,5.6,7.0
2017/3,1011.5,55.5,8.8,54.0,3.5,178.3,0.0,7.2,1.0
2017/4,1007.2,192.0,15.6,58.0,3.3,194.4,0.0,6.1,0.0
2017/5,1006.6,50.5,20.6,56.0,3.0,256.6,0.0,6.1,0.0
2017/6,1002.8,261.0,22.5,61.0,3.0,203.3,0.0,7.7,0.0
2017/7,1003.2,174.5,28.4,71.0,2.6,157.9,0.0,8.3,0.0
2017/8,1001.0,98.5,29.0,64.0,3.2,217.3,0.0,6.6,0.0
2017/9,1005.6,250.0,23.4,66.0,3.5,149.2,0.0,7.0,0.0
2017/10,1011.9,387.5,18.4,70.0,3.8,122.8,0.0,7.1,0.0
2017/11,1014.5,20.5,11.9,65.0,3.4,160.5,0.0,5.8,0.0
2017/12,1015.9,11.5,5.8,61.0,3.0,137.6,0.0,7.0,7.0
2018/1,1013.9,55.0,4.3,64.0,3.0,136.1,0.0,7.2,15.0
