年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1008.1,96.5,3.8,75.0,3.0,99.1,23.0,8.0,13.0
2010/2,1007.9,138.0,5.4,77.0,3.3,96.9,13.0,8.1,10.0
2010/3,1007.9,153.0,7.1,76.0,3.2,110.4,0.0,8.5,4.0
2010/4,1007.5,169.0,11.2,70.0,3.0,147.1,0.0,7.7,0.0
2010/5,1002.0,113.0,16.7,70.0,2.8,205.6,0.0,7.5,0.0
2010/6,1001.1,180.5,22.4,76.0,1.9,165.6,0.0,7.7,0.0
2010/7,1000.4,353.5,26.6,77.0,2.0,183.0,0.0,8.3,0.0
2010/8,1003.7,84.0,29.3,71.0,2.2,251.4,0.0,6.1,0.0
2010/9,1002.7,208.0,25.0,72.0,2.8,180.6,0.0,7.3,0.0
2010/10,1006.1,181.0,18.3,75.0,2.4,141.8,0.0,8.0,0.0
2010/11,1008.2,35.5,11.2,72.0,2.7,152.7,0.0,6.1,0.0
2010/12,1002.0,146.0,7.0,72.0,3.3,116.2,20.0,7.4,3.0
2011/1,1007.1,92.0,2.0,76.0,3.1,89.8,63.0,8.1,24.0
2011/2,1008.7,108.0,4.8,73.0,1.9,137.8,2.0,6.8,6.0
2011/3,0.0,98.5,0.0,0.0,0.0,0.0,0.0,7.0,13.0
2011/4,1004.1,122.0,10.8,69.0,2.2,189.2,0.0,6.0,0.0
2011/5,1001.3,347.0,17.4,73.0,2.3,173.3,0.0,7.8,0.0
2011/6,999.2,146.5,23.0,78.0,2.1,130.9,0.0,9.2,0.0
2011/7,997.8,103.5,27.3,74.0,0.0,201.0,0.0,7.9,0.0
2011/8,999.7,54.5,28.1,73.0,2.3,201.1,0.0,8.5,0.0
2011/9,1000.3,384.0,24.3,74.0,3.1,173.7,0.0,6.8,0.0
2011/10,1007.5,158.5,17.8,73.0,2.7,181.3,0.0,6.4,0.0
2011/11,1010.2,77.5,13.1,77.0,2.8,109.5,0.0,7.8,0.0
2011/12,1009.4,108.5,6.0,76.0,3.6,88.9,17.0,8.2,9.0
2012/1,1008.3,106.0,3.4,77.0,3.2,86.6,46.0,8.3,19.0
2012/2,1007.6,134.5,3.1,75.0,3.7,110.5,56.0,8.3,14.0
2012/3,1006.1,159.0,6.8,75.0,3.1,147.0,8.0,7.7,6.0
2012/4,1004.6,126.5,12.4,73.0,2.6,168.7,0.0,6.8,1.0
2012/5,1000.4,70.0,16.9,73.0,2.6,183.5,0.0,8.1,0.0
2012/6,998.4,220.0,21.3,76.0,2.3,130.3,0.0,8.7,0.0
2012/7,998.2,248.0,26.5,77.0,2.3,185.1,0.0,8.2,0.0
2012/8,1001.5,107.5,28.5,69.0,2.5,256.2,0.0,6.4,0.0
2012/9,1002.7,173.0,25.3,72.0,2.8,192.9,0.0,6.8,0.0
2012/10,1005.3,82.5,17.9,71.0,3.3,201.8,0.0,5.9,0.0
2012/11,1005.4,158.0,10.9,73.0,3.4,116.7,0.0,7.8,0.0
2012/12,1007.7,152.5,4.9,74.0,3.8,95.3,10.0,7.7,11.0
2013/1,1009.5,111.5,3.3,74.0,3.9,119.6,58.0,7.6,13.0
2013/2,1009.7,125.5,3.4,76.0,3.6,95.2,34.0,8.5,16.0
2013/3,1005.5,58.0,7.9,68.0,3.5,192.9,0.0,6.2,2.0
2013/4,1001.7,105.0,11.7,67.0,3.2,200.9,0.0,7.0,0.0
2013/5,1002.6,56.0,17.2,68.0,2.7,264.2,0.0,5.9,0.0
2013/6,998.5,126.5,22.7,74.0,2.1,162.6,0.0,8.4,0.0
2013/7,998.6,190.5,27.1,74.0,2.4,194.4,0.0,8.2,0.0
2013/8,997.4,87.5,28.3,72.0,2.5,249.2,0.0,6.1,0.0
2013/9,1003.3,245.0,23.5,73.0,2.7,213.1,0.0,5.4,0.0
2013/10,1006.5,175.5,19.3,74.0,3.0,124.7,0.0,7.7,0.0
2013/11,1006.8,57.0,11.2,70.0,3.0,148.2,0.0,6.3,0.0
2013/12,1005.8,154.0,6.0,72.0,3.7,108.4,22.0,7.6,7.0
2014/1,1009.9,73.5,3.6,73.0,3.4,149.3,10.0,6.6,8.0
2014/2,1009.9,63.5,4.3,68.0,4.9,143.1,12.0,7.4,9.0
2014/3,1006.6,158.0,7.2,75.0,3.3,154.0,19.0,7.5,8.0
2014/4,1006.1,62.0,12.2,67.0,2.6,216.1,0.0,6.5,0.0
2014/5,1001.5,73.5,17.7,67.0,2.9,256.6,0.0,6.7,0.0
2014/6,996.2,53.5,23.1,70.0,2.4,162.9,0.0,8.7,0.0
2014/7,998.4,102.5,26.4,74.0,2.3,201.1,0.0,7.6,0.0
2014/8,999.2,430.0,26.6,78.0,2.4,108.0,0.0,9.5,0.0
2014/9,1002.0,89.5,22.6,71.0,3.0,191.1,0.0,6.5,0.0
2014/10,1006.9,138.5,17.8,73.0,3.3,164.6,0.0,6.8,0.0
2014/11,1008.2,66.5,12.2,73.0,2.9,140.3,0.0,7.2,0.0
2014/12,1006.9,138.5,5.1,71.0,3.9,83.5,14.0,8.5,10.0
2015/1,1007.6,196.5,3.9,78.0,3.8,65.1,43.0,8.7,11.0
2015/2,1006.9,75.5,4.8,73.0,3.7,112.1,32.0,8.1,11.0
2015/3,1007.9,136.5,7.9,71.0,3.2,167.5,12.0,6.7,4.0
2015/4,1005.9,143.5,13.6,73.0,2.5,168.4,0.0,7.7,0.0
2015/5,1000.0,100.5,19.3,64.0,2.8,246.6,0.0,6.6,0.0
2015/6,997.8,175.5,21.6,75.0,2.5,137.8,0.0,9.1,0.0
2015/7,998.9,252.0,26.2,77.0,2.5,157.0,0.0,8.6,0.0
2015/8,998.2,159.5,27.4,73.0,2.5,206.5,0.0,7.2,0.0
2015/9,1001.8,240.5,22.1,75.0,2.9,146.8,0.0,8.2,0.0
2015/10,1006.3,45.5,17.2,68.0,3.3,228.6,0.0,5.1,0.0
2015/11,1010.6,140.5,13.4,77.0,2.4,108.2,0.0,8.0,0.0
2015/12,1010.3,118.0,8.6,72.0,3.3,114.1,0.0,7.4,4.0
2016/1,1008.2,101.0,4.9,71.0,3.2,127.5,42.0,7.8,6.0
2016/2,1010.1,84.0,5.5,69.0,3.4,153.9,7.0,6.8,9.0
2016/3,1009.2,72.0,8.3,69.0,3.4,195.2,3.0,6.6,2.0
2016/4,1003.6,151.0,13.8,73.0,2.9,161.5,0.0,7.9,0.0
2016/5,1002.8,130.0,18.8,71.0,2.6,219.1,0.0,7.0,0.0
2016/6,998.9,237.0,22.0,76.0,2.5,161.8,0.0,8.1,0.0
2016/7,999.6,157.0,26.3,75.0,2.2,206.1,0.0,8.2,0.0
2016/8,994.5,108.0,28.1,70.0,2.8,270.5,0.0,6.2,0.0
2016/9,1002.2,265.0,24.6,79.0,2.4,108.5,0.0,9.3,0.0
2016/10,1007.2,126.0,18.8,73.0,3.2,150.2,0.0,7.5,0.0
2016/11,1009.2,99.5,11.6,74.0,3.0,137.2,0.0,6.4,0.0
2016/12,1009.9,98.0,7.4,75.0,3.2,121.5,0.0,7.7,4.0
2017/1,1008.0,165.5,3.9,76.0,3.9,106.7,107.0,8.1,12.0
2017/2,1007.2,122.5,3.8,76.0,3.6,98.6,49.0,7.7,17.0
2017/3,1005.7,75.5,7.0,69.0,3.3,174.6,0.0,7.6,2.0
2017/4,1003.0,108.5,13.1,70.0,2.8,194.9,0.0,6.4,0.0
2017/5,1002.3,70.5,19.0,67.0,2.4,229.7,0.0,6.6,0.0
2017/6,998.6,196.5,21.0,69.0,2.9,229.8,0.0,7.3,0.0
2017/7,999.0,276.0,27.4,77.0,2.2,166.1,0.0,8.4,0.0
2017/8,996.8,174.5,27.6,75.0,2.8,197.4,0.0,8.0,0.0
2017/9,1001.1,94.0,22.7,73.0,3.1,184.9,0.0,7.1,0.0
2017/10,1007.2,450.5,17.2,79.0,3.0,98.0,0.0,7.9,0.0
2017/11,1008.9,68.5,10.4,76.0,2.8,149.8,0.0,6.4,0.0
2017/12,1008.9,92.5,5.0,73.0,3.5,104.2,1.0,7.9,7.0
2018/1,1007.0,113.5,3.3,0.0,3.8,110.6,66.0,7.9,14.0
2018/2,1008.5,31.0,3.3,71.0,3.2,147.1,16.0,7.3,10.0
