年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1019.2,15.5,6.2,58.0,3.6,188.6,0.0,5.0,3.0
2010/2,1018.2,69.0,7.8,64.0,3.6,136.8,0.0,6.7,1.0
2010/3,1017.8,150.5,9.9,64.0,4.1,145.7,0.0,6.8,1.0
2010/4,1016.9,189.5,13.6,62.0,3.9,162.0,0.0,7.6,0.0
2010/5,1011.3,117.0,18.7,64.0,4.0,197.3,0.0,7.0,0.0
2010/6,1010.2,261.0,23.4,73.0,2.9,166.9,0.0,8.1,0.0
2010/7,1009.6,252.0,26.8,78.0,2.8,179.9,0.0,7.8,0.0
2010/8,1012.8,27.0,29.4,71.0,3.6,294.4,0.0,4.6,0.0
2010/9,1012.2,106.0,26.3,66.0,3.3,213.1,0.0,6.2,0.0
2010/10,1015.5,180.5,20.0,68.0,3.3,122.8,0.0,8.0,0.0
2010/11,1018.3,20.5,13.2,63.0,3.0,151.7,0.0,5.9,0.0
2010/12,1012.8,117.5,8.6,63.0,3.6,161.8,1.0,5.4,6.0
2011/1,1018.8,0.5,4.4,53.0,4.5,202.1,0.0,4.4,5.0
2011/2,1018.7,58.0,7.2,64.0,3.3,152.2,7.0,6.4,3.0
2011/3,1017.8,33.0,8.3,57.0,3.7,207.5,0.0,6.0,5.0
2011/4,1014.1,64.0,13.9,57.0,3.9,229.1,0.0,5.5,0.0
2011/5,1011.1,342.5,19.3,68.0,3.5,179.0,0.0,7.7,0.0
2011/6,1008.8,298.0,23.3,79.0,2.7,114.9,0.0,8.8,0.0
2011/7,1007.0,318.5,26.9,77.0,3.4,0.0,0.0,7.1,0.0
2011/8,1009.2,42.0,28.3,73.0,2.9,0.0,0.0,7.1,0.0
2011/9,1009.1,1008.0,25.0,73.0,4.0,187.9,0.0,6.8,0.0
2011/10,1017.4,262.0,19.5,68.0,2.9,152.0,0.0,7.2,0.0
2011/11,1020.4,106.5,15.5,68.0,3.2,126.9,0.0,7.0,0.0
2011/12,1020.8,29.5,8.4,59.0,4.0,173.2,0.0,5.5,2.0
2012/1,1019.8,50.0,5.6,61.0,3.9,153.6,0.0,6.3,7.0
2012/2,1018.8,78.5,5.1,63.0,3.8,123.3,1.0,6.7,8.0
2012/3,1016.5,88.5,9.5,63.0,3.9,154.1,0.0,6.7,0.0
2012/4,1014.2,83.5,15.0,65.0,4.0,190.4,0.0,6.4,0.0
2012/5,1010.1,64.0,19.1,64.0,3.3,181.6,0.0,7.4,0.0
2012/6,1007.5,389.0,22.6,74.0,3.3,105.5,0.0,9.0,0.0
2012/7,1007.7,127.5,27.2,0.0,3.5,219.5,0.0,7.4,0.0
2012/8,1010.5,138.0,28.5,74.0,3.8,228.0,0.0,6.5,0.0
2012/9,1012.2,314.5,25.2,74.0,3.8,155.8,0.0,7.5,0.0
2012/10,1015.3,177.0,19.2,68.0,3.6,195.9,0.0,6.0,0.0
2012/11,1016.0,64.0,12.7,65.0,3.6,139.8,0.0,6.8,0.0
2012/12,1018.7,64.5,7.0,66.0,3.9,148.1,0.0,6.3,2.0
2013/1,1020.9,51.0,5.2,61.0,3.8,179.9,0.0,5.9,5.0
2013/2,0.0,61.5,6.3,0.0,0.0,0.0,0.0,7.0,5.0
2013/3,1015.5,31.0,10.8,61.0,3.1,187.0,0.0,6.0,0.0
2013/4,1011.9,148.0,14.2,59.0,3.6,226.0,0.0,6.1,0.0
2013/5,1012.2,40.0,19.4,64.0,3.6,264.6,0.0,5.9,0.0
