年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1015.3,184.0,3.4,71.0,4.3,52.6,35.0,9.2,23.0
2010/2,1017.7,204.0,2.9,73.0,3.1,80.2,138.0,8.5,17.0
2010/3,1017.8,150.5,5.6,68.0,3.5,84.5,5.0,8.7,10.0
2010/4,1017.7,110.5,9.7,65.0,3.9,122.2,0.0,7.9,0.0
2010/5,1011.4,136.5,15.7,71.0,2.9,177.2,0.0,7.1,0.0
2010/6,1010.6,148.5,21.6,76.0,2.2,187.3,0.0,7.4,0.0
2010/7,1009.3,109.5,26.3,75.0,2.4,202.6,0.0,7.9,0.0
2010/8,1012.5,54.5,29.0,73.0,2.4,257.7,0.0,6.3,0.0
2010/9,1012.1,334.5,23.7,73.0,2.9,142.5,0.0,8.1,0.0
2010/10,1016.6,134.0,17.6,71.0,3.0,116.1,0.0,8.1,0.0
2010/11,1016.8,196.0,10.8,70.0,3.3,95.0,0.0,7.4,0.0
2010/12,1009.5,309.5,6.7,72.0,4.4,65.5,25.0,8.6,11.0
2011/1,1014.7,168.0,1.3,74.0,4.3,49.4,130.0,9.2,30.0
2011/2,1018.7,100.0,3.7,67.0,3.0,112.9,13.0,7.8,13.0
2011/3,1016.0,103.0,4.2,67.0,3.6,137.3,32.0,7.8,17.0
2011/4,1013.6,118.5,10.2,63.0,3.1,183.5,0.0,6.3,0.0
2011/5,1011.2,96.5,16.3,69.0,3.1,188.1,0.0,7.4,0.0
2011/6,1008.7,191.0,21.2,76.0,2.6,163.8,0.0,8.4,0.0
2011/7,1007.5,332.0,26.5,73.0,3.0,220.0,0.0,7.6,0.0
2011/8,1009.5,51.0,27.0,74.0,2.7,196.5,0.0,7.8,0.0
2011/9,1010.8,250.0,23.7,72.0,3.2,176.3,0.0,7.2,0.0
2011/10,1017.8,117.0,16.7,68.0,3.0,152.2,0.0,7.1,0.0
2011/11,1019.8,137.0,11.8,73.0,2.8,95.5,0.0,8.2,1.0
2011/12,1018.7,194.0,4.4,73.0,4.0,52.9,35.0,9.1,20.0
2012/1,1018.1,112.0,1.6,72.0,3.7,52.9,95.0,9.3,26.0
2012/2,1017.1,179.0,1.0,75.0,3.4,64.3,165.0,9.2,25.0
2012/3,1015.5,182.0,5.3,71.0,3.3,98.3,9.0,8.6,13.0
2012/4,1013.9,94.0,11.2,66.0,3.7,160.7,0.0,7.6,6.0
2012/5,1010.3,130.0,16.3,71.0,3.2,193.0,0.0,7.8,0.0
2012/6,1008.5,37.5,20.6,72.0,0.0,0.0,0.0,7.0,0.0
2012/7,1007.5,163.5,25.4,77.0,2.5,173.9,0.0,8.1,0.0
2012/8,1011.2,28.0,27.9,73.0,2.4,283.9,0.0,6.0,0.0
2012/9,1012.9,224.0,25.2,71.0,3.1,221.9,0.0,6.4,0.0
2012/10,1015.4,193.0,17.3,68.0,3.1,151.5,0.0,7.1,0.0
2012/11,1014.3,283.5,9.9,71.0,0.0,0.0,0.0,8.9,0.0
2012/12,1016.2,183.5,3.9,74.0,4.2,57.2,29.0,9.0,19.0
2013/1,1018.6,148.5,1.8,76.0,3.8,64.2,49.0,9.0,27.0
2013/2,1019.2,93.5,1.5,73.0,4.0,76.6,54.0,8.8,25.0
2013/3,1015.1,93.5,6.0,66.0,3.5,149.1,0.0,7.0,11.0
2013/4,1011.3,142.0,10.1,69.0,3.7,157.4,0.0,7.3,2.0
2013/5,1012.4,50.0,16.3,68.0,3.0,233.9,0.0,6.4,0.0
2013/6,1008.8,93.5,22.1,74.0,2.5,236.0,0.0,7.0,0.0
2013/7,1007.5,413.0,25.1,81.0,2.7,101.1,0.0,9.3,0.0
2013/8,1006.8,264.5,26.9,75.0,2.3,203.2,0.0,6.8,0.0
2013/9,1014.2,165.0,22.9,71.0,2.8,177.2,0.0,6.4,0.0
2013/10,1017.3,176.0,18.3,72.0,3.3,124.5,0.0,8.0,0.0
2013/11,1015.6,416.0,9.8,76.0,3.5,82.6,1.0,7.9,2.0
2013/12,1014.0,271.5,5.2,78.0,3.9,55.8,5.0,9.2,14.0
2014/1,1019.4,129.5,2.5,71.0,3.9,71.9,12.0,8.3,23.0
2014/2,1021.2,73.5,2.5,71.0,3.4,60.8,37.0,9.1,21.0
2014/3,1016.0,151.5,6.1,70.0,3.8,127.3,9.0,8.2,13.0
2014/4,1016.6,48.0,11.1,65.0,2.9,244.1,0.0,5.6,2.0
2014/5,1010.9,90.0,17.1,65.0,3.1,223.7,0.0,6.6,0.0
2014/6,1006.4,63.0,22.0,73.0,3.5,202.0,0.0,7.7,0.0
2014/7,1008.0,314.5,24.9,78.0,2.4,195.0,0.0,7.8,0.0
2014/8,1009.1,163.5,26.1,77.0,2.3,145.2,0.0,8.5,0.0
2014/9,1012.4,103.0,21.6,70.0,2.7,212.6,0.0,6.8,0.0
2014/10,1017.9,229.0,16.0,71.0,2.6,160.4,0.0,6.3,0.0
2014/11,1018.1,174.5,11.1,74.0,3.0,93.5,0.0,7.7,0.0
2014/12,1014.5,444.0,3.4,79.0,4.4,27.7,94.0,9.5,24.0
2015/1,1016.7,114.5,3.1,72.0,3.8,53.6,9.0,9.0,24.0
2015/2,1015.9,92.5,3.9,72.0,3.8,58.5,10.0,9.2,16.0
2015/3,1017.3,117.0,7.0,69.0,3.7,147.3,8.0,7.2,12.0
2015/4,1016.3,145.0,12.1,69.0,3.0,0.0,0.0,7.0,0.0
2015/5,1009.6,63.0,18.6,64.0,3.0,0.0,0.0,6.1,0.0
2015/6,1007.6,50.0,21.2,72.0,3.1,192.9,0.0,7.6,0.0
2015/7,1008.8,167.0,25.2,76.0,2.3,189.6,0.0,7.7,0.0
2015/8,1008.7,114.5,25.8,75.0,2.8,183.9,0.0,7.1,0.0
2015/9,1012.5,145.5,21.1,77.0,2.8,121.9,0.0,8.4,0.0
2015/10,1016.1,106.0,15.8,67.0,2.9,194.2,0.0,5.9,0.0
2015/11,1021.3,187.0,12.1,77.0,3.0,77.4,0.0,8.5,0.0
2015/12,1020.1,165.5,7.0,0.0,3.4,71.5,0.0,8.5,5.0
2016/1,1017.3,269.0,3.1,82.0,3.3,23.9,87.0,9.8,23.0
2016/2,1019.7,130.0,3.6,73.0,3.5,81.3,22.0,8.5,22.0
2016/3,1019.8,41.5,6.9,69.0,2.8,157.6,6.0,7.3,9.0
2016/4,1013.6,120.5,12.4,68.0,3.3,198.5,0.0,7.4,1.0
2016/5,1012.2,90.0,18.4,68.0,3.2,224.5,0.0,7.3,0.0
2016/6,1008.7,73.5,21.4,74.0,2.8,193.2,0.0,8.4,0.0
2016/7,1009.2,194.5,24.6,79.0,2.6,152.0,0.0,8.4,0.0
2016/8,1004.6,85.0,27.0,74.0,2.8,271.9,0.0,5.1,0.0
2016/9,1013.0,127.0,23.4,79.0,2.4,130.5,0.0,8.1,0.0
2016/10,1018.0,99.0,16.4,72.0,2.6,134.1,0.0,7.2,0.0
2016/11,1019.8,89.5,9.9,72.0,3.2,106.5,0.0,7.7,0.0
2016/12,1018.8,179.5,6.4,77.0,3.7,64.4,2.0,8.4,11.0
2017/1,1016.2,161.0,3.1,0.0,3.8,52.5,65.0,9.1,21.0
2017/2,1015.6,95.0,3.3,70.0,4.2,72.9,15.0,8.2,20.0
2017/3,1015.5,69.0,6.1,69.0,3.0,144.2,6.0,8.1,9.0
2017/4,1012.7,99.5,11.6,68.0,3.3,192.7,0.0,6.5,0.0
2017/5,1012.1,56.0,17.7,69.0,2.7,234.1,0.0,6.4,0.0
2017/6,1008.7,48.0,19.0,76.0,2.7,177.9,0.0,8.1,0.0
2017/7,1008.4,443.0,25.9,81.0,2.4,197.7,0.0,7.0,0.0
2017/8,1006.7,258.0,26.2,77.0,2.8,171.6,0.0,8.2,0.0
2017/9,1011.3,95.5,21.7,75.0,2.8,190.2,0.0,6.6,0.0
2017/10,1018.5,150.5,16.4,77.0,2.9,75.0,0.0,8.9,0.0
2017/11,1018.1,231.5,9.1,76.0,3.1,91.6,0.0,7.5,4.0
2017/12,1016.9,329.5,3.9,80.0,4.1,42.1,13.0,9.2,23.0
2018/1,1015.3,0.0,1.7,79.0,3.9,54.5,160.0,9.1,24.0
2018/2,1017.8,108.5,1.4,79.0,3.4,83.9,92.0,8.6,24.0
2018/3,1018.3,111.0,7.5,66.0,3.8,175.1,0.0,6.6,3.0
2018/4,1014.5,139.5,12.7,72.0,3.0,175.5,0.0,7.1,1.0
2018/5,1011.2,139.0,17.0,74.0,2.8,164.3,0.0,7.5,0.0
2018/6,1008.6,66.5,21.1,75.0,2.6,189.1,0.0,7.9,0.0
2018/7,1009.4,42.0,27.4,75.0,2.7,262.5,0.0,7.3,0.0
2018/8,1008.3,278.0,26.6,76.0,2.6,186.1,0.0,7.2,0.0
2018/9,1012.7,248.5,21.8,80.0,2.8,113.9,0.0,8.6,0.0
2018/10,1015.8,154.0,17.2,75.0,3.0,141.6,0.0,7.5,0.0
2018/11,1020.4,97.0,11.6,78.0,2.5,95.7,0.0,7.9,0.0
2018/12,1019.7,205.5,5.9,75.0,3.9,56.6,12.0,8.8,11.0
2019/1,1018.0,150.0,3.0,75.0,3.8,51.9,52.0,9.3,26.0
2019/2,1019.6,65.5,4.0,72.0,3.2,73.1,30.0,8.7,18.0
2019/3,1013.9,92.0,7.2,69.0,3.1,154.2,2.0,7.5,5.0
2019/4,1013.5,107.5,10.8,67.0,2.9,173.9,0.0,7.6,3.0
2019/5,1012.4,62.0,18.0,63.0,2.9,312.3,0.0,5.4,0.0
2019/6,1006.6,174.5,20.8,77.0,2.7,185.2,0.0,8.0,0.0
2019/7,1008.0,73.5,25.2,77.0,2.7,172.0,0.0,8.5,0.0
2019/8,1007.7,177.0,27.5,79.0,2.8,244.1,0.0,6.8,0.0
2019/9,1014.9,30.5,23.4,74.0,2.6,161.9,0.0,7.5,0.0
2019/10,1016.3,188.5,17.7,77.0,3.0,122.2,0.0,7.9,0.0
2019/11,1019.3,137.0,11.0,72.0,3.2,104.9,1.0,7.8,3.0
2019/12,1020.1,94.0,6.6,74.0,3.4,76.9,0.0,8.6,8.0
2020/1,1017.7,146.0,5.2,77.0,3.3,60.7,0.0,9.2,11.0
2020/2,1019.7,102.0,5.0,75.0,3.6,74.8,4.0,8.9,15.0
2020/3,1014.5,121.0,7.9,69.0,3.3,161.0,0.0,7.3,7.0
2020/4,1013.7,108.0,10.1,69.0,3.4,167.6,0.0,6.4,1.0
2020/5,1010.9,82.0,17.2,74.0,2.7,206.2,0.0,7.2,0.0
2020/6,1007.1,80.5,22.3,75.0,2.5,205.6,0.0,7.2,0.0
2020/7,1007.9,649.5,23.6,88.0,2.2,75.3,0.0,9.5,0.0
2020/8,1010.4,101.5,27.7,79.0,2.2,227.3,0.0,6.5,0.0
2020/9,1011.3,250.5,24.4,75.0,3.2,167.3,0.0,7.7,0.0
2020/10,1017.3,108.5,16.4,73.0,2.7,120.5,0.0,7.9,0.0
2020/11,1020.6,124.5,11.4,73.0,2.7,96.7,0.0,8.1,2.0
2020/12,1017.6,203.5,5.2,80.0,3.7,45.5,9.0,9.2,13.0
2021/1,1017.9,247.5,1.9,81.0,3.4,50.2,148.0,8.8,21.0
2021/2,1015.8,97.5,4.4,71.0,4.1,104.3,32.0,7.9,17.0
