年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1017.0,41.5,6.3,57.0,2.4,135.9,0.0,6.7,6.0
2010/2,1014.9,106.0,8.4,62.0,2.1,131.8,0.0,7.0,2.0
2010/3,1014.6,198.5,9.8,63.0,2.4,131.3,0.0,7.4,2.0
2010/4,1013.5,191.5,13.3,62.0,2.3,158.1,0.0,7.7,0.0
2010/5,1008.0,140.5,18.6,59.0,2.2,208.4,0.0,6.7,0.0
2010/6,1006.8,178.0,23.0,69.0,1.9,156.8,0.0,7.9,0.0
2010/7,1006.4,268.0,27.1,70.0,2.0,176.7,0.0,7.7,0.0
2010/8,1009.2,4.5,29.7,61.0,2.2,246.5,0.0,5.2,0.0
2010/9,1009.3,96.5,26.0,62.0,2.3,212.6,0.0,6.3,0.0
2010/10,1012.1,79.0,19.6,65.0,2.0,126.1,0.0,7.7,0.0
2010/11,1015.5,43.0,12.8,60.0,2.3,175.3,0.0,5.5,0.0
2010/12,1010.6,94.0,8.7,58.0,2.7,140.9,0.0,6.3,6.0
2011/1,1017.1,5.5,3.7,53.0,2.5,157.8,0.0,6.5,7.0
2011/2,1015.3,54.5,7.2,61.0,2.0,147.6,0.0,6.5,3.0
2011/3,1015.4,48.0,8.0,55.0,2.5,206.6,0.0,5.7,3.0
2011/4,1011.0,62.0,14.0,51.0,2.6,208.7,0.0,5.6,0.0
2011/5,1007.8,299.0,19.5,63.0,2.2,157.9,0.0,8.0,0.0
2011/6,1005.2,284.5,23.9,71.0,2.0,118.2,0.0,8.9,0.0
2011/7,1003.6,172.0,27.3,67.0,2.2,193.4,0.0,7.7,0.0
2011/8,1005.8,76.5,28.0,67.0,2.0,187.2,0.0,7.7,0.0
2011/9,1005.7,381.5,24.5,67.0,2.3,167.0,0.0,6.4,0.0
2011/10,1013.9,120.5,19.2,64.0,2.0,162.8,0.0,7.0,0.0
2011/11,1017.2,93.0,15.2,65.0,1.8,119.9,0.0,7.1,0.0
2011/12,1018.4,36.0,7.9,59.0,2.3,129.2,0.0,6.8,3.0
2012/1,0.0,26.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0
2012/2,1015.9,115.0,5.2,67.0,2.2,113.4,5.0,7.5,6.0
2012/3,1013.6,125.5,9.3,65.0,2.4,143.4,0.0,6.8,1.0
2012/4,1010.7,82.5,15.2,62.0,2.5,192.3,0.0,5.9,0.0
2012/5,1007.0,38.5,19.1,64.0,2.2,181.9,0.0,6.8,0.0
2012/6,1003.8,280.0,22.3,80.0,1.8,98.2,0.0,9.1,0.0
2012/7,1004.4,199.5,27.3,75.0,2.1,201.2,0.0,7.4,0.0
2012/8,1006.6,91.0,28.8,70.0,2.2,212.0,0.0,6.5,0.0
2012/9,1008.8,100.5,24.8,73.0,2.2,182.2,0.0,7.2,0.0
2012/10,1012.1,98.0,19.0,66.0,2.3,209.8,0.0,5.0,0.0
2012/11,1013.3,90.0,12.4,67.0,2.4,111.7,0.0,7.0,0.0
2012/12,1016.2,122.5,6.8,68.0,2.4,124.0,0.0,6.8,3.0
2013/1,1018.4,48.0,5.0,63.0,2.4,0.0,0.0,6.1,4.0
2013/2,1017.5,98.0,6.5,66.0,2.1,154.0,1.0,6.4,1.0
2013/3,1012.4,100.0,11.2,63.0,2.4,195.0,0.0,5.7,0.0
2013/4,1009.2,70.0,13.8,60.0,2.6,220.2,0.0,5.8,0.0
2013/5,1008.7,53.5,19.5,60.0,2.3,269.6,0.0,5.6,0.0
2013/6,1004.7,318.0,23.0,79.0,1.7,129.4,0.0,8.5,0.0
2013/7,1005.5,150.0,28.7,69.0,2.3,232.1,0.0,6.7,0.0
