年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1009.3,12.0,7.1,49.0,3.3,223.7,0.0,4.2,0.0
2010/2,1011.6,138.0,6.6,66.0,3.2,118.5,1.0,6.9,5.0
2010/3,1011.7,211.0,9.1,66.0,4.0,144.9,0.0,7.2,1.0
2010/4,1012.6,234.0,12.2,68.0,3.8,131.4,0.0,8.6,2.0
2010/5,1006.6,102.5,18.4,66.0,3.5,195.7,0.0,7.8,0.0
2010/6,1006.4,141.0,22.8,73.0,3.3,170.8,0.0,7.8,0.0
2010/7,1005.3,110.0,27.1,75.0,3.8,216.0,0.0,7.9,0.0
2010/8,1009.2,56.5,28.6,73.0,3.6,259.0,0.0,5.8,0.0
2010/9,1007.5,374.0,24.7,73.0,3.2,183.1,0.0,7.2,0.0
2010/10,1011.7,208.5,18.6,73.0,3.2,91.9,0.0,8.5,0.0
2010/11,1011.4,96.0,13.4,61.0,2.9,161.1,0.0,5.7,0.0
2010/12,1004.2,172.0,9.9,56.0,3.4,197.9,0.0,4.6,0.0
2011/1,1008.1,0.0,5.3,42.0,3.2,241.8,0.0,3.7,2.0
2011/2,1012.6,138.5,7.2,59.0,3.7,146.0,4.0,6.0,6.0
2011/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.0
2011/4,1008.1,77.0,14.5,58.0,4.5,220.9,0.0,6.2,0.0
2011/5,1006.7,251.5,18.2,72.0,3.6,157.9,0.0,7.9,0.0
2011/6,1004.6,199.0,22.4,81.0,3.2,121.1,0.0,8.9,0.0
2011/7,1003.9,71.0,26.7,76.0,3.9,204.1,0.0,7.0,0.0
2011/8,1005.8,165.0,27.1,79.0,3.1,203.9,0.0,7.8,0.0
2011/9,1007.0,212.5,24.9,76.0,3.8,203.8,0.0,7.0,0.0
2011/10,1012.7,149.0,19.2,69.0,3.5,152.1,0.0,7.6,0.0
2011/11,1014.4,155.5,14.8,68.0,2.9,142.7,0.0,7.1,0.0
2011/12,1012.3,51.5,7.5,58.0,3.3,180.7,0.0,4.9,0.0
2012/1,1011.5,24.5,4.8,52.0,3.7,168.9,0.0,5.9,5.0
2012/2,1010.6,129.0,5.4,55.0,3.6,144.7,5.0,6.8,4.0
2012/3,1009.5,217.0,8.6,64.0,3.8,148.7,0.0,6.8,1.0
2012/4,1010.0,202.0,14.0,68.0,3.8,174.5,0.0,7.3,0.0
2012/5,1005.1,237.5,18.9,70.0,3.5,204.9,0.0,7.5,0.0
2012/6,1004.8,233.5,20.8,77.0,3.2,128.7,0.0,9.3,0.0
2012/7,1004.0,146.0,25.5,80.0,3.6,195.2,0.0,8.5,0.0
2012/8,1007.7,18.0,28.1,74.0,3.4,273.3,0.0,6.2,0.0
2012/9,1009.1,342.0,25.4,77.0,3.5,188.6,0.0,8.2,0.0
2012/10,1010.2,167.0,19.0,68.0,3.7,173.7,0.0,6.8,0.0
2012/11,1008.7,179.0,12.4,61.0,3.4,160.6,0.0,5.6,0.0
2012/12,1010.1,102.0,7.2,55.0,3.7,163.2,0.0,5.1,0.0
2013/1,1011.7,73.5,5.4,49.0,3.7,218.7,13.0,4.5,3.0
2013/2,1011.9,56.5,5.8,52.0,4.0,152.2,0.0,6.1,2.0
2013/3,1008.2,26.5,12.0,57.0,4.3,196.5,0.0,6.7,1.0
2013/4,1005.1,281.0,14.8,59.0,4.6,198.8,0.0,6.4,0.0
2013/5,1007.3,75.5,19.1,0.0,3.8,248.3,0.0,6.8,0.0
2013/6,1004.6,183.0,22.0,0.0,3.3,141.8,0.0,8.7,0.0
2013/7,1003.6,80.0,26.3,78.0,3.2,176.8,0.0,8.8,0.0
2013/8,1002.2,79.5,28.4,74.0,3.3,242.5,0.0,7.0,0.0
2013/9,1009.4,192.0,24.5,74.0,3.6,179.0,0.0,6.5,0.0
2013/10,1012.0,394.0,19.4,76.0,4.0,123.9,0.0,7.9,0.0
2013/11,1010.3,21.0,13.2,60.0,3.5,185.0,0.0,4.6,0.0
2013/12,1008.1,54.0,8.2,56.0,3.4,193.2,0.0,4.7,0.0
2014/1,1012.5,38.5,6.4,50.0,3.7,206.6,0.0,4.9,5.0
2014/2,1013.2,127.5,5.8,57.0,4.2,126.0,44.0,7.6,8.0
2014/3,1009.4,128.0,10.1,57.0,4.3,197.5,0.0,6.3,1.0
2014/4,1010.9,154.5,14.3,62.0,3.4,222.0,0.0,6.0,0.0
2014/5,1005.8,127.5,19.5,68.0,3.8,253.0,0.0,6.4,0.0
2014/6,1002.3,348.5,22.6,79.0,2.9,172.1,0.0,8.4,0.0
2014/7,1004.0,68.5,25.9,79.0,3.0,197.5,0.0,7.4,0.0
2014/8,1005.3,125.5,26.8,78.0,4.1,197.3,0.0,7.2,0.0
2014/9,1007.7,88.5,22.8,71.0,3.1,166.6,0.0,7.6,0.0
2014/10,1012.5,476.0,18.6,72.0,3.3,142.6,0.0,7.3,0.0
2014/11,1012.6,90.0,14.0,67.0,3.5,142.2,0.0,6.4,0.0
2014/12,1008.7,87.0,7.5,56.0,3.4,197.3,0.0,4.4,1.0
2015/1,1009.8,106.5,6.2,55.0,3.7,188.9,0.0,4.5,4.0
2015/2,1009.9,53.0,6.4,60.0,3.5,167.3,0.0,5.6,3.0
2015/3,1011.5,113.0,10.5,61.0,3.9,184.9,0.0,6.0,0.0
