年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1010.6,6.0,3.4,61.0,1.8,218.9,0.0,3.6,1.0
2010/2,0.0,98.5,0.0,0.0,0.0,0.0,16.0,6.6,12.0
2010/3,1013.5,115.0,6.6,72.0,3.1,133.6,0.0,6.9,2.0
2010/4,1014.5,230.5,10.0,74.0,3.0,129.6,0.0,7.8,1.0
2010/5,1008.3,125.0,16.6,70.0,2.6,209.0,0.0,7.1,0.0
2010/6,1008.0,160.0,21.2,78.0,2.1,162.8,0.0,7.6,0.0
2010/7,1006.7,106.5,26.0,78.0,2.2,179.5,0.0,8.1,0.0
2010/8,1010.5,11.0,27.8,75.0,2.2,214.0,0.0,6.9,0.0
2010/9,1009.2,296.0,23.1,77.0,2.7,175.9,0.0,7.2,0.0
2010/10,1013.6,189.0,16.9,79.0,2.3,117.2,0.0,8.2,0.0
2010/11,1012.8,75.5,10.9,73.0,1.8,158.5,0.0,5.6,0.0
2010/12,1005.5,117.5,7.3,66.0,2.2,192.1,0.0,4.7,2.0
2011/1,1009.6,9.0,1.9,57.0,2.0,240.8,8.0,3.3,3.0
2011/2,1014.3,89.0,4.5,68.0,2.4,0.0,12.0,5.7,6.0
2011/3,1011.2,81.0,5.4,61.0,2.4,218.5,5.0,5.5,2.0
2011/4,1009.8,128.0,11.7,64.0,2.9,0.0,0.0,6.1,0.0
2011/5,1008.4,185.0,16.6,0.0,2.6,143.5,0.0,7.8,0.0
2011/6,1006.2,103.0,21.1,82.0,2.1,122.3,0.0,9.0,0.0
2011/7,1005.4,252.5,25.7,79.0,2.6,192.2,0.0,7.3,0.0
2011/8,1007.4,128.0,25.6,82.0,0.0,176.7,0.0,8.3,0.0
2011/9,1008.8,263.5,23.2,80.0,2.5,177.7,0.0,6.9,0.0
2011/10,1014.5,165.5,16.9,76.0,2.1,135.4,0.0,7.1,0.0
2011/11,1016.1,63.5,11.6,78.0,1.7,150.4,0.0,6.5,0.0
2011/12,1013.9,30.5,4.4,67.0,1.9,186.1,0.0,3.9,1.0
2012/1,1013.1,27.5,1.8,61.0,2.3,199.8,0.0,4.3,2.0
2012/2,0.0,72.0,0.0,0.0,0.0,0.0,9.0,5.4,4.0
2012/3,1011.2,165.5,6.6,69.0,2.7,162.0,0.0,6.5,1.0
2012/4,1011.9,98.0,11.6,71.0,3.0,174.9,0.0,6.9,0.0
2012/5,1007.0,346.5,17.2,77.0,2.5,206.7,0.0,7.6,0.0
2012/6,1006.8,183.5,19.1,80.0,3.0,178.4,0.0,8.1,0.0
2012/7,1005.5,113.0,24.6,81.0,2.6,179.3,0.0,8.5,0.0
2012/8,1009.3,44.5,27.0,79.0,2.3,267.6,0.0,6.0,0.0
2012/9,1010.9,181.5,24.1,84.0,2.3,165.4,0.0,7.9,0.0
2012/10,1011.9,132.0,17.1,77.0,2.3,177.3,0.0,6.1,0.0
2012/11,1010.2,61.0,9.9,74.0,1.7,162.6,0.0,5.4,0.0
2012/12,1011.5,60.5,4.5,67.0,1.9,169.8,0.0,4.4,2.0
2013/1,0.0,44.0,0.0,0.0,0.0,0.0,1.0,3.8,4.0
2013/2,1013.5,39.0,3.4,61.0,2.0,183.0,1.0,5.0,3.0
2013/3,1009.8,67.0,9.4,63.0,2.8,184.2,0.0,6.1,0.0
2013/4,1006.8,139.5,12.2,66.0,2.8,198.3,0.0,6.7,0.0
