年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1016.4,12.5,5.6,59.0,4.4,174.1,0.0,5.0,4.0
2010/2,1016.1,101.5,7.0,67.0,3.9,133.1,0.0,6.5,4.0
2010/3,1016.1,162.5,9.0,68.0,4.0,151.7,0.0,7.4,1.0
2010/4,1015.7,230.0,12.9,65.0,4.7,164.4,0.0,7.1,0.0
2010/5,1010.1,209.5,18.1,66.0,4.6,227.6,0.0,7.0,0.0
2010/6,1009.3,174.0,23.5,73.0,3.2,157.9,0.0,7.9,0.0
2010/7,1008.4,167.5,27.6,73.0,2.8,199.6,0.0,7.7,0.0
2010/8,1012.0,60.0,29.1,73.0,3.6,256.4,0.0,5.2,0.0
2010/9,1010.5,202.0,26.0,66.0,3.6,200.9,0.0,6.4,0.0
2010/10,1014.2,196.0,19.4,68.0,3.3,121.2,0.0,7.7,0.0
2010/11,1016.3,36.0,12.5,61.0,3.4,197.2,0.0,4.7,0.0
2010/12,1010.3,72.0,8.4,60.0,4.4,174.9,0.0,5.5,4.0
2011/1,1015.4,0.0,4.1,56.0,5.1,181.5,0.0,5.2,12.0
2011/2,1016.9,67.5,6.5,62.0,3.6,153.4,7.0,6.3,5.0
2011/3,1015.4,45.0,7.2,60.0,4.2,205.2,0.0,5.9,10.0
2011/4,1012.7,44.0,12.7,58.0,3.9,228.0,0.0,5.8,0.0
2011/5,1010.0,259.0,18.5,68.0,3.8,159.9,0.0,7.8,0.0
2011/6,1007.8,273.0,23.5,74.0,3.1,140.0,0.0,8.5,0.0
2011/7,1006.3,183.5,27.2,74.0,4.0,191.1,0.0,7.3,0.0
2011/8,1008.2,91.5,28.0,72.0,3.2,194.0,0.0,7.4,0.0
2011/9,1008.8,571.0,24.6,73.0,5.3,172.6,0.0,6.4,0.0
2011/10,0.0,137.5,0.0,0.0,0.0,0.0,0.0,6.4,0.0
2011/11,1018.7,54.5,14.5,68.0,2.9,149.9,0.0,6.7,0.0
2011/12,1018.0,25.0,7.7,61.0,3.6,160.0,0.0,5.4,2.0
2012/1,1016.9,39.5,5.1,62.0,3.7,155.7,0.0,6.5,7.0
2012/2,1016.3,100.5,4.8,62.0,3.6,139.5,0.0,6.6,8.0
2012/3,1014.5,147.0,8.5,65.0,3.5,165.0,0.0,6.6,3.0
2012/4,1013.3,138.5,13.9,71.0,3.8,186.5,0.0,6.4,0.0
2012/5,1008.6,71.5,18.6,68.0,3.6,202.8,0.0,7.2,0.0
2012/6,1006.9,284.5,21.9,77.0,3.6,118.8,0.0,8.8,0.0
2012/7,1006.7,199.5,27.1,77.0,3.2,210.2,0.0,7.5,0.0
2012/8,1010.2,97.5,28.3,76.0,3.6,0.0,0.0,6.6,0.0
2012/9,1011.1,346.0,25.6,75.0,3.4,180.1,0.0,7.0,0.0
2012/10,1013.4,98.0,19.1,65.0,3.3,214.5,0.0,5.3,0.0
2012/11,1014.0,98.5,12.0,65.0,3.5,153.6,0.0,6.1,0.0
2012/12,1016.4,93.0,6.3,63.0,3.8,170.3,0.0,5.5,4.0
2013/1,1018.0,48.0,5.0,60.0,3.8,180.0,6.0,5.0,8.0
2013/2,1018.3,57.0,5.0,64.0,3.8,126.6,3.0,7.0,9.0
2013/3,1013.7,53.5,9.8,58.0,3.5,205.3,0.0,5.5,2.0
2013/4,1010.1,160.0,13.4,60.0,3.7,219.1,0.0,6.3,0.0
2013/5,1010.9,75.5,19.0,64.0,4.1,275.7,0.0,5.8,0.0
2013/6,1007.1,227.5,23.3,75.0,3.0,148.8,0.0,8.2,0.0
2013/7,1007.0,55.0,28.1,71.0,3.0,229.9,0.0,7.5,0.0
2013/8,1005.6,80.0,29.2,68.0,3.0,269.0,0.0,5.7,0.0
2013/9,1011.6,248.0,24.7,72.0,3.5,211.7,0.0,5.5,0.0
2013/10,1014.9,306.5,20.3,71.0,3.6,145.9,0.0,6.5,0.0
2013/11,1015.7,34.5,12.3,64.0,3.1,178.8,0.0,4.7,0.0
2013/12,1014.6,48.0,7.5,61.0,3.7,174.7,0.0,5.3,3.0
2014/1,1018.6,34.5,5.2,61.0,3.3,193.7,5.0,4.3,6.0
2014/2,1018.1,71.0,5.5,60.0,4.3,0.0,13.0,6.3,4.0
2014/3,1015.1,96.5,9.0,64.0,3.6,194.7,0.0,6.0,8.0
2014/4,1014.6,147.0,14.3,59.0,3.4,203.0,0.0,6.6,0.0
2014/5,1009.9,98.5,19.2,63.0,3.6,261.8,0.0,5.8,0.0
2014/6,1004.8,84.0,23.4,73.0,3.6,169.9,0.0,8.1,0.0
2014/7,1006.9,153.5,27.1,74.0,2.9,190.7,0.0,7.7,0.0
2014/8,1007.9,417.0,26.8,81.0,2.8,122.2,0.0,8.7,0.0
2014/9,1010.3,100.0,23.4,68.0,0.0,0.0,0.0,6.6,0.0
2014/10,1015.3,237.0,18.8,71.0,3.4,152.6,0.0,6.9,0.0
2014/11,1016.7,111.0,13.7,66.0,2.8,159.3,0.0,5.8,0.0
2014/12,1015.8,39.0,6.4,60.0,4.2,167.6,0.0,5.9,2.0
2015/1,1016.2,105.0,5.7,65.0,3.9,143.4,2.0,6.7,11.0
2015/2,1015.5,42.5,6.2,62.0,3.7,172.4,2.0,6.1,5.0
2015/3,1016.5,157.0,9.5,63.0,3.4,187.4,0.0,5.9,1.0
2015/4,1014.7,109.0,14.8,72.0,3.2,139.7,0.0,7.9,0.0
2015/5,1008.4,48.0,20.7,63.0,3.4,236.6,0.0,6.7,0.0
2015/6,1006.5,288.5,21.9,77.0,3.7,123.9,0.0,9.2,0.0
2015/7,1007.6,271.5,26.3,80.0,3.0,161.7,0.0,8.3,0.0
2015/8,1006.7,462.5,27.8,75.0,3.1,193.1,0.0,7.5,0.0
2015/9,1010.0,263.5,23.2,72.0,3.3,162.9,0.0,7.5,0.0
2015/10,1014.6,26.0,18.5,62.0,2.9,228.3,0.0,4.4,0.0
2015/11,1019.3,141.5,14.6,72.0,2.8,126.7,0.0,7.1,0.0
2015/12,1019.0,64.0,9.9,63.0,3.4,171.9,0.0,5.2,0.0
2016/1,1017.0,65.5,6.6,58.0,3.3,173.4,0.0,6.1,4.0
2016/2,1019.0,48.5,6.6,59.0,3.2,167.5,0.0,5.2,2.0
2016/3,1017.6,82.5,9.9,60.0,3.5,223.7,1.0,5.8,1.0
2016/4,1012.2,223.5,15.6,67.0,3.9,168.9,0.0,7.5,0.0
2016/5,1011.6,142.5,20.0,68.0,3.5,210.2,0.0,6.7,0.0
