年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1010.9,2.5,4.8,49.0,2.9,246.4,0.0,3.0,2.0
2010/2,1013.4,53.5,5.0,68.0,2.2,134.3,2.0,6.6,11.0
2010/3,1013.4,121.5,7.8,66.0,2.6,155.2,11.0,6.7,3.0
2010/4,1014.2,136.5,11.4,66.0,2.5,146.1,0.0,7.8,2.0
2010/5,1007.8,114.5,18.5,62.0,2.6,215.2,0.0,7.0,0.0
2010/6,1007.6,99.0,23.6,68.0,2.2,167.8,0.0,8.0,0.0
2010/7,1006.3,139.0,27.3,74.0,2.0,179.3,0.0,8.3,0.0
2010/8,1010.1,41.5,29.3,70.0,2.1,198.7,0.0,6.8,0.0
2010/9,1009.0,263.0,24.7,70.0,2.1,171.0,0.0,7.9,0.0
2010/10,1013.6,136.0,18.1,73.0,1.8,96.5,0.0,8.7,0.0
2010/11,1013.1,97.5,11.6,63.0,2.2,188.3,0.0,4.6,0.0
2010/12,1005.8,102.5,7.6,59.0,2.7,214.9,0.0,3.9,0.0
2011/1,1009.9,0.0,3.3,47.0,3.2,258.8,0.0,2.9,1.0
2011/2,1014.4,57.5,5.4,57.0,2.8,177.3,6.0,4.9,6.0
2011/3,0.0,46.0,0.0,0.0,0.0,0.0,0.0,4.8,1.0
2011/4,1009.5,42.0,13.3,53.0,3.0,208.5,0.0,6.0,0.0
2011/5,1008.3,226.0,18.1,68.0,2.3,152.7,0.0,8.2,0.0
2011/6,1006.0,87.5,23.0,75.0,2.1,118.7,0.0,8.7,0.0
2011/7,1005.2,329.5,27.4,73.0,2.5,187.4,0.0,7.7,0.0
2011/8,1007.3,100.5,27.0,77.0,1.9,168.5,0.0,8.6,0.0
2011/9,1008.4,280.0,24.2,75.0,2.6,184.0,0.0,7.0,0.0
2011/10,1014.6,79.0,17.7,69.0,2.2,147.1,0.0,7.2,0.0
2011/11,1016.3,35.5,12.6,69.0,2.1,173.8,0.0,6.1,0.0
2011/12,1014.4,41.0,5.4,61.0,2.7,202.6,0.0,4.2,1.0
2012/1,1013.7,31.0,2.9,55.0,2.9,213.1,1.0,4.2,2.0
2012/2,1012.6,37.0,3.8,54.0,3.1,189.1,10.0,4.9,5.0
2012/3,1011.4,80.0,7.5,61.0,3.0,175.0,0.0,6.4,1.0
2012/4,1011.5,92.0,13.2,64.0,2.9,179.3,0.0,6.8,0.0
2012/5,1006.5,230.5,18.7,66.0,2.9,224.8,0.0,7.7,0.0
2012/6,1006.0,168.0,21.1,74.0,2.5,139.9,0.0,9.4,0.0
2012/7,1004.8,96.0,26.3,75.0,2.2,161.5,0.0,8.8,0.0
2012/8,1008.6,24.0,28.9,68.0,2.3,267.0,0.0,6.9,0.0
2012/9,1010.4,179.0,25.3,75.0,2.3,158.4,0.0,8.1,0.0
2012/10,1011.8,68.0,17.9,68.0,2.2,184.9,0.0,6.1,0.0
2012/11,1010.3,53.0,10.7,62.0,2.6,168.9,0.0,5.3,0.0
2012/12,1011.8,20.5,5.3,55.0,3.1,193.5,0.0,4.1,2.0
2013/1,1013.3,30.5,3.6,51.0,3.1,248.5,4.0,3.6,3.0
2013/2,1013.7,16.5,4.3,48.0,3.7,208.3,3.0,5.3,3.0
2013/3,1009.6,23.0,10.4,53.0,3.2,215.6,0.0,5.8,0.0
2013/4,1006.5,168.0,13.2,57.0,3.1,214.5,0.0,6.0,0.0
2013/5,1008.4,30.5,19.1,59.0,2.9,263.2,0.0,5.6,0.0
2013/6,1005.9,89.0,22.7,74.0,2.2,122.9,0.0,9.0,0.0
2013/7,1004.6,115.5,26.5,74.0,2.2,160.8,0.0,8.9,0.0
2013/8,1003.4,152.5,28.4,71.0,2.1,210.1,0.0,7.2,0.0
2013/9,1011.0,259.0,23.6,75.0,2.3,167.4,0.0,6.9,0.0
2013/10,1013.9,309.5,18.6,76.0,2.3,119.4,0.0,7.6,0.0
2013/11,1011.8,15.5,10.9,62.0,2.2,196.1,0.0,4.0,0.0
2013/12,1009.8,41.5,6.1,57.0,2.6,209.4,0.0,3.7,0.0
2014/1,1014.2,5.0,3.9,47.0,3.1,251.0,0.0,3.0,1.0
2014/2,1015.3,188.5,3.7,57.0,3.2,191.5,106.0,5.6,5.0
2014/3,1011.0,38.0,8.7,52.0,3.5,222.8,0.0,5.4,0.0
2014/4,1012.2,41.0,14.0,52.0,2.8,245.2,0.0,5.6,0.0
2014/5,1006.8,109.0,19.8,58.0,2.8,261.4,0.0,6.3,0.0
2014/6,1003.6,326.0,22.9,75.0,2.5,152.3,0.0,8.8,0.0
2014/7,1005.0,128.0,26.3,75.0,2.2,188.5,0.0,7.5,0.0
2014/8,1006.3,94.5,27.0,76.0,2.0,153.1,0.0,8.5,0.0
2014/9,1009.2,96.0,22.1,70.0,2.1,176.4,0.0,7.1,0.0
2014/10,1014.1,282.0,17.5,70.0,2.2,169.8,0.0,6.5,0.0
2014/11,1014.3,60.5,12.4,65.0,2.2,152.2,0.0,5.7,0.0
2014/12,1010.1,19.0,5.3,54.0,2.8,202.1,0.0,3.7,2.0
2015/1,1011.5,33.0,4.7,50.0,3.7,211.5,0.0,4.1,3.0
2015/2,1011.5,26.5,4.9,56.0,3.1,195.1,0.0,5.1,2.0
2015/3,1012.9,53.5,9.6,51.0,3.0,217.6,0.0,5.2,2.0
2015/4,1013.0,81.5,14.2,65.0,2.2,162.6,0.0,7.7,1.0
2015/5,1005.9,37.0,21.2,52.0,2.6,254.8,0.0,6.4,0.0
2015/6,1004.7,240.5,22.4,70.0,2.4,152.5,0.0,8.6,0.0
2015/7,1005.5,246.5,26.7,75.0,2.1,179.9,0.0,7.9,0.0
2015/8,1005.9,177.5,26.7,74.0,2.1,150.1,0.0,8.3,0.0
2015/9,1008.8,277.5,22.4,74.0,2.0,120.9,0.0,8.4,0.0
2015/10,1011.9,22.0,17.8,60.0,2.2,200.8,0.0,6.2,0.0
2015/11,1017.7,118.0,13.2,72.0,1.9,126.6,0.0,7.2,0.0
2015/12,1015.6,21.5,8.3,55.0,2.6,195.8,0.0,4.4,0.0
2016/1,1012.5,70.5,4.8,53.0,2.5,222.0,16.0,3.6,5.0
2016/2,1015.0,33.5,6.0,52.0,2.8,194.2,5.0,4.7,4.0
2016/3,1015.1,72.5,9.5,55.0,2.6,191.8,0.0,6.4,0.0
2016/4,1009.8,87.5,15.0,60.0,2.8,180.2,0.0,7.6,0.0
2016/5,1009.5,51.0,20.1,60.0,2.5,206.4,0.0,7.3,0.0
2016/6,1005.6,121.0,22.7,69.0,2.5,151.6,0.0,8.0,0.0
2016/7,1006.4,62.5,25.5,75.0,2.1,134.9,0.0,8.4,0.0
2016/8,1001.6,418.5,27.2,73.0,2.4,165.6,0.0,8.1,0.0
2016/9,1009.9,219.0,24.3,79.0,1.8,93.9,0.0,9.0,0.0
2016/10,1014.1,34.0,18.1,63.0,2.2,151.4,0.0,7.5,0.0
2016/11,1015.6,86.5,10.5,64.0,2.4,157.2,6.0,5.8,1.0
2016/12,1014.5,44.5,7.3,54.0,2.7,222.1,0.0,3.9,0.0
2017/1,1011.7,16.0,4.5,49.0,3.1,236.1,0.0,3.1,4.0
2017/2,1010.6,4.0,5.8,39.0,3.9,238.9,0.0,4.2,4.0
2017/3,1010.8,65.5,7.9,50.0,3.1,212.3,0.0,5.5,0.0
2017/4,1008.9,55.0,14.3,55.0,2.7,226.7,0.0,6.4,0.0
2017/5,1008.6,75.5,20.1,62.0,2.4,214.8,0.0,7.1,0.0
2017/6,1004.7,53.0,22.4,61.0,2.6,187.2,0.0,8.5,0.0
2017/7,1005.2,181.0,27.8,71.0,2.1,174.8,0.0,7.5,0.0
2017/8,1004.1,179.5,26.3,78.0,2.1,82.8,0.0,9.4,0.0
2017/9,1008.0,161.5,22.9,70.0,2.1,165.5,0.0,7.3,0.0
2017/10,1015.1,502.0,16.6,77.0,2.1,119.1,0.0,7.7,0.0
2017/11,1014.0,12.5,10.5,60.0,2.3,196.2,0.0,4.7,0.0
2017/12,1012.6,3.0,5.4,52.0,2.7,240.4,0.0,3.0,0.0
