年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,980.9,10.5,3.2,50.0,2.4,230.8,0.0,3.1,4.0
2010/2,982.3,70.0,5.3,64.0,1.9,144.2,1.0,6.1,5.0
2010/3,982.4,149.0,8.6,60.0,2.5,169.2,11.0,6.7,2.0
2010/4,983.5,141.5,11.8,63.0,2.3,167.5,0.0,7.8,2.0
2010/5,978.5,115.5,17.6,62.0,2.3,206.8,0.0,7.3,0.0
2010/6,978.8,111.0,22.6,70.0,2.0,160.8,0.0,8.6,0.0
2010/7,978.2,138.5,26.8,72.0,2.1,197.4,0.0,8.2,0.0
2010/8,982.1,79.5,28.3,69.0,2.1,203.8,0.0,7.5,0.0
2010/9,980.2,172.0,24.3,69.0,1.9,176.0,0.0,7.9,0.0
2010/10,983.8,185.5,17.7,71.0,1.7,109.8,0.0,8.4,0.0
2010/11,983.7,68.5,9.7,65.0,1.6,201.8,0.0,4.5,0.0
2010/12,976.2,78.5,6.2,59.0,2.0,208.5,0.0,4.3,0.0
2011/1,979.4,0.0,2.0,40.0,2.6,245.1,0.0,2.9,1.0
2011/2,983.4,74.5,5.7,55.0,2.0,192.0,13.0,5.2,4.0
2011/3,0.0,43.5,0.0,0.0,0.0,0.0,0.0,5.0,4.0
2011/4,979.5,40.0,13.2,51.0,2.8,234.8,0.0,5.3,0.0
2011/5,978.7,301.0,18.0,0.0,2.4,176.5,0.0,7.8,0.0
2011/6,977.0,76.5,23.1,72.0,2.1,122.2,0.0,8.8,0.0
2011/7,976.7,192.0,26.8,71.0,2.3,188.8,0.0,7.7,0.0
2011/8,978.6,175.5,26.8,74.0,2.0,179.1,0.0,8.4,0.0
2011/9,979.5,358.5,23.2,75.0,2.0,167.4,0.0,7.1,0.0
2011/10,984.9,83.5,17.2,69.0,1.8,175.5,0.0,7.0,0.0
2011/11,986.5,50.0,12.0,69.0,1.6,173.7,0.0,5.8,0.0
2011/12,983.6,28.5,4.9,58.0,2.0,217.7,0.0,3.8,1.0
2012/1,982.6,16.0,2.2,55.0,2.1,215.3,1.0,4.1,5.0
2012/2,981.4,89.5,3.5,55.0,2.5,178.8,7.0,5.6,6.0
2012/3,980.6,133.5,7.8,59.0,2.6,181.6,0.0,6.3,0.0
2012/4,981.1,74.5,13.8,60.0,2.7,201.6,0.0,6.6,0.0
2012/5,977.2,39.5,18.4,60.0,2.6,218.7,0.0,7.1,0.0
2012/6,976.5,168.0,21.8,69.0,2.3,152.1,0.0,9.1,0.0
2012/7,976.6,88.0,26.2,73.0,2.2,169.8,0.0,8.6,0.0
2012/8,980.5,78.5,27.8,67.0,2.4,257.9,0.0,6.9,0.0
2012/9,981.6,143.0,24.7,69.0,2.0,183.2,0.0,7.7,0.0
2012/10,982.4,59.0,17.4,66.0,1.9,201.2,0.0,5.9,0.0
2012/11,980.8,59.5,9.7,63.0,2.0,203.5,0.0,4.8,0.0
