年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1015.9,43.0,6.1,63.0,3.5,176.6,0.0,4.7,3.0
2010/2,1015.1,135.0,8.1,67.0,3.5,144.0,0.0,6.5,2.0
2010/3,1014.8,177.5,9.8,69.0,4.0,131.7,0.0,7.1,3.0
2010/4,1014.1,159.0,13.5,64.0,4.1,158.7,0.0,7.5,0.0
2010/5,1008.7,177.5,18.6,68.0,3.6,199.1,0.0,7.5,0.0
2010/6,1007.7,327.0,23.6,73.0,3.5,0.0,0.0,8.1,0.0
2010/7,1007.1,312.0,27.3,78.0,3.0,201.5,0.0,7.9,0.0
2010/8,1010.2,39.5,29.8,73.0,3.4,280.4,0.0,5.5,0.0
2010/9,1009.4,91.0,26.6,68.0,3.6,192.1,0.0,7.2,0.0
2010/10,1012.6,105.5,20.5,66.0,4.0,136.5,0.0,7.4,0.0
2010/11,1015.3,18.0,13.6,62.0,3.4,153.1,0.0,5.7,0.0
2010/12,1009.5,48.0,9.0,63.0,4.4,151.6,0.0,5.4,5.0
2011/1,1015.3,3.0,4.2,59.0,4.3,192.2,0.0,4.4,13.0
2011/2,1015.7,79.0,7.5,64.0,3.2,144.2,0.0,6.5,6.0
2011/3,1014.6,53.0,8.0,62.0,3.4,193.6,0.0,5.8,9.0
2011/4,1011.3,112.0,13.7,63.0,3.5,212.2,0.0,5.9,0.0
2011/5,1008.3,280.0,19.5,70.0,4.1,175.0,0.0,7.9,0.0
2011/6,1006.2,182.0,23.6,80.0,3.3,123.4,0.0,9.1,0.0
2011/7,1004.5,162.5,27.4,77.0,3.7,191.8,0.0,7.9,0.0
2011/8,1006.4,74.5,28.8,73.0,3.6,228.0,0.0,7.8,0.0
2011/9,1006.5,425.0,25.4,73.0,4.6,179.1,0.0,7.2,0.0
2011/10,1014.4,162.5,19.9,66.0,3.9,168.2,0.0,6.6,0.0
2011/11,1017.4,85.5,15.7,63.0,3.6,140.9,0.0,6.6,0.0
2011/12,1017.4,5.5,8.2,58.0,4.1,155.5,0.0,5.5,2.0
2012/1,1016.3,27.5,5.7,58.0,3.9,141.3,0.0,6.7,10.0
2012/2,1015.4,76.5,5.2,60.0,3.9,122.7,0.0,6.8,5.0
2012/3,1013.5,108.0,9.1,62.0,3.9,144.4,0.0,7.1,1.0
2012/4,1011.3,130.0,15.2,62.0,3.8,182.2,0.0,6.5,0.0
2012/5,1007.2,25.0,19.4,61.0,3.8,165.4,0.0,7.5,0.0
2012/6,1004.8,204.5,23.0,69.0,4.3,118.3,0.0,9.1,0.0
2012/7,1005.1,231.0,27.2,74.0,3.3,209.3,0.0,8.0,0.0
2012/8,1008.0,33.5,29.3,66.0,3.8,272.7,0.0,6.3,0.0
2012/9,1009.4,143.5,26.2,66.0,3.4,186.5,0.0,7.1,0.0
2012/10,1012.3,88.0,19.8,58.0,3.3,196.3,0.0,5.7,0.0
2012/11,1012.9,102.5,12.7,60.0,4.0,128.6,0.0,6.7,0.0
2012/12,0.0,84.5,0.0,0.0,0.0,0.0,0.0,5.7,4.0
2013/1,1017.7,29.5,5.3,59.0,3.4,167.5,2.0,5.4,7.0
2013/2,1017.5,76.5,5.9,61.0,3.6,128.1,0.0,7.1,6.0
2013/3,1012.7,48.5,10.8,56.0,3.6,180.3,0.0,6.2,2.0
2013/4,1009.1,87.0,14.1,58.0,3.9,217.5,0.0,6.3,0.0
2013/5,1009.6,67.0,19.5,61.0,0.0,255.1,0.0,6.5,0.0
2013/6,1005.3,233.5,24.0,69.0,3.7,155.1,0.0,8.4,0.0
2013/7,1005.9,43.5,27.7,73.0,3.4,214.1,0.0,7.9,0.0
2013/8,1004.5,128.0,29.4,69.0,3.2,248.7,0.0,6.3,0.0
2013/9,1010.0,268.0,25.3,65.0,3.9,221.7,0.0,5.5,0.0
2013/10,1013.4,187.5,21.2,64.0,4.7,154.9,0.0,7.0,0.0
2013/11,1014.5,65.0,13.2,60.0,3.8,164.4,0.0,5.4,0.0
2013/12,1014.1,63.5,8.0,60.0,3.9,148.0,0.0,6.2,3.0
2014/1,1017.8,29.5,6.2,60.0,3.4,171.6,1.0,5.3,6.0
2014/2,1017.8,40.0,6.1,62.0,3.9,130.4,0.0,6.7,8.0
2014/3,1014.4,162.0,10.0,62.0,3.6,190.1,0.0,6.0,4.0
2014/4,1013.3,72.5,14.6,56.0,3.6,210.2,0.0,6.3,0.0
2014/5,1008.7,85.0,19.5,62.0,3.4,0.0,0.0,6.3,0.0
2014/6,1003.1,45.5,23.8,68.0,3.9,164.8,0.0,8.6,0.0
2014/7,1005.4,69.5,27.3,72.0,3.4,203.8,0.0,8.1,0.0
2014/8,1006.0,354.0,27.4,75.0,3.9,115.3,0.0,9.5,0.0
2014/9,1008.9,127.0,24.4,61.0,3.5,187.1,0.0,7.1,0.0
2014/10,1013.7,118.0,19.9,62.0,4.7,165.6,0.0,6.4,0.0
2014/11,1015.7,53.0,14.7,60.0,3.5,152.6,0.0,6.2,0.0
2014/12,1015.4,66.0,6.9,59.0,4.6,143.8,0.0,5.7,3.0
2015/1,1015.9,83.0,6.3,63.0,4.1,122.7,2.0,7.1,6.0
2015/2,1015.1,23.0,6.8,60.0,3.6,127.8,0.0,7.0,9.0
2015/3,1015.5,145.0,10.2,61.0,3.6,178.2,0.0,5.9,2.0
2015/4,1012.8,115.0,16.0,65.0,3.8,152.3,0.0,7.4,0.0
2015/5,1007.0,100.0,21.1,60.0,3.3,244.7,0.0,6.5,0.0
2015/6,1004.6,151.0,22.7,71.0,3.9,146.4,0.0,8.6,0.0
2015/7,1005.7,434.0,26.6,76.0,3.7,165.2,0.0,8.3,0.0
2015/8,1005.0,136.5,28.3,69.0,3.1,207.4,0.0,6.7,0.0
2015/9,1008.6,163.0,23.6,67.0,3.6,146.2,0.0,8.0,0.0
2015/10,1013.4,38.5,19.4,57.0,3.3,240.4,0.0,4.3,0.0
2015/11,1017.7,86.5,15.7,66.0,3.9,112.7,0.0,7.1,0.0
2015/12,1018.0,102.5,10.4,62.0,3.8,144.4,0.0,5.8,0.0
2016/1,1016.2,46.5,7.0,59.0,3.8,152.3,0.0,6.3,3.0
2016/2,1017.8,106.5,7.6,57.0,3.9,164.2,0.0,5.6,3.0
2016/3,1016.6,86.5,10.8,57.0,3.3,200.8,0.0,6.2,1.0
2016/4,1010.5,108.5,16.5,64.0,3.9,171.8,0.0,7.4,0.0
2016/5,1009.7,159.0,20.9,63.0,3.4,223.8,0.0,6.8,0.0
2016/6,1005.7,309.0,23.3,73.0,3.7,145.5,0.0,7.8,0.0
2016/7,1006.5,84.0,27.6,73.0,3.3,224.1,0.0,8.0,0.0
2016/8,1001.3,74.5,29.4,64.0,3.8,279.4,0.0,6.0,0.0
2016/9,1008.9,187.5,26.0,73.0,3.4,110.9,0.0,8.4,0.0
2016/10,1014.1,42.0,20.8,63.0,3.8,133.2,0.0,8.1,0.0
2016/11,1016.5,71.0,13.9,66.0,3.6,150.7,0.0,6.2,0.0
2016/12,1017.6,71.5,9.9,65.0,3.7,158.0,0.0,5.8,2.0
2017/1,1016.4,32.0,6.3,62.0,3.8,175.1,0.0,5.3,6.0
2017/2,1015.2,43.5,6.4,0.0,3.7,144.4,0.0,6.1,7.0
2017/3,1013.4,32.0,9.2,56.0,3.6,180.4,0.0,6.4,0.0
2017/4,1010.2,124.0,15.6,62.0,3.6,205.3,0.0,6.1,0.0
2017/5,1009.5,64.0,20.7,61.0,3.3,245.0,0.0,6.3,0.0
2017/6,1005.7,158.5,22.5,65.0,3.4,220.3,0.0,7.7,0.0
2017/7,1006.2,77.5,28.2,78.0,3.3,190.8,0.0,8.8,0.0
2017/8,1003.6,69.5,29.1,69.0,3.9,218.0,0.0,6.8,0.0
2017/9,1008.1,186.0,24.5,66.0,3.9,159.3,0.0,7.7,0.0
2017/10,1014.2,338.0,18.9,74.0,4.3,106.9,0.0,7.6,0.0
2017/11,1016.7,44.0,12.9,65.0,3.1,178.7,0.0,5.3,0.0
