年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1016.7,317.0,3.0,85.0,2.6,0.0,94.0,8.9,21.0
2010/2,1016.8,215.5,4.7,82.0,2.9,74.8,51.0,8.3,15.0
2010/3,1016.8,219.0,6.8,79.0,3.2,78.2,9.0,8.9,9.0
2010/4,1016.1,200.0,11.3,70.0,3.4,141.4,0.0,7.6,0.0
2010/5,1010.3,152.5,16.9,70.0,3.2,0.0,0.0,7.1,0.0
2010/6,1009.2,144.5,22.6,76.0,2.3,179.9,0.0,7.2,0.0
2010/7,1008.2,203.0,26.8,75.0,2.5,197.7,0.0,7.8,0.0
2010/8,1011.4,93.0,29.4,69.0,2.8,260.1,0.0,5.4,0.0
2010/9,1011.0,326.5,24.3,74.0,2.6,146.1,0.0,7.6,0.0
2010/10,1014.8,196.0,17.8,78.0,2.4,127.3,0.0,8.0,0.0
2010/11,1016.7,196.0,10.5,79.0,2.5,119.1,0.0,6.3,0.0
2010/12,1010.4,454.0,6.3,82.0,2.8,77.8,83.0,8.0,11.0
2011/1,1016.1,445.0,1.0,88.0,2.5,58.2,257.0,9.0,30.0
2011/2,1017.7,111.5,3.6,77.0,2.6,132.8,15.0,7.2,8.0
2011/3,1016.3,146.5,5.0,76.0,2.7,125.8,42.0,7.6,16.0
2011/4,1013.0,145.0,11.1,65.0,3.2,170.3,0.0,6.5,0.0
2011/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2011/6,1007.4,73.5,23.4,75.0,2.7,142.0,0.0,8.8,0.0
2011/7,1006.0,199.0,27.5,74.0,2.8,192.4,0.0,7.5,0.0
2011/8,1008.0,251.0,27.6,76.0,2.4,194.1,0.0,7.8,0.0
2011/9,1008.8,312.0,24.0,76.0,2.9,184.4,0.0,6.5,0.0
2011/10,1016.5,115.5,17.1,77.0,2.5,174.0,0.0,6.3,0.0
2011/11,1019.1,171.5,12.8,82.0,2.4,96.3,0.0,8.1,0.0
2011/12,1018.7,334.0,4.9,86.0,2.5,55.3,26.0,8.6,16.0
2012/1,1017.8,280.5,2.4,84.0,2.4,70.1,97.0,8.8,21.0
2012/2,1017.1,208.5,1.9,82.0,2.6,64.8,113.0,8.9,19.0
2012/3,1015.2,208.0,6.6,74.0,3.0,112.8,1.0,8.0,9.0
2012/4,1012.9,80.5,13.2,68.0,3.6,155.7,0.0,7.6,2.0
2012/5,1009.2,100.5,17.3,71.0,2.7,177.4,0.0,7.7,0.0
2012/6,1006.8,125.5,21.8,74.0,2.6,170.9,0.0,8.4,0.0
2012/7,1006.2,282.5,26.9,74.0,2.7,182.8,0.0,7.9,0.0
2012/8,1009.5,76.5,29.0,67.0,3.0,284.8,0.0,5.4,0.0
2012/9,1011.2,347.0,24.8,74.0,3.0,0.0,0.0,6.2,0.0
2012/10,1014.2,183.0,17.5,72.0,2.9,202.7,0.0,6.1,0.0
2012/11,1014.3,284.5,10.2,77.0,2.7,72.6,0.0,8.7,0.0
2012/12,1016.7,315.5,4.1,82.0,3.0,63.2,39.0,8.8,17.0
2013/1,1018.9,256.0,2.5,83.0,2.6,0.0,100.0,9.2,20.0
2013/2,1019.2,163.0,2.8,79.0,2.6,78.7,69.0,8.8,18.0
2013/3,1014.4,79.5,8.6,63.0,3.4,166.1,0.0,6.5,5.0
2013/4,1010.6,158.5,11.8,66.0,3.3,160.1,0.0,7.7,0.0
2013/5,1011.2,76.5,17.7,64.0,3.4,241.4,0.0,5.5,0.0
2013/6,1007.1,147.5,22.9,74.0,2.4,185.4,0.0,8.0,0.0
2013/7,1006.7,409.0,27.0,73.0,2.8,175.0,0.0,8.5,0.0
2013/8,1005.8,233.5,28.0,73.0,2.6,211.9,0.0,6.8,0.0
2013/9,1012.3,359.0,22.9,76.0,2.7,186.9,0.0,6.3,0.0
2013/10,1015.7,212.0,18.7,77.0,2.6,125.2,0.0,7.5,0.0
2013/11,1015.6,315.5,10.5,78.0,2.9,101.7,0.0,8.0,2.0
2013/12,1014.9,315.5,5.4,81.0,2.8,41.6,20.0,9.2,12.0
2014/1,1019.3,144.0,3.0,79.0,2.6,99.9,45.0,7.6,16.0
2014/2,1020.1,63.5,3.6,71.0,3.2,100.6,33.0,8.0,17.0
2014/3,1015.8,249.5,7.4,73.0,2.9,127.6,19.0,7.4,10.0
2014/4,1015.2,108.5,12.4,65.0,2.8,212.6,0.0,6.3,0.0
2014/5,1010.1,102.5,18.1,63.0,3.2,234.3,0.0,6.3,0.0
2014/6,1004.9,109.0,23.0,71.0,2.5,183.0,0.0,8.5,0.0
2014/7,1006.7,220.5,26.4,75.0,2.6,187.3,0.0,7.4,0.0
2014/8,1007.5,340.5,26.5,78.0,2.6,108.9,0.0,9.1,0.0
2014/9,1010.9,78.5,22.2,73.0,2.8,193.3,0.0,6.7,0.0
2014/10,1016.0,195.0,17.0,76.0,2.9,176.8,0.0,5.9,0.0
2014/11,1017.4,195.5,11.8,79.0,2.3,122.7,0.0,7.6,0.0
2014/12,1015.9,656.5,3.6,85.0,2.9,40.7,85.0,9.5,18.0
2015/1,1017.2,329.5,3.2,83.0,2.7,48.4,84.0,9.4,20.0
2015/2,1016.3,196.5,3.9,80.0,2.5,70.0,60.0,9.0,13.0
2015/3,1017.1,201.5,7.6,72.0,2.7,132.0,15.0,7.3,10.0
2015/4,1014.6,195.0,13.9,70.0,3.2,159.5,0.0,7.6,0.0
2015/5,1008.6,90.0,19.7,60.0,3.1,263.9,0.0,6.1,0.0
2015/6,1006.2,156.0,22.0,74.0,2.7,154.8,0.0,8.5,0.0
2015/7,1007.1,155.0,26.4,75.0,2.9,168.2,0.0,8.0,0.0
2015/8,1006.9,114.0,26.9,76.0,2.5,195.0,0.0,7.1,0.0
2015/9,1010.8,226.5,21.3,81.0,2.3,122.5,0.0,8.0,0.0
2015/10,1015.3,100.5,16.3,74.0,2.6,201.0,0.0,5.5,0.0
2015/11,1019.7,208.0,13.1,82.0,2.5,92.9,0.0,8.2,0.0
2015/12,1019.6,327.0,7.5,82.0,2.5,76.4,0.0,8.1,6.0
2016/1,1017.5,272.5,4.1,82.0,2.6,61.8,80.0,9.0,15.0
2016/2,1019.5,193.5,4.6,76.0,2.7,97.5,43.0,7.7,15.0
2016/3,1018.6,66.5,8.4,66.0,3.0,159.5,9.0,7.0,4.0
2016/4,1012.3,178.5,14.5,66.0,3.4,158.1,0.0,7.9,0.0
2016/5,1011.1,81.0,19.5,66.0,3.5,219.9,0.0,7.1,0.0
2016/6,1007.3,152.5,22.4,72.0,2.9,146.7,0.0,8.2,0.0
2016/7,1007.9,104.5,26.4,72.0,2.6,187.9,0.0,8.3,0.0
2016/8,1003.1,148.0,27.5,71.0,2.7,239.3,0.0,6.2,0.0
2016/9,1011.0,274.0,23.9,78.0,2.2,100.6,0.0,9.1,0.0
2016/10,1016.3,162.0,18.0,72.0,2.8,145.1,0.0,7.4,0.0
2016/11,1018.6,159.0,11.0,74.0,2.6,123.4,0.0,7.0,0.0
2016/12,1019.1,235.0,7.3,73.0,2.7,93.6,6.0,8.2,8.0
2017/1,1017.4,233.5,3.7,71.0,2.8,83.5,59.0,8.4,15.0
2017/2,1016.5,204.0,3.6,71.0,2.8,81.7,52.0,8.1,17.0
2017/3,1015.2,111.5,6.7,0.0,2.5,150.6,13.0,7.9,5.0
2017/4,1011.7,156.0,13.7,66.0,3.3,187.5,0.0,6.5,0.0
2017/5,1011.0,60.5,19.1,66.0,2.7,222.1,0.0,7.0,0.0
2017/6,1007.5,92.5,20.7,71.0,2.8,207.8,0.0,7.7,0.0
2017/7,1007.4,237.5,27.5,76.0,2.6,171.2,0.0,8.0,0.0
2017/8,1005.5,213.0,27.3,76.0,2.6,188.3,0.0,7.9,0.0
2017/9,1010.1,222.5,21.9,78.0,2.6,174.9,0.0,7.1,0.0
2017/10,1016.7,317.5,16.8,82.0,2.5,105.8,0.0,7.7,0.0
2017/11,1018.0,282.0,10.1,81.0,2.6,125.8,0.0,7.2,1.0
2017/12,1018.1,376.0,4.6,85.0,2.8,64.3,28.0,8.7,17.0
2018/1,1016.4,340.5,2.0,88.0,2.6,46.9,171.0,9.2,21.0
2018/2,1018.0,267.0,1.7,85.0,2.3,92.7,184.0,8.4,18.0
2018/3,1017.0,199.0,8.6,70.0,3.2,191.6,0.0,5.8,2.0
2018/4,1013.8,212.0,14.5,71.0,3.1,174.2,0.0,6.7,1.0
2018/5,1010.3,252.5,18.6,69.0,3.0,177.1,0.0,7.9,0.0
2018/6,1007.2,92.0,22.6,73.0,2.9,181.3,0.0,8.0,0.0
2018/7,1007.8,257.5,28.7,72.0,2.9,270.6,0.0,6.9,0.0
2018/8,1007.0,95.0,28.6,70.0,3.3,232.1,0.0,7.1,0.0
2018/9,1010.6,509.5,22.5,82.0,2.5,102.8,0.0,8.4,0.0
2018/10,1014.9,91.5,17.4,78.0,2.6,168.0,0.0,6.7,0.0
2018/11,1019.2,78.5,12.2,81.0,2.2,149.8,0.0,7.2,0.0
2018/12,1020.0,237.0,6.6,86.0,2.3,57.3,20.0,9.2,9.0
2019/1,1018.6,190.0,3.7,83.0,2.5,77.3,19.0,8.5,17.0
2019/2,1019.0,73.0,5.3,78.0,2.6,89.8,3.0,8.0,11.0
2019/3,1013.4,126.0,8.4,72.0,2.9,136.0,3.0,7.8,4.0
2019/4,1012.7,143.0,12.0,70.0,3.0,165.1,0.0,7.5,2.0
2019/5,1011.2,99.5,19.3,60.0,3.3,289.9,0.0,6.0,0.0
2019/6,1005.4,221.0,22.0,76.0,2.6,156.1,0.0,7.8,0.0
2019/7,1006.5,195.5,25.7,79.0,2.4,108.1,0.0,8.5,0.0
2019/8,1006.2,207.5,28.2,76.0,2.6,207.3,0.0,6.6,0.0
2019/9,1013.0,62.0,24.8,75.0,2.7,170.9,0.0,7.5,0.0
2019/10,1014.5,248.0,18.5,82.0,2.6,127.5,0.0,7.6,0.0
2019/11,1018.5,80.5,11.5,76.0,2.5,153.0,0.0,6.2,0.0
2019/12,1019.9,205.5,7.5,81.0,2.5,0.0,0.0,7.9,2.0
2020/1,1017.0,276.5,6.4,82.0,2.5,68.8,0.0,9.3,5.0
2020/2,1019.9,138.0,5.9,80.0,2.6,84.6,7.0,0.0,0.0
2020/3,1014.1,154.0,8.8,73.0,2.9,156.6,0.0,0.0,4.0
2020/4,1013.0,170.5,11.2,69.0,3.0,180.8,0.0,0.0,0.0
2020/5,1009.7,82.5,18.7,71.0,3.0,177.9,0.0,0.0,0.0
2020/6,1005.7,298.0,23.5,75.0,2.9,196.2,0.0,0.0,0.0
2020/7,1006.7,395.5,24.5,85.0,2.4,62.2,0.0,0.0,0.0
2020/8,1009.3,122.0,29.0,74.0,2.6,244.4,0.0,0.0,0.0
2020/9,1009.6,263.5,24.6,77.0,2.9,154.2,0.0,0.0,0.0
2020/10,1015.9,101.0,16.7,78.0,2.3,156.5,0.0,0.0,0.0
2020/11,1020.1,145.0,12.5,78.0,2.5,145.3,0.0,0.0,0.0
2020/12,1018.1,385.0,5.9,87.0,2.3,67.8,41.0,0.0,13.0
2021/1,1018.0,0.0,2.5,89.0,2.5,66.1,147.0,0.0,0.0
2021/2,1016.7,0.0,5.4,77.0,2.9,115.3,48.0,0.0,0.0
2021/3,1017.2,162.0,9.8,73.0,3.1,174.1,0.0,0.0,0.0
2021/4,1016.7,145.0,13.0,68.0,3.5,229.7,0.0,0.0,0.0
2021/5,1008.5,285.5,18.0,75.0,2.9,150.8,0.0,0.0,0.0
2021/6,1007.6,119.5,22.9,73.0,2.7,176.1,0.0,0.0,0.0
2021/7,1008.0,350.5,27.0,78.0,2.4,193.4,0.0,0.0,0.0
2021/8,1007.8,341.0,26.9,79.0,2.7,150.6,0.0,0.0,0.0
2021/9,1011.6,141.0,23.7,77.0,2.7,149.0,0.0,0.0,0.0
2021/10,1017.4,85.5,18.2,75.0,2.7,202.8,0.0,0.0,0.0
2021/11,1015.8,238.5,11.6,80.0,2.6,149.9,0.0,0.0,0.0
2021/12,1017.4,378.0,6.1,85.0,2.7,71.2,65.0,0.0,12.0
2022/1,1017.7,217.5,2.4,85.0,2.4,82.6,75.0,0.0,29.0
2022/2,1018.3,208.0,2.6,83.0,2.3,87.3,108.0,0.0,22.0
2022/3,1015.1,119.5,8.6,74.0,2.8,140.7,0.0,0.0,3.0
2022/4,1014.9,116.5,14.4,69.0,2.9,207.2,0.0,0.0,0.0
2022/5,1011.0,95.5,18.5,65.0,2.8,217.9,0.0,0.0,0.0
2022/6,1007.8,83.0,23.8,72.0,2.8,215.9,0.0,0.0,0.0
2022/7,1005.6,310.0,27.2,77.0,2.6,182.0,0.0,0.0,0.0
2022/8,1006.6,465.5,27.8,77.0,2.6,165.4,0.0,0.0,0.0
2022/9,1010.6,192.5,24.6,79.0,2.7,147.5,0.0,0.0,0.0
2022/10,1017.7,143.0,16.8,77.0,2.5,171.0,0.0,0.0,0.0
2022/11,1017.5,113.0,13.1,81.0,2.4,159.3,0.0,0.0,0.0
2022/12,1016.7,403.0,5.3,87.0,2.7,49.6,43.0,0.0,0.0
2023/1,1017.8,257.0,3.7,86.0,2.5,68.0,101.0,0.0,22.0
2023/2,1021.0,104.0,3.9,81.0,2.4,99.2,8.0,0.0,18.0
2023/3,1018.3,117.5,10.7,69.0,2.8,203.8,0.0,0.0,3.0
2023/4,1013.7,163.5,14.1,68.0,3.2,185.4,0.0,0.0,0.0
2023/5,1012.3,223.5,18.7,69.0,3.1,221.5,0.0,0.0,0.0
2023/6,1007.0,285.0,22.7,77.0,2.6,146.3,0.0,0.0,0.0
2023/7,1008.4,222.5,27.9,74.0,2.7,240.3,0.0,0.0,0.0
2023/8,1005.7,45.0,30.4,67.0,3.4,250.6,0.0,0.0,0.0
2023/9,1010.4,202.0,26.2,78.0,2.4,153.8,0.0,0.0,0.0
2023/10,1014.5,216.0,16.7,79.0,2.2,175.9,0.0,0.0,0.0
2023/11,1016.8,294.5,12.8,78.0,2.8,127.4,0.0,0.0,0.0
2023/12,1019.2,367.5,6.7,86.0,2.6,83.3,45.0,0.0,9.0
