年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1011.1,164.5,0.9,77.0,5.5,35.6,114.0,9.6,29.0
2010/2,1015.5,84.0,0.4,71.0,4.3,86.6,83.0,8.6,19.0
2010/3,1015.4,126.0,3.0,68.0,4.8,86.8,36.0,9.1,22.0
2010/4,1015.6,150.5,8.0,68.0,5.2,125.9,0.0,8.1,2.0
2010/5,1009.3,149.0,14.1,76.0,3.8,145.7,0.0,8.3,0.0
2010/6,1008.8,158.5,20.5,75.0,3.0,186.4,0.0,7.8,0.0
2010/7,1007.2,189.5,24.8,80.0,3.6,126.9,0.0,9.0,0.0
2010/8,1010.6,191.0,27.0,77.0,3.3,196.9,0.0,7.4,0.0
2010/9,1010.4,168.5,21.5,75.0,3.6,162.0,0.0,7.9,0.0
2010/10,1015.1,134.5,14.9,75.0,3.4,142.5,0.0,7.4,0.0
2010/11,1013.9,186.5,8.6,71.0,4.7,81.4,0.0,8.1,5.0
2010/12,1006.8,188.0,3.7,77.0,5.5,54.6,81.0,8.8,17.0
2011/1,1011.0,96.0,-1.3,74.0,5.2,30.6,188.0,9.6,30.0
2011/2,1016.1,79.0,1.1,72.0,3.9,99.2,53.0,7.9,18.0
2011/3,1012.6,84.5,2.1,72.0,4.4,89.0,79.0,9.1,22.0
2011/4,1010.9,152.5,8.5,68.0,4.8,153.3,0.0,7.6,4.0
2011/5,0.0,190.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0
2011/6,1006.8,226.0,19.2,77.0,3.4,139.5,0.0,8.1,0.0
2011/7,1006.2,91.0,25.0,76.0,3.4,212.7,0.0,7.7,0.0
2011/8,1007.9,125.0,25.5,77.0,3.6,188.0,0.0,7.7,0.0
2011/9,1009.6,366.0,21.6,77.0,3.8,129.6,0.0,7.9,0.0
2011/10,1015.5,117.0,14.8,71.0,4.4,143.4,0.0,7.2,0.0
2011/11,1017.4,156.0,9.6,72.0,4.4,93.8,0.0,8.3,9.0
2011/12,1015.4,151.0,1.8,71.0,5.7,30.8,99.0,9.4,27.0
2012/1,1015.3,67.5,0.0,0.0,5.2,34.6,94.0,9.4,29.0
2012/2,1014.2,65.5,-1.0,69.0,4.9,63.1,73.0,9.0,27.0
2012/3,1012.6,185.0,3.3,73.0,4.5,102.3,44.0,8.7,21.0
2012/4,1011.8,113.0,9.7,63.0,5.0,184.6,5.0,7.0,7.0
2012/5,1008.5,106.5,15.2,74.0,4.1,169.6,0.0,8.2,0.0
2012/6,1007.3,34.5,19.7,70.0,3.9,243.7,0.0,6.7,0.0
2012/7,1005.8,207.5,23.6,79.0,3.4,175.8,0.0,7.9,0.0
2012/8,1009.5,79.0,26.8,75.0,3.2,272.7,0.0,6.3,0.0
2012/9,1011.7,159.0,24.2,73.0,3.4,191.3,0.0,6.2,0.0
2012/10,1013.1,191.5,15.4,70.0,4.1,161.9,0.0,7.2,0.0
2012/11,1010.7,364.5,8.1,76.0,5.0,0.0,0.0,9.1,9.0
2012/12,1012.7,169.0,1.2,79.0,5.2,36.6,108.0,9.4,26.0
2013/1,1015.2,138.0,-0.9,77.0,5.0,39.8,171.0,9.4,29.0
2013/2,1015.3,92.5,-0.5,71.0,5.7,51.3,89.0,9.4,25.0
2013/3,1011.7,75.0,3.5,67.0,5.3,95.4,15.0,8.5,18.0
2013/4,1008.2,131.5,8.4,69.0,5.0,155.3,0.0,7.7,3.0
2013/5,1009.7,73.5,14.5,73.0,4.1,152.7,0.0,8.7,0.0
2013/6,1007.0,19.0,21.4,68.0,3.4,269.7,0.0,6.2,0.0
2013/7,1005.3,543.0,23.4,84.0,3.5,100.3,0.0,9.1,0.0
2013/8,1004.4,236.0,25.4,78.0,3.6,186.1,0.0,7.7,0.0
2013/9,1012.4,257.0,21.2,75.0,3.4,169.8,0.0,7.6,0.0
