年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1013.9,305.0,4.4,69.0,4.7,65.2,68.0,9.2,23.0
2010/2,1014.7,210.0,4.8,71.0,4.6,69.8,46.0,8.3,16.0
2010/3,1014.6,222.0,6.8,68.0,5.0,86.6,10.0,8.4,8.0
2010/4,1014.1,221.0,10.7,64.0,4.4,141.4,0.0,7.6,0.0
2010/5,1008.2,153.5,16.5,65.0,3.7,179.1,0.0,7.1,0.0
2010/6,1007.4,240.5,21.9,72.0,2.8,192.1,0.0,7.0,0.0
2010/7,1006.2,223.5,26.5,71.0,3.1,216.8,0.0,7.3,0.0
2010/8,1009.3,55.0,29.3,67.0,2.9,267.2,0.0,5.2,0.0
2010/9,1009.0,297.0,24.5,69.0,3.6,151.3,0.0,7.6,0.0
2010/10,1013.0,226.0,18.0,70.0,3.3,133.7,0.0,8.0,0.0
2010/11,1014.2,281.5,11.3,68.0,4.0,100.6,0.0,7.3,0.0
2010/12,1007.5,423.5,7.0,70.0,5.6,70.9,54.0,8.4,12.0
2011/1,1013.4,312.0,1.5,76.0,4.8,42.5,174.0,9.2,30.0
2011/2,1015.6,109.0,4.5,66.0,3.9,122.3,5.0,7.1,11.0
2011/3,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.9,16.0
2011/4,1010.5,132.5,11.5,59.0,4.3,189.7,0.0,5.8,0.0
2011/5,1007.8,280.0,17.4,68.0,4.3,181.8,0.0,7.6,0.0
2011/6,1005.3,142.0,22.7,74.0,3.6,158.8,0.0,8.9,0.0
2011/7,1004.1,128.0,27.2,73.0,3.4,184.0,0.0,7.5,0.0
2011/8,1006.2,191.5,27.5,74.0,3.4,194.1,0.0,7.7,0.0
2011/9,1007.1,376.0,23.8,73.0,3.6,175.3,0.0,6.7,0.0
2011/10,1014.6,89.0,17.5,69.0,3.5,171.8,0.0,6.6,0.0
2011/11,1016.9,217.0,13.3,73.0,3.4,109.3,0.0,7.9,0.0
2011/12,1016.5,364.0,5.3,78.0,4.6,52.1,30.0,8.9,17.0
2012/1,1015.7,252.5,2.9,78.0,4.2,59.9,96.0,9.2,22.0
2012/2,1014.8,189.0,2.6,74.0,4.6,79.2,100.0,8.8,23.0
