年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1010.9,20.0,6.9,60.0,5.1,203.6,0.0,4.3,0.0
2010/2,1013.2,181.5,6.9,74.0,6.7,89.1,0.0,7.8,5.0
2010/3,1013.5,169.0,8.8,75.0,7.5,127.2,0.0,7.7,0.0
2010/4,1014.4,222.0,11.8,77.0,7.1,139.5,0.0,8.2,0.0
2010/5,1008.7,99.5,17.4,76.0,5.7,207.6,0.0,7.5,0.0
2010/6,1008.4,159.5,21.1,84.0,4.8,168.9,0.0,7.6,0.0
2010/7,1007.4,65.0,24.9,87.0,5.9,220.2,0.0,7.5,0.0
2010/8,1011.2,3.5,26.9,83.0,5.2,280.3,0.0,5.6,0.0
2010/9,1009.2,307.0,24.3,82.0,6.0,185.9,0.0,7.0,0.0
2010/10,1013.1,305.5,19.7,78.0,6.7,96.0,0.0,8.3,0.0
2010/11,1012.7,165.5,14.8,69.0,5.5,136.3,0.0,6.3,0.0
2010/12,1005.6,98.5,10.7,64.0,6.0,184.0,0.0,5.4,0.0
2011/1,1009.6,7.0,5.2,54.0,5.5,227.6,0.0,4.4,1.0
2011/2,1014.2,146.0,7.6,71.0,6.4,0.0,0.0,6.8,0.0
2011/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0
2011/4,1010.4,104.5,13.8,68.0,6.8,229.8,0.0,6.3,0.0
2011/5,1008.7,222.0,17.2,81.0,6.2,149.6,0.0,7.9,0.0
2011/6,1006.7,149.5,20.8,87.0,4.4,129.6,0.0,8.6,0.0
2011/7,1006.0,55.0,24.3,88.0,6.2,209.8,0.0,7.4,0.0
2011/8,1007.8,70.0,25.7,89.0,5.2,247.3,0.0,7.1,0.0
2011/9,1009.2,118.0,24.4,83.0,5.9,197.3,0.0,6.7,0.0
2011/10,1014.5,248.5,19.3,75.0,6.1,155.1,0.0,7.4,0.0
2011/11,1016.3,92.5,14.9,75.0,5.1,129.9,0.0,7.2,0.0
2011/12,1013.9,65.0,8.1,64.0,5.7,177.5,0.0,5.0,1.0
2012/1,1013.0,98.0,5.2,60.0,6.1,168.3,0.0,5.7,3.0
2012/2,1012.2,160.0,6.0,64.0,5.9,140.0,3.0,6.8,3.0
2012/3,1011.1,131.5,9.3,70.0,7.1,136.4,0.0,7.1,0.0
2012/4,1012.0,115.0,13.7,73.0,6.0,177.8,0.0,7.5,0.0
2012/5,1007.2,94.0,18.1,80.0,5.3,223.6,0.0,7.6,0.0
2012/6,1006.8,204.5,19.2,87.0,5.7,160.3,0.0,8.9,0.0
2012/7,1006.0,76.5,23.6,90.0,5.7,182.2,0.0,8.5,0.0
2012/8,1009.8,19.0,26.7,84.0,4.7,306.6,0.0,5.6,0.0
2012/9,1010.9,224.0,25.1,84.0,5.3,207.9,0.0,7.4,0.0
2012/10,1011.6,381.0,19.6,73.0,6.8,159.3,0.0,6.8,0.0
2012/11,1010.2,150.0,13.5,67.0,5.4,158.4,0.0,6.2,0.0
2012/12,1011.5,88.5,8.0,63.0,5.7,166.7,0.0,5.2,0.0
2013/1,1013.1,112.0,5.7,59.0,5.9,0.0,5.0,5.3,3.0
2013/2,1013.5,106.5,6.3,61.0,5.8,169.9,0.0,6.2,1.0
2013/3,1010.0,78.5,11.8,68.0,6.7,167.3,0.0,6.9,0.0
2013/4,1007.1,170.5,14.3,68.0,7.6,205.2,0.0,6.6,0.0
2013/5,1009.6,99.0,16.9,80.0,5.2,243.6,0.0,6.5,0.0
2013/6,1006.7,161.5,19.8,0.0,4.6,0.0,0.0,8.8,0.0
2013/7,1005.8,49.5,23.4,89.0,4.8,182.4,0.0,8.9,0.0
