年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1018.2,61.5,6.9,66.0,2.3,98.6,9.0,7.0,7.0
2010/2,1014.8,119.0,9.8,65.0,2.2,112.5,0.0,7.2,1.0
2010/3,1014.5,160.5,11.5,66.0,2.9,119.5,0.0,7.1,2.0
2010/4,1013.1,211.0,14.4,63.0,2.6,160.1,0.0,6.7,0.0
2010/5,1007.5,231.5,19.3,68.0,2.4,197.1,0.0,6.5,0.0
2010/6,1005.9,364.0,23.1,79.0,2.0,119.8,0.0,8.3,0.0
2010/7,1006.0,214.0,26.8,82.0,2.4,148.6,0.0,8.0,0.0
2010/8,1008.2,110.5,29.0,76.0,2.1,212.3,0.0,6.3,0.0
2010/9,1008.8,140.0,25.9,74.0,2.0,179.1,0.0,6.2,0.0
2010/10,1011.7,108.5,20.3,65.0,1.9,138.7,0.0,6.9,0.0
2010/11,1016.1,31.0,13.3,65.0,2.0,172.9,0.0,4.9,0.0
2010/12,1011.8,146.0,9.3,69.0,2.8,96.3,11.0,6.9,6.0
2011/1,1019.1,8.5,4.1,61.0,2.5,81.8,5.0,8.0,13.0
2011/2,1015.0,35.5,8.9,66.0,2.0,129.6,0.0,6.1,1.0
2011/3,1016.4,61.0,8.9,58.0,2.7,191.4,0.0,5.7,0.0
2011/4,1011.2,81.0,14.5,65.0,2.8,200.5,0.0,5.3,0.0
2011/5,1007.5,211.5,19.5,77.0,2.3,121.9,0.0,8.1,0.0
2011/6,1004.7,788.5,23.0,87.0,2.0,81.4,0.0,8.9,0.0
2011/7,1003.4,162.5,27.3,78.0,2.7,216.1,0.0,7.2,0.0
2011/8,1005.0,335.5,27.9,79.0,2.4,175.2,0.0,7.1,0.0
2011/9,1005.5,118.0,25.3,72.0,2.4,179.3,0.0,6.5,0.0
2011/10,1013.5,124.0,19.6,72.0,1.8,0.0,0.0,6.4,0.0
2011/11,1016.6,214.0,16.3,72.0,1.9,122.3,0.0,6.2,0.0
2011/12,1019.4,29.0,8.5,64.0,2.0,91.3,0.0,6.9,2.0
2012/1,1017.8,24.0,6.3,63.0,2.0,118.9,0.0,6.8,3.0
2012/2,1015.9,136.0,6.3,70.0,2.5,69.2,0.0,8.4,9.0
2012/3,1013.9,187.5,10.9,68.0,2.8,146.1,0.0,6.6,0.0
2012/4,1010.4,144.0,15.7,67.0,2.7,190.2,0.0,6.1,0.0
2012/5,1006.8,52.5,19.9,73.0,2.1,182.7,0.0,6.4,0.0
2012/6,1002.5,637.0,22.8,84.0,1.8,84.9,0.0,8.8,0.0
2012/7,1003.9,222.5,27.1,86.0,2.6,164.0,0.0,7.7,0.0
2012/8,1004.8,118.5,28.8,76.0,1.9,210.7,0.0,7.0,0.0
2012/9,1008.3,212.5,24.2,79.0,2.0,0.0,0.0,6.9,0.0
2012/10,1012.1,108.5,19.4,69.0,2.1,205.4,0.0,4.3,0.0
2012/11,1013.8,168.0,13.0,69.0,2.5,104.9,0.0,7.0,0.0
2012/12,1016.8,124.5,7.8,72.0,2.4,85.5,0.0,7.6,5.0
2013/1,1019.2,37.5,6.3,68.0,2.2,135.5,0.0,6.6,5.0
2013/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.0
2013/3,1012.6,91.5,12.2,69.0,2.5,175.1,0.0,6.0,0.0
2013/4,1009.6,148.5,14.6,65.0,3.0,200.6,0.0,6.2,0.0
2013/5,1008.2,126.0,20.0,70.0,2.2,247.3,0.0,6.0,0.0
2013/6,1003.6,224.0,23.7,82.0,2.1,82.4,0.0,9.1,0.0
2013/7,1006.0,10.5,28.3,79.0,3.3,191.5,0.0,7.0,0.0
2013/8,1004.5,198.5,29.3,75.0,2.6,234.6,0.0,5.7,0.0
2013/9,1008.7,160.0,25.1,70.0,2.1,221.0,0.0,4.6,0.0
2013/10,1012.0,249.5,20.8,70.0,2.3,175.0,0.0,5.3,0.0
2013/11,1015.6,210.5,13.3,71.0,2.3,112.4,0.0,6.7,0.0
2013/12,1016.1,78.5,8.3,67.0,2.6,104.6,0.0,7.0,4.0
2014/1,1018.7,30.0,7.8,65.0,2.4,155.5,0.0,5.5,1.0
2014/2,1016.2,106.0,8.1,68.0,2.4,118.2,0.0,6.7,1.0
2014/3,1015.0,154.5,11.9,67.0,2.7,174.9,0.0,6.0,0.0
2014/4,1012.0,114.0,15.6,67.0,2.3,157.9,0.0,6.6,0.0
2014/5,1008.2,113.5,19.4,69.0,2.2,248.3,0.0,6.3,0.0
2014/6,1001.9,226.5,22.1,80.0,2.1,101.3,0.0,9.2,0.0
2014/7,1004.4,417.5,26.1,81.0,2.3,139.7,0.0,8.5,0.0
2014/8,1003.7,483.0,26.7,81.0,2.5,102.3,0.0,9.3,0.0
2014/9,1007.4,159.5,24.2,74.0,1.9,149.9,0.0,7.1,0.0
2014/10,1012.0,129.5,20.2,68.0,2.5,188.5,0.0,5.3,0.0
2014/11,1015.5,61.0,14.9,69.0,2.1,136.2,0.0,5.8,0.0
2014/12,1018.2,138.5,7.4,68.0,2.6,88.3,0.0,7.5,4.0
2015/1,1017.6,119.0,7.9,67.0,2.2,124.4,0.0,6.7,2.0
2015/2,1016.5,40.0,7.6,65.0,2.4,99.0,0.0,7.2,3.0
2015/3,1015.9,182.0,11.1,64.0,2.5,180.8,0.0,6.2,1.0
2015/4,1011.2,248.5,16.5,72.0,2.7,143.2,0.0,7.6,0.0
2015/5,1006.3,168.5,19.9,74.0,2.1,201.5,0.0,6.9,0.0
2015/6,1003.3,456.5,21.7,87.0,1.9,82.0,0.0,8.8,0.0
2015/7,1003.9,310.0,25.7,83.0,2.4,125.2,0.0,8.3,0.0
2015/8,1004.2,412.5,26.8,81.0,2.1,205.8,0.0,6.5,0.0
2015/9,1007.4,180.0,23.6,75.0,2.3,173.7,0.0,6.7,0.0
2015/10,1013.3,59.0,19.3,65.0,2.2,220.2,0.0,3.5,0.0
2015/11,0.0,0.0,16.4,0.0,0.0,0.0,0.0,7.6,0.0
2015/12,1018.8,103.5,10.6,71.0,2.0,108.7,0.0,6.4,0.0
2016/1,1017.9,96.5,7.3,73.0,2.2,59.2,18.0,8.0,7.0
2016/2,1019.2,77.0,8.1,64.0,2.7,121.5,0.0,7.1,3.0
2016/3,1016.0,82.0,11.7,67.0,2.3,175.7,0.0,6.1,1.0
2016/4,1009.4,208.0,16.9,76.0,2.3,131.3,0.0,8.0,0.0
2016/5,1008.3,287.5,20.5,73.0,2.1,192.4,0.0,7.4,0.0
2016/6,1004.5,620.0,23.1,86.0,2.4,110.0,0.0,8.5,0.0
2016/7,1005.5,178.5,27.6,81.0,2.5,220.0,0.0,7.1,0.0
2016/8,1000.8,34.5,29.2,72.0,2.4,282.0,0.0,5.2,0.0
2016/9,1006.9,311.0,25.4,0.0,2.1,119.9,0.0,8.6,0.0
2016/10,1011.9,207.0,21.9,77.0,1.9,111.4,0.0,8.0,0.0
2016/11,1016.0,107.0,14.7,75.0,2.0,138.8,0.0,5.7,0.0
2016/12,1018.4,84.0,10.7,74.0,2.2,120.2,0.0,6.8,0.0
2017/1,1018.4,63.0,7.5,69.0,2.4,122.6,1.0,6.5,5.0
2017/2,1017.3,92.5,8.0,65.0,2.6,136.2,2.0,6.0,4.0
2017/3,1014.0,68.5,10.3,65.0,2.6,165.0,0.0,7.3,1.0
2017/4,1009.7,216.0,16.4,75.0,2.4,174.5,0.0,6.3,0.0
2017/5,1009.2,119.5,19.8,74.0,2.0,241.0,0.0,6.3,0.0
2017/6,1004.8,172.5,22.6,78.0,2.0,153.6,0.0,8.4,0.0
2017/7,1005.9,223.5,28.3,86.0,2.6,201.6,0.0,8.2,0.0
2017/8,1003.0,246.5,28.7,79.0,2.4,231.8,0.0,5.9,0.0
2017/9,1007.0,204.5,24.0,80.0,2.0,128.8,0.0,7.5,0.0
2017/10,1012.4,279.5,20.3,77.0,2.3,133.4,0.0,6.7,0.0
2017/11,1017.0,59.0,13.6,73.0,1.8,144.0,0.0,6.2,0.0
2017/12,1019.5,33.5,7.6,66.0,2.2,99.1,0.0,7.7,3.0
2018/1,1017.4,71.5,5.8,71.0,2.4,102.9,14.0,7.6,9.0
2018/2,1017.6,87.5,6.3,70.0,2.4,125.5,2.0,6.9,9.0
2018/3,1014.3,185.0,12.4,75.0,2.5,186.3,0.0,5.3,0.0
2018/4,1012.0,155.0,17.1,72.0,2.6,193.5,0.0,6.2,0.0
2018/5,1007.8,147.0,20.4,76.0,2.5,169.9,0.0,7.4,0.0
2018/6,1004.0,276.5,23.5,83.0,2.3,158.4,0.0,7.8,0.0
2018/7,1003.8,381.5,28.2,80.0,2.3,239.7,0.0,6.4,0.0
2018/8,1003.3,45.0,29.5,73.0,2.2,257.7,0.0,5.7,0.0
2018/9,1007.2,232.5,24.9,80.0,2.1,121.3,0.0,7.4,0.0
2018/10,1012.8,52.0,19.1,70.0,2.3,181.2,0.0,6.0,0.0
2018/11,1017.1,63.0,14.5,73.0,1.6,169.7,0.0,5.0,0.0
2018/12,1019.3,124.5,10.3,72.0,2.2,88.3,0.0,7.3,2.0
2019/1,1019.0,27.0,8.1,69.0,2.1,124.4,0.0,6.3,1.0
2019/2,1016.9,86.5,9.4,71.0,2.1,105.7,0.0,7.6,0.0
2019/3,1012.5,129.5,11.9,70.0,2.7,180.0,0.0,6.4,0.0
2019/4,1010.3,87.5,15.8,71.0,2.4,200.6,0.0,6.4,0.0
2019/5,1008.2,101.0,20.2,70.0,1.9,238.7,0.0,6.8,0.0
2019/6,1002.8,163.0,23.0,80.0,2.5,169.8,0.0,7.5,0.0
2019/7,1003.2,455.0,25.8,87.0,2.1,139.6,0.0,8.2,0.0
2019/8,1002.9,336.5,27.7,81.0,2.2,156.5,0.0,7.8,0.0
2019/9,1008.2,117.0,26.0,79.0,2.1,177.8,0.0,6.3,0.0
2019/10,1011.5,123.0,20.9,75.0,2.4,185.7,0.0,5.8,0.0
2019/11,1016.1,42.0,15.1,71.0,1.9,172.3,0.0,4.5,0.0
2019/12,1018.8,120.0,10.6,72.0,2.1,108.2,0.0,6.8,0.0
2020/1,1016.0,116.0,9.7,75.0,2.1,91.7,0.0,7.6,0.0
2020/2,1018.9,103.5,9.8,72.0,2.4,146.1,0.0,0.0,0.0
2020/3,1012.5,121.5,12.3,72.0,2.5,161.1,0.0,0.0,0.0
2020/4,1012.7,88.0,14.0,64.0,2.8,227.7,0.0,0.0,0.0
2020/5,1006.9,149.0,20.2,77.0,2.2,201.3,0.0,0.0,0.0
2020/6,1003.3,439.0,24.1,0.0,2.7,136.0,0.0,0.0,0.0
2020/7,1004.2,862.5,25.5,89.0,2.7,0.0,0.0,0.0,0.0
2020/8,1006.8,140.5,28.8,82.0,2.1,256.9,0.0,0.0,0.0
2020/9,1005.6,0.0,24.3,0.0,2.4,0.0,0.0,0.0,0.0
2020/10,1012.8,61.0,19.6,68.0,2.1,220.3,0.0,0.0,0.0
2020/11,1018.4,117.5,15.3,71.0,1.9,147.0,0.0,0.0,0.0
2020/12,1019.2,41.0,8.5,66.0,2.1,149.6,1.0,0.0,4.0
2021/1,1018.1,32.0,7.4,71.0,2.4,120.8,21.0,0.0,10.0
2021/2,1015.8,58.0,10.3,68.0,2.6,144.7,4.0,0.0,2.0
2021/3,1013.9,99.0,13.9,71.0,2.3,173.4,0.0,0.0,0.0
2021/4,1013.1,140.0,16.7,63.0,2.3,193.9,0.0,0.0,0.0
2021/5,1006.5,328.0,19.8,81.0,2.6,146.0,0.0,0.0,0.0
2021/6,1003.8,174.5,23.7,81.0,1.8,162.4,0.0,0.0,0.0
2021/7,1004.9,62.0,27.9,79.0,2.3,180.8,0.0,0.0,0.0
2021/8,1004.8,935.0,27.3,87.0,2.5,160.1,0.0,0.0,0.0
2021/9,1007.9,204.5,25.7,82.0,1.9,159.6,0.0,0.0,0.0
2021/10,1014.5,10.0,21.1,70.0,1.8,220.1,0.0,0.0,0.0
2021/11,1015.0,99.0,14.1,71.0,2.1,151.0,0.0,0.0,0.0
2021/12,1018.9,61.5,9.2,70.0,2.3,108.0,0.0,0.0,0.0
2022/1,1017.5,82.0,7.1,68.0,2.0,145.9,0.0,0.0,2.0
2022/2,1019.1,19.0,6.5,62.0,2.6,125.7,0.0,0.0,7.0
2022/3,1012.8,132.0,12.9,72.0,2.3,156.1,0.0,0.0,0.0
2022/4,1012.2,171.5,16.4,73.0,2.4,211.8,0.0,0.0,0.0
2022/5,1008.5,121.0,20.0,75.0,2.0,191.3,0.0,0.0,0.0
2022/6,1005.0,248.5,23.9,0.0,2.4,166.4,0.0,0.0,0.0
2022/7,1002.8,276.0,27.8,77.0,2.5,182.9,0.0,0.0,0.0
2022/8,1005.0,371.5,28.6,76.0,2.4,208.7,0.0,0.0,0.0
2022/9,1005.3,184.0,25.9,69.0,2.5,145.1,0.0,0.0,0.0
2022/10,1014.9,52.5,19.9,64.0,2.0,209.3,0.0,0.0,0.0
2022/11,1014.9,30.0,16.5,67.0,1.7,159.9,0.0,0.0,0.0
2022/12,1018.0,54.5,7.8,64.0,2.1,112.0,3.0,0.0,9.0
2023/1,1018.3,156.0,7.4,67.0,2.1,123.2,5.0,0.0,6.0
2023/2,1018.6,77.5,9.2,64.0,2.1,128.6,0.0,0.0,0.0
2023/3,1015.3,138.5,13.6,67.0,2.1,178.2,0.0,0.0,0.0
2023/4,1010.6,224.0,16.9,64.0,2.5,183.7,0.0,0.0,0.0
2023/5,1009.2,294.0,19.7,71.0,2.1,185.5,0.0,0.0,0.0
2023/6,1004.4,332.0,23.7,77.0,2.3,129.1,0.0,0.0,0.0
2023/7,1006.3,269.5,28.0,78.0,2.7,137.7,0.0,0.0,0.0
2023/8,1000.8,237.0,29.2,71.0,2.0,232.0,0.0,0.0,0.0
2023/9,1007.5,242.0,26.7,74.0,1.9,178.0,0.0,0.0,0.0
2023/10,1013.0,51.0,19.8,62.0,1.9,211.6,0.0,0.0,0.0
2023/11,1016.6,58.0,15.1,67.0,2.2,161.9,0.0,0.0,0.0
2023/12,1019.1,55.0,10.2,71.0,2.1,89.8,0.0,0.0,5.0
