年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,965.6,36.5,-0.2,78.0,1.8,147.7,56.0,6.6,24.0
2010/2,967.0,89.0,1.6,75.0,2.2,114.3,49.0,7.7,20.0
2010/3,967.3,74.5,4.2,72.0,3.0,122.9,17.0,8.1,16.0
2010/4,968.0,74.5,8.5,65.0,3.4,161.5,7.0,7.4,6.0
2010/5,963.0,60.0,15.5,62.0,3.1,206.9,0.0,7.2,0.0
2010/6,963.3,96.0,21.0,70.0,2.2,182.1,0.0,7.7,0.0
2010/7,962.9,167.0,24.9,75.0,2.2,191.1,0.0,8.3,0.0
2010/8,966.4,139.5,27.3,72.0,2.2,233.1,0.0,6.7,0.0
2010/9,965.3,126.0,21.6,76.0,0.0,156.2,0.0,8.0,0.0
2010/10,968.5,75.5,15.3,76.0,2.6,123.2,0.0,8.7,0.0
2010/11,968.1,44.5,7.3,75.0,1.9,164.7,0.0,4.9,0.0
2010/12,960.5,75.0,3.7,75.0,2.4,125.2,4.0,6.9,11.0
2011/1,964.4,48.5,-2.4,79.0,1.9,121.2,88.0,7.1,28.0
2011/2,968.3,50.5,1.0,72.0,2.1,164.3,49.0,5.8,13.0
2011/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,20.0
2011/4,964.2,93.5,9.1,58.0,2.9,231.7,0.0,5.9,2.0
2011/5,963.0,182.5,15.7,65.0,3.1,198.1,0.0,7.9,0.0
2011/6,961.4,71.0,21.0,75.0,2.2,138.8,0.0,8.9,0.0
2011/7,961.1,84.0,25.3,74.0,2.6,193.8,0.0,8.0,0.0
2011/8,963.1,119.5,25.4,75.0,2.4,182.0,0.0,8.3,0.0
2011/9,963.8,135.5,21.9,72.0,2.9,176.0,0.0,7.0,0.0
2011/10,969.7,53.5,14.2,73.0,2.6,174.0,0.0,6.9,0.0
2011/11,971.1,65.5,9.3,77.0,2.0,131.8,0.0,7.3,3.0
2011/12,968.5,11.0,1.6,78.0,2.4,130.5,17.0,7.1,17.0
2012/1,967.4,34.5,-1.5,80.0,2.1,115.4,77.0,8.0,28.0
2012/2,966.3,39.0,-0.8,75.0,2.4,126.8,31.0,7.2,21.0
2012/3,965.4,107.5,3.7,72.0,2.7,137.0,29.0,7.9,17.0
2012/4,965.2,44.5,10.5,65.0,3.0,180.1,1.0,6.9,3.0
2012/5,962.1,38.0,15.5,66.0,2.8,187.7,0.0,7.9,0.0
2012/6,960.8,75.0,20.3,68.0,2.8,208.7,0.0,8.1,0.0
2012/7,961.0,220.0,24.5,76.0,2.2,166.2,0.0,8.3,0.0
2012/8,964.8,152.5,26.7,69.0,2.5,276.5,0.0,6.2,0.0
2012/9,966.0,104.5,23.4,70.0,2.8,194.3,0.0,7.3,0.0
2012/10,967.5,37.5,14.5,73.0,2.6,182.6,0.0,6.1,0.0
2012/11,965.5,45.5,7.0,75.0,2.3,132.4,0.0,7.1,5.0
2012/12,966.2,57.0,1.0,78.0,2.3,135.9,56.0,7.2,23.0
2013/1,967.8,48.5,-1.1,78.0,0.0,146.9,70.0,7.4,25.0
