年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1012.0,175.5,-0.5,79.0,4.6,42.3,203.0,9.3,30.0
2010/2,1016.9,77.5,-1.0,74.0,3.8,87.8,112.0,8.8,21.0
2010/3,1016.7,111.0,1.8,68.0,4.5,101.6,80.0,8.8,22.0
2010/4,1016.9,57.5,7.2,65.0,4.4,136.5,0.0,8.1,6.0
2010/5,1011.2,100.5,12.4,75.0,3.7,175.7,0.0,7.9,0.0
2010/6,1010.7,107.0,18.5,79.0,2.5,190.4,0.0,8.0,0.0
2010/7,1008.6,177.5,23.8,81.0,3.0,112.2,0.0,9.4,0.0
2010/8,1012.2,149.0,26.0,77.0,2.6,181.0,0.0,7.6,0.0
2010/9,1012.5,138.0,20.7,74.0,3.1,164.7,0.0,7.3,0.0
2010/10,1017.4,97.5,14.3,76.0,2.8,133.1,0.0,7.4,2.0
2010/11,1015.2,156.5,7.6,74.0,3.7,84.1,17.0,7.7,6.0
2010/12,1008.4,222.5,2.5,79.0,4.5,55.6,99.0,8.8,21.0
2011/1,1011.7,209.0,-2.6,81.0,0.0,0.0,311.0,9.1,31.0
2011/2,1017.5,38.5,0.3,74.0,3.7,108.9,62.0,7.7,20.0
2011/3,1013.5,90.5,1.4,73.0,4.1,122.6,146.0,8.6,24.0
2011/4,1011.8,99.0,8.3,66.0,4.8,157.1,4.0,6.9,5.0
2011/5,1011.1,76.5,12.4,76.0,3.9,158.7,0.0,7.8,0.0
2011/6,1008.0,92.0,18.2,75.0,3.0,174.1,0.0,7.8,0.0
2011/7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2011/8,1009.9,112.0,24.2,79.0,2.9,197.5,0.0,7.8,0.0
2011/9,1011.9,345.0,20.4,80.0,2.7,131.2,0.0,7.6,0.0
2011/10,1016.9,96.5,13.3,75.0,3.5,150.9,0.0,6.8,0.0
2011/11,1018.6,148.5,8.1,76.0,3.7,91.2,24.0,7.8,10.0
2011/12,1016.2,211.0,0.0,81.0,4.3,31.5,205.0,9.1,30.0
2012/1,1016.2,143.0,-2.6,81.0,4.2,47.2,244.0,9.2,30.0
2012/2,1015.2,114.5,-2.5,77.0,4.3,65.2,193.0,8.8,27.0
2012/3,1014.3,101.5,1.8,74.0,4.2,101.0,63.0,8.9,21.0
2012/4,1013.5,70.0,7.2,72.0,3.5,182.4,32.0,6.7,7.0
2012/5,1010.5,58.5,13.5,79.0,3.3,181.0,0.0,7.3,0.0
2012/6,1010.2,21.0,17.0,80.0,3.3,218.4,0.0,6.8,0.0
2012/7,1007.9,243.0,21.9,82.0,3.1,195.7,0.0,7.5,0.0
2012/8,1011.7,47.5,25.3,81.0,2.6,228.2,0.0,6.9,0.0
2012/9,1014.1,76.0,23.5,77.0,2.9,201.3,0.0,6.1,0.0
2012/10,1014.8,115.0,14.4,73.0,3.6,160.3,0.0,6.3,0.0
2012/11,1012.0,205.0,7.0,80.0,3.8,0.0,14.0,8.8,8.0
2012/12,1014.1,100.5,-0.5,81.0,4.2,41.3,154.0,9.5,27.0
2013/1,1016.3,127.0,-2.4,83.0,3.9,49.3,242.0,9.3,29.0
2013/2,1015.7,147.5,-1.7,80.0,4.5,55.4,220.0,9.5,26.0
2013/3,1012.2,73.0,2.0,72.0,4.9,99.6,66.0,8.1,21.0
2013/4,1009.1,119.0,7.5,68.0,4.6,170.2,1.0,7.7,5.0
2013/5,1011.3,36.5,12.5,0.0,3.3,155.6,0.0,7.6,0.0
2013/6,1009.7,9.0,18.1,77.0,3.1,232.2,0.0,6.6,0.0
2013/7,1007.6,144.0,21.8,84.0,2.8,136.5,0.0,8.8,0.0
2013/8,1005.8,308.0,24.7,75.0,3.2,185.2,0.0,7.5,0.0
2013/9,1014.5,238.5,20.4,74.0,2.8,172.1,0.0,7.3,0.0
2013/10,1017.7,204.5,14.6,76.0,3.4,101.1,0.0,7.8,0.0
2013/11,1013.3,136.0,6.7,76.0,3.9,87.2,45.0,7.8,10.0
2013/12,1011.5,121.0,2.0,76.0,4.1,71.1,107.0,8.3,22.0
2014/1,1016.0,168.0,-1.6,78.0,4.4,40.5,204.0,9.2,29.0
2014/2,1019.7,88.5,-1.3,76.0,4.1,76.9,143.0,8.3,23.0
2014/3,1013.6,145.5,2.5,72.0,4.5,139.2,131.0,7.5,22.0
2014/4,1014.7,14.0,8.8,55.0,4.0,259.5,0.0,4.8,4.0
2014/5,1009.0,46.0,14.6,69.0,3.7,206.8,0.0,6.9,0.0
2014/6,1007.5,122.0,18.1,85.0,3.0,168.6,0.0,8.1,0.0
2014/7,1007.8,107.0,23.2,78.0,3.1,204.4,0.0,7.9,0.0
2014/8,1009.4,274.0,23.6,80.0,3.3,132.1,0.0,8.3,0.0
2014/9,1012.2,70.0,19.2,73.0,2.9,208.7,0.0,6.5,0.0
2014/10,1017.5,146.5,12.8,73.0,3.4,170.6,0.0,5.6,0.0
2014/11,1017.1,63.5,8.1,72.0,3.8,102.2,0.0,7.7,6.0
2014/12,1011.3,238.5,0.0,84.0,4.1,25.5,292.0,9.6,27.0
2015/1,1013.5,133.5,-0.2,82.0,4.0,43.0,190.0,9.4,28.0
2015/2,1013.5,45.0,1.2,71.0,4.1,96.4,54.0,8.5,24.0
2015/3,1014.5,56.5,4.6,71.0,4.4,141.0,40.0,7.5,15.0
2015/4,1015.7,81.0,9.9,0.0,3.8,189.8,0.0,6.4,2.0
2015/5,1008.2,69.5,15.1,67.0,3.8,255.0,0.0,5.9,0.0
2015/6,1008.1,57.5,18.1,76.0,3.6,208.0,0.0,7.0,0.0
2015/7,1008.3,65.0,22.8,77.0,2.9,179.3,0.0,7.9,0.0
2015/8,1009.8,72.0,23.6,77.0,3.6,184.6,0.0,7.9,0.0
2015/9,1013.0,65.0,19.4,76.0,3.8,153.4,0.0,7.2,0.0
2015/10,1014.2,76.5,12.2,69.0,4.1,147.6,0.0,6.8,0.0
2015/11,1021.3,147.5,8.4,76.0,3.3,88.5,1.0,8.0,2.0
2015/12,1018.0,134.5,3.1,76.0,4.2,51.1,103.0,8.9,20.0
2016/1,1015.3,148.5,-0.8,79.0,4.5,46.8,251.0,9.5,30.0
2016/2,1017.5,77.0,-0.1,78.0,4.2,73.2,147.0,9.0,26.0
2016/3,1018.0,54.0,4.0,69.0,3.8,152.3,51.0,7.2,16.0
2016/4,1012.9,93.0,9.2,66.0,4.3,162.3,3.0,7.3,1.0
2016/5,1011.9,53.5,15.4,68.0,3.7,253.3,0.0,6.8,0.0
2016/6,1008.7,72.5,17.4,81.0,3.3,143.7,0.0,8.7,0.0
2016/7,1009.4,132.5,21.5,0.0,3.2,174.7,0.0,8.4,0.0
2016/8,1005.8,251.5,24.5,0.0,3.4,218.6,0.0,6.2,0.0
2016/9,1014.0,101.0,20.7,80.0,2.8,149.9,0.0,8.1,0.0
2016/10,1016.8,147.0,12.7,70.0,3.9,126.9,0.0,7.5,0.0
2016/11,1018.5,90.0,5.0,76.0,3.7,54.5,38.0,8.2,13.0
2016/12,1016.2,169.0,2.0,79.0,4.1,66.2,111.0,8.3,23.0
2017/1,1014.1,84.0,-0.4,76.0,4.1,60.8,127.0,8.9,30.0
2017/2,1012.2,109.0,0.2,78.0,4.1,60.0,127.0,9.0,26.0
2017/3,1013.8,74.0,2.6,75.0,3.6,118.7,71.0,7.3,20.0
2017/4,1010.7,48.0,9.7,63.0,4.5,197.5,0.0,6.1,2.0
