年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1019.3,30.0,6.5,59.0,1.6,207.0,0.0,4.2,0.0
2010/2,1017.5,192.5,9.8,65.0,1.6,152.5,0.0,6.1,0.0
2010/3,1017.2,246.5,11.4,68.0,1.7,0.0,0.0,6.9,0.0
2010/4,1016.4,491.0,14.8,69.0,1.8,0.0,0.0,7.5,0.0
2010/5,1011.4,395.5,19.4,69.0,1.8,198.8,0.0,7.3,0.0
2010/6,1010.6,502.0,23.3,80.0,1.6,134.2,0.0,8.3,0.0
2010/7,1010.3,444.5,27.0,82.0,1.5,165.1,0.0,8.3,0.0
2010/8,1013.3,115.5,29.1,77.0,1.7,249.9,0.0,6.4,0.0
2010/9,1012.3,128.0,26.4,73.0,1.8,220.8,0.0,6.0,0.0
2010/10,1014.7,314.5,20.7,70.0,1.6,129.9,0.0,7.9,0.0
2010/11,1018.1,62.0,13.5,67.0,1.7,182.5,0.0,5.1,0.0
2010/12,1012.9,171.0,8.7,66.0,1.8,189.9,0.0,4.1,4.0
2011/1,1019.0,0.0,4.3,53.0,1.7,223.5,0.0,3.9,4.0
2011/2,1018.0,80.0,8.9,63.0,1.6,168.5,0.0,5.9,3.0
2011/3,1017.8,37.5,9.3,56.0,1.9,215.1,0.0,5.5,3.0
2011/4,1014.2,180.0,14.9,59.0,1.9,227.9,0.0,5.2,0.0
2011/5,1011.4,360.0,19.9,73.0,1.8,157.6,0.0,7.9,0.0
2011/6,1009.4,420.5,23.6,85.0,1.6,98.3,0.0,9.4,0.0
2011/7,1007.3,381.0,27.0,80.0,1.7,169.0,0.0,7.6,0.0
2011/8,1009.5,66.0,28.2,78.0,1.6,207.2,0.0,7.2,0.0
2011/9,1008.9,651.5,25.4,74.0,1.7,160.9,0.0,7.2,0.0
2011/10,1016.9,206.5,20.1,70.0,1.6,166.0,0.0,6.7,0.0
2011/11,1020.2,254.0,16.0,72.0,1.5,132.0,0.0,6.3,0.0
2011/12,1020.7,49.0,8.3,63.0,1.7,200.3,0.0,4.7,0.0
2012/1,1019.3,31.5,6.3,59.0,1.6,191.9,0.0,5.4,4.0
2012/2,1018.0,156.5,6.6,64.0,1.7,159.4,0.0,6.1,3.0
2012/3,1016.1,199.0,11.1,64.0,1.8,168.0,0.0,6.2,1.0
2012/4,1014.3,295.5,15.8,68.0,1.8,195.0,0.0,6.3,0.0
2012/5,1010.0,89.5,20.2,66.0,1.8,190.8,0.0,7.2,0.0
2012/6,1007.4,734.0,22.9,83.0,1.5,90.2,0.0,9.3,0.0
2012/7,1008.3,260.0,27.2,81.0,1.6,185.0,0.0,7.6,0.0
2012/8,1010.9,344.5,27.8,81.0,1.7,0.0,0.0,7.8,0.0
2012/9,1012.3,533.5,24.8,79.0,1.7,164.2,0.0,7.1,0.0
2012/10,1014.8,91.0,19.8,67.0,1.7,217.9,0.0,4.9,0.0
2012/11,1016.0,136.5,12.4,69.0,1.7,163.0,0.0,5.3,0.0
2012/12,0.0,113.5,7.1,0.0,0.0,0.0,0.0,4.7,0.0
2013/1,1020.5,39.0,5.8,58.0,1.8,211.7,0.0,4.4,4.0
2013/2,1019.9,132.5,7.8,62.0,1.7,177.3,0.0,5.7,3.0
2013/3,1015.1,82.5,12.7,63.0,1.8,209.8,0.0,5.7,0.0
2013/4,1012.1,243.0,14.8,60.0,2.1,244.2,0.0,5.1,0.0
2013/5,1012.2,177.5,19.9,67.0,2.0,246.9,0.0,6.1,0.0
2013/6,1008.2,306.5,23.2,80.0,1.6,98.4,0.0,8.4,0.0
2013/7,1009.1,113.5,28.1,76.0,1.7,210.6,0.0,7.8,0.0
2013/8,1007.6,85.5,29.0,73.0,1.8,245.0,0.0,5.8,0.0
2013/9,1012.5,377.5,24.9,71.0,1.9,193.7,0.0,5.8,0.0
2013/10,1015.4,579.5,20.7,71.0,2.0,169.5,0.0,6.2,0.0
2013/11,1017.8,94.5,12.9,67.0,1.8,173.0,0.0,5.2,0.0
2013/12,1017.5,95.5,7.4,66.0,1.8,192.8,0.0,4.5,1.0
2014/1,1020.7,38.5,7.0,62.0,1.7,215.7,0.0,4.5,2.0
2014/2,1019.1,132.5,8.1,59.0,1.8,149.8,0.0,6.2,1.0
2014/3,1017.3,259.0,11.4,62.0,1.9,212.5,0.0,5.2,1.0
2014/4,1015.9,214.0,15.3,65.0,1.8,192.3,0.0,6.3,0.0
2014/5,1011.6,202.0,19.8,65.0,1.9,259.3,0.0,5.8,0.0
2014/6,1005.9,297.0,22.7,77.0,1.7,123.9,0.0,8.9,0.0
2014/7,1008.5,195.0,26.9,76.0,1.8,188.5,0.0,7.9,0.0
2014/8,1008.4,1561.0,26.6,84.0,1.8,80.0,0.0,9.5,0.0
2014/9,1011.4,319.0,23.9,71.0,1.7,155.3,0.0,7.5,0.0
2014/10,1015.7,259.0,20.3,67.0,1.9,162.7,0.0,6.5,0.0
2014/11,1018.2,72.5,14.9,68.0,1.6,171.6,0.0,5.6,0.0
2014/12,1019.0,109.0,6.7,64.0,1.9,183.4,0.0,4.5,2.0
2015/1,1018.9,123.0,7.2,60.0,1.8,192.0,0.0,5.2,3.0
2015/2,1018.1,72.5,7.3,58.0,1.9,187.4,0.0,4.7,0.0
2015/3,1018.2,254.0,11.2,66.0,1.8,204.4,0.0,5.7,0.0
2015/4,1015.1,270.0,17.2,74.0,1.7,133.6,0.0,7.8,0.0
2015/5,1010.1,185.5,20.7,70.0,1.8,229.9,0.0,6.9,0.0
2015/6,1007.4,314.5,22.3,83.0,1.5,102.5,0.0,9.0,0.0
2015/7,1008.4,478.5,26.2,85.0,1.8,131.0,0.0,8.3,0.0
2015/8,1007.9,325.5,27.6,0.0,1.7,192.6,0.0,6.5,0.0
2015/9,1010.8,376.0,23.9,0.0,1.6,156.9,0.0,7.3,0.0
2015/10,1016.1,54.0,19.1,60.0,1.8,245.7,0.0,3.3,0.0
2015/11,1020.1,198.0,16.2,76.0,1.6,132.9,0.0,7.0,0.0
2015/12,1020.7,315.0,10.9,67.0,1.7,189.5,0.0,4.6,0.0
2016/1,1019.4,73.5,7.1,65.0,1.7,154.6,0.0,6.0,4.0
2016/2,1020.8,219.0,8.3,58.0,1.8,184.6,0.0,5.2,1.0
2016/3,1018.9,149.0,12.0,59.0,1.8,210.7,0.0,5.4,1.0
2016/4,1013.1,313.5,17.4,72.0,1.7,170.8,0.0,7.2,0.0
2016/5,1012.7,313.5,20.8,73.0,1.9,214.0,0.0,7.6,0.0
2016/6,1008.4,492.0,23.4,81.0,1.5,110.0,0.0,8.5,0.0
2016/7,1009.7,173.5,27.5,78.0,1.7,201.1,0.0,7.8,0.0
2016/8,1004.2,109.5,28.7,72.0,1.9,275.8,0.0,5.0,0.0
2016/9,1011.3,579.5,25.8,82.0,1.5,93.4,0.0,8.9,0.0
2016/10,1016.1,164.0,21.9,71.0,1.5,131.9,0.0,7.6,0.0
2016/11,1018.7,100.0,14.7,70.0,1.6,176.8,0.0,5.1,0.0
2016/12,1020.6,136.0,9.9,70.0,1.7,173.0,0.0,5.2,0.0
2017/1,1019.6,23.0,7.1,59.0,1.8,205.6,0.0,4.5,1.0
2017/2,1018.4,63.5,7.5,56.0,1.9,186.5,0.0,4.6,2.0
2017/3,1016.2,52.5,10.2,57.0,1.9,203.6,0.0,6.6,0.0
2017/4,1013.0,293.5,16.3,66.0,1.7,183.7,0.0,6.3,0.0
2017/5,1012.5,127.5,20.4,67.0,1.7,233.9,0.0,6.5,0.0
2017/6,1008.4,344.0,22.9,0.0,1.7,183.8,0.0,8.4,0.0
2017/7,1009.3,181.5,27.8,81.0,1.6,174.7,0.0,8.3,0.0
2017/8,1006.3,208.5,28.9,76.0,1.8,220.6,0.0,6.9,0.0
2017/9,1010.6,207.5,24.2,74.0,1.7,147.2,0.0,7.5,0.0
2017/10,1016.0,428.5,19.6,77.0,1.7,123.0,0.0,7.0,0.0
2017/11,1019.6,54.5,12.9,72.0,1.5,160.8,0.0,6.0,0.0
2017/12,1020.7,37.5,6.8,63.0,1.7,194.9,0.0,4.5,0.0
2018/1,1018.7,96.5,5.4,65.0,1.7,208.2,0.0,4.3,1.0
2018/2,1019.5,108.0,5.8,62.0,1.7,183.0,2.0,5.5,2.0
2018/3,1017.3,226.0,12.9,66.0,1.8,220.5,0.0,4.8,0.0
2018/4,1015.4,201.0,17.3,67.0,1.8,230.8,0.0,5.2,0.0
2018/5,1012.0,275.5,20.1,72.0,1.8,189.9,0.0,7.1,0.0
2018/6,1008.4,355.0,23.4,80.0,1.7,163.3,0.0,7.7,0.0
2018/7,1009.3,630.5,28.0,81.0,2.0,198.2,0.0,7.3,0.0
2018/8,1008.4,250.5,28.6,77.0,1.9,228.9,0.0,6.1,0.0
2018/9,1011.0,712.5,24.5,82.0,1.7,118.6,0.0,8.1,0.0
2018/10,1015.9,84.0,19.2,71.0,1.8,203.8,0.0,5.7,0.0
2018/11,1020.2,68.0,14.1,69.0,1.6,187.9,0.0,4.6,0.0
2018/12,1021.4,85.0,9.9,70.0,1.5,131.9,0.0,6.5,2.0
2019/1,1020.3,23.5,7.3,62.0,1.6,184.0,0.0,4.3,1.0
2019/2,1019.5,81.0,9.3,65.0,1.6,156.2,0.0,6.7,0.0
2019/3,1014.8,144.0,11.7,63.0,1.8,205.9,0.0,6.1,0.0
2019/4,1013.5,207.0,15.5,65.0,1.9,216.6,0.0,6.2,0.0
2019/5,1012.6,184.0,20.1,67.0,1.9,239.1,0.0,6.1,0.0
2019/6,1006.6,385.0,23.1,79.0,1.7,173.4,0.0,7.9,0.0
2019/7,1007.8,472.5,25.9,86.0,1.6,114.6,0.0,8.7,0.0
2019/8,1007.4,280.5,27.7,81.0,1.8,154.8,0.0,7.9,0.0
2019/9,1013.2,224.0,26.4,76.0,1.8,177.9,0.0,6.6,0.0
2019/10,1014.3,400.0,21.9,71.0,1.8,173.4,0.0,6.3,0.0
2019/11,1019.0,20.5,14.4,69.0,1.6,191.0,0.0,4.3,0.0
2019/12,1021.1,116.5,10.3,70.0,1.6,0.0,0.0,5.7,0.0
2020/1,1018.1,153.0,9.2,67.0,1.6,167.1,0.0,5.6,0.0
2020/2,1021.4,99.5,9.0,65.0,1.8,199.5,0.0,0.0,0.0
2020/3,1015.1,175.0,12.3,68.0,1.7,190.6,0.0,0.0,0.0
2020/4,1014.4,173.5,14.4,58.0,2.0,265.6,0.0,0.0,0.0
2020/5,1011.0,307.0,20.5,72.0,1.7,219.7,0.0,0.0,0.0
2020/6,1007.4,440.5,24.0,80.0,1.6,150.4,0.0,0.0,0.0
2020/7,1008.5,951.5,25.8,86.0,1.6,120.3,0.0,0.0,0.0
