年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1017.8,151.0,4.3,73.0,3.1,101.7,59.0,8.4,18.0
2010/2,1017.5,131.5,6.2,72.0,3.3,72.3,0.0,8.5,13.0
2010/3,1017.1,184.0,8.0,70.0,3.7,78.8,2.0,8.4,7.0
2010/4,1016.1,150.0,11.6,66.0,3.2,136.8,0.0,7.6,1.0
2010/5,1010.1,153.5,17.1,67.0,3.3,182.6,0.0,7.1,0.0
2010/6,1009.0,150.5,22.1,74.0,2.5,184.6,0.0,7.3,0.0
2010/7,1007.9,139.5,26.7,74.0,2.7,179.9,0.0,7.5,0.0
2010/8,1010.9,28.0,29.8,67.0,3.3,261.6,0.0,5.1,0.0
2010/9,1011.3,158.5,24.7,74.0,2.8,159.8,0.0,7.6,0.0
2010/10,1015.2,184.5,17.8,79.0,2.4,112.8,0.0,7.8,0.0
2010/11,1017.3,153.5,11.2,72.0,2.9,128.8,0.0,6.3,0.0
2010/12,1011.4,246.0,7.1,71.0,3.4,117.7,52.0,7.3,11.0
2011/1,1017.7,252.0,1.5,82.0,2.9,57.8,172.0,9.3,31.0
2011/2,1018.0,102.0,5.0,75.0,2.8,109.1,15.0,7.9,9.0
2011/3,1017.0,147.0,5.7,73.0,3.2,129.2,33.0,7.7,13.0
2011/4,1012.9,101.0,11.5,65.0,3.3,169.1,0.0,6.3,0.0
2011/5,1010.0,366.5,18.0,69.0,3.2,165.7,0.0,7.7,0.0
2011/6,1007.1,174.0,23.2,74.0,2.7,132.0,0.0,8.7,0.0
2011/7,1005.8,114.5,26.8,72.0,2.9,174.3,0.0,7.5,0.0
2011/8,1007.9,149.5,27.5,73.0,2.4,183.0,0.0,7.8,0.0
2011/9,1008.8,462.0,23.3,75.0,2.9,172.8,0.0,6.7,0.0
2011/10,1016.7,94.0,17.4,73.0,2.6,162.6,0.0,6.9,0.0
2011/11,1019.4,93.5,13.9,73.0,2.9,103.1,0.0,8.3,0.0
2011/12,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.1,16.0
2012/1,1018.9,299.5,3.0,83.0,2.7,58.4,100.0,9.4,19.0
2012/2,1018.1,265.5,2.2,81.0,2.9,68.0,184.0,9.2,18.0
2012/3,1015.7,229.5,6.9,74.0,3.3,95.3,15.0,8.1,5.0
2012/4,1012.5,83.0,13.9,65.0,3.9,180.9,0.0,6.5,1.0
2012/5,1009.5,101.5,17.4,70.0,3.0,200.6,0.0,7.3,0.0
2012/6,1006.7,123.5,21.8,75.0,2.7,146.8,0.0,8.9,0.0
2012/7,1006.0,116.0,27.2,74.0,3.0,212.9,0.0,7.5,0.0
2012/8,1009.0,119.5,29.0,68.0,3.0,272.7,0.0,5.7,0.0
2012/9,1011.3,261.0,24.2,78.0,2.7,156.0,0.0,8.0,0.0
2012/10,1015.0,177.0,17.2,75.0,3.0,169.1,0.0,6.9,0.0
2012/11,1015.0,187.0,11.0,74.0,3.2,95.4,0.0,8.5,0.0
2012/12,1017.8,318.0,4.5,76.0,3.6,69.4,38.0,8.7,19.0
2013/1,1020.0,142.0,3.7,74.0,3.4,74.1,30.0,8.8,18.0
2013/2,1019.8,119.5,4.5,73.0,3.5,0.0,20.0,9.3,18.0
2013/3,1014.6,57.0,9.4,64.0,3.7,157.8,0.0,6.9,5.0
